Value,AFRICA_2024_DynamicWorld_2024_36NWM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWM_M_R,AFRICA_2024_GSW_Yearly_2021_36NWM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWM_M_R,AFRICA_2024_WorldCover_2021_36NWM_M_R
119,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
120,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
121,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
122,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
123,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
124,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
125,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
126,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
127,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
128,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
129,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
130,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
131,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
132,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
133,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
134,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
135,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
136,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
137,Grassland,NULL,Wetland,NULL,Wetland,NULL
138,Grassland,NULL,Wetland,NULL,Wetland,Grassland
139,Grassland,NULL,Wetland,NULL,Wetland,Wetland
140,Grassland,NULL,Wetland,NULL,Wetland,Forest
141,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
142,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
143,Grassland,NULL,Wetland,Water,Wetland,Grassland
144,Grassland,NULL,Wetland,Water,Wetland,Wetland
145,Grassland,NULL,Wetland,Water,Wetland,Water
146,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
147,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
148,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
149,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
150,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
151,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
152,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
153,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
154,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
155,Grassland,NULL,Water,NULL,Water,Wetland
156,Grassland,NULL,Water,Non_Water,Water,Wetland
157,Grassland,NULL,Water,Water,Water,Wetland
158,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
159,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
160,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
161,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
162,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
163,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
164,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
165,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
166,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
167,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
168,Grassland,NULL,Forest,Water,Non_Wetland,Water
169,Grassland,NULL,Forest,Water,Non_Wetland,Forest
170,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
171,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
172,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
173,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
174,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
175,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
176,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
177,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
178,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
179,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
180,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
181,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
182,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
183,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
184,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
185,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
186,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
187,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
188,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
189,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
190,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
191,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
192,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
193,Grassland,Forest,Shrubland,NULL,Non_Wetland,Water
194,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
195,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
196,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
197,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
198,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
199,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
200,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
201,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
202,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
203,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
204,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
205,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
206,Grassland,Forest,Wetland,NULL,Wetland,Grassland
207,Grassland,Forest,Wetland,NULL,Wetland,Wetland
208,Grassland,Forest,Wetland,NULL,Wetland,Forest
209,Grassland,Forest,Wetland,Water,Wetland,Wetland
210,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
211,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
212,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
213,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
214,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
215,Grassland,Forest,Water,NULL,Water,Wetland
216,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
217,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
218,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
219,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
220,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
221,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
222,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
223,Grassland,Forest,Forest,Water,Non_Wetland,Water
224,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
225,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
226,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
227,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
228,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
229,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
230,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
231,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
232,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
233,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
234,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
235,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
236,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
237,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
238,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
239,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
240,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
241,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
242,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
243,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
244,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
245,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
246,Cropland,NULL,Wetland,NULL,Wetland,Grassland
247,Cropland,NULL,Wetland,NULL,Wetland,Wetland
248,Cropland,NULL,Wetland,NULL,Wetland,Forest
249,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
250,Cropland,NULL,Wetland,Water,Wetland,Wetland
251,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
252,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
253,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
254,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
255,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
256,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
257,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
258,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
259,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
260,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
261,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
262,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
263,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
264,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
265,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
266,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
267,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
268,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
269,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
270,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
271,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
272,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
273,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
274,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
275,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
276,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
277,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
278,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
279,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
280,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
281,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
282,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
283,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
284,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
285,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
286,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
287,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
288,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
289,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
290,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
291,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
292,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
293,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
294,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
295,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
296,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
297,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
298,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
299,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
300,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
301,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
302,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
303,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
304,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
305,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
306,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
307,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
308,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
309,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
310,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
311,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
312,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
313,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
314,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
315,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
316,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
317,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
318,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
319,Wetland,NULL,Wetland,NULL,Wetland,Grassland
320,Wetland,NULL,Wetland,NULL,Wetland,Wetland
321,Wetland,NULL,Wetland,NULL,Wetland,Forest
322,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
323,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
324,Wetland,NULL,Wetland,Water,Wetland,Wetland
325,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
326,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
327,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
328,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
329,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
330,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
331,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
332,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
333,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
334,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
335,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
336,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
337,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
338,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
339,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
340,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Forest
341,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland
342,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
343,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
344,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
345,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
346,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland
347,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
348,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
349,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
350,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
351,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
352,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
353,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
354,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
355,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
356,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
357,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
358,Wetland,Forest,Shrubland,Water,Non_Wetland,Wetland
359,Wetland,Forest,Wetland,NULL,Wetland,Wetland
360,Wetland,Forest,Wetland,NULL,Wetland,Forest
361,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
362,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland
363,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
364,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
365,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
366,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland
367,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
368,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
369,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
370,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
371,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
372,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
373,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
374,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
375,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
376,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
377,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
378,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
379,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
380,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
381,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
382,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
383,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
384,Water,NULL,Wetland,NULL,Wetland,Grassland
385,Water,NULL,Wetland,Water,Wetland,Wetland
386,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
387,Water,NULL,Water,NULL,Water,Wetland
388,Water,NULL,Water,Non_Water,Water,Wetland
389,Water,NULL,Water,Water,Water,Wetland
390,Water,NULL,Forest,NULL,Non_Wetland,Grassland
391,Water,NULL,Forest,NULL,Non_Wetland,Wetland
392,Water,NULL,Forest,Water,Non_Wetland,Wetland
393,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland
394,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland
395,Water,Cropland,Bareland,NULL,Non_Wetland,Water
396,Water,Cropland,Bareland,Water,Non_Wetland,Water
397,Water,Cropland,Water,Water,Water,Water
398,Water,Wetland,Forest,NULL,Non_Wetland,Grassland
399,Water,Wetland,Forest,NULL,Non_Wetland,Wetland
400,Water,Wetland,Forest,NULL,Non_Wetland,Forest
401,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
402,Water,Water,Wetland,NULL,Wetland,Wetland
403,Water,Water,Bareland,NULL,Non_Wetland,Grassland
404,Water,Water,Water,Water,Water,Wetland
405,Water,Water,Forest,NULL,Non_Wetland,Grassland
406,Water,Water,Forest,NULL,Non_Wetland,Wetland
407,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
408,Water,Forest,Shrubland,Water,Non_Wetland,Water
409,Water,Forest,Bareland,NULL,Non_Wetland,NULL
410,Water,Forest,Water,NULL,Water,Grassland
411,Water,Forest,Water,NULL,Water,Forest
412,Water,Forest,Forest,NULL,Non_Wetland,Grassland
413,Water,Forest,Forest,NULL,Non_Wetland,Wetland
414,Forest,NULL,NULL,NULL,Non_Wetland,NULL
415,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
416,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
417,Forest,NULL,NULL,NULL,Non_Wetland,Forest
418,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
419,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland
420,Forest,NULL,NULL,Water,Non_Wetland,Grassland
421,Forest,NULL,NULL,Water,Non_Wetland,Wetland
422,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
423,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
