Value,AFRICA_2024_DynamicWorld_2024_37PHM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHM_M_R,AFRICA_2024_GSW_Yearly_2021_37PHM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHM_M_R,AFRICA_2024_WorldCover_2021_37PHM_M_R
118,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
119,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
120,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
121,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
122,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
123,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
124,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
125,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
126,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
127,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
128,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
129,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
130,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
131,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
132,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
133,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
134,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
135,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
136,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
137,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
138,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
139,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
140,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
141,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
142,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
143,NULL,Bareland,Water,Water,Water,Water
144,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
145,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
146,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
158,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
163,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
164,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
165,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
169,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
170,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
175,NULL,Water,Bareland,NULL,Non_Wetland,NULL
176,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
177,NULL,Forest,NULL,NULL,Non_Wetland,NULL
178,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
179,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
180,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
181,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
182,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
184,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
185,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
186,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
187,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
188,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland
190,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
191,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
192,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
193,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
194,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
195,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
196,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
197,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
198,NULL,Forest,Forest,NULL,Non_Wetland,NULL
199,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
200,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
201,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
202,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
203,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
204,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
205,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
206,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
207,Grassland,NULL,NULL,Water,Non_Wetland,NULL
208,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
209,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
210,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
211,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
212,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
213,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
214,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
215,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
216,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
217,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
218,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
219,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
220,Grassland,NULL,Grassland,Water,Non_Wetland,NULL
221,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
222,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
223,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
224,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
225,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
226,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
227,Grassland,NULL,Cropland,Water,Non_Wetland,NULL
228,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
229,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
230,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
231,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
232,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
233,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
234,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
235,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
236,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
237,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
238,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
239,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
240,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
241,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
242,Grassland,NULL,Forest,Water,Non_Wetland,NULL
243,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
244,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
245,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
246,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
247,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
248,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
249,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
250,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
251,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
252,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
253,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
254,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
255,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
256,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
257,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
258,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
259,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
260,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
261,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
262,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
263,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
264,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
265,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
266,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
267,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
268,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
269,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
270,Cropland,NULL,NULL,Water,Non_Wetland,NULL
271,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
272,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
273,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
274,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
275,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
276,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
277,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
278,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
279,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
280,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
281,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
282,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
283,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
284,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
285,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
286,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
287,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
288,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
289,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
290,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
291,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
292,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
293,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
294,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
295,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
296,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
297,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
298,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
299,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
300,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
301,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
302,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
303,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
304,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
305,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
306,Cropland,NULL,Grassland,Water,Non_Wetland,Water
307,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
308,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
309,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
310,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
311,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
312,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
313,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
314,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
315,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
316,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
317,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
318,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
319,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
320,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
321,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
322,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
323,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
324,Cropland,NULL,Cropland,Water,Non_Wetland,Water
325,Cropland,NULL,Wetland,NULL,Wetland,NULL
326,Cropland,NULL,Wetland,NULL,Wetland,Wetland
327,Cropland,NULL,Wetland,NULL,Wetland,Water
328,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
329,Cropland,NULL,Wetland,Water,Wetland,NULL
330,Cropland,NULL,Wetland,Water,Wetland,Wetland
331,Cropland,NULL,Wetland,Water,Wetland,Bareland
332,Cropland,NULL,Wetland,Water,Wetland,Water
333,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
334,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
335,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
336,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
337,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
338,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
339,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
340,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
341,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
342,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
343,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
344,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
345,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
346,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
347,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
348,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
349,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
350,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
351,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
352,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
353,Cropland,NULL,Bareland,Water,Non_Wetland,Water
354,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
355,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
356,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
357,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
358,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
359,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
360,Cropland,NULL,Built-up,NULL,Non_Wetland,Water
361,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
362,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
363,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
364,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
365,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
366,Cropland,NULL,Built-up,Water,Non_Wetland,Water
367,Cropland,NULL,Water,NULL,Water,NULL
368,Cropland,NULL,Water,NULL,Water,Wetland
369,Cropland,NULL,Water,Water,Water,Wetland
370,Cropland,NULL,Water,Water,Water,Water
371,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
372,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
373,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
374,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
375,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
376,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
377,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
378,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
379,Cropland,NULL,Forest,Water,Non_Wetland,NULL
380,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
381,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
382,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
383,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
384,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
385,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
386,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
387,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
388,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
389,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
390,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
391,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
392,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
393,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
394,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
395,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
396,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
397,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
398,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
399,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
400,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
401,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
402,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
403,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
404,Cropland,Cropland,Grassland,Water,Non_Wetland,Water
405,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
406,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
407,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
408,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
409,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
410,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
411,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
412,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
413,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
414,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
415,Cropland,Cropland,Wetland,NULL,Wetland,NULL
416,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
417,Cropland,Cropland,Wetland,Water,Wetland,Wetland
418,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
