Value,AFRICA_2024_DynamicWorld_2024_37NCF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NCF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NCF_M_R,AFRICA_2024_GSW_Yearly_2021_37NCF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NCF_M_R,AFRICA_2024_WorldCover_2021_37NCF_M_R
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
122,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
123,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
126,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
127,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
128,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
129,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
130,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL
131,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
132,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
134,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
135,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
136,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
137,NULL,Wetland,Wetland,NULL,Wetland,NULL
138,NULL,Wetland,Wetland,NULL,Wetland,Grassland
139,NULL,Wetland,Wetland,NULL,Wetland,Forest
140,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL
141,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
142,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
143,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
144,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
145,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
146,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
147,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
148,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
149,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
150,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
151,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
152,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
153,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
154,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
161,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
166,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
167,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
169,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
170,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
171,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
172,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
173,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
174,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
176,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
177,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
178,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
179,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
180,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
181,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
182,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
183,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
184,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
185,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
186,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
187,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
188,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
190,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
191,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
192,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
193,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
194,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
195,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
196,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
197,NULL,Water,NULL,NULL,Non_Wetland,NULL
198,NULL,Water,NULL,NULL,Non_Wetland,Grassland
199,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
200,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
201,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
202,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
203,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
204,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
205,NULL,Water,Grassland,NULL,Non_Wetland,NULL
206,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
207,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
208,NULL,Water,Cropland,NULL,Non_Wetland,NULL
209,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
210,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
211,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
212,NULL,Water,Cropland,NULL,Non_Wetland,Forest
213,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
214,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
215,NULL,Water,Forest,NULL,Non_Wetland,Grassland
216,NULL,Water,Forest,NULL,Non_Wetland,Forest
217,NULL,Forest,NULL,NULL,Non_Wetland,NULL
218,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
219,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
220,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
221,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
222,NULL,Forest,NULL,NULL,Non_Wetland,Forest
223,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
224,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
225,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
226,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
227,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
228,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
229,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
230,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
231,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
232,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
233,NULL,Forest,Shrubland,Water,Non_Wetland,Water
234,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
235,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
236,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
237,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
238,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
239,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
240,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
241,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
242,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
243,NULL,Forest,Grassland,Water,Non_Wetland,Bareland
244,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
245,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
246,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
247,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
248,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
249,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
250,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
251,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
252,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
253,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
254,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
255,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
256,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
257,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
258,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
259,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
260,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
261,NULL,Forest,Forest,NULL,Non_Wetland,NULL
262,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
263,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
264,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
265,NULL,Forest,Forest,NULL,Non_Wetland,Forest
266,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
267,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
268,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
269,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
270,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
271,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
272,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
273,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
274,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
275,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
276,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
277,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
278,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
279,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
280,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
281,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
282,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
283,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
284,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
285,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
286,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
287,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
288,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
289,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
290,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
291,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
292,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
293,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
294,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
295,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
296,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
297,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
298,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
299,Grassland,NULL,Cropland,Water,Non_Wetland,Water
300,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
301,Grassland,NULL,Wetland,NULL,Wetland,NULL
302,Grassland,NULL,Wetland,NULL,Wetland,Grassland
303,Grassland,NULL,Wetland,NULL,Wetland,Cropland
304,Grassland,NULL,Wetland,NULL,Wetland,Wetland
305,Grassland,NULL,Wetland,NULL,Wetland,Forest
306,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
307,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
308,Grassland,NULL,Wetland,Water,Wetland,Grassland
309,Grassland,NULL,Wetland,Water,Wetland,Water
310,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
311,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
312,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
313,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
314,Grassland,NULL,Bareland,NULL,Non_Wetland,Water
315,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
316,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
317,Grassland,NULL,Bareland,Water,Non_Wetland,Water
318,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
319,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
320,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
321,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
322,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
323,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
324,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
325,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
326,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
327,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
328,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
329,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
330,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
331,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
332,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
333,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
334,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
335,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
336,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
337,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
338,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
339,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
340,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water
341,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
342,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
343,Grassland,Cropland,Shrubland,Water,Non_Wetland,Forest
344,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
345,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
346,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
347,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
348,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
349,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
350,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
351,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
352,Grassland,Cropland,Wetland,NULL,Wetland,NULL
353,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
354,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
355,Grassland,Cropland,Wetland,NULL,Wetland,Water
356,Grassland,Cropland,Wetland,NULL,Wetland,Forest
357,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
358,Grassland,Cropland,Wetland,Water,Wetland,NULL
359,Grassland,Cropland,Wetland,Water,Wetland,Grassland
360,Grassland,Cropland,Wetland,Water,Wetland,Wetland
361,Grassland,Cropland,Wetland,Water,Wetland,Water
362,Grassland,Cropland,Wetland,Water,Wetland,Forest
363,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
364,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
365,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
366,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
367,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
368,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland
369,Grassland,Cropland,Bareland,Water,Non_Wetland,Forest
370,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
371,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
372,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
373,Grassland,Cropland,Built-up,Water,Non_Wetland,Water
374,Grassland,Cropland,Water,Water,Water,Grassland
375,Grassland,Cropland,Water,Water,Water,Water
376,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
377,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
378,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
379,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
380,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
381,Grassland,Cropland,Forest,Water,Non_Wetland,Water
382,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
383,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
384,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
385,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
386,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
387,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
388,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water
389,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
390,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
391,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
392,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
393,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
394,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
395,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
396,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
397,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
398,Grassland,Wetland,Wetland,NULL,Wetland,NULL
399,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
400,Grassland,Wetland,Wetland,NULL,Wetland,Water
401,Grassland,Wetland,Wetland,NULL,Wetland,Forest
402,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
403,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
404,Grassland,Wetland,Wetland,Water,Wetland,Wetland
405,Grassland,Wetland,Wetland,Water,Wetland,Water
406,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
407,Grassland,Wetland,Water,Water,Water,Wetland
408,Grassland,Wetland,Water,Water,Water,Water
409,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
410,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
411,Grassland,Wetland,Forest,NULL,Non_Wetland,Cropland
412,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
413,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL
414,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water
415,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
416,Grassland,Wetland,Forest,Water,Non_Wetland,Cropland
417,Grassland,Water,NULL,Non_Water,Non_Wetland,Grassland
418,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
419,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
420,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
