Value,AFRICA_2024_DynamicWorld_2024_36PYA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYA_M_R,AFRICA_2024_GSW_Yearly_2021_36PYA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYA_M_R,AFRICA_2024_WorldCover_2021_36PYA_M_R
118,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
119,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
120,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
121,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
122,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
123,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
124,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
125,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
126,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
127,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
128,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
129,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
130,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
137,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
138,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
139,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
141,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
142,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
143,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
144,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
145,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
146,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
147,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
150,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
153,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
154,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
155,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
156,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
158,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
160,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
163,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
164,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
165,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
166,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
167,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
173,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
174,NULL,Built-up,Water,NULL,Water,Built-up
175,NULL,Built-up,Water,Water,Water,Built-up
176,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
178,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
179,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
180,NULL,Water,Grassland,NULL,Non_Wetland,Forest
181,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
182,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
183,NULL,Water,Cropland,NULL,Non_Wetland,Forest
184,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
185,NULL,Forest,NULL,NULL,Non_Wetland,NULL
186,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
187,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
188,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
190,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
191,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
192,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
193,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
194,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
195,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
196,NULL,Forest,Forest,NULL,Non_Wetland,NULL
197,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
198,NULL,Forest,Forest,NULL,Non_Wetland,Forest
199,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
200,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
201,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
202,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
206,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
207,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
208,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
209,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
210,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
211,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
212,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
213,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
214,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
215,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
216,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
217,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
218,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
219,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
220,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
221,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
222,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
223,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
224,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
225,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
226,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
227,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
228,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
229,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
230,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
231,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
232,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
233,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
234,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
235,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
236,Grassland,Water,Forest,NULL,Non_Wetland,Forest
237,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
238,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
239,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
240,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
241,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
242,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
243,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
244,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
245,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
246,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
247,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
248,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
249,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
250,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
251,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
252,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
253,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
254,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
255,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
256,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
257,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
258,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
259,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
260,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
261,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
262,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
263,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
264,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
265,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
266,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
267,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
268,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
269,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
270,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
271,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
272,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
273,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
274,Cropland,NULL,Grassland,Water,Non_Wetland,Water
275,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
276,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
277,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
278,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
279,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
280,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
281,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
282,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
283,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
284,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
285,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
286,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
287,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
288,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
289,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
290,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
291,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
292,Cropland,NULL,Cropland,Water,Non_Wetland,Water
293,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
294,Cropland,NULL,Wetland,NULL,Wetland,Grassland
295,Cropland,NULL,Wetland,NULL,Wetland,Cropland
296,Cropland,NULL,Wetland,NULL,Wetland,Forest
297,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
298,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
299,Cropland,NULL,Wetland,Non_Water,Wetland,Water
300,Cropland,NULL,Wetland,Water,Wetland,Grassland
301,Cropland,NULL,Wetland,Water,Wetland,Cropland
302,Cropland,NULL,Wetland,Water,Wetland,Wetland
303,Cropland,NULL,Wetland,Water,Wetland,Bareland
304,Cropland,NULL,Wetland,Water,Wetland,Water
305,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
306,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
307,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
308,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
309,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
310,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
311,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
312,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
313,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
314,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
315,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
316,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
317,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
318,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Built-up
319,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
320,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
321,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
322,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
323,Cropland,NULL,Bareland,Water,Non_Wetland,Water
324,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
325,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
326,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
327,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
328,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
329,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
330,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
331,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
332,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
333,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
334,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
335,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
336,Cropland,NULL,Built-up,Water,Non_Wetland,Water
337,Cropland,NULL,Water,Water,Water,Cropland
338,Cropland,NULL,Water,Water,Water,Water
339,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
340,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
341,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
342,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
343,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
344,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
345,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
346,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
347,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
348,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
349,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
350,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
351,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
352,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
353,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
354,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
355,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
356,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
357,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
358,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
359,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
360,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
361,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
362,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
363,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
364,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
365,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
366,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
367,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
368,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
369,Cropland,Cropland,Shrubland,Water,Non_Wetland,Water
370,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
371,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
372,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
373,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
374,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
375,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
376,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
377,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
378,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
379,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
380,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Water
381,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
382,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
383,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
384,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
385,Cropland,Cropland,Grassland,Water,Non_Wetland,Water
386,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
387,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
388,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
389,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
390,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
391,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
392,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
393,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
394,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
395,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
396,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
397,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
398,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
399,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Water
400,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
401,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
402,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
403,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
404,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
405,Cropland,Cropland,Cropland,Water,Non_Wetland,Water
406,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
407,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
408,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
409,Cropland,Cropland,Wetland,NULL,Wetland,Bareland
410,Cropland,Cropland,Wetland,NULL,Wetland,Water
411,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
412,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
413,Cropland,Cropland,Wetland,Non_Water,Wetland,Bareland
414,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest
415,Cropland,Cropland,Wetland,Water,Wetland,NULL
