Value,AFRICA_2024_DynamicWorld_2024_36QYD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36QYD_M_R,AFRICA_2024_GLC_FCS30D_2022_36QYD_M_R,AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,AFRICA_2024_GWL_FCS30D_2022_36QYD_M_R,AFRICA_2024_WorldCover_2021_36QYD_M_R
88,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
89,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
97,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
98,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
99,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
100,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
106,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
107,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
108,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
109,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
110,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
111,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
117,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
118,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
119,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
120,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
121,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
122,NULL,Cropland,Cropland,Water,Non_Wetland,Water
123,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
124,NULL,Cropland,Wetland,NULL,Wetland,Cropland
125,NULL,Cropland,Wetland,NULL,Wetland,Forest
126,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
127,NULL,Cropland,Wetland,Water,Wetland,Grassland
128,NULL,Cropland,Wetland,Water,Wetland,Cropland
129,NULL,Cropland,Wetland,Water,Wetland,Bareland
130,NULL,Cropland,Wetland,Water,Wetland,Forest
131,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
135,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
137,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
139,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
140,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
141,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
142,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
143,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
144,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
147,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
148,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
149,NULL,Cropland,Built-up,Water,Non_Wetland,Forest
150,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
151,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
152,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
153,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
157,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
158,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Cropland
159,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
160,NULL,Bareland,Shrubland,Water,Non_Wetland,Cropland
161,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
162,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
163,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
166,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
167,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
168,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
169,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
170,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
171,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
172,NULL,Bareland,Grassland,Water,Non_Wetland,Cropland
173,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
174,NULL,Bareland,Grassland,Water,Non_Wetland,Water
175,NULL,Bareland,Grassland,Water,Non_Wetland,Forest
176,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
177,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
178,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
179,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
180,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
181,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
182,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
183,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
184,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
185,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
186,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
187,NULL,Bareland,Cropland,Water,Non_Wetland,Cropland
188,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
189,NULL,Bareland,Cropland,Water,Non_Wetland,Water
190,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
191,NULL,Bareland,Wetland,NULL,Wetland,Cropland
192,NULL,Bareland,Wetland,NULL,Wetland,Bareland
193,NULL,Bareland,Wetland,NULL,Wetland,Water
194,NULL,Bareland,Wetland,NULL,Wetland,Forest
195,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
196,NULL,Bareland,Wetland,Non_Water,Wetland,Water
197,NULL,Bareland,Wetland,Water,Wetland,Grassland
198,NULL,Bareland,Wetland,Water,Wetland,Cropland
199,NULL,Bareland,Wetland,Water,Wetland,Bareland
200,NULL,Bareland,Wetland,Water,Wetland,Water
201,NULL,Bareland,Wetland,Water,Wetland,Forest
202,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
203,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
204,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
205,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
206,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
207,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
208,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
209,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
210,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
211,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
212,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
213,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
214,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
215,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
216,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
217,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
218,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland
219,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
220,NULL,Bareland,Bareland,Water,Non_Wetland,Water
221,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
222,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
223,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
224,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
225,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
226,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
227,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
228,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Cropland
229,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
230,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
231,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland
232,NULL,Bareland,Built-up,Water,Non_Wetland,Cropland
233,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
234,NULL,Bareland,Built-up,Water,Non_Wetland,Water
235,NULL,Bareland,Built-up,Water,Non_Wetland,Forest
236,NULL,Bareland,Water,NULL,Water,Cropland
237,NULL,Bareland,Water,NULL,Water,Water
238,NULL,Bareland,Water,Water,Water,Cropland
239,NULL,Bareland,Water,Water,Water,Bareland
240,NULL,Bareland,Water,Water,Water,Water
241,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
242,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
243,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
244,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
245,NULL,Water,NULL,Water,Non_Wetland,Water
246,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
247,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
248,NULL,Water,Shrubland,NULL,Non_Wetland,Water
249,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
250,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
251,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
252,NULL,Water,Shrubland,Water,Non_Wetland,Water
253,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
254,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
255,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
256,NULL,Water,Grassland,NULL,Non_Wetland,Water
257,NULL,Water,Grassland,NULL,Non_Wetland,Forest
258,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
259,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
260,NULL,Water,Grassland,Water,Non_Wetland,Cropland
261,NULL,Water,Grassland,Water,Non_Wetland,Bareland
262,NULL,Water,Grassland,Water,Non_Wetland,Water
263,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
264,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
265,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
266,NULL,Water,Cropland,NULL,Non_Wetland,Water
267,NULL,Water,Cropland,NULL,Non_Wetland,Forest
268,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
269,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
270,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
271,NULL,Water,Cropland,Water,Non_Wetland,Grassland
272,NULL,Water,Cropland,Water,Non_Wetland,Cropland
273,NULL,Water,Cropland,Water,Non_Wetland,Bareland
274,NULL,Water,Cropland,Water,Non_Wetland,Water
275,NULL,Water,Cropland,Water,Non_Wetland,Forest
276,NULL,Water,Wetland,NULL,Wetland,Cropland
277,NULL,Water,Wetland,NULL,Wetland,Bareland
278,NULL,Water,Wetland,NULL,Wetland,Water
279,NULL,Water,Wetland,NULL,Wetland,Forest
280,NULL,Water,Wetland,Non_Water,Wetland,Cropland
281,NULL,Water,Wetland,Non_Water,Wetland,Bareland
282,NULL,Water,Wetland,Non_Water,Wetland,Water
283,NULL,Water,Wetland,Water,Wetland,Grassland
284,NULL,Water,Wetland,Water,Wetland,Cropland
285,NULL,Water,Wetland,Water,Wetland,Bareland
286,NULL,Water,Wetland,Water,Wetland,Water
287,NULL,Water,Wetland,Water,Wetland,Forest
288,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
289,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
290,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
291,NULL,Water,Bareland,NULL,Non_Wetland,Water
292,NULL,Water,Bareland,NULL,Non_Wetland,Forest
293,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
294,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
295,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
296,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
297,NULL,Water,Bareland,Water,Non_Wetland,Grassland
298,NULL,Water,Bareland,Water,Non_Wetland,Cropland
299,NULL,Water,Bareland,Water,Non_Wetland,Bareland
300,NULL,Water,Bareland,Water,Non_Wetland,Water
301,NULL,Water,Bareland,Water,Non_Wetland,Forest
302,NULL,Water,Built-up,NULL,Non_Wetland,Cropland
303,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
304,NULL,Water,Built-up,NULL,Non_Wetland,Water
305,NULL,Water,Built-up,NULL,Non_Wetland,Forest
306,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
307,NULL,Water,Built-up,Water,Non_Wetland,Cropland
308,NULL,Water,Built-up,Water,Non_Wetland,Bareland
309,NULL,Water,Built-up,Water,Non_Wetland,Water
310,NULL,Water,Water,NULL,Water,Cropland
311,NULL,Water,Water,NULL,Water,Water
312,NULL,Water,Water,NULL,Water,Forest
313,NULL,Water,Water,Non_Water,Water,Water
314,NULL,Water,Water,Water,Water,Water
315,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
316,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
317,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
318,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
319,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
320,NULL,Forest,Cropland,Water,Non_Wetland,Forest
321,NULL,Forest,Wetland,Water,Wetland,Forest
322,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
323,NULL,Forest,Forest,NULL,Non_Wetland,Forest
324,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
325,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
326,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
327,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
328,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
329,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
330,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
331,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
332,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
333,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
334,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
335,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
336,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
337,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
338,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
339,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
340,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
341,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
342,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
343,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
344,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
345,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
346,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
347,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
348,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
349,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
350,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
351,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
352,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
353,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
354,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
355,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
356,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
357,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
358,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
359,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
360,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
361,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
362,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
363,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
364,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
365,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
366,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
367,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
368,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
369,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
370,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
371,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
372,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
373,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
374,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
375,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
376,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
377,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
378,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
379,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
380,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
381,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
382,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
383,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
384,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
385,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
386,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
387,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
388,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
389,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
390,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
391,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
392,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
393,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
394,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
395,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
396,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
397,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
398,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
399,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
400,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
401,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
402,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
403,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
404,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
405,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
406,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
407,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
408,Cropland,Bareland,Grassland,NULL,Non_Wetland,Forest
409,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
410,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
411,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
412,Cropland,Bareland,Cropland,NULL,Non_Wetland,Forest
413,Cropland,Bareland,Cropland,Water,Non_Wetland,Cropland
414,Cropland,Bareland,Cropland,Water,Non_Wetland,Bareland
415,Cropland,Bareland,Wetland,Water,Wetland,Cropland
416,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
417,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
418,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
419,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
420,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
421,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
