Value,AFRICA_2024_DynamicWorld_2024_35PRK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,AFRICA_2024_WorldCover_2021_35PRK_M_R
123,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
124,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
125,NULL,Wetland,NULL,Water,Non_Wetland,Water
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
128,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
129,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
130,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
131,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
132,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
134,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
135,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
136,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
137,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
138,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
139,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
140,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
141,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
142,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
143,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
144,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
145,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
146,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
147,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
148,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
149,NULL,Wetland,Grassland,Water,Non_Wetland,Water
150,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
151,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
152,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
153,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
154,NULL,Wetland,Wetland,NULL,Wetland,NULL
155,NULL,Wetland,Wetland,NULL,Wetland,Grassland
156,NULL,Wetland,Wetland,NULL,Wetland,Wetland
157,NULL,Wetland,Wetland,NULL,Wetland,Built-up
158,NULL,Wetland,Wetland,NULL,Wetland,Water
159,NULL,Wetland,Wetland,NULL,Wetland,Forest
160,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
161,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
162,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
163,NULL,Wetland,Wetland,Water,Wetland,Grassland
164,NULL,Wetland,Wetland,Water,Wetland,Wetland
165,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
166,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
167,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
168,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
169,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
170,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
171,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
172,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
173,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
174,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
175,NULL,Wetland,Water,NULL,Water,Grassland
176,NULL,Wetland,Water,NULL,Water,Water
177,NULL,Wetland,Water,Water,Water,Grassland
178,NULL,Wetland,Water,Water,Water,Wetland
179,NULL,Wetland,Water,Water,Water,Built-up
180,NULL,Wetland,Water,Water,Water,Water
181,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
182,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
183,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
184,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
185,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
186,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
187,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
188,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
189,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
190,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
191,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
192,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
193,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
194,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
195,NULL,Built-up,NULL,Water,Non_Wetland,Grassland
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
202,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
203,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
209,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
211,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
212,NULL,Built-up,Wetland,NULL,Wetland,NULL
213,NULL,Built-up,Wetland,NULL,Wetland,Grassland
214,NULL,Built-up,Wetland,NULL,Wetland,Wetland
215,NULL,Built-up,Wetland,NULL,Wetland,Built-up
216,NULL,Built-up,Wetland,NULL,Wetland,Forest
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
219,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
220,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
221,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
227,NULL,Built-up,Water,Water,Water,Grassland
228,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
229,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
230,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
231,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
232,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
233,NULL,Water,NULL,NULL,Non_Wetland,Grassland
234,NULL,Water,NULL,NULL,Non_Wetland,Wetland
235,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
236,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
237,NULL,Water,Shrubland,NULL,Non_Wetland,Water
238,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
239,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
240,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
241,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
242,NULL,Water,Wetland,NULL,Wetland,Grassland
243,NULL,Water,Wetland,NULL,Wetland,Wetland
244,NULL,Water,Wetland,Non_Water,Wetland,Wetland
245,NULL,Water,Wetland,Water,Wetland,Wetland
246,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
247,NULL,Water,Water,NULL,Water,Wetland
248,NULL,Water,Forest,NULL,Non_Wetland,Wetland
249,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
250,NULL,Forest,NULL,NULL,Non_Wetland,NULL
251,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
252,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
253,NULL,Forest,NULL,NULL,Non_Wetland,Forest
254,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
255,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
256,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
257,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
258,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
259,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
260,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
261,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
262,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
263,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
264,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
265,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
266,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
267,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
268,NULL,Forest,Wetland,NULL,Wetland,NULL
269,NULL,Forest,Wetland,NULL,Wetland,Grassland
270,NULL,Forest,Wetland,NULL,Wetland,Wetland
271,NULL,Forest,Wetland,NULL,Wetland,Forest
272,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
273,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
274,NULL,Forest,Wetland,Non_Water,Wetland,Forest
275,NULL,Forest,Wetland,Water,Wetland,Grassland
276,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
277,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
278,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
279,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
280,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
281,NULL,Forest,Water,Water,Water,Grassland
282,NULL,Forest,Forest,NULL,Non_Wetland,NULL
283,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
284,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
285,NULL,Forest,Forest,NULL,Non_Wetland,Forest
286,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
287,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
288,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
289,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
290,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
291,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
292,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
293,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
294,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
295,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
296,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
297,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
299,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
300,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
305,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
306,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
307,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
308,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
309,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
310,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
311,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
312,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
313,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
314,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
315,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
316,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
317,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
318,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
319,Grassland,NULL,Wetland,NULL,Wetland,NULL
320,Grassland,NULL,Wetland,NULL,Wetland,Grassland
321,Grassland,NULL,Wetland,NULL,Wetland,Wetland
322,Grassland,NULL,Wetland,NULL,Wetland,Water
323,Grassland,NULL,Wetland,NULL,Wetland,Forest
324,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
325,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
326,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
327,Grassland,NULL,Wetland,Non_Water,Wetland,Water
328,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
329,Grassland,NULL,Wetland,Water,Wetland,Grassland
330,Grassland,NULL,Wetland,Water,Wetland,Wetland
331,Grassland,NULL,Wetland,Water,Wetland,Water
332,Grassland,NULL,Wetland,Water,Wetland,Forest
333,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
334,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
335,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
336,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
337,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
338,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
339,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
340,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
341,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
342,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
343,Grassland,NULL,Water,NULL,Water,Grassland
344,Grassland,NULL,Water,NULL,Water,Wetland
345,Grassland,NULL,Water,NULL,Water,Water
346,Grassland,NULL,Water,NULL,Water,Forest
347,Grassland,NULL,Water,Non_Water,Water,Grassland
348,Grassland,NULL,Water,Non_Water,Water,Wetland
349,Grassland,NULL,Water,Non_Water,Water,Forest
350,Grassland,NULL,Water,Water,Water,Grassland
351,Grassland,NULL,Water,Water,Water,Wetland
352,Grassland,NULL,Water,Water,Water,Water
353,Grassland,NULL,Water,Water,Water,Forest
354,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
355,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
356,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
357,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
358,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
359,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
360,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
361,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
362,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
363,Grassland,NULL,Forest,Water,Non_Wetland,Forest
364,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
365,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
366,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
367,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
368,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
369,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
370,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
371,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
372,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
373,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
374,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
375,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
376,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
377,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
378,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
379,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
380,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
381,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
382,Grassland,Cropland,Wetland,NULL,Wetland,NULL
383,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
384,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
385,Grassland,Cropland,Wetland,NULL,Wetland,Forest
386,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
387,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
388,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
389,Grassland,Cropland,Wetland,Water,Wetland,Grassland
390,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
391,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
392,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
393,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland
394,Grassland,Cropland,Water,NULL,Water,Grassland
395,Grassland,Cropland,Water,Non_Water,Water,Grassland
396,Grassland,Cropland,Water,Water,Water,Grassland
397,Grassland,Cropland,Water,Water,Water,Water
398,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
399,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
400,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
401,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
402,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
403,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
404,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
405,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
406,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
407,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
408,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
409,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
410,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
411,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
412,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
413,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
414,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
415,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
416,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water
417,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
418,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
419,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
420,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
421,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
422,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
423,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
424,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
425,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
426,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
427,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
428,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
429,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
