Value,AFRICA_2024_DynamicWorld_2024_37PBL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBL_M_R,AFRICA_2024_GSW_Yearly_2021_37PBL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBL_M_R,AFRICA_2024_WorldCover_2021_37PBL_M_R
120,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
121,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
124,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
125,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
126,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
128,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
129,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
130,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
131,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
132,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
134,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
135,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
138,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
139,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
141,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
142,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
143,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
144,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
145,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
146,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
147,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
148,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
149,NULL,Cropland,Forest,Water,Non_Wetland,Forest
150,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
151,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
152,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
153,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
154,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
155,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
156,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
158,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
159,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
160,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
161,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
162,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
163,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
164,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
165,NULL,Wetland,Wetland,NULL,Wetland,Wetland
166,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
167,NULL,Wetland,Wetland,Water,Wetland,Wetland
168,NULL,Wetland,Built-up,Water,Non_Wetland,Forest
169,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
170,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
171,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
172,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
173,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
174,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
175,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
176,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
177,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
178,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
179,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
180,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
181,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
182,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
183,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
184,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
185,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
186,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
194,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
195,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
196,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
208,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
209,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
210,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
211,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
212,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
213,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
214,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
215,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
219,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
226,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
227,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
228,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
229,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
230,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
231,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
232,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
233,NULL,Built-up,Forest,Water,Non_Wetland,Cropland
234,NULL,Built-up,Forest,Water,Non_Wetland,Forest
235,NULL,Water,NULL,NULL,Non_Wetland,NULL
236,NULL,Water,NULL,NULL,Non_Wetland,Grassland
237,NULL,Water,NULL,NULL,Non_Wetland,Cropland
238,NULL,Water,NULL,NULL,Non_Wetland,Wetland
239,NULL,Water,NULL,NULL,Non_Wetland,Forest
240,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
241,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
242,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
243,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
244,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
245,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
246,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
247,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
248,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
249,NULL,Water,Bareland,NULL,Non_Wetland,NULL
250,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
251,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
252,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
253,NULL,Water,Bareland,NULL,Non_Wetland,Forest
254,NULL,Water,Forest,NULL,Non_Wetland,NULL
255,NULL,Water,Forest,NULL,Non_Wetland,Grassland
256,NULL,Water,Forest,NULL,Non_Wetland,Cropland
257,NULL,Water,Forest,NULL,Non_Wetland,Wetland
258,NULL,Water,Forest,NULL,Non_Wetland,Forest
259,NULL,Water,Forest,Water,Non_Wetland,NULL
260,NULL,Water,Forest,Water,Non_Wetland,Cropland
261,NULL,Water,Forest,Water,Non_Wetland,Forest
262,NULL,Forest,NULL,NULL,Non_Wetland,NULL
263,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
264,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
265,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
266,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
267,NULL,Forest,NULL,NULL,Non_Wetland,Forest
268,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
269,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
270,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
271,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
272,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
273,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
274,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
275,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
276,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
277,NULL,Forest,Shrubland,Water,Non_Wetland,Cropland
278,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
279,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
280,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
281,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
282,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
283,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
284,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
285,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
286,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
287,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
288,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
289,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
290,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
291,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
292,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
293,NULL,Forest,Wetland,NULL,Wetland,Wetland
294,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
295,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
296,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
297,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
298,NULL,Forest,Bareland,Water,Non_Wetland,Wetland
299,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
300,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
301,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
302,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
303,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
304,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
305,NULL,Forest,Forest,NULL,Non_Wetland,NULL
306,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
307,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
308,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
309,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
310,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
311,NULL,Forest,Forest,NULL,Non_Wetland,Forest
312,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
313,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
314,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
315,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
316,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
317,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
318,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
319,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
320,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
321,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
322,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
323,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
324,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
325,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
326,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
327,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
328,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
329,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
330,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
331,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
332,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
333,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
334,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
335,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
336,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
337,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
338,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
339,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
340,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
341,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
342,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
343,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
344,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
345,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
346,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
347,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
348,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
349,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
350,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
351,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
352,Grassland,NULL,Wetland,NULL,Wetland,NULL
353,Grassland,NULL,Wetland,NULL,Wetland,Grassland
354,Grassland,NULL,Wetland,NULL,Wetland,Cropland
355,Grassland,NULL,Wetland,NULL,Wetland,Wetland
356,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
357,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
358,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
359,Grassland,NULL,Wetland,Water,Wetland,Cropland
360,Grassland,NULL,Wetland,Water,Wetland,Wetland
361,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
362,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
363,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
364,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
365,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
366,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
367,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
368,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
369,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
370,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
371,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
372,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
373,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
374,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
375,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
376,Grassland,NULL,Water,NULL,Water,Wetland
377,Grassland,NULL,Water,Non_Water,Water,Wetland
378,Grassland,NULL,Water,Water,Water,Cropland
379,Grassland,NULL,Water,Water,Water,Wetland
380,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
381,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
382,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
383,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
384,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
385,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
386,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
387,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
388,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
389,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
390,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
391,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
392,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
393,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
394,Grassland,NULL,Forest,Water,Non_Wetland,Forest
395,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
396,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
397,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
398,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
399,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
400,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
401,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
402,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland
403,Grassland,Cropland,NULL,Water,Non_Wetland,Cropland
404,Grassland,Cropland,NULL,Water,Non_Wetland,Wetland
405,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
406,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
407,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
408,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
409,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
410,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
411,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
412,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
413,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
414,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
415,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
416,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
417,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
418,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
419,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
420,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
421,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
