Value,AFRICA_2024_DynamicWorld_2024_37NGH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,AFRICA_2024_GSW_Yearly_2021_37NGH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGH_M_R,AFRICA_2024_WorldCover_2021_37NGH_M_R
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
125,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
130,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
131,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
132,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
133,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
142,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
143,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
144,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
145,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
146,NULL,Water,NULL,NULL,Non_Wetland,Grassland
147,NULL,Water,NULL,NULL,Non_Wetland,Cropland
148,NULL,Water,NULL,NULL,Non_Wetland,Forest
149,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
150,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
151,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
152,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
153,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
154,NULL,Water,Grassland,NULL,Non_Wetland,NULL
155,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
156,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
157,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
158,NULL,Water,Grassland,Water,Non_Wetland,Grassland
159,NULL,Water,Cropland,NULL,Non_Wetland,NULL
160,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
162,NULL,Water,Cropland,NULL,Non_Wetland,Forest
163,NULL,Water,Bareland,NULL,Non_Wetland,NULL
164,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
165,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
166,NULL,Water,Bareland,NULL,Non_Wetland,Water
167,NULL,Water,Bareland,NULL,Non_Wetland,Forest
168,NULL,Water,Forest,NULL,Non_Wetland,NULL
169,NULL,Water,Forest,NULL,Non_Wetland,Grassland
170,NULL,Water,Forest,NULL,Non_Wetland,Forest
171,NULL,Forest,NULL,NULL,Non_Wetland,NULL
172,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
173,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
174,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
175,NULL,Forest,NULL,NULL,Non_Wetland,Forest
176,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
177,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
178,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
179,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
180,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
181,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
182,NULL,Forest,Shrubland,Water,Non_Wetland,Water
183,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
184,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
185,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
186,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
187,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
188,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
189,NULL,Forest,Grassland,Non_Water,Non_Wetland,Water
190,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
191,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
192,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
193,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
194,NULL,Forest,Cropland,NULL,Non_Wetland,Water
195,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
196,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
197,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
198,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
199,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
200,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
201,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
202,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
203,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
204,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
205,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
206,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
207,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
208,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
209,NULL,Forest,Water,NULL,Water,Bareland
210,NULL,Forest,Forest,NULL,Non_Wetland,NULL
211,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
212,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
213,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
214,NULL,Forest,Forest,NULL,Non_Wetland,Forest
215,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
216,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
217,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
218,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
219,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
221,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
222,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
223,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
224,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
225,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
226,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
227,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
228,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
229,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
230,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
231,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
232,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
233,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
234,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
235,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
236,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
237,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
238,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
239,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
240,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
241,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
242,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
243,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
244,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
245,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
246,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
247,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
248,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
249,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
250,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
251,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
252,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
253,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
254,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
255,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
256,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
257,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
258,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
259,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
260,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
261,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
262,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
263,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
264,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
265,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
266,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
267,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
268,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
269,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
270,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
271,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
272,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
273,Cropland,NULL,Grassland,Water,Non_Wetland,Water
274,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
275,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
276,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
277,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
278,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
279,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
280,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
281,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
282,Cropland,NULL,Wetland,Water,Wetland,Cropland
283,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
284,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
285,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
286,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
287,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
288,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
289,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
290,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
291,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
292,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
293,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
294,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
295,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
296,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
297,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
298,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
299,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
300,Cropland,NULL,Water,NULL,Water,NULL
301,Cropland,NULL,Water,NULL,Water,Grassland
302,Cropland,NULL,Water,NULL,Water,Cropland
303,Cropland,NULL,Water,Non_Water,Water,NULL
304,Cropland,NULL,Water,Water,Water,Grassland
305,Cropland,NULL,Water,Water,Water,Cropland
306,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
307,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
308,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
309,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
310,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
311,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
312,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
313,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
314,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
315,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
316,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
317,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
318,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
319,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
320,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
321,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
322,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
323,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
324,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
325,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
326,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
327,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
328,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
329,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
330,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
331,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
332,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
333,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
334,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
335,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
336,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
337,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
338,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
339,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
340,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
341,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
342,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
343,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
344,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
345,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
346,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
347,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
348,Cropland,Cropland,Water,NULL,Water,Grassland
349,Cropland,Cropland,Water,NULL,Water,Cropland
350,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
351,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
352,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
353,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
354,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
355,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
356,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
357,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
358,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
359,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
360,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
361,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
362,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
363,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
364,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
365,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
366,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
367,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
368,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
369,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
370,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
371,Cropland,Water,NULL,NULL,Non_Wetland,Forest
372,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
373,Cropland,Water,Grassland,NULL,Non_Wetland,NULL
374,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
375,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
376,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
377,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
378,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
379,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
380,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
381,Cropland,Water,Bareland,NULL,Non_Wetland,Forest
382,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
383,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
384,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
385,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
386,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
387,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
388,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
389,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
390,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
391,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
392,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
393,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
394,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
395,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
396,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
397,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
398,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
399,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
400,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
401,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
402,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
403,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
404,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
405,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
406,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
407,Cropland,Forest,Built-up,NULL,Non_Wetland,Cropland
408,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
409,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
410,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
411,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
412,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
413,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
414,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
415,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
416,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
417,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
418,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland
