Value,AFRICA_2024_DynamicWorld_2024_36PZR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZR_M_R,AFRICA_2024_GSW_Yearly_2021_36PZR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZR_M_R,AFRICA_2024_WorldCover_2021_36PZR_M_R
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
119,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
120,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
122,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
126,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
127,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
128,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
129,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
131,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
132,NULL,Bareland,Shrubland,Water,Non_Wetland,Cropland
133,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
134,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
135,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
136,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
137,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
138,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
139,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
140,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
141,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
142,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
143,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
144,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
145,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
152,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
153,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
159,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
166,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
167,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
168,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
169,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
171,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
174,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
180,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
181,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
182,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
183,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
184,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
187,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
188,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
189,NULL,Water,NULL,NULL,Non_Wetland,Grassland
190,NULL,Water,NULL,NULL,Non_Wetland,Cropland
191,NULL,Water,NULL,NULL,Non_Wetland,Forest
192,NULL,Water,NULL,Water,Non_Wetland,Forest
193,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
194,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
195,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
196,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
197,NULL,Water,Shrubland,NULL,Non_Wetland,Water
198,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
199,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
200,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
201,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
202,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
203,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
204,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
205,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
206,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
207,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
208,NULL,Water,Cropland,NULL,Non_Wetland,Forest
209,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
210,NULL,Water,Bareland,NULL,Non_Wetland,NULL
211,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
212,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
213,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
214,NULL,Water,Bareland,NULL,Non_Wetland,Water
215,NULL,Water,Bareland,NULL,Non_Wetland,Forest
216,NULL,Water,Bareland,Water,Non_Wetland,Cropland
217,NULL,Water,Bareland,Water,Non_Wetland,Bareland
218,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
219,NULL,Water,Built-up,NULL,Non_Wetland,Cropland
220,NULL,Water,Built-up,NULL,Non_Wetland,Forest
221,NULL,Water,Water,NULL,Water,Forest
222,NULL,Water,Forest,NULL,Non_Wetland,NULL
223,NULL,Water,Forest,NULL,Non_Wetland,Grassland
224,NULL,Water,Forest,NULL,Non_Wetland,Cropland
225,NULL,Water,Forest,NULL,Non_Wetland,Bareland
226,NULL,Water,Forest,NULL,Non_Wetland,Forest
227,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
228,NULL,Water,Forest,Water,Non_Wetland,NULL
229,NULL,Water,Forest,Water,Non_Wetland,Grassland
230,NULL,Water,Forest,Water,Non_Wetland,Forest
231,NULL,Forest,NULL,NULL,Non_Wetland,NULL
232,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
233,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
234,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
235,NULL,Forest,NULL,NULL,Non_Wetland,Forest
236,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
237,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
238,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
240,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
242,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
243,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
244,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
245,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
246,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
247,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
248,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
249,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
250,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
251,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
252,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
253,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
254,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
255,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
256,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
257,NULL,Forest,Bareland,Water,Non_Wetland,Forest
258,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
259,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
260,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
261,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
262,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
263,NULL,Forest,Water,NULL,Water,Grassland
264,NULL,Forest,Forest,NULL,Non_Wetland,NULL
265,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
266,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
267,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
268,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
269,NULL,Forest,Forest,NULL,Non_Wetland,Forest
270,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
271,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
272,NULL,Forest,Forest,Water,Non_Wetland,Grassland
273,NULL,Forest,Forest,Water,Non_Wetland,Forest
274,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
275,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
276,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
277,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
278,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
279,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
280,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
281,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
282,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
283,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
284,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
287,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
288,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
289,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
290,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
291,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
292,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
293,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
294,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
295,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
296,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
297,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
298,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
299,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
300,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
301,Grassland,NULL,Wetland,NULL,Wetland,Grassland
302,Grassland,NULL,Wetland,NULL,Wetland,Cropland
303,Grassland,NULL,Wetland,NULL,Wetland,Wetland
304,Grassland,NULL,Wetland,NULL,Wetland,Forest
305,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
306,Grassland,NULL,Wetland,Water,Wetland,Wetland
307,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
308,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
309,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
310,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
311,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
312,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
313,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
314,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
315,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
316,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
317,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
318,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
319,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
320,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
321,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
322,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
323,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
324,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
325,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
326,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
327,Grassland,NULL,Forest,Water,Non_Wetland,Forest
328,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
329,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
330,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
331,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
332,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
333,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
334,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
335,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
336,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
337,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
338,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
339,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
340,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
341,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
342,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
343,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
344,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
345,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
346,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
347,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
348,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
349,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
350,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
351,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
352,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
353,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
354,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
355,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
356,Grassland,Cropland,Water,NULL,Water,Cropland
357,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
358,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
359,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
360,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
361,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
362,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
363,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
364,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
365,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
366,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
367,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
368,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
369,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
370,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
371,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
372,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
373,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
374,Grassland,Built-up,Built-up,NULL,Non_Wetland,Cropland
375,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
376,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
377,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
378,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
379,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
380,Grassland,Water,NULL,NULL,Non_Wetland,Cropland
381,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
382,Grassland,Water,NULL,NULL,Non_Wetland,Forest
383,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
384,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
385,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
386,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
387,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
388,Grassland,Water,Wetland,NULL,Wetland,Grassland
389,Grassland,Water,Wetland,NULL,Wetland,Wetland
390,Grassland,Water,Wetland,NULL,Wetland,Forest
391,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
392,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
393,Grassland,Water,Bareland,NULL,Non_Wetland,Cropland
394,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
395,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland
396,Grassland,Water,Water,NULL,Water,Grassland
397,Grassland,Water,Water,NULL,Water,Cropland
398,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
399,Grassland,Water,Forest,NULL,Non_Wetland,Cropland
400,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
401,Grassland,Water,Forest,NULL,Non_Wetland,Forest
402,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
403,Grassland,Water,Forest,Water,Non_Wetland,Grassland
404,Grassland,Water,Forest,Water,Non_Wetland,Wetland
405,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
406,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
407,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
408,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
409,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
410,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
411,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
412,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
413,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
414,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
415,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
416,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
417,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
418,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
419,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
420,Grassland,Forest,Wetland,NULL,Wetland,Cropland
421,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
422,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
