Value,AFRICA_2024_DynamicWorld_2024_35NNJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNJ_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNJ_M_R,AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,AFRICA_2024_WorldCover_2021_35NNJ_M_R
122,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
123,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
124,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
125,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
126,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
127,NULL,Wetland,Wetland,NULL,Wetland,Grassland
128,NULL,Wetland,Wetland,NULL,Wetland,Wetland
129,NULL,Wetland,Wetland,NULL,Wetland,Forest
130,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
131,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
132,NULL,Wetland,Wetland,Water,Wetland,Grassland
133,NULL,Wetland,Wetland,Water,Wetland,Wetland
134,NULL,Wetland,Wetland,Water,Wetland,Forest
135,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
136,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
137,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
138,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
139,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
140,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
141,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
142,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
143,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
144,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
145,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
146,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
147,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
155,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Wetland,NULL,Wetland,Forest
166,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
168,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
174,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
175,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
177,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
178,NULL,Water,NULL,NULL,Non_Wetland,Grassland
179,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
180,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
181,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
182,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
183,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
184,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
185,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
186,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
187,NULL,Water,Shrubland,Water,Non_Wetland,Forest
188,NULL,Water,Grassland,Water,Non_Wetland,Grassland
189,NULL,Water,Wetland,NULL,Wetland,NULL
190,NULL,Water,Wetland,NULL,Wetland,Grassland
191,NULL,Water,Wetland,NULL,Wetland,Forest
192,NULL,Water,Wetland,Non_Water,Wetland,Grassland
193,NULL,Water,Wetland,Water,Wetland,Grassland
194,NULL,Water,Built-up,Water,Non_Wetland,Grassland
195,NULL,Water,Water,NULL,Water,Grassland
196,NULL,Water,Forest,NULL,Non_Wetland,Grassland
197,NULL,Water,Forest,NULL,Non_Wetland,Forest
198,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
199,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
200,NULL,Water,Forest,Water,Non_Wetland,NULL
201,NULL,Forest,NULL,NULL,Non_Wetland,NULL
202,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
203,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
204,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
205,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
206,NULL,Forest,NULL,NULL,Non_Wetland,Forest
207,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
208,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
209,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
210,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
211,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
212,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
213,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
214,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
215,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
216,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
217,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
218,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
219,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
220,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
221,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
222,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
223,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
224,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
225,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
226,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
227,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
228,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
229,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
230,NULL,Forest,Wetland,NULL,Wetland,NULL
231,NULL,Forest,Wetland,NULL,Wetland,Grassland
232,NULL,Forest,Wetland,NULL,Wetland,Wetland
233,NULL,Forest,Wetland,NULL,Wetland,Forest
234,NULL,Forest,Wetland,Non_Water,Wetland,NULL
235,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
236,NULL,Forest,Wetland,Non_Water,Wetland,Forest
237,NULL,Forest,Wetland,Water,Wetland,Grassland
238,NULL,Forest,Wetland,Water,Wetland,Forest
239,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
240,NULL,Forest,Water,NULL,Water,NULL
241,NULL,Forest,Water,Water,Water,Grassland
242,NULL,Forest,Forest,NULL,Non_Wetland,NULL
243,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
244,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
245,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
246,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
247,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
248,NULL,Forest,Forest,NULL,Non_Wetland,Forest
249,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
250,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
251,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
252,NULL,Forest,Forest,Water,Non_Wetland,NULL
253,NULL,Forest,Forest,Water,Non_Wetland,Grassland
254,NULL,Forest,Forest,Water,Non_Wetland,Forest
255,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
256,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
257,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
258,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
261,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
262,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
263,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
264,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
265,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
266,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
267,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
268,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
269,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
270,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
271,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
272,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
273,Grassland,NULL,Wetland,NULL,Wetland,NULL
274,Grassland,NULL,Wetland,NULL,Wetland,Grassland
275,Grassland,NULL,Wetland,NULL,Wetland,Cropland
276,Grassland,NULL,Wetland,NULL,Wetland,Wetland
277,Grassland,NULL,Wetland,NULL,Wetland,Forest
278,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
279,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
280,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
281,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
282,Grassland,NULL,Wetland,Water,Wetland,NULL
283,Grassland,NULL,Wetland,Water,Wetland,Grassland
284,Grassland,NULL,Wetland,Water,Wetland,Wetland
285,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Water,NULL,Water,Grassland
287,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
288,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
289,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
290,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
291,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
292,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
293,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
294,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
295,Grassland,NULL,Forest,Water,Non_Wetland,NULL
296,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
297,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
298,Grassland,NULL,Forest,Water,Non_Wetland,Forest
299,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
300,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
301,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
302,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
303,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
304,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
305,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
306,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
307,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
308,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
309,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
310,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
311,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
312,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
313,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
314,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
315,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
316,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
317,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
318,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
319,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
320,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
321,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
322,Grassland,Forest,Wetland,NULL,Wetland,NULL
323,Grassland,Forest,Wetland,NULL,Wetland,Grassland
324,Grassland,Forest,Wetland,NULL,Wetland,Wetland
325,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
326,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
327,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
328,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
329,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
330,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
331,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
332,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
333,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
334,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
335,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
336,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
337,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
338,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
339,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
340,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
341,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
342,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
343,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
344,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
345,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
346,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
347,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
348,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
349,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
350,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
351,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
352,Cropland,NULL,Wetland,NULL,Wetland,NULL
353,Cropland,NULL,Wetland,NULL,Wetland,Grassland
354,Cropland,NULL,Wetland,NULL,Wetland,Wetland
355,Cropland,NULL,Wetland,NULL,Wetland,Forest
356,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
357,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
358,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
359,Cropland,NULL,Wetland,Water,Wetland,Grassland
360,Cropland,NULL,Wetland,Water,Wetland,Wetland
361,Cropland,NULL,Wetland,Water,Wetland,Forest
362,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
363,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
364,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
365,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
366,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
367,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
368,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
369,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
370,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
371,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
372,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
373,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
374,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
375,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
376,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
377,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
378,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
379,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
380,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
381,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
382,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
383,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
384,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
385,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
386,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
387,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
388,Cropland,Forest,Built-up,NULL,Non_Wetland,Built-up
389,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
390,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
391,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
392,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland
393,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
394,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL
395,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
396,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
397,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
398,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
399,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
400,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
401,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
402,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
403,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
404,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
405,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
406,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
407,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
408,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
409,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
410,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
411,Wetland,NULL,Shrubland,Water,Non_Wetland,Cropland
412,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
413,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland
414,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
415,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
416,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
417,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
418,Wetland,NULL,Wetland,NULL,Wetland,NULL
419,Wetland,NULL,Wetland,NULL,Wetland,Grassland
420,Wetland,NULL,Wetland,NULL,Wetland,Wetland
421,Wetland,NULL,Wetland,NULL,Wetland,Forest
422,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
423,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
424,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
425,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
426,Wetland,NULL,Wetland,Water,Wetland,NULL
