Value,AFRICA_2024_DynamicWorld_2024_35PNN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNN_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNN_M_R,AFRICA_2024_GSW_Yearly_2021_35PNN_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNN_M_R,AFRICA_2024_WorldCover_2021_35PNN_M_R
123,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
124,NULL,NULL,Forest,Water,Non_Wetland,NULL
125,NULL,NULL,Forest,Water,Non_Wetland,Grassland
126,NULL,NULL,Forest,Water,Non_Wetland,Cropland
127,NULL,NULL,Forest,Water,Non_Wetland,Wetland
128,NULL,NULL,Forest,Water,Non_Wetland,Bareland
129,NULL,NULL,Forest,Water,Non_Wetland,Forest
130,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
131,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
135,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
139,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
140,NULL,Cropland,Wetland,NULL,Wetland,Grassland
141,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
142,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
143,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
144,NULL,Cropland,Wetland,Water,Wetland,Grassland
145,NULL,Cropland,Wetland,Water,Wetland,Wetland
146,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
147,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
149,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
150,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
151,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland
152,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
153,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
154,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
155,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
156,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
157,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
158,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
159,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
160,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
161,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
162,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
163,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
164,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
165,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
166,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
167,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
168,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
169,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
170,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
171,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
172,NULL,Wetland,Wetland,NULL,Wetland,NULL
173,NULL,Wetland,Wetland,NULL,Wetland,Grassland
174,NULL,Wetland,Wetland,NULL,Wetland,Cropland
175,NULL,Wetland,Wetland,NULL,Wetland,Forest
176,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
177,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
178,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
179,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
180,NULL,Wetland,Wetland,Water,Wetland,NULL
181,NULL,Wetland,Wetland,Water,Wetland,Grassland
182,NULL,Wetland,Wetland,Water,Wetland,Wetland
183,NULL,Wetland,Wetland,Water,Wetland,Forest
184,NULL,Wetland,Water,NULL,Water,NULL
185,NULL,Wetland,Water,NULL,Water,Forest
186,NULL,Wetland,Water,Non_Water,Water,Grassland
187,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
188,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
189,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
190,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
191,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
192,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
193,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
194,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
195,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
196,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
197,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
198,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
199,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
200,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
201,NULL,Built-up,NULL,Non_Water,Non_Wetland,Cropland
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
207,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
208,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
211,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
212,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
213,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
214,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
215,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
216,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
217,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
218,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
219,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
220,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
221,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
222,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
223,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
224,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
225,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
231,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
232,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
233,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
234,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
235,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
236,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL
237,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
238,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
239,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
240,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
241,NULL,Water,NULL,NULL,Non_Wetland,Grassland
242,NULL,Water,NULL,Water,Non_Wetland,Cropland
243,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
244,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
245,NULL,Water,Grassland,NULL,Non_Wetland,NULL
246,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
247,NULL,Water,Grassland,NULL,Non_Wetland,Forest
248,NULL,Water,Wetland,NULL,Wetland,Grassland
249,NULL,Water,Wetland,Non_Water,Wetland,Grassland
250,NULL,Forest,NULL,NULL,Non_Wetland,NULL
251,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
252,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
253,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
254,NULL,Forest,NULL,NULL,Non_Wetland,Forest
255,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
256,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
257,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
258,NULL,Forest,NULL,Water,Non_Wetland,Grassland
259,NULL,Forest,NULL,Water,Non_Wetland,Cropland
260,NULL,Forest,NULL,Water,Non_Wetland,Wetland
261,NULL,Forest,NULL,Water,Non_Wetland,Bareland
262,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
263,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
264,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
265,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
266,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
267,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
268,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
269,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
270,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
271,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
272,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
273,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
274,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
275,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
276,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
277,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
278,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
279,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
280,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
281,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
282,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
283,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
284,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
285,NULL,Forest,Grassland,Water,Non_Wetland,NULL
286,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
287,NULL,Forest,Grassland,Water,Non_Wetland,Bareland
288,NULL,Forest,Grassland,Water,Non_Wetland,Forest
289,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
290,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
291,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
292,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
293,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
294,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
295,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland
296,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
297,NULL,Forest,Cropland,Water,Non_Wetland,NULL
298,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
299,NULL,Forest,Cropland,Water,Non_Wetland,Wetland
300,NULL,Forest,Wetland,NULL,Wetland,NULL
301,NULL,Forest,Wetland,NULL,Wetland,Grassland
302,NULL,Forest,Wetland,NULL,Wetland,Cropland
303,NULL,Forest,Wetland,NULL,Wetland,Wetland
304,NULL,Forest,Wetland,NULL,Wetland,Forest
305,NULL,Forest,Wetland,Non_Water,Wetland,NULL
306,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
307,NULL,Forest,Wetland,Non_Water,Wetland,Cropland
308,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
309,NULL,Forest,Wetland,Non_Water,Wetland,Forest
310,NULL,Forest,Wetland,Water,Wetland,NULL
311,NULL,Forest,Wetland,Water,Wetland,Grassland
312,NULL,Forest,Wetland,Water,Wetland,Wetland
313,NULL,Forest,Wetland,Water,Wetland,Bareland
314,NULL,Forest,Wetland,Water,Wetland,Forest
315,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
316,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
317,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
318,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
319,NULL,Forest,Water,NULL,Water,Grassland
320,NULL,Forest,Water,Non_Water,Water,Grassland
321,NULL,Forest,Water,Non_Water,Water,Forest
322,NULL,Forest,Water,Water,Water,Grassland
323,NULL,Forest,Water,Water,Water,Wetland
324,NULL,Forest,Water,Water,Water,Forest
325,NULL,Forest,Forest,NULL,Non_Wetland,NULL
326,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
327,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
328,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
329,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
330,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
331,NULL,Forest,Forest,NULL,Non_Wetland,Forest
332,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
333,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
334,NULL,Forest,Forest,Non_Water,Non_Wetland,Cropland
335,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
336,NULL,Forest,Forest,Water,Non_Wetland,Grassland
337,NULL,Forest,Forest,Water,Non_Wetland,Wetland
338,NULL,Forest,Forest,Water,Non_Wetland,Forest
339,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
340,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
341,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
342,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
343,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
344,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
345,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
346,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
347,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
348,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
349,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
350,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
351,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
352,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
353,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
354,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
355,Grassland,NULL,Wetland,Water,Wetland,Grassland
356,Grassland,NULL,Wetland,Water,Wetland,Wetland
357,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
358,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
359,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
360,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
361,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
362,Grassland,Wetland,Wetland,NULL,Wetland,Forest
363,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
364,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
365,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
366,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
367,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
368,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
369,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
370,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
371,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
372,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
373,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
374,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
375,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
376,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
377,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
378,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
379,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
380,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
381,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
382,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
383,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
384,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
385,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
386,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
387,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
388,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
389,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
390,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
391,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
392,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
393,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
394,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
395,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
396,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
397,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
398,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
399,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
401,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
402,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
403,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
404,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
405,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
406,Cropland,NULL,Wetland,NULL,Wetland,Forest
407,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
408,Cropland,NULL,Wetland,Water,Wetland,Grassland
409,Cropland,NULL,Wetland,Water,Wetland,Cropland
410,Cropland,NULL,Wetland,Water,Wetland,Wetland
411,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
412,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
413,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
414,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
415,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
416,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
417,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
418,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
419,Cropland,NULL,Water,Non_Water,Water,Grassland
420,Cropland,NULL,Water,Non_Water,Water,Cropland
421,Cropland,NULL,Water,Water,Water,Grassland
422,Cropland,NULL,Water,Water,Water,Wetland
423,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
424,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
425,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
426,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
427,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
428,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
429,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
430,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
