Value,AFRICA_2024_DynamicWorld_2024_36NXK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXK_M_R,AFRICA_2024_GSW_Yearly_2021_36NXK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXK_M_R,AFRICA_2024_WorldCover_2021_36NXK_M_R
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
123,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
129,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
130,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
133,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
134,NULL,Built-up,Wetland,NULL,Wetland,Forest
135,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
136,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
137,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
138,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
139,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
140,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
143,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
146,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
147,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
148,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
150,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
152,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Water,Grassland,NULL,Non_Wetland,NULL
154,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
155,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
156,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
157,NULL,Water,Bareland,NULL,Non_Wetland,NULL
158,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
159,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
160,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
161,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
162,NULL,Forest,NULL,NULL,Non_Wetland,NULL
163,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
164,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
165,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
166,NULL,Forest,NULL,NULL,Non_Wetland,Forest
167,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
168,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
169,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
170,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
171,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
172,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
173,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
174,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
175,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
176,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
177,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
178,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
179,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
180,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
181,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
182,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
183,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
184,NULL,Forest,Wetland,NULL,Wetland,Forest
185,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
186,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
187,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
188,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
189,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
190,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
191,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
192,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
193,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
194,NULL,Forest,Forest,NULL,Non_Wetland,NULL
195,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
196,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
197,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
198,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
199,NULL,Forest,Forest,NULL,Non_Wetland,Forest
200,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
201,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
202,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
203,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
204,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
206,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
209,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
210,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
211,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
212,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
214,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
215,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
216,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
217,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
218,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
219,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
220,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
221,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
222,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
223,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
224,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
225,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
226,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
227,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
228,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
229,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
230,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
231,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
232,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
233,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
234,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
235,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
236,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
237,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
238,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
239,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
240,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
241,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
242,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
243,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
244,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
245,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
246,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
247,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
248,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
249,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
250,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
251,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
252,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
253,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
254,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
255,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
256,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
257,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
258,Grassland,Cropland,Bareland,NULL,Non_Wetland,Water
259,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
260,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
261,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
262,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
263,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
264,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
265,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
266,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
267,Grassland,Bareland,Grassland,NULL,Non_Wetland,Grassland
268,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
269,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
270,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
271,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
272,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
273,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
274,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
275,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
276,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
277,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
278,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
279,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
280,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
281,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland
282,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
283,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
284,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
285,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
286,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
287,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
288,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
289,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
290,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
291,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
292,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
293,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
294,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
295,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
296,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
297,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
298,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
299,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
300,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
301,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
302,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
303,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
304,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
305,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
306,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
307,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
308,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
309,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
310,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
311,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
312,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
313,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
314,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
315,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
316,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
317,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
318,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
319,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
320,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
321,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
322,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
323,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
324,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
325,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
326,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
327,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
328,Cropland,NULL,Wetland,NULL,Wetland,Forest
329,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
330,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
331,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
332,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
333,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
334,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
335,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
336,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
337,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
338,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
339,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
340,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
341,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
342,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
343,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
344,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
345,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
346,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
347,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
348,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
349,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
350,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
351,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
352,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
353,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
354,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
355,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
356,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
357,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
358,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
359,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
360,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
361,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
362,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
363,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
364,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
365,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
366,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
367,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
368,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
369,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
370,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
371,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
372,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
373,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
374,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
375,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
376,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
377,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
378,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
379,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
380,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
381,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
382,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
383,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
384,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
385,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
386,Cropland,Cropland,Wetland,NULL,Wetland,Forest
387,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
388,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
389,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
390,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
391,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
392,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
393,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
394,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
395,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
396,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
397,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
398,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
399,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
400,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
401,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
402,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
403,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
404,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
405,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
406,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
407,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
408,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
409,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
410,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
411,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
412,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
413,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
414,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
415,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
416,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
