Value,AFRICA_2024_DynamicWorld_2024_37PEN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PEN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PEN_M_R,AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PEN_M_R,AFRICA_2024_WorldCover_2021_37PEN_M_R
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
123,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
125,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
126,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
127,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
128,NULL,Cropland,Wetland,NULL,Wetland,NULL
129,NULL,Cropland,Wetland,NULL,Wetland,Grassland
130,NULL,Cropland,Wetland,NULL,Wetland,Cropland
131,NULL,Cropland,Wetland,NULL,Wetland,Forest
132,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
137,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
139,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
140,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
144,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
145,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
146,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
148,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
149,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
150,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
151,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
152,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
153,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
154,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
157,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
158,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
159,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
160,NULL,Cropland,Water,NULL,Water,Grassland
161,NULL,Cropland,Water,Water,Water,Grassland
162,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
163,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
164,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
165,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
166,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
167,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
168,NULL,Cropland,Forest,NULL,Non_Wetland,Water
169,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
170,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
171,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
173,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
174,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
175,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
176,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
177,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
178,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
179,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
180,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
181,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
182,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
183,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
184,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
185,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
186,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
187,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
188,NULL,Bareland,Water,NULL,Water,Bareland
189,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
190,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
191,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
192,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
193,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
194,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
195,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
203,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
204,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
211,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
212,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
214,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
215,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
216,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
217,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
218,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
219,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
220,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
221,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
222,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
223,NULL,Built-up,Cropland,Water,Non_Wetland,Wetland
224,NULL,Built-up,Wetland,NULL,Wetland,NULL
225,NULL,Built-up,Wetland,NULL,Wetland,Grassland
226,NULL,Built-up,Wetland,NULL,Wetland,Cropland
227,NULL,Built-up,Wetland,NULL,Wetland,Built-up
228,NULL,Built-up,Wetland,NULL,Wetland,Forest
229,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
230,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
231,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
232,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
233,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
234,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
235,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
236,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
237,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
238,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
239,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
240,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
241,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
242,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
243,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
246,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
247,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
248,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
249,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
250,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
251,NULL,Built-up,Water,NULL,Water,Grassland
252,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
253,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
254,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
255,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
256,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
257,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
258,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
259,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland
260,NULL,Water,NULL,NULL,Non_Wetland,NULL
261,NULL,Water,NULL,NULL,Non_Wetland,Grassland
262,NULL,Water,NULL,NULL,Non_Wetland,Bareland
263,NULL,Water,NULL,NULL,Non_Wetland,Water
264,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
265,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
266,NULL,Water,Shrubland,NULL,Non_Wetland,Water
267,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
268,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
269,NULL,Water,Grassland,NULL,Non_Wetland,NULL
270,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
271,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
272,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
273,NULL,Water,Cropland,NULL,Non_Wetland,NULL
274,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
275,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
276,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
277,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
278,NULL,Water,Wetland,Non_Water,Wetland,Cropland
279,NULL,Water,Wetland,Non_Water,Wetland,Bareland
280,NULL,Water,Wetland,Water,Wetland,Grassland
281,NULL,Water,Wetland,Water,Wetland,Water
282,NULL,Water,Bareland,NULL,Non_Wetland,NULL
283,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
284,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
285,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
286,NULL,Water,Bareland,NULL,Non_Wetland,Water
287,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
288,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
289,NULL,Water,Bareland,Water,Non_Wetland,NULL
290,NULL,Water,Bareland,Water,Non_Wetland,Grassland
291,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
292,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
293,NULL,Water,Water,NULL,Water,Grassland
294,NULL,Water,Water,NULL,Water,Forest
295,NULL,Water,Forest,NULL,Non_Wetland,Grassland
296,NULL,Water,Forest,NULL,Non_Wetland,Cropland
297,NULL,Water,Forest,NULL,Non_Wetland,Wetland
298,NULL,Water,Forest,Water,Non_Wetland,Forest
299,NULL,Forest,NULL,NULL,Non_Wetland,NULL
300,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
301,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
302,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
303,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
304,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
305,NULL,Forest,NULL,NULL,Non_Wetland,Forest
306,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
307,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
308,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
309,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
310,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
311,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
312,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
313,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
314,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
315,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
316,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
317,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
318,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
319,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
320,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
321,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
322,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
323,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
324,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
325,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
326,NULL,Forest,Wetland,NULL,Wetland,NULL
327,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
328,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
329,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
330,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
331,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
332,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
333,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
334,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
335,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
336,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
337,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
338,NULL,Forest,Water,NULL,Water,NULL
339,NULL,Forest,Water,NULL,Water,Grassland
340,NULL,Forest,Forest,NULL,Non_Wetland,NULL
341,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
342,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
343,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
344,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
345,NULL,Forest,Forest,NULL,Non_Wetland,Forest
346,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
347,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
348,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
349,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
350,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
351,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
352,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
353,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
354,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
355,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
356,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
357,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
358,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
359,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
360,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
361,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
362,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
363,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
364,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
365,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
366,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
367,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
368,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
369,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
370,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
371,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
372,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
373,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
374,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
375,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
376,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
377,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
378,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
379,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
380,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
381,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
382,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
383,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
384,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
385,Grassland,NULL,Wetland,NULL,Wetland,Grassland
386,Grassland,NULL,Wetland,NULL,Wetland,Cropland
387,Grassland,NULL,Wetland,NULL,Wetland,Wetland
388,Grassland,NULL,Wetland,NULL,Wetland,Forest
389,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
390,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
391,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
392,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
393,Grassland,NULL,Wetland,Water,Wetland,Wetland
394,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
395,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
396,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
397,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
398,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
399,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
400,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
401,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
402,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
403,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
404,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
405,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
406,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
407,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
408,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
409,Grassland,NULL,Water,NULL,Water,NULL
410,Grassland,NULL,Water,NULL,Water,Grassland
411,Grassland,NULL,Water,NULL,Water,Wetland
412,Grassland,NULL,Water,Water,Water,Water
413,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
414,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
415,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
416,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
417,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
418,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
419,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
420,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
421,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
422,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
423,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
424,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
