Value,AFRICA_2024_DynamicWorld_2024_35NQE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQE_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQE_M_R,AFRICA_2024_GSW_Yearly_2021_35NQE_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQE_M_R,AFRICA_2024_WorldCover_2021_35NQE_M_R
120,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
121,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
122,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
123,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
124,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
125,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
126,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
128,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
130,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
131,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
132,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
133,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
134,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
135,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
136,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
137,NULL,Water,Shrubland,Water,Non_Wetland,NULL
138,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
139,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
140,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
141,NULL,Water,Cropland,NULL,Non_Wetland,Forest
142,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
143,NULL,Water,Wetland,NULL,Wetland,NULL
144,NULL,Water,Wetland,NULL,Wetland,Grassland
145,NULL,Water,Wetland,NULL,Wetland,Forest
146,NULL,Water,Built-up,NULL,Non_Wetland,NULL
147,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
148,NULL,Water,Built-up,Water,Non_Wetland,Bareland
149,NULL,Water,Water,NULL,Water,Grassland
150,NULL,Water,Forest,NULL,Non_Wetland,NULL
151,NULL,Water,Forest,NULL,Non_Wetland,Grassland
152,NULL,Water,Forest,NULL,Non_Wetland,Forest
153,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
154,NULL,Forest,NULL,NULL,Non_Wetland,NULL
155,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
156,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
157,NULL,Forest,NULL,NULL,Non_Wetland,Forest
158,NULL,Forest,NULL,Water,Non_Wetland,Grassland
159,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
160,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
161,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
162,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
163,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
164,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
165,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
166,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
167,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
168,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
169,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
170,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
171,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
172,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
173,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
174,NULL,Forest,Wetland,NULL,Wetland,NULL
175,NULL,Forest,Wetland,NULL,Wetland,Grassland
176,NULL,Forest,Wetland,NULL,Wetland,Forest
177,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
178,NULL,Forest,Wetland,Water,Wetland,Grassland
179,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
180,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
181,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
182,NULL,Forest,Water,NULL,Water,Forest
183,NULL,Forest,Forest,NULL,Non_Wetland,NULL
184,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
185,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
186,NULL,Forest,Forest,NULL,Non_Wetland,Forest
187,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
188,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
189,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
190,NULL,Forest,Forest,Water,Non_Wetland,NULL
191,NULL,Forest,Forest,Water,Non_Wetland,Grassland
192,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
193,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
194,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
195,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
196,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
197,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
198,Grassland,NULL,NULL,Water,Non_Wetland,NULL
199,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
200,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
201,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
204,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
205,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
206,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
207,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
208,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
209,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
210,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
211,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
212,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
213,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
214,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
215,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
216,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
217,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
218,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
219,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
220,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
221,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
222,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
223,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
224,Grassland,NULL,Wetland,NULL,Wetland,NULL
225,Grassland,NULL,Wetland,NULL,Wetland,Grassland
226,Grassland,NULL,Wetland,NULL,Wetland,Wetland
227,Grassland,NULL,Wetland,NULL,Wetland,Forest
228,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
229,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
230,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
231,Grassland,NULL,Wetland,Water,Wetland,Grassland
232,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
233,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
234,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
235,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
236,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
237,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
238,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
239,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL
240,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
241,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
242,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
243,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
244,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
245,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
246,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
247,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
248,Grassland,NULL,Forest,Water,Non_Wetland,NULL
249,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
250,Grassland,NULL,Forest,Water,Non_Wetland,Forest
251,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
252,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
253,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
254,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
255,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
256,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
257,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
258,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
259,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
260,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
261,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
262,Grassland,Cropland,Wetland,NULL,Wetland,NULL
263,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
264,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
265,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
266,Grassland,Cropland,Forest,Water,Non_Wetland,NULL
267,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
268,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
269,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
270,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
271,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
272,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
273,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL
274,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
275,Grassland,Wetland,Wetland,NULL,Wetland,NULL
276,Grassland,Wetland,Wetland,NULL,Wetland,Forest
277,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
278,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
279,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
280,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL
281,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
282,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
283,Grassland,Water,NULL,Water,Non_Wetland,Forest
284,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
285,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
286,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
287,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
288,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
289,Grassland,Water,Wetland,NULL,Wetland,NULL
290,Grassland,Water,Wetland,NULL,Wetland,Grassland
291,Grassland,Water,Wetland,NULL,Wetland,Forest
292,Grassland,Water,Wetland,Water,Wetland,NULL
293,Grassland,Water,Wetland,Water,Wetland,Grassland
294,Grassland,Water,Wetland,Water,Wetland,Forest
295,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland
296,Grassland,Water,Forest,NULL,Non_Wetland,NULL
297,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
298,Grassland,Water,Forest,NULL,Non_Wetland,Forest
299,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
300,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
301,Grassland,Water,Forest,Water,Non_Wetland,Forest
302,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
303,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
304,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
305,Grassland,Forest,NULL,Water,Non_Wetland,NULL
306,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
307,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
308,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
309,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
310,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
311,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
312,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
313,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL
314,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
315,Grassland,Forest,Shrubland,Water,Non_Wetland,Bareland
316,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
317,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
318,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
319,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
320,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
321,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
322,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
323,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
324,Grassland,Forest,Wetland,NULL,Wetland,NULL
325,Grassland,Forest,Wetland,NULL,Wetland,Grassland
326,Grassland,Forest,Wetland,NULL,Wetland,Bareland
327,Grassland,Forest,Wetland,NULL,Wetland,Forest
328,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
329,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
330,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
331,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
332,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
333,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
334,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
335,Grassland,Forest,Water,Non_Water,Water,Grassland
336,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
337,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
338,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
339,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
340,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
341,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
342,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
343,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
344,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
345,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
346,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
347,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
348,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
349,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
350,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
351,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
352,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
353,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
354,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
355,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
356,Cropland,NULL,Wetland,NULL,Wetland,NULL
357,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
358,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
359,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
360,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
361,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
362,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
363,Cropland,NULL,Forest,Water,Non_Wetland,Forest
364,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
365,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
366,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
367,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
368,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
369,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
370,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
371,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
372,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
373,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
374,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
375,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
376,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
377,Cropland,Water,Forest,NULL,Non_Wetland,Forest
378,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
379,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
380,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
381,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
382,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
383,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
384,Cropland,Forest,Wetland,NULL,Wetland,Forest
385,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
386,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
387,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
388,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
389,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
390,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland
391,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
392,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL
393,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
394,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
395,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
396,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
397,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
398,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
399,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
400,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
401,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
402,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
403,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
404,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
405,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
406,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
407,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
408,Wetland,NULL,Shrubland,Water,Non_Wetland,Cropland
409,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
410,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
411,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
412,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
413,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
414,Wetland,NULL,Wetland,NULL,Wetland,NULL
415,Wetland,NULL,Wetland,NULL,Wetland,Grassland
416,Wetland,NULL,Wetland,NULL,Wetland,Wetland
417,Wetland,NULL,Wetland,NULL,Wetland,Water
418,Wetland,NULL,Wetland,NULL,Wetland,Forest
419,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
420,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
421,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
422,Wetland,NULL,Wetland,Non_Water,Wetland,Water
423,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
424,Wetland,NULL,Wetland,Water,Wetland,Grassland
425,Wetland,NULL,Wetland,Water,Wetland,Wetland
