Value,AFRICA_2024_DynamicWorld_2024_37NHD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHD_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHD_M_R,AFRICA_2024_GSW_Yearly_2021_37NHD_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHD_M_R,AFRICA_2024_WorldCover_2021_37NHD_M_R
121,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
122,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
123,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
127,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
128,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
129,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
130,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
131,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
132,NULL,Cropland,Wetland,NULL,Wetland,Cropland
133,NULL,Cropland,Wetland,NULL,Wetland,Forest
134,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
135,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
137,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
138,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
139,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
141,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
143,NULL,Cropland,Water,NULL,Water,Cropland
144,NULL,Cropland,Water,NULL,Water,Forest
145,NULL,Cropland,Water,Water,Water,Forest
146,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
147,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
150,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
151,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
152,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
153,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
154,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL
155,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
156,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
157,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
158,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
159,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
160,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
161,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
162,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
163,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
164,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
165,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
167,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
168,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
169,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
170,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
171,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
172,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
173,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
174,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
175,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
176,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
177,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
178,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL
179,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
180,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
181,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
182,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
183,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
184,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL
185,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
186,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
187,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
188,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
189,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
190,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
191,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
192,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
193,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
194,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL
195,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
196,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
197,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
198,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
199,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
200,NULL,Bareland,Wetland,NULL,Wetland,NULL
201,NULL,Bareland,Wetland,Non_Water,Wetland,NULL
202,NULL,Bareland,Wetland,Non_Water,Wetland,Cropland
203,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
204,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
205,NULL,Bareland,Wetland,Water,Wetland,NULL
206,NULL,Bareland,Wetland,Water,Wetland,Cropland
207,NULL,Bareland,Wetland,Water,Wetland,Bareland
208,NULL,Bareland,Wetland,Water,Wetland,Forest
209,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
210,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
211,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
212,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
213,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
214,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
215,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
216,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
217,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
218,NULL,Bareland,Built-up,Water,Non_Wetland,NULL
219,NULL,Bareland,Water,NULL,Water,NULL
220,NULL,Bareland,Water,Water,Water,NULL
221,NULL,Bareland,Water,Water,Water,Bareland
222,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
223,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL
224,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
225,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
226,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
227,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
228,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
235,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
236,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
238,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
239,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
240,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
241,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
242,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
243,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
244,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
245,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
246,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
247,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
248,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
249,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
250,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
251,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
252,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
253,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
254,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
255,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
256,NULL,Water,NULL,NULL,Non_Wetland,NULL
257,NULL,Water,NULL,NULL,Non_Wetland,Grassland
258,NULL,Water,NULL,NULL,Non_Wetland,Cropland
259,NULL,Water,NULL,NULL,Non_Wetland,Bareland
260,NULL,Water,NULL,NULL,Non_Wetland,Water
261,NULL,Water,NULL,NULL,Non_Wetland,Forest
262,NULL,Water,NULL,Non_Water,Non_Wetland,NULL
263,NULL,Water,NULL,Non_Water,Non_Wetland,Cropland
264,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland
265,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
266,NULL,Water,NULL,Water,Non_Wetland,NULL
267,NULL,Water,NULL,Water,Non_Wetland,Bareland
268,NULL,Water,NULL,Water,Non_Wetland,Forest
269,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
270,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
271,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
272,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
273,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
274,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
275,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
276,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
277,NULL,Water,Shrubland,Water,Non_Wetland,NULL
278,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
279,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
280,NULL,Water,Shrubland,Water,Non_Wetland,Forest
281,NULL,Water,Grassland,NULL,Non_Wetland,NULL
282,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
283,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
284,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
285,NULL,Water,Grassland,NULL,Non_Wetland,Forest
286,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL
287,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
288,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
289,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
290,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
291,NULL,Water,Grassland,Water,Non_Wetland,NULL
292,NULL,Water,Grassland,Water,Non_Wetland,Grassland
293,NULL,Water,Grassland,Water,Non_Wetland,Cropland
294,NULL,Water,Grassland,Water,Non_Wetland,Wetland
295,NULL,Water,Grassland,Water,Non_Wetland,Bareland
296,NULL,Water,Grassland,Water,Non_Wetland,Water
297,NULL,Water,Grassland,Water,Non_Wetland,Forest
298,NULL,Water,Cropland,NULL,Non_Wetland,NULL
299,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
300,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
301,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
302,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
303,NULL,Water,Cropland,NULL,Non_Wetland,Forest
304,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
305,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
306,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
307,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
308,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
309,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
310,NULL,Water,Cropland,Water,Non_Wetland,NULL
311,NULL,Water,Cropland,Water,Non_Wetland,Grassland
312,NULL,Water,Cropland,Water,Non_Wetland,Cropland
313,NULL,Water,Cropland,Water,Non_Wetland,Wetland
314,NULL,Water,Cropland,Water,Non_Wetland,Bareland
315,NULL,Water,Cropland,Water,Non_Wetland,Water
316,NULL,Water,Cropland,Water,Non_Wetland,Forest
317,NULL,Water,Wetland,NULL,Wetland,NULL
318,NULL,Water,Wetland,NULL,Wetland,Grassland
319,NULL,Water,Wetland,NULL,Wetland,Cropland
320,NULL,Water,Wetland,NULL,Wetland,Wetland
321,NULL,Water,Wetland,NULL,Wetland,Bareland
322,NULL,Water,Wetland,NULL,Wetland,Water
323,NULL,Water,Wetland,NULL,Wetland,Forest
324,NULL,Water,Wetland,Non_Water,Wetland,NULL
325,NULL,Water,Wetland,Non_Water,Wetland,Cropland
326,NULL,Water,Wetland,Non_Water,Wetland,Wetland
327,NULL,Water,Wetland,Non_Water,Wetland,Bareland
328,NULL,Water,Wetland,Non_Water,Wetland,Water
329,NULL,Water,Wetland,Non_Water,Wetland,Forest
330,NULL,Water,Wetland,Water,Wetland,NULL
331,NULL,Water,Wetland,Water,Wetland,Grassland
332,NULL,Water,Wetland,Water,Wetland,Cropland
333,NULL,Water,Wetland,Water,Wetland,Wetland
334,NULL,Water,Wetland,Water,Wetland,Bareland
335,NULL,Water,Wetland,Water,Wetland,Water
336,NULL,Water,Wetland,Water,Wetland,Forest
337,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
338,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
339,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
340,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
341,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
342,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
343,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
344,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
345,NULL,Water,Bareland,NULL,Non_Wetland,NULL
346,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
347,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
348,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
349,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
350,NULL,Water,Bareland,NULL,Non_Wetland,Water
351,NULL,Water,Bareland,NULL,Non_Wetland,Forest
352,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
353,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
354,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
355,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
356,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
357,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
358,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
359,NULL,Water,Bareland,Water,Non_Wetland,NULL
360,NULL,Water,Bareland,Water,Non_Wetland,Grassland
361,NULL,Water,Bareland,Water,Non_Wetland,Cropland
362,NULL,Water,Bareland,Water,Non_Wetland,Wetland
363,NULL,Water,Bareland,Water,Non_Wetland,Bareland
364,NULL,Water,Bareland,Water,Non_Wetland,Water
365,NULL,Water,Bareland,Water,Non_Wetland,Forest
366,NULL,Water,Built-up,NULL,Non_Wetland,NULL
367,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
368,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
369,NULL,Water,Built-up,NULL,Non_Wetland,Forest
370,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
371,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
372,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
373,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
374,NULL,Water,Built-up,Water,Non_Wetland,NULL
375,NULL,Water,Built-up,Water,Non_Wetland,Cropland
376,NULL,Water,Built-up,Water,Non_Wetland,Bareland
377,NULL,Water,Built-up,Water,Non_Wetland,Forest
378,NULL,Water,Water,NULL,Water,NULL
379,NULL,Water,Water,NULL,Water,Grassland
380,NULL,Water,Water,NULL,Water,Cropland
381,NULL,Water,Water,NULL,Water,Wetland
382,NULL,Water,Water,NULL,Water,Bareland
383,NULL,Water,Water,NULL,Water,Water
384,NULL,Water,Water,NULL,Water,Forest
385,NULL,Water,Water,Non_Water,Water,NULL
386,NULL,Water,Water,Non_Water,Water,Grassland
387,NULL,Water,Water,Non_Water,Water,Cropland
388,NULL,Water,Water,Non_Water,Water,Bareland
389,NULL,Water,Water,Non_Water,Water,Water
390,NULL,Water,Water,Non_Water,Water,Forest
391,NULL,Water,Water,Water,Water,NULL
392,NULL,Water,Water,Water,Water,Cropland
393,NULL,Water,Water,Water,Water,Wetland
394,NULL,Water,Water,Water,Water,Bareland
395,NULL,Water,Water,Water,Water,Water
396,NULL,Water,Water,Water,Water,Forest
397,NULL,Water,Forest,NULL,Non_Wetland,NULL
398,NULL,Water,Forest,NULL,Non_Wetland,Bareland
399,NULL,Water,Forest,NULL,Non_Wetland,Forest
400,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
401,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
402,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
403,NULL,Water,Forest,Water,Non_Wetland,NULL
404,NULL,Water,Forest,Water,Non_Wetland,Wetland
405,NULL,Water,Forest,Water,Non_Wetland,Bareland
406,NULL,Water,Forest,Water,Non_Wetland,Water
407,NULL,Water,Forest,Water,Non_Wetland,Forest
408,NULL,Forest,NULL,NULL,Non_Wetland,NULL
409,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
410,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
411,NULL,Forest,NULL,NULL,Non_Wetland,Forest
412,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
413,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
414,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
415,NULL,Forest,NULL,Water,Non_Wetland,NULL
416,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
417,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
418,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
419,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
420,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
421,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
422,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
423,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
424,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
425,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
426,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
427,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
428,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
429,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
430,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
431,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
432,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
433,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
434,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
435,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
