Value,AFRICA_2024_DynamicWorld_2024_37NDF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDF_M_R,AFRICA_2024_GSW_Yearly_2021_37NDF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDF_M_R,AFRICA_2024_WorldCover_2021_37NDF_M_R
121,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
123,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
127,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
128,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
130,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
133,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
134,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
138,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
139,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
141,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
142,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
143,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
145,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
146,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
147,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
148,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
149,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
150,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
157,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
164,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
165,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
167,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
169,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
170,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
171,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
172,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
175,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
181,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
182,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
187,NULL,Water,NULL,NULL,Non_Wetland,NULL
188,NULL,Water,NULL,NULL,Non_Wetland,Grassland
189,NULL,Water,NULL,NULL,Non_Wetland,Cropland
190,NULL,Water,NULL,NULL,Non_Wetland,Bareland
191,NULL,Water,NULL,NULL,Non_Wetland,Water
192,NULL,Water,NULL,NULL,Non_Wetland,Forest
193,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
194,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
195,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
196,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
197,NULL,Water,Shrubland,NULL,Non_Wetland,Water
198,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
199,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
200,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
201,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
202,NULL,Water,Grassland,NULL,Non_Wetland,NULL
203,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
204,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
205,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
206,NULL,Water,Grassland,NULL,Non_Wetland,Water
207,NULL,Water,Grassland,Water,Non_Wetland,Grassland
208,NULL,Water,Cropland,NULL,Non_Wetland,NULL
209,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
210,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
211,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
212,NULL,Water,Cropland,NULL,Non_Wetland,Forest
213,NULL,Water,Cropland,Water,Non_Wetland,Grassland
214,NULL,Water,Cropland,Water,Non_Wetland,Cropland
215,NULL,Water,Cropland,Water,Non_Wetland,Bareland
216,NULL,Water,Wetland,NULL,Wetland,NULL
217,NULL,Water,Wetland,NULL,Wetland,Grassland
218,NULL,Water,Wetland,Water,Wetland,Grassland
219,NULL,Water,Wetland,Water,Wetland,Water
220,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
221,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
222,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
223,NULL,Water,Bareland,NULL,Non_Wetland,NULL
224,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
225,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
226,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
227,NULL,Water,Bareland,NULL,Non_Wetland,Water
228,NULL,Water,Bareland,NULL,Non_Wetland,Forest
229,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
230,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
231,NULL,Water,Bareland,Water,Non_Wetland,Grassland
232,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
233,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
234,NULL,Water,Built-up,NULL,Non_Wetland,Water
235,NULL,Water,Forest,NULL,Non_Wetland,NULL
236,NULL,Water,Forest,NULL,Non_Wetland,Grassland
237,NULL,Water,Forest,NULL,Non_Wetland,Cropland
238,NULL,Water,Forest,NULL,Non_Wetland,Bareland
239,NULL,Water,Forest,NULL,Non_Wetland,Water
240,NULL,Water,Forest,NULL,Non_Wetland,Forest
241,NULL,Forest,NULL,NULL,Non_Wetland,NULL
242,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
243,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
244,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
245,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
246,NULL,Forest,NULL,NULL,Non_Wetland,Forest
247,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
248,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
249,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
250,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
251,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
252,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
253,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
254,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
255,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
256,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
257,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
258,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
259,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
260,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
261,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
262,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
263,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
264,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
265,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
266,NULL,Forest,Grassland,Water,Non_Wetland,NULL
267,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
268,NULL,Forest,Grassland,Water,Non_Wetland,Bareland
269,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
270,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
271,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
272,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
273,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
274,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
275,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
276,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
277,NULL,Forest,Cropland,Water,Non_Wetland,Forest
278,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
279,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
280,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
281,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
282,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
283,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
284,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
285,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
286,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
287,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
288,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
289,NULL,Forest,Forest,NULL,Non_Wetland,NULL
290,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
291,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
292,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
293,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
294,NULL,Forest,Forest,NULL,Non_Wetland,Forest
295,NULL,Forest,Forest,Water,Non_Wetland,NULL
296,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
297,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
298,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
299,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
300,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
305,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
306,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
307,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
308,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
309,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
310,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
311,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
312,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
313,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
314,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
315,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
316,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
317,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
318,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
319,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
320,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
321,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
322,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
323,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
324,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
325,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
326,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
327,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
328,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
329,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
330,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
331,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
332,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
333,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
334,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
335,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
336,Grassland,Water,NULL,NULL,Non_Wetland,Cropland
337,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
338,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
339,Grassland,Water,Grassland,NULL,Non_Wetland,Cropland
340,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
341,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
342,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
343,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
344,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
345,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
346,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
347,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
348,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland
349,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
350,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
351,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
352,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
353,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
354,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
355,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
356,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
357,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
358,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
359,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
360,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
361,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
362,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
363,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
364,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
365,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
366,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
367,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
368,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
369,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
370,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
371,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
372,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
373,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
374,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
375,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
376,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
377,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
378,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
379,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
380,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
381,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
382,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
383,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
384,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
385,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
386,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
387,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
388,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
389,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
390,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
391,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
392,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
393,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
394,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
395,Cropland,NULL,Grassland,Water,Non_Wetland,Water
396,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
397,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
398,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
399,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
400,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
401,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
402,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
403,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
404,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
405,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
406,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
407,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
408,Cropland,NULL,Wetland,NULL,Wetland,Cropland
409,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
410,Cropland,NULL,Wetland,Non_Water,Wetland,Water
411,Cropland,NULL,Wetland,Water,Wetland,Cropland
412,Cropland,NULL,Wetland,Water,Wetland,Water
413,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
414,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
415,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
416,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
417,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
418,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
419,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
420,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
421,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
422,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
423,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
424,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
