Value,AFRICA_2024_DynamicWorld_2024_36NWN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWN_M_R,AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,AFRICA_2024_WorldCover_2021_36NWN_M_R
121,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
122,NULL,Water,Shrubland,Water,Non_Wetland,Forest
123,NULL,Water,Bareland,NULL,Non_Wetland,Water
124,NULL,Water,Water,NULL,Water,Forest
125,NULL,Water,Forest,NULL,Non_Wetland,Forest
126,NULL,Forest,NULL,NULL,Non_Wetland,NULL
127,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
128,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
129,NULL,Forest,NULL,NULL,Non_Wetland,Forest
130,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
131,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
132,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
134,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
135,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
136,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
137,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
138,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
139,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
140,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
141,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
142,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
143,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
144,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
145,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
146,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
147,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
148,NULL,Forest,Wetland,NULL,Wetland,Wetland
149,NULL,Forest,Wetland,NULL,Wetland,Forest
150,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
151,NULL,Forest,Wetland,Water,Wetland,Wetland
152,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
153,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
154,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
155,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
156,NULL,Forest,Water,NULL,Water,Grassland
157,NULL,Forest,Forest,NULL,Non_Wetland,NULL
158,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
159,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
160,NULL,Forest,Forest,NULL,Non_Wetland,Forest
161,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
162,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
163,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
164,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
165,NULL,Forest,Forest,Water,Non_Wetland,Grassland
166,NULL,Forest,Forest,Water,Non_Wetland,Wetland
167,NULL,Forest,Forest,Water,Non_Wetland,Forest
168,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
169,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
170,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
171,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
172,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
173,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
174,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
175,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
176,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
177,Grassland,NULL,NULL,Water,Non_Wetland,Water
178,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
179,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
180,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
181,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
182,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
183,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
184,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
185,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
186,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
187,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
188,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
189,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
190,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
191,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
192,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
193,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
194,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
195,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
196,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
197,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
198,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
199,Grassland,NULL,Wetland,NULL,Wetland,Grassland
200,Grassland,NULL,Wetland,NULL,Wetland,Wetland
201,Grassland,NULL,Wetland,NULL,Wetland,Forest
202,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
203,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
204,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
205,Grassland,NULL,Wetland,Water,Wetland,Wetland
206,Grassland,NULL,Wetland,Water,Wetland,Water
207,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
208,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
209,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
210,Grassland,NULL,Bareland,NULL,Non_Wetland,Water
211,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
212,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
213,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
214,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
215,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
216,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
217,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
218,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
219,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
220,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Forest
221,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
222,Grassland,NULL,Water,NULL,Water,Grassland
223,Grassland,NULL,Water,NULL,Water,Wetland
224,Grassland,NULL,Water,NULL,Water,Water
225,Grassland,NULL,Water,NULL,Water,Forest
226,Grassland,NULL,Water,Non_Water,Water,Wetland
227,Grassland,NULL,Water,Non_Water,Water,Forest
228,Grassland,NULL,Water,Water,Water,Grassland
229,Grassland,NULL,Water,Water,Water,Wetland
230,Grassland,NULL,Water,Water,Water,Water
231,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
232,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
233,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
234,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
235,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
236,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
237,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
238,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
239,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
240,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
241,Grassland,NULL,Forest,Water,Non_Wetland,Water
242,Grassland,NULL,Forest,Water,Non_Wetland,Forest
243,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
244,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
245,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
246,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
247,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
248,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
249,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
250,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
251,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
252,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
253,Grassland,Cropland,Water,Non_Water,Water,Wetland
254,Grassland,Cropland,Water,Water,Water,Wetland
255,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
256,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
257,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
258,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
259,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
260,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
261,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
262,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
263,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
264,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
265,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
266,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
267,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
268,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
269,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
270,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
271,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
272,Grassland,Wetland,Wetland,Water,Wetland,Wetland
273,Grassland,Wetland,Wetland,Water,Wetland,Water
274,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
275,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
276,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
277,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
278,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
279,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
280,Grassland,Wetland,Water,NULL,Water,Wetland
281,Grassland,Wetland,Water,Non_Water,Water,Grassland
282,Grassland,Wetland,Water,Non_Water,Water,Wetland
283,Grassland,Wetland,Water,Water,Water,Grassland
284,Grassland,Wetland,Water,Water,Water,Wetland
285,Grassland,Wetland,Water,Water,Water,Water
286,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
287,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
288,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
289,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
290,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
291,Grassland,Wetland,Forest,Water,Non_Wetland,Water
292,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
293,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland
294,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
295,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
296,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
297,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
298,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
299,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
300,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
301,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
302,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
303,Grassland,Water,Wetland,NULL,Wetland,Grassland
304,Grassland,Water,Wetland,NULL,Wetland,Wetland
305,Grassland,Water,Wetland,NULL,Wetland,Forest
306,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
307,Grassland,Water,Wetland,Water,Wetland,Grassland
308,Grassland,Water,Wetland,Water,Wetland,Wetland
309,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
310,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
311,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
312,Grassland,Water,Bareland,Water,Non_Wetland,Grassland
313,Grassland,Water,Bareland,Water,Non_Wetland,Wetland
314,Grassland,Water,Water,NULL,Water,Wetland
315,Grassland,Water,Water,NULL,Water,Forest
316,Grassland,Water,Water,Non_Water,Water,Wetland
317,Grassland,Water,Water,Water,Water,Wetland
318,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
319,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
320,Grassland,Water,Forest,NULL,Non_Wetland,Forest
321,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
322,Grassland,Water,Forest,Water,Non_Wetland,Grassland
323,Grassland,Water,Forest,Water,Non_Wetland,Wetland
324,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
325,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
326,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
327,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
328,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
329,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
330,Grassland,Forest,NULL,Water,Non_Wetland,Wetland
331,Grassland,Forest,NULL,Water,Non_Wetland,Forest
332,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
333,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
334,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
335,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
336,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
337,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
338,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
339,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Water
340,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
341,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
342,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
343,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
344,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
345,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
346,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
347,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
348,Grassland,Forest,Wetland,NULL,Wetland,Grassland
349,Grassland,Forest,Wetland,NULL,Wetland,Wetland
350,Grassland,Forest,Wetland,NULL,Wetland,Forest
351,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
352,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
353,Grassland,Forest,Wetland,Water,Wetland,Wetland
354,Grassland,Forest,Wetland,Water,Wetland,Forest
355,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
356,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
357,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
358,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
359,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
360,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Forest
361,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
362,Grassland,Forest,Bareland,Water,Non_Wetland,Forest
363,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
364,Grassland,Forest,Built-up,NULL,Non_Wetland,Wetland
365,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
366,Grassland,Forest,Water,NULL,Water,Wetland
367,Grassland,Forest,Water,Non_Water,Water,Wetland
368,Grassland,Forest,Water,Water,Water,Wetland
369,Grassland,Forest,Water,Water,Water,Forest
370,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
371,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
372,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
373,Grassland,Forest,Forest,NULL,Non_Wetland,Water
374,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
375,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
376,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
377,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
378,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
379,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
380,Grassland,Forest,Forest,Water,Non_Wetland,Forest
381,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
382,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
383,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
384,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
385,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
386,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
387,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
388,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
389,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
390,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
391,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
392,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
393,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
394,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
395,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
396,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
397,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
398,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
399,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
400,Cropland,NULL,Wetland,NULL,Wetland,Grassland
401,Cropland,NULL,Wetland,NULL,Wetland,Wetland
402,Cropland,NULL,Wetland,NULL,Wetland,Forest
403,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
404,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
405,Cropland,NULL,Wetland,Water,Wetland,Wetland
406,Cropland,NULL,Wetland,Water,Wetland,Forest
407,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
408,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
409,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
410,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
411,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
412,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
413,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
414,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
415,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
416,Cropland,NULL,Water,Non_Water,Water,Wetland
417,Cropland,NULL,Water,Water,Water,Grassland
418,Cropland,NULL,Water,Water,Water,Wetland
419,Cropland,NULL,Water,Water,Water,Water
420,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
421,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
422,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
423,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
424,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
425,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
426,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
427,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
428,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
429,Cropland,NULL,Forest,Water,Non_Wetland,Water
430,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
