Value,AFRICA_2024_DynamicWorld_2024_35NQH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQH_M_R,AFRICA_2024_GSW_Yearly_2021_35NQH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQH_M_R,AFRICA_2024_WorldCover_2021_35NQH_M_R
121,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
122,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
123,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
124,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
125,NULL,Wetland,Wetland,NULL,Wetland,NULL
126,NULL,Wetland,Wetland,NULL,Wetland,Grassland
127,NULL,Wetland,Wetland,NULL,Wetland,Cropland
128,NULL,Wetland,Wetland,NULL,Wetland,Wetland
129,NULL,Wetland,Wetland,NULL,Wetland,Forest
130,NULL,Wetland,Wetland,Water,Wetland,Grassland
131,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
132,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
133,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
134,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
135,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
136,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
137,NULL,Wetland,Forest,Water,Non_Wetland,NULL
138,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
139,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
140,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
141,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
142,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
143,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
144,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
152,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
158,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
163,NULL,Built-up,Wetland,NULL,Wetland,Grassland
164,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
165,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
166,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
172,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
173,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
174,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
175,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
176,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
177,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
178,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
179,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
180,NULL,Forest,NULL,NULL,Non_Wetland,NULL
181,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
182,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
183,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
184,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
185,NULL,Forest,NULL,NULL,Non_Wetland,Forest
186,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
187,NULL,Forest,NULL,Water,Non_Wetland,Grassland
188,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
189,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
190,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
191,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
192,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
193,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
194,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
195,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
196,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
197,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
198,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
199,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
200,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
201,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
202,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
203,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
204,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
205,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
206,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
207,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
208,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
209,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
210,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
211,NULL,Forest,Wetland,NULL,Wetland,NULL
212,NULL,Forest,Wetland,NULL,Wetland,Grassland
213,NULL,Forest,Wetland,NULL,Wetland,Wetland
214,NULL,Forest,Wetland,NULL,Wetland,Forest
215,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
216,NULL,Forest,Wetland,Water,Wetland,NULL
217,NULL,Forest,Wetland,Water,Wetland,Grassland
218,NULL,Forest,Wetland,Water,Wetland,Wetland
219,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
220,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
221,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
222,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
223,NULL,Forest,Forest,NULL,Non_Wetland,NULL
224,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
225,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
226,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
227,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
228,NULL,Forest,Forest,NULL,Non_Wetland,Forest
229,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
230,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
231,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
232,NULL,Forest,Forest,Water,Non_Wetland,NULL
233,NULL,Forest,Forest,Water,Non_Wetland,Grassland
234,NULL,Forest,Forest,Water,Non_Wetland,Forest
235,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
236,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
237,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
239,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
240,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
245,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
246,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
247,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
248,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
250,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
251,Grassland,NULL,Wetland,NULL,Wetland,NULL
252,Grassland,NULL,Wetland,NULL,Wetland,Grassland
253,Grassland,NULL,Wetland,NULL,Wetland,Cropland
254,Grassland,NULL,Wetland,NULL,Wetland,Wetland
255,Grassland,NULL,Wetland,NULL,Wetland,Forest
256,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
257,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
258,Grassland,NULL,Wetland,Water,Wetland,Grassland
259,Grassland,NULL,Wetland,Water,Wetland,Wetland
260,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
261,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
262,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
263,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
264,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
265,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
266,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
267,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
268,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
269,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
270,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
271,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
272,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
273,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
274,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
275,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
276,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
277,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
278,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
279,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
280,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
281,Grassland,Cropland,Wetland,NULL,Wetland,NULL
282,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
283,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
284,Grassland,Cropland,Wetland,NULL,Wetland,Forest
285,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
286,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
287,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
288,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
289,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
290,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
291,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
292,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
293,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
294,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
295,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
296,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
297,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
298,Grassland,Wetland,Wetland,NULL,Wetland,NULL
299,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
300,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
301,Grassland,Wetland,Wetland,NULL,Wetland,Forest
302,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
303,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
304,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
305,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
306,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
307,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
308,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
309,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
310,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
311,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
312,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
313,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
314,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
315,Grassland,Forest,Wetland,NULL,Wetland,NULL
316,Grassland,Forest,Wetland,NULL,Wetland,Grassland
317,Grassland,Forest,Wetland,NULL,Wetland,Wetland
318,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
319,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
320,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
321,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
322,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
323,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
324,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
325,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
326,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
327,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
328,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
329,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
330,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
331,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
332,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
333,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
334,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
335,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
336,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
337,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
338,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
339,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
340,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
341,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
342,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
343,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
344,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
345,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
346,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
347,Cropland,NULL,Cropland,Water,Non_Wetland,Water
348,Cropland,NULL,Wetland,NULL,Wetland,NULL
349,Cropland,NULL,Wetland,NULL,Wetland,Grassland
350,Cropland,NULL,Wetland,NULL,Wetland,Cropland
351,Cropland,NULL,Wetland,NULL,Wetland,Wetland
352,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
353,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
354,Cropland,NULL,Wetland,Water,Wetland,Grassland
355,Cropland,NULL,Wetland,Water,Wetland,Wetland
356,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
357,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
358,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
359,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
360,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
361,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
362,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
363,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
364,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
365,Cropland,NULL,Forest,Water,Non_Wetland,NULL
366,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
367,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
368,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
369,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
370,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
371,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
372,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
373,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
374,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
375,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
376,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
377,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
378,Cropland,Cropland,Wetland,NULL,Wetland,NULL
379,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
380,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
381,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
382,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
383,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
384,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
385,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
386,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
387,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
388,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
389,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
390,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
391,Cropland,Wetland,Shrubland,Water,Non_Wetland,Forest
392,Cropland,Wetland,Wetland,NULL,Wetland,NULL
393,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
394,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
395,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL
396,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
397,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
398,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
399,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
400,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
401,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
402,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
403,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
404,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
405,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
406,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
407,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
408,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
409,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
410,Cropland,Forest,Wetland,NULL,Wetland,Grassland
411,Cropland,Forest,Wetland,NULL,Wetland,Wetland
412,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
413,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
414,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
415,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
416,Cropland,Forest,Forest,Water,Non_Wetland,Forest
417,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
418,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
419,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
420,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
421,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
422,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
423,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
424,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
