Value,AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,AFRICA_2024_WorldCover_2021_36PUQ_M_R
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
129,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
133,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
141,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
143,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
144,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
145,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
146,NULL,Water,Shrubland,NULL,Non_Wetland,Water
147,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
148,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
149,NULL,Water,Shrubland,Water,Non_Wetland,Water
150,NULL,Water,Shrubland,Water,Non_Wetland,Forest
151,NULL,Water,Wetland,NULL,Wetland,Water
152,NULL,Water,Wetland,Water,Wetland,Water
153,NULL,Water,Wetland,Water,Wetland,Forest
154,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
155,NULL,Water,Bareland,Water,Non_Wetland,Grassland
156,NULL,Water,Forest,NULL,Non_Wetland,Grassland
157,NULL,Forest,NULL,NULL,Non_Wetland,NULL
158,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
159,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
160,NULL,Forest,NULL,NULL,Non_Wetland,Forest
161,NULL,Forest,NULL,Water,Non_Wetland,Grassland
162,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
163,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
164,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
165,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
166,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
167,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
168,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
169,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
170,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
171,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
172,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
173,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
174,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
175,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
176,NULL,Forest,Wetland,NULL,Wetland,Grassland
177,NULL,Forest,Wetland,NULL,Wetland,Wetland
178,NULL,Forest,Wetland,NULL,Wetland,Water
179,NULL,Forest,Wetland,NULL,Wetland,Forest
180,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
181,NULL,Forest,Wetland,Water,Wetland,Water
182,NULL,Forest,Wetland,Water,Wetland,Forest
183,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
184,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
185,NULL,Forest,Water,NULL,Water,Grassland
186,NULL,Forest,Water,NULL,Water,Wetland
187,NULL,Forest,Water,NULL,Water,Forest
188,NULL,Forest,Water,Water,Water,Grassland
189,NULL,Forest,Water,Water,Water,Wetland
190,NULL,Forest,Water,Water,Water,Forest
191,NULL,Forest,Forest,NULL,Non_Wetland,NULL
192,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
193,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
194,NULL,Forest,Forest,NULL,Non_Wetland,Forest
195,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
196,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
197,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
198,NULL,Forest,Forest,Water,Non_Wetland,Grassland
199,NULL,Forest,Forest,Water,Non_Wetland,Wetland
200,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
201,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
202,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
203,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
204,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
206,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
209,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
210,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
211,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
212,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
213,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
214,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
215,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
216,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
217,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
218,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
219,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
220,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
221,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
222,Grassland,NULL,Wetland,NULL,Wetland,NULL
223,Grassland,NULL,Wetland,NULL,Wetland,Grassland
224,Grassland,NULL,Wetland,NULL,Wetland,Wetland
225,Grassland,NULL,Wetland,NULL,Wetland,Forest
226,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
227,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
228,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
229,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
230,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
231,Grassland,NULL,Water,Non_Water,Water,Grassland
232,Grassland,NULL,Water,Water,Water,Grassland
233,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
234,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
235,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
236,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
237,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
238,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
239,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
240,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
241,Grassland,NULL,Forest,Water,Non_Wetland,Forest
242,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
243,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
244,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
245,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
246,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
247,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
248,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
249,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
250,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
251,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
252,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
253,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
254,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
255,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
256,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
257,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
258,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
259,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
260,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
261,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
262,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
263,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
264,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
265,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
266,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
267,Grassland,Wetland,Water,Water,Water,Grassland
268,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
269,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
270,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
271,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
272,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
273,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
274,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
275,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
276,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
277,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
278,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
279,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
280,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
281,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
282,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
283,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
284,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
285,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
286,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
287,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
288,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
289,Grassland,Forest,Wetland,NULL,Wetland,Grassland
290,Grassland,Forest,Wetland,NULL,Wetland,Wetland
291,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
292,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
293,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
294,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
295,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
296,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
297,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
298,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
299,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
300,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
301,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
302,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
303,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
304,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
305,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
306,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
307,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
308,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
309,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
310,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
311,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
312,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
313,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
314,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
315,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
316,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
317,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
318,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
319,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
320,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
321,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
322,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
323,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
324,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
325,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
326,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
327,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
328,Cropland,NULL,Wetland,NULL,Wetland,Grassland
329,Cropland,NULL,Wetland,NULL,Wetland,Wetland
330,Cropland,NULL,Wetland,NULL,Wetland,Forest
331,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
332,Cropland,NULL,Wetland,Water,Wetland,Wetland
333,Cropland,NULL,Wetland,Water,Wetland,Forest
334,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
335,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
336,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
337,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
338,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
339,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
340,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
341,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
342,Cropland,NULL,Water,NULL,Water,Grassland
343,Cropland,NULL,Water,NULL,Water,Wetland
344,Cropland,NULL,Water,Non_Water,Water,Grassland
345,Cropland,NULL,Water,Non_Water,Water,Wetland
346,Cropland,NULL,Water,Water,Water,Wetland
347,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
348,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
349,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
350,Cropland,NULL,Forest,NULL,Non_Wetland,Water
351,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
352,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
353,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
354,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
355,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
356,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
357,Cropland,NULL,Forest,Water,Non_Wetland,Forest
358,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
359,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
360,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
361,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
362,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
363,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
364,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
365,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
366,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
367,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
368,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
369,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
370,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
371,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
372,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
373,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
374,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
375,Cropland,Cropland,Built-up,Water,Non_Wetland,Grassland
376,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
377,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
378,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
379,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
380,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
381,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
382,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
383,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
384,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
385,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
386,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
387,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
388,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
389,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
390,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
391,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
392,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
393,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
394,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
395,Cropland,Forest,Shrubland,Water,Non_Wetland,Wetland
396,Cropland,Forest,Wetland,NULL,Wetland,Grassland
397,Cropland,Forest,Wetland,NULL,Wetland,Wetland
398,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland
399,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
400,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
401,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
402,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
403,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
404,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
405,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
406,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
407,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
408,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
409,Wetland,NULL,NULL,Water,Non_Wetland,Forest
410,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
411,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
412,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
413,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
414,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
415,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
416,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
417,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
418,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
419,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
420,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
421,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
422,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
423,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
424,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
425,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
426,Wetland,NULL,Cropland,NULL,Non_Wetland,Water
427,Wetland,NULL,Wetland,NULL,Wetland,NULL
