Value,AFRICA_2024_DynamicWorld_2024_36NZL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NZL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NZL_M_R,AFRICA_2024_GSW_Yearly_2021_36NZL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NZL_M_R,AFRICA_2024_WorldCover_2021_36NZL_M_R
121,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
123,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
124,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
132,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
135,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
136,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
144,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
145,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
146,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
147,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
148,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
151,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
154,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
155,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
156,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
157,NULL,Cropland,Wetland,NULL,Wetland,Grassland
158,NULL,Cropland,Wetland,NULL,Wetland,Forest
159,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
160,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
161,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
162,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
163,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
164,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
165,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
166,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
167,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
168,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
169,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
170,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
171,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
172,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
173,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
174,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
175,NULL,Cropland,Water,Non_Water,Water,Wetland
176,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
177,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
178,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
179,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
180,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
181,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
182,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
183,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
184,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
185,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
186,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
187,NULL,Cropland,Forest,Water,Non_Wetland,Forest
188,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
189,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
190,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
191,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
192,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
193,NULL,Wetland,NULL,Water,Non_Wetland,Forest
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
196,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
197,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
198,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
199,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
200,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
201,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
202,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
203,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
204,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
205,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
206,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
207,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
208,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
209,NULL,Wetland,Grassland,Water,Non_Wetland,NULL
210,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
211,NULL,Wetland,Grassland,Water,Non_Wetland,Cropland
212,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
213,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
214,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
215,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
216,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
217,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
218,NULL,Wetland,Wetland,NULL,Wetland,Wetland
219,NULL,Wetland,Wetland,NULL,Wetland,Forest
220,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
221,NULL,Wetland,Wetland,Water,Wetland,Wetland
222,NULL,Wetland,Wetland,Water,Wetland,Forest
223,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
224,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
225,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
226,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
227,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
228,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
229,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
230,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
231,NULL,Wetland,Bareland,Water,Non_Wetland,Cropland
232,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
233,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
234,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
235,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
236,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
237,NULL,Wetland,Built-up,Water,Non_Wetland,Forest
238,NULL,Wetland,Water,NULL,Water,Wetland
239,NULL,Wetland,Water,NULL,Water,Bareland
240,NULL,Wetland,Water,NULL,Water,Forest
241,NULL,Wetland,Water,Water,Water,Wetland
242,NULL,Wetland,Water,Water,Water,Water
243,NULL,Wetland,Water,Water,Water,Forest
244,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
245,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
246,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
247,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
248,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
249,NULL,Wetland,Forest,Water,Non_Wetland,Forest
250,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
251,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
252,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
253,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
254,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
255,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
256,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
257,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
258,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
259,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
260,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
261,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
262,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
263,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
264,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
265,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
266,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
267,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
274,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
275,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
276,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
278,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
280,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
281,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
282,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
283,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
284,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
285,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
286,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
287,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
288,NULL,Built-up,Wetland,NULL,Wetland,Forest
289,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
290,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
291,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
292,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
293,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
294,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
295,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
296,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
297,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
298,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
299,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
300,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
301,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
302,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
303,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
304,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
305,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
306,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
307,NULL,Built-up,Forest,Water,Non_Wetland,Forest
308,NULL,Water,NULL,NULL,Non_Wetland,Forest
309,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
310,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
311,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
312,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
313,NULL,Water,Grassland,NULL,Non_Wetland,NULL
314,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
315,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
316,NULL,Water,Grassland,NULL,Non_Wetland,Forest
317,NULL,Water,Grassland,Water,Non_Wetland,Grassland
318,NULL,Water,Cropland,NULL,Non_Wetland,NULL
319,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
320,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
321,NULL,Water,Cropland,NULL,Non_Wetland,Forest
322,NULL,Water,Cropland,Water,Non_Wetland,Grassland
323,NULL,Water,Wetland,Water,Wetland,Forest
324,NULL,Water,Bareland,NULL,Non_Wetland,NULL
325,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
326,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
327,NULL,Water,Bareland,NULL,Non_Wetland,Forest
328,NULL,Water,Bareland,Water,Non_Wetland,Grassland
329,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
330,NULL,Water,Water,Water,Water,Forest
331,NULL,Water,Forest,NULL,Non_Wetland,Grassland
332,NULL,Water,Forest,NULL,Non_Wetland,Forest
333,NULL,Forest,NULL,NULL,Non_Wetland,NULL
334,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
335,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
336,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
337,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
338,NULL,Forest,NULL,NULL,Non_Wetland,Forest
339,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
340,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
341,NULL,Forest,NULL,Water,Non_Wetland,Wetland
342,NULL,Forest,NULL,Water,Non_Wetland,Forest
343,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
344,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
345,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
346,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
347,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
348,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
349,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
350,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
351,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
352,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
353,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
354,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
355,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
356,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
357,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
358,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
359,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
360,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
361,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
362,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
363,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
364,NULL,Forest,Grassland,Water,Non_Wetland,Wetland
365,NULL,Forest,Grassland,Water,Non_Wetland,Forest
366,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
367,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
368,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
369,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
370,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
371,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
372,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
373,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
374,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
375,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
376,NULL,Forest,Wetland,NULL,Wetland,NULL
377,NULL,Forest,Wetland,NULL,Wetland,Wetland
378,NULL,Forest,Wetland,NULL,Wetland,Forest
379,NULL,Forest,Wetland,Non_Water,Wetland,Forest
380,NULL,Forest,Wetland,Water,Wetland,Wetland
381,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
382,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
383,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
384,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
385,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
386,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
387,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
388,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
389,NULL,Forest,Bareland,Water,Non_Wetland,NULL
390,NULL,Forest,Bareland,Water,Non_Wetland,Wetland
391,NULL,Forest,Bareland,Water,Non_Wetland,Forest
392,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
393,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
394,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
395,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
396,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
397,NULL,Forest,Water,NULL,Water,Wetland
398,NULL,Forest,Water,Water,Water,NULL
399,NULL,Forest,Water,Water,Water,Wetland
400,NULL,Forest,Water,Water,Water,Forest
401,NULL,Forest,Forest,NULL,Non_Wetland,NULL
402,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
403,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
404,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
405,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
406,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
407,NULL,Forest,Forest,NULL,Non_Wetland,Forest
408,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
409,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
410,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
411,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
412,NULL,Forest,Forest,Water,Non_Wetland,Grassland
413,NULL,Forest,Forest,Water,Non_Wetland,Wetland
414,NULL,Forest,Forest,Water,Non_Wetland,Forest
415,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
416,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
417,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
418,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
419,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
420,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
421,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
422,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
423,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
424,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
425,Grassland,NULL,NULL,Water,Non_Wetland,NULL
426,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
