Value,AFRICA_2024_DynamicWorld_2024_38PLT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLT_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLT_M_R,AFRICA_2024_GSW_Yearly_2021_38PLT_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLT_M_R,AFRICA_2024_WorldCover_2021_38PLT_M_R
120,NULL,NULL,Built-up,Water,Non_Wetland,NULL
121,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
122,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
123,NULL,NULL,Built-up,Water,Non_Wetland,Water
124,NULL,NULL,Water,NULL,NULL,NULL
125,NULL,NULL,Water,NULL,NULL,Bareland
126,NULL,NULL,Water,NULL,NULL,Water
127,NULL,NULL,Water,NULL,Water,NULL
128,NULL,NULL,Water,NULL,Water,Bareland
129,NULL,NULL,Water,Non_Water,NULL,Bareland
130,NULL,NULL,Water,Water,NULL,NULL
131,NULL,NULL,Water,Water,NULL,Water
132,NULL,NULL,Water,Water,Water,Bareland
133,NULL,NULL,Water,Water,Water,Water
134,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
135,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
141,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
142,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
145,NULL,Cropland,Wetland,NULL,Wetland,NULL
146,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
148,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
150,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
151,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
152,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
153,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
154,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
155,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
156,NULL,Wetland,Wetland,NULL,Wetland,NULL
157,NULL,Wetland,Wetland,NULL,Wetland,Cropland
158,NULL,Wetland,Wetland,NULL,Wetland,Wetland
159,NULL,Wetland,Wetland,NULL,Wetland,Bareland
160,NULL,Wetland,Wetland,NULL,Wetland,Water
161,NULL,Wetland,Wetland,Water,Wetland,Wetland
162,NULL,Wetland,Wetland,Water,Wetland,Bareland
163,NULL,Wetland,Wetland,Water,Wetland,Water
164,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
165,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
166,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
167,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
168,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
169,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
170,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
171,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
172,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
173,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
174,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
175,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
176,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
177,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
178,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
179,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
180,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Cropland
181,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
182,NULL,Bareland,Shrubland,Water,Non_Wetland,Cropland
183,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
184,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
185,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
186,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
187,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
188,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
189,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
190,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
191,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
192,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
193,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
194,NULL,Bareland,Grassland,Water,Non_Wetland,Cropland
195,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland
196,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
197,NULL,Bareland,Grassland,Water,Non_Wetland,Water
198,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
199,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
200,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
201,NULL,Bareland,Cropland,NULL,Non_Wetland,Wetland
202,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
203,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
204,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
205,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
206,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
207,NULL,Bareland,Cropland,Water,Non_Wetland,Cropland
208,NULL,Bareland,Cropland,Water,Non_Wetland,Wetland
209,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
210,NULL,Bareland,Cropland,Water,Non_Wetland,Water
211,NULL,Bareland,Wetland,NULL,NULL,Wetland
212,NULL,Bareland,Wetland,NULL,NULL,Bareland
213,NULL,Bareland,Wetland,NULL,NULL,Water
214,NULL,Bareland,Wetland,NULL,Wetland,NULL
215,NULL,Bareland,Wetland,NULL,Wetland,Cropland
216,NULL,Bareland,Wetland,NULL,Wetland,Wetland
217,NULL,Bareland,Wetland,NULL,Wetland,Bareland
218,NULL,Bareland,Wetland,NULL,Wetland,Water
219,NULL,Bareland,Wetland,Non_Water,Wetland,NULL
220,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
221,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
222,NULL,Bareland,Wetland,Water,NULL,Wetland
223,NULL,Bareland,Wetland,Water,NULL,Bareland
224,NULL,Bareland,Wetland,Water,NULL,Water
225,NULL,Bareland,Wetland,Water,Wetland,NULL
226,NULL,Bareland,Wetland,Water,Wetland,Cropland
227,NULL,Bareland,Wetland,Water,Wetland,Wetland
228,NULL,Bareland,Wetland,Water,Wetland,Bareland
229,NULL,Bareland,Wetland,Water,Wetland,Water
230,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
231,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
232,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
233,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
234,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
235,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
236,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
237,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
238,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
239,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
240,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
241,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
242,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
243,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
244,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
245,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
246,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
247,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
248,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland
249,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
250,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
251,NULL,Bareland,Bareland,Water,Non_Wetland,Water
252,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
253,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
254,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
255,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
256,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
257,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
258,NULL,Bareland,Built-up,Water,Non_Wetland,NULL
259,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
260,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
261,NULL,Bareland,Built-up,Water,Non_Wetland,Water
262,NULL,Bareland,Water,NULL,NULL,Grassland
263,NULL,Bareland,Water,NULL,NULL,Bareland
264,NULL,Bareland,Water,NULL,Water,Bareland
265,NULL,Bareland,Water,Non_Water,NULL,Bareland
266,NULL,Bareland,Water,Non_Water,Water,Bareland
267,NULL,Bareland,Water,Water,NULL,NULL
268,NULL,Bareland,Water,Water,NULL,Bareland
269,NULL,Bareland,Water,Water,NULL,Water
270,NULL,Bareland,Water,Water,Water,Cropland
271,NULL,Bareland,Water,Water,Water,Bareland
272,NULL,Bareland,Water,Water,Water,Water
273,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
274,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
275,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
276,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
279,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
281,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
282,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
283,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
284,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
285,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
286,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
287,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
288,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
289,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
290,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
291,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
292,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
293,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
294,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
295,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
296,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
297,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
298,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
299,NULL,Built-up,Wetland,Water,Wetland,NULL
300,NULL,Built-up,Wetland,Water,Wetland,Bareland
301,NULL,Built-up,Wetland,Water,Wetland,Water
302,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
303,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
304,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
305,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
306,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
307,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
308,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
309,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
310,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
311,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
312,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
313,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
314,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
315,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
316,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
317,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
318,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
319,NULL,Built-up,Bareland,Water,Non_Wetland,Water
320,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
321,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
322,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
327,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
328,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
329,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
330,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
331,NULL,Built-up,Water,Water,NULL,NULL
332,NULL,Built-up,Water,Water,NULL,Bareland
333,NULL,Built-up,Water,Water,Water,Bareland
334,NULL,Built-up,Water,Water,Water,Built-up
335,NULL,Water,NULL,NULL,Non_Wetland,NULL
336,NULL,Water,NULL,NULL,Non_Wetland,Wetland
337,NULL,Water,NULL,NULL,Non_Wetland,Bareland
338,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
339,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
340,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
341,NULL,Water,Shrubland,NULL,Non_Wetland,Water
342,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
343,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
344,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
345,NULL,Water,Shrubland,Water,Non_Wetland,Water
346,NULL,Water,Grassland,NULL,Non_Wetland,NULL
347,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
348,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
349,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
350,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
351,NULL,Water,Grassland,NULL,Non_Wetland,Water
352,NULL,Water,Grassland,NULL,Non_Wetland,Forest
353,NULL,Water,Grassland,Water,Non_Wetland,NULL
354,NULL,Water,Grassland,Water,Non_Wetland,Wetland
355,NULL,Water,Grassland,Water,Non_Wetland,Bareland
356,NULL,Water,Grassland,Water,Non_Wetland,Water
357,NULL,Water,Cropland,NULL,Non_Wetland,NULL
358,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
359,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
360,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
361,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
362,NULL,Water,Cropland,NULL,Non_Wetland,Water
363,NULL,Water,Cropland,NULL,Non_Wetland,Forest
364,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
365,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
366,NULL,Water,Cropland,Water,Non_Wetland,Bareland
367,NULL,Water,Cropland,Water,Non_Wetland,Water
368,NULL,Water,Wetland,NULL,NULL,NULL
369,NULL,Water,Wetland,NULL,NULL,Cropland
370,NULL,Water,Wetland,NULL,NULL,Wetland
371,NULL,Water,Wetland,NULL,NULL,Bareland
372,NULL,Water,Wetland,NULL,NULL,Water
373,NULL,Water,Wetland,NULL,Wetland,NULL
374,NULL,Water,Wetland,NULL,Wetland,Grassland
375,NULL,Water,Wetland,NULL,Wetland,Wetland
376,NULL,Water,Wetland,NULL,Wetland,Bareland
377,NULL,Water,Wetland,NULL,Wetland,Water
378,NULL,Water,Wetland,NULL,Wetland,Forest
379,NULL,Water,Wetland,Non_Water,NULL,Wetland
380,NULL,Water,Wetland,Non_Water,NULL,Bareland
381,NULL,Water,Wetland,Non_Water,NULL,Water
382,NULL,Water,Wetland,Non_Water,Wetland,NULL
383,NULL,Water,Wetland,Non_Water,Wetland,Cropland
384,NULL,Water,Wetland,Non_Water,Wetland,Wetland
385,NULL,Water,Wetland,Non_Water,Wetland,Bareland
386,NULL,Water,Wetland,Non_Water,Wetland,Water
387,NULL,Water,Wetland,Water,NULL,Wetland
388,NULL,Water,Wetland,Water,NULL,Bareland
389,NULL,Water,Wetland,Water,NULL,Water
390,NULL,Water,Wetland,Water,Wetland,NULL
391,NULL,Water,Wetland,Water,Wetland,Grassland
392,NULL,Water,Wetland,Water,Wetland,Cropland
393,NULL,Water,Wetland,Water,Wetland,Wetland
394,NULL,Water,Wetland,Water,Wetland,Bareland
395,NULL,Water,Wetland,Water,Wetland,Water
396,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
397,NULL,Water,Bareland,NULL,Non_Wetland,NULL
398,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
399,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
400,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
401,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
402,NULL,Water,Bareland,NULL,Non_Wetland,Water
403,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
404,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
405,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
406,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
407,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
408,NULL,Water,Bareland,Water,Non_Wetland,NULL
409,NULL,Water,Bareland,Water,Non_Wetland,Grassland
410,NULL,Water,Bareland,Water,Non_Wetland,Cropland
411,NULL,Water,Bareland,Water,Non_Wetland,Wetland
412,NULL,Water,Bareland,Water,Non_Wetland,Bareland
413,NULL,Water,Bareland,Water,Non_Wetland,Water
414,NULL,Water,Built-up,NULL,Non_Wetland,NULL
415,NULL,Water,Built-up,NULL,Non_Wetland,Cropland
416,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
417,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
418,NULL,Water,Built-up,NULL,Non_Wetland,Water
419,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
420,NULL,Water,Built-up,Water,Non_Wetland,NULL
421,NULL,Water,Built-up,Water,Non_Wetland,Bareland
422,NULL,Water,Built-up,Water,Non_Wetland,Water
423,NULL,Water,Water,NULL,NULL,Bareland
424,NULL,Water,Water,NULL,NULL,Water
425,NULL,Water,Water,NULL,Water,NULL
426,NULL,Water,Water,NULL,Water,Bareland
427,NULL,Water,Water,NULL,Water,Water
428,NULL,Water,Water,Non_Water,NULL,Grassland
429,NULL,Water,Water,Non_Water,NULL,Cropland
430,NULL,Water,Water,Non_Water,NULL,Wetland
431,NULL,Water,Water,Non_Water,NULL,Bareland
432,NULL,Water,Water,Non_Water,NULL,Water
433,NULL,Water,Water,Non_Water,Water,Bareland
434,NULL,Water,Water,Water,NULL,Bareland
435,NULL,Water,Water,Water,NULL,Water
436,NULL,Water,Water,Water,Water,NULL
437,NULL,Water,Water,Water,Water,Bareland
438,NULL,Water,Water,Water,Water,Water
439,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
