Value,AFRICA_2024_DynamicWorld_2024_37PGM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGM_M_R,AFRICA_2024_GSW_Yearly_2021_37PGM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGM_M_R,AFRICA_2024_WorldCover_2021_37PGM_M_R
119,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
128,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
129,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
132,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
133,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
134,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
135,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
136,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
137,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
138,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
139,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
140,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
141,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
142,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
143,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
144,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
145,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
146,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
147,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
148,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
149,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
150,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
151,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
152,NULL,Wetland,Wetland,NULL,Wetland,Wetland
153,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
154,NULL,Wetland,Wetland,Water,Wetland,Wetland
155,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
156,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
157,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
158,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
159,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
160,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
161,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
162,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
163,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
164,NULL,Wetland,Water,Water,Water,Wetland
165,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
166,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
167,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
168,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
169,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
170,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
171,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
172,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
173,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
174,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
175,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
176,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
177,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
178,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
179,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
180,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
181,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
182,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
183,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
184,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
185,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
186,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
187,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
188,NULL,Water,Grassland,NULL,Non_Wetland,NULL
189,NULL,Forest,NULL,NULL,Non_Wetland,NULL
190,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
191,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
192,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
193,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
194,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
195,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
196,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
197,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
198,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland
199,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
200,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
201,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
202,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
203,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland
204,NULL,Forest,Wetland,NULL,Wetland,NULL
205,NULL,Forest,Wetland,NULL,Wetland,Wetland
206,NULL,Forest,Wetland,Water,Wetland,Wetland
207,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
208,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
209,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
210,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
211,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
212,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
213,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
214,NULL,Forest,Forest,NULL,Non_Wetland,NULL
215,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
216,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
217,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
218,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
219,NULL,Forest,Forest,Water,Non_Wetland,Wetland
220,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
221,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
222,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
223,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
224,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
225,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
226,Grassland,NULL,NULL,Water,Non_Wetland,NULL
227,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
228,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
229,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
230,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
231,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
232,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
233,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
234,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
235,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
236,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
237,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
238,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
239,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
240,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
241,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
242,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
243,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
244,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
245,Grassland,NULL,Grassland,Water,Non_Wetland,NULL
246,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
247,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
248,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
250,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
251,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
252,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
253,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
254,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
255,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
256,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
257,Grassland,NULL,Cropland,Water,Non_Wetland,NULL
258,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
259,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
260,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
261,Grassland,NULL,Wetland,NULL,Wetland,Wetland
262,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
263,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
264,Grassland,NULL,Wetland,Water,Wetland,Cropland
265,Grassland,NULL,Wetland,Water,Wetland,Wetland
266,Grassland,NULL,Wetland,Water,Wetland,Water
267,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
268,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
269,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
270,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
271,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
272,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
273,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
274,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
275,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
276,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
277,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
278,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
279,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
280,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
281,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
282,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
283,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
284,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
285,Grassland,NULL,Forest,Water,Non_Wetland,NULL
286,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
287,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
288,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
289,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
290,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
291,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
292,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
293,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
294,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
295,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
296,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
297,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
298,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
299,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
300,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
301,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
302,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
303,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
304,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
305,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
306,Grassland,Wetland,Wetland,Water,Wetland,Wetland
307,Grassland,Bareland,Grassland,NULL,Non_Wetland,Grassland
308,Grassland,Bareland,Cropland,NULL,Non_Wetland,Grassland
309,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
310,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
311,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
312,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
313,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
314,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
315,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
316,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
317,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
318,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
319,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL
320,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
321,Grassland,Forest,Cropland,Water,Non_Wetland,Wetland
322,Grassland,Forest,Wetland,NULL,Wetland,Wetland
323,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
324,Grassland,Forest,Wetland,Water,Wetland,Wetland
325,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
326,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
327,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
328,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
329,Grassland,Forest,Forest,Water,Non_Wetland,Cropland
330,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
331,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
332,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
333,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
334,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
335,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
336,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
337,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
338,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
339,Cropland,NULL,NULL,Water,Non_Wetland,NULL
340,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
341,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
342,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
343,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
344,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
345,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
346,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
347,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
348,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
349,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
350,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
351,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
352,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
353,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
354,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
355,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
356,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
357,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
358,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
359,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
360,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
361,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
362,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
363,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
364,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
365,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
366,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
367,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
368,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
369,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
370,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
371,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
372,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
373,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
374,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
375,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
376,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
377,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
378,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
379,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
380,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
381,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
382,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
383,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
384,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
385,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
386,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
387,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
388,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
389,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
390,Cropland,NULL,Wetland,NULL,Wetland,NULL
391,Cropland,NULL,Wetland,NULL,Wetland,Grassland
392,Cropland,NULL,Wetland,NULL,Wetland,Cropland
393,Cropland,NULL,Wetland,NULL,Wetland,Wetland
394,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
395,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
396,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
397,Cropland,NULL,Wetland,Water,Wetland,Cropland
398,Cropland,NULL,Wetland,Water,Wetland,Wetland
399,Cropland,NULL,Wetland,Water,Wetland,Bareland
400,Cropland,NULL,Wetland,Water,Wetland,Water
401,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
402,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
403,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
404,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
405,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
406,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
407,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
408,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
409,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
410,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
411,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
412,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
413,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
414,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
415,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
416,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
417,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
