Value,AFRICA_2024_DynamicWorld_2024_37PDL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDL_M_R,AFRICA_2024_GSW_Yearly_2021_37PDL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,AFRICA_2024_WorldCover_2021_37PDL_M_R
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
122,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
123,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
124,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
125,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
126,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
127,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
128,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
129,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
130,NULL,Cropland,Wetland,NULL,Wetland,Cropland
131,NULL,Cropland,Wetland,NULL,Wetland,Wetland
132,NULL,Cropland,Wetland,NULL,Wetland,Forest
133,NULL,Cropland,Wetland,Water,Wetland,Wetland
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
135,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
136,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
137,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
138,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
139,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
140,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
141,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
142,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
145,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
148,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
149,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
150,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
151,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Water
152,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
153,NULL,Cropland,Bareland,Water,Non_Wetland,NULL
154,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
155,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
156,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
157,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
158,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
160,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
161,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
162,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
163,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
164,NULL,Cropland,Water,NULL,Water,Grassland
165,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
166,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
167,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
168,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
169,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
170,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
171,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
172,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
173,NULL,Cropland,Forest,Water,Non_Wetland,NULL
174,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
175,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
176,NULL,Cropland,Forest,Water,Non_Wetland,Forest
177,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
178,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
179,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
180,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
181,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
182,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
183,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
184,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
185,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
186,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
187,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
188,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
189,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
190,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
191,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
192,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
193,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
194,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
195,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
196,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
197,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
198,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
207,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
208,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
209,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
210,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
211,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
212,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
213,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
214,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
215,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
216,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
217,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
218,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
219,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
220,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
221,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
222,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
223,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
224,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
225,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
226,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
227,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
228,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
229,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
230,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
231,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
232,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
233,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
234,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
235,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
236,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
237,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
238,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
239,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
240,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
241,NULL,Built-up,Wetland,NULL,Wetland,Grassland
242,NULL,Built-up,Wetland,NULL,Wetland,Forest
243,NULL,Built-up,Wetland,Water,Wetland,Cropland
244,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
245,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
246,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
247,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
248,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
249,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
250,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
251,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
252,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
253,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
254,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
255,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
256,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
257,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
258,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
259,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
260,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
261,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
262,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
263,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
264,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
265,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
266,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
267,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
268,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
269,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
270,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
271,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
272,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
273,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
274,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
275,NULL,Built-up,Water,NULL,Water,NULL
276,NULL,Built-up,Water,NULL,Water,Bareland
277,NULL,Built-up,Water,NULL,Water,Built-up
278,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
279,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
280,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
281,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
282,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
283,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
284,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
285,NULL,Built-up,Forest,Water,Non_Wetland,Forest
286,NULL,Water,NULL,NULL,Non_Wetland,NULL
287,NULL,Water,NULL,NULL,Non_Wetland,Grassland
288,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
289,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
290,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
291,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
292,NULL,Water,Grassland,NULL,Non_Wetland,NULL
293,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
294,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
295,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
296,NULL,Water,Grassland,Water,Non_Wetland,Cropland
297,NULL,Water,Cropland,NULL,Non_Wetland,NULL
298,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
299,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
300,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
301,NULL,Water,Cropland,Water,Non_Wetland,Cropland
302,NULL,Water,Wetland,Water,Wetland,Cropland
303,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
304,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
305,NULL,Water,Bareland,NULL,Non_Wetland,NULL
306,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
307,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
308,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
309,NULL,Water,Bareland,NULL,Non_Wetland,Forest
310,NULL,Water,Built-up,NULL,Non_Wetland,NULL
311,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
312,NULL,Water,Forest,NULL,Non_Wetland,NULL
313,NULL,Water,Forest,NULL,Non_Wetland,Grassland
314,NULL,Water,Forest,NULL,Non_Wetland,Cropland
315,NULL,Water,Forest,NULL,Non_Wetland,Bareland
316,NULL,Forest,NULL,NULL,Non_Wetland,NULL
317,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
318,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
319,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
320,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
321,NULL,Forest,NULL,NULL,Non_Wetland,Forest
322,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
323,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
324,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
325,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
326,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
327,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
328,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
329,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
330,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
331,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
332,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
333,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
334,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
335,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
336,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
337,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
338,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
339,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
340,NULL,Forest,Cropland,Water,Non_Wetland,NULL
341,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
342,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
343,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
344,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
345,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
346,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
347,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
348,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
349,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
350,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
351,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
352,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
353,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
354,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
355,NULL,Forest,Forest,NULL,Non_Wetland,NULL
356,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
357,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
358,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
359,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
360,NULL,Forest,Forest,NULL,Non_Wetland,Forest
361,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
362,NULL,Forest,Forest,Water,Non_Wetland,Cropland
363,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
364,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
365,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
366,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
367,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
368,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
369,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
370,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
371,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
372,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
373,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
374,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
375,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
376,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
377,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
378,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
379,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
380,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
381,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
382,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
383,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
384,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
385,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
386,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
387,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
388,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
389,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
390,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
391,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
392,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
393,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
394,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
395,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
396,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
397,Grassland,NULL,Wetland,NULL,Wetland,Grassland
398,Grassland,NULL,Wetland,NULL,Wetland,Cropland
399,Grassland,NULL,Wetland,NULL,Wetland,Wetland
400,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
401,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
402,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
403,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
404,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
405,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
406,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
407,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
408,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
409,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
410,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
411,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
412,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
413,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
414,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
415,Grassland,NULL,Water,NULL,Water,Grassland
416,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
417,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
418,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
419,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
