Value,AFRICA_2024_DynamicWorld_2024_38PKV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKV_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKV_M_R,AFRICA_2024_GSW_Yearly_2021_38PKV_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKV_M_R,AFRICA_2024_WorldCover_2021_38PKV_M_R
237,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL
238,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
239,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
240,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
241,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
242,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
243,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
244,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
245,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
246,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
247,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
248,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
249,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
250,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
251,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
252,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
253,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
254,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
255,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
256,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
257,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
258,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
259,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
260,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
261,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
262,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
263,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
264,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
265,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
266,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
267,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
268,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
269,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
270,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
271,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
272,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
273,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
274,Cropland,Forest,Bareland,NULL,Non_Wetland,Bareland
275,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
276,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
277,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
278,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
279,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
280,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
281,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
282,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
283,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
284,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
285,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
286,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
287,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
288,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
289,Wetland,NULL,Grassland,Water,Non_Wetland,NULL
290,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
291,Wetland,NULL,Grassland,Water,Non_Wetland,Bareland
292,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
293,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
294,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
295,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
296,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
297,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
298,Wetland,NULL,Cropland,Water,Non_Wetland,NULL
299,Wetland,NULL,Wetland,NULL,NULL,Cropland
300,Wetland,NULL,Wetland,NULL,NULL,Wetland
301,Wetland,NULL,Wetland,NULL,Wetland,NULL
302,Wetland,NULL,Wetland,NULL,Wetland,Cropland
303,Wetland,NULL,Wetland,NULL,Wetland,Wetland
304,Wetland,NULL,Wetland,NULL,Wetland,Bareland
305,Wetland,NULL,Wetland,NULL,Wetland,Water
306,Wetland,NULL,Wetland,Non_Water,NULL,Bareland
307,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
308,Wetland,NULL,Wetland,Non_Water,Wetland,Cropland
309,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
310,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
311,Wetland,NULL,Wetland,Water,NULL,Wetland
312,Wetland,NULL,Wetland,Water,Wetland,Cropland
313,Wetland,NULL,Wetland,Water,Wetland,Wetland
314,Wetland,NULL,Wetland,Water,Wetland,Bareland
315,Wetland,NULL,Wetland,Water,Wetland,Water
316,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
317,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
318,Wetland,NULL,Bareland,NULL,Non_Wetland,Cropland
319,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
320,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
321,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
322,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL
323,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
324,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
325,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
326,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
327,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
328,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
329,Wetland,NULL,Bareland,Water,Non_Wetland,Water
330,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
331,Wetland,NULL,Built-up,NULL,Non_Wetland,Cropland
332,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
333,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
334,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
335,Wetland,NULL,Built-up,Water,Non_Wetland,Bareland
336,Wetland,NULL,Water,Water,Water,Water
337,Wetland,Cropland,Grassland,NULL,Non_Wetland,Bareland
338,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
339,Wetland,Cropland,Wetland,NULL,Wetland,Bareland
340,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland
341,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
342,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
343,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland
344,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
345,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
346,Wetland,Wetland,Grassland,NULL,Non_Wetland,Bareland
347,Wetland,Wetland,Grassland,Water,Non_Wetland,Wetland
348,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
349,Wetland,Wetland,Cropland,NULL,Non_Wetland,Cropland
350,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
351,Wetland,Wetland,Cropland,NULL,Non_Wetland,Water
352,Wetland,Wetland,Cropland,Water,Non_Wetland,Wetland
353,Wetland,Wetland,Cropland,Water,Non_Wetland,Water
354,Wetland,Wetland,Wetland,NULL,NULL,Wetland
355,Wetland,Wetland,Wetland,NULL,NULL,Water
356,Wetland,Wetland,Wetland,NULL,Wetland,NULL
357,Wetland,Wetland,Wetland,NULL,Wetland,Cropland
358,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
359,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
360,Wetland,Wetland,Wetland,NULL,Wetland,Water
361,Wetland,Wetland,Wetland,Non_Water,NULL,Wetland
362,Wetland,Wetland,Wetland,Non_Water,Wetland,Cropland
363,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
364,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
365,Wetland,Wetland,Wetland,Water,NULL,Wetland
366,Wetland,Wetland,Wetland,Water,Wetland,Cropland
367,Wetland,Wetland,Wetland,Water,Wetland,Wetland
368,Wetland,Wetland,Wetland,Water,Wetland,Water
369,Wetland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
370,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
371,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
372,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
373,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water
374,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
375,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland
376,Wetland,Wetland,Bareland,Water,Non_Wetland,Water
377,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL
378,Wetland,Wetland,Built-up,NULL,Non_Wetland,Wetland
379,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
380,Wetland,Wetland,Built-up,Water,Non_Wetland,Wetland
381,Wetland,Wetland,Water,NULL,Water,Wetland
382,Wetland,Wetland,Water,Non_Water,Water,Wetland
383,Wetland,Wetland,Water,Water,Water,Wetland
384,Wetland,Wetland,Water,Water,Water,Water
385,Wetland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
386,Wetland,Bareland,Grassland,NULL,Non_Wetland,Wetland
387,Wetland,Bareland,Grassland,NULL,Non_Wetland,Bareland
388,Wetland,Bareland,Grassland,Water,Non_Wetland,Grassland
389,Wetland,Bareland,Cropland,NULL,Non_Wetland,Cropland
390,Wetland,Bareland,Wetland,NULL,Wetland,NULL
391,Wetland,Bareland,Wetland,NULL,Wetland,Grassland
392,Wetland,Bareland,Wetland,NULL,Wetland,Cropland
393,Wetland,Bareland,Wetland,NULL,Wetland,Wetland
394,Wetland,Bareland,Wetland,NULL,Wetland,Bareland
395,Wetland,Bareland,Wetland,Water,Wetland,Wetland
396,Wetland,Bareland,Wetland,Water,Wetland,Bareland
397,Wetland,Bareland,Wetland,Water,Wetland,Water
398,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL
399,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
400,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
401,Wetland,Bareland,Bareland,Water,Non_Wetland,Wetland
402,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
403,Wetland,Bareland,Water,Water,Water,Water
404,Wetland,Built-up,Shrubland,NULL,Non_Wetland,NULL
405,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
406,Wetland,Built-up,Grassland,NULL,Non_Wetland,NULL
407,Wetland,Built-up,Grassland,NULL,Non_Wetland,Cropland
408,Wetland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
409,Wetland,Built-up,Bareland,NULL,Non_Wetland,NULL
410,Wetland,Built-up,Bareland,NULL,Non_Wetland,Bareland
411,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
412,Wetland,Water,Shrubland,NULL,Non_Wetland,Bareland
413,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
414,Wetland,Water,Grassland,NULL,Non_Wetland,Cropland
415,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland
416,Wetland,Water,Grassland,NULL,Non_Wetland,Bareland
417,Wetland,Water,Grassland,NULL,Non_Wetland,Water
418,Wetland,Water,Grassland,Water,Non_Wetland,NULL
419,Wetland,Water,Grassland,Water,Non_Wetland,Wetland
420,Wetland,Water,Grassland,Water,Non_Wetland,Bareland
