Value,AFRICA_2024_DynamicWorld_2024_36PUT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUT_M_R,AFRICA_2024_GSW_Yearly_2021_36PUT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUT_M_R,AFRICA_2024_WorldCover_2021_36PUT_M_R
121,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
129,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
132,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
133,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
134,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
136,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
137,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
138,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
139,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
147,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
152,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
153,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
154,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
155,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
157,NULL,Built-up,Wetland,NULL,Wetland,Grassland
158,NULL,Built-up,Wetland,NULL,Wetland,Forest
159,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
160,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
161,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
163,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
166,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
167,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
170,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
171,NULL,Forest,NULL,NULL,Non_Wetland,NULL
172,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
173,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
174,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
175,NULL,Forest,NULL,NULL,Non_Wetland,Forest
176,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
177,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
178,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
179,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
180,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
181,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
182,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
183,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
184,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
185,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
186,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
187,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
188,NULL,Forest,Grassland,Water,Non_Wetland,NULL
189,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
190,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
191,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
192,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
193,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
194,NULL,Forest,Cropland,Water,Non_Wetland,NULL
195,NULL,Forest,Wetland,NULL,Wetland,Grassland
196,NULL,Forest,Wetland,NULL,Wetland,Forest
197,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
198,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
199,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
200,NULL,Forest,Forest,NULL,Non_Wetland,NULL
201,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
202,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
203,NULL,Forest,Forest,NULL,Non_Wetland,Forest
204,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
205,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
206,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
207,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
209,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
210,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
211,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
212,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
214,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
215,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
216,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
217,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
218,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
219,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
220,Grassland,NULL,Wetland,NULL,Wetland,Grassland
221,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
222,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
223,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
224,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
225,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
226,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
227,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
228,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
229,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
230,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
231,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
232,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
233,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
234,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
235,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
236,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
237,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
238,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
239,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
240,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
241,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
242,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
243,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
244,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
245,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
246,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
247,Grassland,Water,Wetland,NULL,Wetland,Grassland
248,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
249,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
250,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
251,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
252,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
253,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
254,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
255,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
256,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
257,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
258,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
259,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
260,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
261,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
262,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
263,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
264,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
265,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
266,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
267,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
268,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
269,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
270,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
271,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
272,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
273,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
274,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
275,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
276,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
277,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
278,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
279,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
280,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
281,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
282,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
283,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
284,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
285,Cropland,NULL,Grassland,Water,Non_Wetland,Water
286,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
287,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
288,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
289,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
290,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
291,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
292,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
293,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
294,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
295,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
296,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
297,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
298,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
299,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
300,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
301,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
302,Cropland,NULL,Cropland,Water,Non_Wetland,Water
303,Cropland,NULL,Wetland,NULL,Wetland,NULL
304,Cropland,NULL,Wetland,NULL,Wetland,Grassland
305,Cropland,NULL,Wetland,NULL,Wetland,Cropland
306,Cropland,NULL,Wetland,NULL,Wetland,Wetland
307,Cropland,NULL,Wetland,NULL,Wetland,Forest
308,Cropland,NULL,Wetland,Water,Wetland,Bareland
309,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
310,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
311,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
312,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
313,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
314,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
315,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
316,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
317,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
318,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
319,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
320,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
321,Cropland,NULL,Bareland,Water,Non_Wetland,Water
322,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
323,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
324,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
325,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
326,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
327,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
328,Cropland,NULL,Water,NULL,Water,Cropland
329,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
330,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
331,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
332,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
333,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
334,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
335,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
336,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
337,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
338,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
339,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
340,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
341,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
342,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
343,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
344,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
345,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
346,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
347,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
348,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
349,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
350,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
351,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
352,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
353,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
354,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
355,Cropland,Cropland,Shrubland,Water,Non_Wetland,Water
356,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
357,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
358,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
359,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
360,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
361,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
362,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
363,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
364,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
365,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
366,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
367,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
368,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
369,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
370,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
371,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
372,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
373,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
374,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
375,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
376,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
377,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
378,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
379,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
380,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
381,Cropland,Cropland,Wetland,NULL,Wetland,NULL
382,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
383,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
384,Cropland,Cropland,Wetland,Water,Wetland,Cropland
385,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
386,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
387,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
388,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
389,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
390,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
391,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
392,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
393,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
394,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
395,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
396,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
397,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
398,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
399,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
400,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
401,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
402,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
403,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
404,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
405,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
406,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
407,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
408,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
409,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
410,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
411,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
412,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
413,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
414,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
415,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland
416,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
417,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
418,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
