Value,AFRICA_2024_DynamicWorld_2024_36PWS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWS_M_R,AFRICA_2024_GSW_Yearly_2021_36PWS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWS_M_R,AFRICA_2024_WorldCover_2021_36PWS_M_R
119,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
120,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
121,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
122,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
123,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
124,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
125,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
132,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
133,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
134,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
136,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
137,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
138,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
139,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
142,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
143,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
144,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
147,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
148,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
149,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
152,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
153,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
154,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
155,NULL,Water,Grassland,NULL,Non_Wetland,Water
156,NULL,Water,Grassland,NULL,Non_Wetland,Forest
157,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
158,NULL,Water,Forest,NULL,Non_Wetland,NULL
159,NULL,Water,Forest,NULL,Non_Wetland,Forest
160,NULL,Forest,NULL,NULL,Non_Wetland,NULL
161,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
162,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
163,NULL,Forest,NULL,NULL,Non_Wetland,Forest
164,NULL,Forest,NULL,Water,Non_Wetland,Grassland
165,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
166,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
167,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
168,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
169,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
170,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
171,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
172,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
173,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
174,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
175,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
176,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
177,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
178,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
179,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
180,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
181,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
182,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
183,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
184,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
185,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
186,NULL,Forest,Cropland,Water,Non_Wetland,Wetland
187,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
188,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
189,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
190,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
191,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
192,NULL,Forest,Forest,NULL,Non_Wetland,NULL
193,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
194,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
195,NULL,Forest,Forest,NULL,Non_Wetland,Forest
196,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
197,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
198,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
199,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
200,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
201,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
206,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
207,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
208,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
209,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
210,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
211,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
212,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
214,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
215,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
216,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
217,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
218,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
219,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
220,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
221,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
222,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
223,Grassland,NULL,Wetland,NULL,Wetland,Grassland
224,Grassland,NULL,Wetland,NULL,Wetland,Wetland
225,Grassland,NULL,Wetland,NULL,Wetland,Forest
226,Grassland,NULL,Wetland,Water,Wetland,Wetland
227,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
228,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
229,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
230,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
231,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
232,Grassland,NULL,Bareland,Water,Non_Wetland,Water
233,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
234,Grassland,NULL,Water,NULL,Water,Wetland
235,Grassland,NULL,Water,Water,Water,Grassland
236,Grassland,NULL,Water,Water,Water,Wetland
237,Grassland,NULL,Water,Water,Water,Water
238,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
239,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
240,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
241,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
242,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
243,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
244,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
245,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
246,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
247,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
248,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
249,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
250,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
251,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
252,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
253,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
254,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
255,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
256,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water
257,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
258,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
259,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
260,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
261,Grassland,Cropland,Shrubland,Water,Non_Wetland,Water
262,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
263,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
264,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
265,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
266,Grassland,Cropland,Grassland,Water,Non_Wetland,Water
267,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
268,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
269,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
270,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
271,Grassland,Cropland,Bareland,NULL,Non_Wetland,Water
272,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
273,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland
274,Grassland,Cropland,Bareland,Water,Non_Wetland,Water
275,Grassland,Cropland,Water,Water,Water,Water
276,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
277,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
278,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
279,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
280,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
281,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
282,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
283,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
284,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
285,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
286,Grassland,Wetland,Wetland,Water,Wetland,Water
287,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
288,Grassland,Wetland,Water,NULL,Water,Water
289,Grassland,Wetland,Water,Water,Water,Water
290,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
291,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
292,Grassland,Water,Cropland,Non_Water,Non_Wetland,Grassland
293,Grassland,Water,Water,Water,Water,Water
294,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
295,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
296,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
297,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
298,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
299,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
300,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
301,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
302,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
303,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
304,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
305,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
306,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
307,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
308,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
309,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
310,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
311,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
312,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
313,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
314,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
315,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
316,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
317,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
318,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
319,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
320,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
321,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
322,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
323,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
324,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
325,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
326,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
327,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
328,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
329,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
330,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
331,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
332,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
333,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
334,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
335,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
336,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
337,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
338,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
339,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
340,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
341,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
342,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
343,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
344,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
345,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
346,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
347,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
348,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
349,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
350,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
351,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
352,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
353,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
354,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
355,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
356,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
357,Cropland,NULL,Wetland,NULL,Wetland,Wetland
358,Cropland,NULL,Wetland,NULL,Wetland,Forest
359,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
360,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
361,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
362,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
363,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
364,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
365,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
366,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
367,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
368,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
369,Cropland,NULL,Bareland,Water,Non_Wetland,Water
370,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
371,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
372,Cropland,NULL,Water,NULL,Water,Wetland
373,Cropland,NULL,Water,Non_Water,Water,NULL
374,Cropland,NULL,Water,Non_Water,Water,Wetland
375,Cropland,NULL,Water,Non_Water,Water,Forest
376,Cropland,NULL,Water,Water,Water,Wetland
377,Cropland,NULL,Water,Water,Water,Water
378,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
379,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
380,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
381,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
382,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
383,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
384,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
385,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
386,Cropland,NULL,Forest,Water,Non_Wetland,Water
387,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
388,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
389,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
390,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
391,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
392,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
393,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
394,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
395,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
396,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
397,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
398,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
399,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
400,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
401,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
402,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
403,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
404,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
405,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
406,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
407,Cropland,Cropland,Shrubland,Water,Non_Wetland,Water
408,Cropland,Cropland,Shrubland,Water,Non_Wetland,Forest
409,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
410,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
411,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
412,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
413,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
414,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
415,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
416,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
417,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
418,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
419,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
420,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
421,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
