Value,AFRICA_2024_DynamicWorld_2024_37PEP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PEP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PEP_M_R,AFRICA_2024_GSW_Yearly_2021_37PEP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PEP_M_R,AFRICA_2024_WorldCover_2021_37PEP_M_R
122,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
123,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
124,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
125,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
126,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
127,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
128,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
129,NULL,Cropland,Wetland,NULL,Wetland,NULL
130,NULL,Cropland,Wetland,NULL,Wetland,Cropland
131,NULL,Cropland,Wetland,NULL,Wetland,Forest
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
135,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
136,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
137,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
138,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
139,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
143,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
144,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
145,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
146,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
147,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
150,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
151,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
152,NULL,Cropland,Water,NULL,Water,Grassland
153,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
154,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
157,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
158,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
159,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
160,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
164,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
166,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
167,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
168,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
169,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
170,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
171,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
172,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
173,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
174,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
175,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
176,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
177,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
178,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
179,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
180,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
181,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
182,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
183,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
184,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
185,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
186,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
194,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
195,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
201,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
202,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
208,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
209,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
210,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
211,NULL,Built-up,Wetland,NULL,Wetland,NULL
212,NULL,Built-up,Wetland,NULL,Wetland,Cropland
213,NULL,Built-up,Wetland,NULL,Wetland,Water
214,NULL,Built-up,Wetland,NULL,Wetland,Forest
215,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
216,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
217,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
218,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
219,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
220,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
221,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
222,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
223,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
224,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
225,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
226,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
227,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
231,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
234,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
235,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
236,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
237,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
238,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
239,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
240,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
241,NULL,Built-up,Forest,NULL,Non_Wetland,Water
242,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
243,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
244,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
245,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
246,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
247,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
248,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
249,NULL,Water,Cropland,NULL,Non_Wetland,NULL
250,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
251,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
252,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
253,NULL,Water,Bareland,NULL,Non_Wetland,NULL
254,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
255,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
256,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
257,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
258,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
259,NULL,Water,Water,NULL,Water,Grassland
260,NULL,Water,Forest,NULL,Non_Wetland,Grassland
261,NULL,Water,Forest,NULL,Non_Wetland,Bareland
262,NULL,Forest,NULL,NULL,Non_Wetland,NULL
263,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
264,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
265,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
266,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
267,NULL,Forest,NULL,NULL,Non_Wetland,Forest
268,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
269,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
270,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
271,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
272,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
273,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
274,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
275,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
276,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
277,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
278,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
279,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
280,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
281,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
282,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
283,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
284,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
285,NULL,Forest,Wetland,NULL,Wetland,NULL
286,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
287,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
288,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
289,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
290,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
291,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
292,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
293,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
294,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
295,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
296,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
297,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
298,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
299,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
300,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
301,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
302,NULL,Forest,Water,NULL,Water,NULL
303,NULL,Forest,Water,NULL,Water,Grassland
304,NULL,Forest,Forest,NULL,Non_Wetland,NULL
305,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
306,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
307,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
308,NULL,Forest,Forest,NULL,Non_Wetland,Forest
309,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
310,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
311,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
312,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
313,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
314,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
315,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
316,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
317,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
318,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
319,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
320,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
321,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
322,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
323,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
324,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
325,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
326,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
327,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
328,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
329,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
330,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
331,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
332,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
333,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
334,Grassland,NULL,Wetland,NULL,Wetland,NULL
335,Grassland,NULL,Wetland,NULL,Wetland,Cropland
336,Grassland,NULL,Wetland,NULL,Wetland,Wetland
337,Grassland,NULL,Wetland,NULL,Wetland,Forest
338,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
339,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
340,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
341,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
342,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
343,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
344,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
345,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
346,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
347,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
348,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
349,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
350,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
351,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
352,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
353,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
354,Grassland,NULL,Water,NULL,Water,NULL
355,Grassland,NULL,Water,NULL,Water,Grassland
356,Grassland,NULL,Water,NULL,Water,Cropland
357,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
358,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
359,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
360,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
361,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
362,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
363,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
364,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
365,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
366,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
367,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
368,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland
369,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
370,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
371,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
372,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
373,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
374,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
375,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
376,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
377,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
378,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
379,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
380,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
381,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
382,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
383,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
384,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
385,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
386,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
387,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
388,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
389,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
390,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
391,Grassland,Cropland,Cropland,Water,Non_Wetland,Bareland
392,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
393,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
394,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
395,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
396,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
397,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
398,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
399,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
400,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
401,Grassland,Cropland,Bareland,NULL,Non_Wetland,Built-up
402,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
403,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,NULL
404,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
405,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
406,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
407,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland
408,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
409,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
410,Grassland,Cropland,Water,NULL,Water,Grassland
411,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
412,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
413,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
414,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
415,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
416,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
417,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
418,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
419,Grassland,Bareland,Bareland,NULL,Non_Wetland,Bareland
420,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
