Value,AFRICA_2024_DynamicWorld_2024_37PHP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHP_M_R,AFRICA_2024_GSW_Yearly_2021_37PHP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHP_M_R,AFRICA_2024_WorldCover_2021_37PHP_M_R
118,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
119,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
120,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
121,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
122,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
123,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
124,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
125,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
126,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
127,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
128,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
129,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
130,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
131,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
132,NULL,Bareland,Cropland,NULL,Non_Wetland,Wetland
133,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
134,NULL,Bareland,Wetland,NULL,Wetland,Wetland
135,NULL,Bareland,Wetland,NULL,Wetland,Bareland
136,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
137,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
138,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
139,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
140,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
141,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
142,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
143,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
144,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
145,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
146,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
147,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
158,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
163,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
165,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
168,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
169,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
170,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
174,NULL,Water,Bareland,NULL,Non_Wetland,NULL
175,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
176,NULL,Water,Built-up,NULL,Non_Wetland,NULL
177,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
178,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
179,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
180,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
181,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
182,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
183,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
184,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
185,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
186,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
187,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
188,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
189,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
190,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
191,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
192,Grassland,NULL,Wetland,NULL,Wetland,NULL
193,Grassland,NULL,Wetland,NULL,Wetland,Cropland
194,Grassland,NULL,Wetland,NULL,Wetland,Wetland
195,Grassland,NULL,Wetland,NULL,Wetland,Bareland
196,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
197,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland
198,Grassland,NULL,Wetland,Water,Wetland,Wetland
199,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
200,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
201,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
202,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
203,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
204,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
205,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
206,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
207,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
208,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
209,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
210,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
211,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
212,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
213,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
214,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland
215,Grassland,Wetland,Wetland,NULL,Wetland,Cropland
216,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
217,Grassland,Bareland,Wetland,NULL,Wetland,Cropland
218,Grassland,Bareland,Wetland,NULL,Wetland,Wetland
219,Grassland,Bareland,Wetland,NULL,Wetland,Bareland
220,Grassland,Bareland,Wetland,Non_Water,Wetland,Wetland
221,Grassland,Bareland,Wetland,Water,Wetland,Wetland
222,Grassland,Water,Wetland,NULL,Wetland,Wetland
223,Grassland,Water,Wetland,Water,Wetland,Wetland
224,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
225,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
226,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
227,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
228,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
229,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
230,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
231,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
232,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
233,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
234,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
235,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
236,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
237,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
238,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
239,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
240,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
241,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
242,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
243,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
244,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
245,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
246,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
247,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
248,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
249,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
250,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
251,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
252,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
253,Cropland,NULL,Grassland,Water,Non_Wetland,Water
254,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
255,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
256,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
257,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
258,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
259,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
260,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
261,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
262,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
263,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
264,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
265,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
266,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
267,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
268,Cropland,NULL,Wetland,NULL,Wetland,NULL
269,Cropland,NULL,Wetland,NULL,Wetland,Cropland
270,Cropland,NULL,Wetland,NULL,Wetland,Wetland
271,Cropland,NULL,Wetland,NULL,Wetland,Bareland
272,Cropland,NULL,Wetland,NULL,Wetland,Forest
273,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
274,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
275,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
276,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
277,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
278,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
279,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
280,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
281,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
282,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
283,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
284,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
285,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
286,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
287,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
288,Cropland,NULL,Bareland,Water,Non_Wetland,Water
289,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
290,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
291,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
292,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
293,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
294,Cropland,NULL,Built-up,Water,Non_Wetland,NULL
295,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
296,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
297,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
298,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
299,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
300,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
301,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
302,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
303,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
304,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
305,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
306,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
307,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
308,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
309,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
310,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
311,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
312,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
313,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
314,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
315,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
316,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
317,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
318,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
319,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
320,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
321,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
322,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
323,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
324,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
325,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
326,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
327,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
328,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
329,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
330,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
331,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL
332,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
333,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
334,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
335,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
336,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
337,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
338,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
339,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
340,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL
341,Cropland,Wetland,Bareland,NULL,Non_Wetland,Bareland
342,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
343,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
344,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
345,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
346,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
347,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
348,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
349,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
350,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
351,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
352,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
353,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
354,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
355,Cropland,Bareland,Cropland,NULL,Non_Wetland,Wetland
356,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
357,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
358,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
359,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
360,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
361,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
362,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
363,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
364,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
365,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
366,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
367,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
368,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
369,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
370,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
371,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
372,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
373,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
374,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
375,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
376,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
377,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
378,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
379,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
380,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
381,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
382,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
383,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
384,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
385,Cropland,Water,Built-up,NULL,Non_Wetland,Bareland
386,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
387,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
388,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
389,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
390,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
391,Cropland,Forest,Cropland,NULL,Non_Wetland,Wetland
392,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
393,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
394,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
395,Cropland,Forest,Wetland,NULL,Wetland,Cropland
396,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
397,Cropland,Forest,Bareland,NULL,Non_Wetland,Bareland
398,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
399,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
400,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
401,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
402,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
403,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
404,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
405,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
406,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
407,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
408,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
409,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
410,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
411,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
412,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
413,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
