Value,AFRICA_2024_DynamicWorld_2024_36NVP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVP_M_R,AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,AFRICA_2024_WorldCover_2021_36NVP_M_R
120,NULL,Water,Wetland,NULL,Wetland,Forest
121,NULL,Water,Wetland,Water,Wetland,Forest
122,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
123,NULL,Water,Bareland,NULL,Non_Wetland,Forest
124,NULL,Water,Bareland,Water,Non_Wetland,Grassland
125,NULL,Water,Forest,NULL,Non_Wetland,Forest
126,NULL,Water,Forest,Water,Non_Wetland,Grassland
127,NULL,Water,Forest,Water,Non_Wetland,Forest
128,NULL,Forest,NULL,NULL,Non_Wetland,NULL
129,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
130,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
131,NULL,Forest,NULL,NULL,Non_Wetland,Forest
132,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
133,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
134,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
136,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
137,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
138,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
139,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
140,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
141,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
142,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
143,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
144,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
145,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
146,NULL,Forest,Wetland,NULL,Wetland,Grassland
147,NULL,Forest,Wetland,NULL,Wetland,Wetland
148,NULL,Forest,Wetland,NULL,Wetland,Forest
149,NULL,Forest,Wetland,Water,Wetland,Forest
150,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
151,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
152,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
153,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
154,NULL,Forest,Forest,NULL,Non_Wetland,NULL
155,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
156,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
157,NULL,Forest,Forest,NULL,Non_Wetland,Forest
158,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
159,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
160,NULL,Forest,Forest,Water,Non_Wetland,Grassland
161,NULL,Forest,Forest,Water,Non_Wetland,Wetland
162,NULL,Forest,Forest,Water,Non_Wetland,Forest
163,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
164,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
165,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
166,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
167,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
168,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
169,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
170,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
171,Grassland,NULL,NULL,Water,Non_Wetland,Forest
172,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
173,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
174,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
175,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
176,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
177,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
178,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
179,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
180,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
181,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
182,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
183,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
184,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
185,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
186,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
187,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
188,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
189,Grassland,NULL,Wetland,NULL,Wetland,Grassland
190,Grassland,NULL,Wetland,NULL,Wetland,Wetland
191,Grassland,NULL,Wetland,NULL,Wetland,Forest
192,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
193,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
194,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
195,Grassland,NULL,Wetland,Water,Wetland,Grassland
196,Grassland,NULL,Wetland,Water,Wetland,Wetland
197,Grassland,NULL,Wetland,Water,Wetland,Water
198,Grassland,NULL,Wetland,Water,Wetland,Forest
199,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
200,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
201,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
202,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
203,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
204,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
205,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
206,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
207,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
208,Grassland,NULL,Water,NULL,Water,Grassland
209,Grassland,NULL,Water,NULL,Water,Wetland
210,Grassland,NULL,Water,Non_Water,Water,Grassland
211,Grassland,NULL,Water,Non_Water,Water,Wetland
212,Grassland,NULL,Water,Non_Water,Water,Forest
213,Grassland,NULL,Water,Water,Water,Grassland
214,Grassland,NULL,Water,Water,Water,Wetland
215,Grassland,NULL,Water,Water,Water,Water
216,Grassland,NULL,Water,Water,Water,Forest
217,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
218,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
219,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
220,Grassland,NULL,Forest,NULL,Non_Wetland,Water
221,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
222,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
223,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
224,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
225,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
226,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
227,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
228,Grassland,NULL,Forest,Water,Non_Wetland,Water
229,Grassland,NULL,Forest,Water,Non_Wetland,Forest
230,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
231,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
232,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
233,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
234,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
235,Grassland,Cropland,Shrubland,Water,Non_Wetland,Forest
236,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
237,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
238,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
239,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
240,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
241,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
242,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
243,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
244,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
245,Grassland,Wetland,Wetland,Water,Wetland,Wetland
246,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
247,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
248,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
249,Grassland,Water,NULL,Non_Water,Non_Wetland,Grassland
250,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
251,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
252,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
253,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
254,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
255,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Forest
256,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
257,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
258,Grassland,Water,Shrubland,Water,Non_Wetland,Water
259,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
260,Grassland,Water,Wetland,NULL,Wetland,Grassland
261,Grassland,Water,Wetland,NULL,Wetland,Wetland
262,Grassland,Water,Wetland,NULL,Wetland,Forest
263,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
264,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
265,Grassland,Water,Wetland,Non_Water,Wetland,Water
266,Grassland,Water,Wetland,Non_Water,Wetland,Forest
267,Grassland,Water,Wetland,Water,Wetland,Grassland
268,Grassland,Water,Wetland,Water,Wetland,Wetland
269,Grassland,Water,Wetland,Water,Wetland,Water
270,Grassland,Water,Wetland,Water,Wetland,Forest
271,Grassland,Water,Water,NULL,Water,Wetland
272,Grassland,Water,Water,NULL,Water,Forest
273,Grassland,Water,Water,Non_Water,Water,Grassland
274,Grassland,Water,Water,Non_Water,Water,Wetland
275,Grassland,Water,Water,Water,Water,Grassland
276,Grassland,Water,Water,Water,Water,Wetland
277,Grassland,Water,Water,Water,Water,Water
278,Grassland,Water,Water,Water,Water,Forest
279,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
280,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
281,Grassland,Water,Forest,NULL,Non_Wetland,Forest
282,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
283,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
284,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
285,Grassland,Water,Forest,Water,Non_Wetland,Grassland
286,Grassland,Water,Forest,Water,Non_Wetland,Wetland
287,Grassland,Water,Forest,Water,Non_Wetland,Forest
288,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
289,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
290,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
291,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
292,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
293,Grassland,Forest,NULL,Non_Water,Non_Wetland,Forest
294,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
295,Grassland,Forest,NULL,Water,Non_Wetland,Wetland
296,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
297,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
298,Grassland,Forest,Shrubland,NULL,Non_Wetland,Water
299,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
300,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
301,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
302,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
303,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
304,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
305,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
306,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
307,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
308,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
309,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
310,Grassland,Forest,Wetland,NULL,Wetland,Grassland
311,Grassland,Forest,Wetland,NULL,Wetland,Wetland
312,Grassland,Forest,Wetland,NULL,Wetland,Forest
313,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
314,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
315,Grassland,Forest,Wetland,Non_Water,Wetland,Water
316,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
317,Grassland,Forest,Wetland,Water,Wetland,Grassland
318,Grassland,Forest,Wetland,Water,Wetland,Wetland
319,Grassland,Forest,Wetland,Water,Wetland,Water
320,Grassland,Forest,Wetland,Water,Wetland,Forest
321,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
322,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
323,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
324,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
325,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
326,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Water
327,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Forest
328,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
329,Grassland,Forest,Bareland,Water,Non_Wetland,Water
330,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
331,Grassland,Forest,Water,NULL,Water,Grassland
332,Grassland,Forest,Water,NULL,Water,Forest
333,Grassland,Forest,Water,Non_Water,Water,Grassland
334,Grassland,Forest,Water,Non_Water,Water,Wetland
335,Grassland,Forest,Water,Non_Water,Water,Water
336,Grassland,Forest,Water,Non_Water,Water,Forest
337,Grassland,Forest,Water,Water,Water,Grassland
338,Grassland,Forest,Water,Water,Water,Wetland
339,Grassland,Forest,Water,Water,Water,Water
340,Grassland,Forest,Water,Water,Water,Forest
341,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
342,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
343,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
344,Grassland,Forest,Forest,NULL,Non_Wetland,Water
345,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
346,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
347,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
348,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water
349,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
350,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
351,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
352,Grassland,Forest,Forest,Water,Non_Wetland,Forest
353,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
354,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
355,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
356,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
357,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
358,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
359,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
360,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
361,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
362,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
363,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
364,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
365,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
366,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
367,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
368,Cropland,NULL,Wetland,NULL,Wetland,Grassland
369,Cropland,NULL,Wetland,NULL,Wetland,Wetland
370,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
371,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
372,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
373,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
374,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
375,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
376,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
377,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
378,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
379,Cropland,NULL,Water,Non_Water,Water,Grassland
380,Cropland,NULL,Water,Non_Water,Water,Wetland
381,Cropland,NULL,Water,Water,Water,Grassland
382,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
383,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
384,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
385,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
386,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
387,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
388,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
389,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
390,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
391,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
392,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
393,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
394,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
395,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
396,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
397,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
398,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
399,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
400,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
401,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
402,Cropland,Water,Forest,NULL,Non_Wetland,Forest
403,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
404,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
405,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
406,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
407,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
408,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
409,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
410,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland
411,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
412,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
413,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
414,Cropland,Forest,Forest,Water,Non_Wetland,Grassland
415,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
416,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
417,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
418,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
419,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
420,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
421,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
422,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
423,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
424,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
425,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
426,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
427,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
428,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
429,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
430,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
