Value,AFRICA_2024_DynamicWorld_2024_35NNG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,AFRICA_2024_GSW_Yearly_2021_35NNG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNG_M_R,AFRICA_2024_WorldCover_2021_35NNG_M_R
120,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
121,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
122,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
123,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
124,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
125,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
126,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
127,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
128,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
129,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
130,NULL,Forest,Wetland,NULL,Wetland,Grassland
131,NULL,Forest,Wetland,NULL,Wetland,Forest
132,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
133,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
134,NULL,Forest,Forest,NULL,Non_Wetland,NULL
135,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
136,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
137,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
138,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
139,NULL,Forest,Forest,NULL,Non_Wetland,Forest
140,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
141,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
142,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
143,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
144,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
145,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
146,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
147,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
148,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
149,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
150,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
151,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
152,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
153,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
154,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
155,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
156,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
157,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
158,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
159,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
160,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
161,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
162,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
163,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
164,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
165,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
166,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
167,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
168,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
169,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
170,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
171,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
172,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
173,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
174,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
175,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
176,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
177,Cropland,NULL,Wetland,NULL,Wetland,Grassland
178,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
179,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
180,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
181,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
182,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
183,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
184,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
185,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
186,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
187,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland
188,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
189,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
190,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
191,Cropland,Water,Forest,NULL,Non_Wetland,Forest
192,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
193,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
194,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
195,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
196,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
197,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
198,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
199,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
200,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
201,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
202,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
203,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
204,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
205,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
206,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
207,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
208,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
209,Wetland,NULL,Wetland,NULL,Wetland,NULL
210,Wetland,NULL,Wetland,NULL,Wetland,Grassland
211,Wetland,NULL,Wetland,NULL,Wetland,Wetland
212,Wetland,NULL,Wetland,NULL,Wetland,Forest
213,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
214,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
215,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
216,Wetland,NULL,Wetland,Water,Wetland,Grassland
217,Wetland,NULL,Wetland,Water,Wetland,Wetland
218,Wetland,NULL,Wetland,Water,Wetland,Forest
219,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
220,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
221,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
222,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
223,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
224,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
225,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
226,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
227,Wetland,Wetland,Wetland,NULL,Wetland,Forest
228,Wetland,Water,NULL,NULL,Non_Wetland,Grassland
229,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
230,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
231,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
232,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
233,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
234,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
235,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
236,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
237,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
238,Wetland,Water,Wetland,NULL,Wetland,Grassland
239,Wetland,Water,Wetland,NULL,Wetland,Forest
240,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
241,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
242,Wetland,Water,Wetland,Non_Water,Wetland,Forest
243,Wetland,Water,Wetland,Water,Wetland,Grassland
244,Wetland,Water,Wetland,Water,Wetland,Forest
245,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
246,Wetland,Water,Forest,NULL,Non_Wetland,Forest
247,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
248,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
249,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest
250,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
251,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland
252,Wetland,Forest,NULL,Non_Water,Non_Wetland,Forest
253,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
254,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
255,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
256,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
257,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
258,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
259,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
260,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
261,Wetland,Forest,Wetland,NULL,Wetland,NULL
262,Wetland,Forest,Wetland,NULL,Wetland,Grassland
263,Wetland,Forest,Wetland,NULL,Wetland,Forest
264,Wetland,Forest,Wetland,Non_Water,Wetland,NULL
265,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
266,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
267,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
268,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
269,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
270,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
271,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL
272,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
273,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland
274,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
275,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
276,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
277,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
278,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
279,Water,NULL,NULL,NULL,Non_Wetland,Grassland
280,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
281,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
282,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
283,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
284,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
285,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
286,Water,NULL,Wetland,NULL,Wetland,NULL
287,Water,NULL,Wetland,NULL,Wetland,Grassland
288,Water,NULL,Wetland,NULL,Wetland,Forest
289,Water,NULL,Wetland,Non_Water,Wetland,Grassland
290,Water,NULL,Wetland,Non_Water,Wetland,Forest
291,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
292,Water,NULL,Forest,NULL,Non_Wetland,NULL
293,Water,NULL,Forest,NULL,Non_Wetland,Grassland
294,Water,NULL,Forest,NULL,Non_Wetland,Forest
295,Water,NULL,Forest,Non_Water,Non_Wetland,NULL
296,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
297,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
298,Water,Bareland,Shrubland,Water,Non_Wetland,Wetland
299,Water,Water,NULL,NULL,Non_Wetland,NULL
300,Water,Water,NULL,NULL,Non_Wetland,Grassland
301,Water,Water,NULL,NULL,Non_Wetland,Wetland
302,Water,Water,NULL,NULL,Non_Wetland,Bareland
303,Water,Water,NULL,NULL,Non_Wetland,Forest
304,Water,Water,NULL,Non_Water,Non_Wetland,Grassland
305,Water,Water,NULL,Non_Water,Non_Wetland,Wetland
306,Water,Water,NULL,Non_Water,Non_Wetland,Forest
307,Water,Water,NULL,Water,Non_Wetland,Grassland
308,Water,Water,NULL,Water,Non_Wetland,Wetland
309,Water,Water,NULL,Water,Non_Wetland,Bareland
310,Water,Water,NULL,Water,Non_Wetland,Water
311,Water,Water,NULL,Water,Non_Wetland,Forest
312,Water,Water,Shrubland,NULL,Non_Wetland,NULL
313,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
314,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
315,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
316,Water,Water,Shrubland,NULL,Non_Wetland,Water
317,Water,Water,Shrubland,NULL,Non_Wetland,Forest
318,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL
319,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
320,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
321,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
322,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
323,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
324,Water,Water,Shrubland,Water,Non_Wetland,NULL
325,Water,Water,Shrubland,Water,Non_Wetland,Grassland
326,Water,Water,Shrubland,Water,Non_Wetland,Wetland
327,Water,Water,Shrubland,Water,Non_Wetland,Bareland
328,Water,Water,Shrubland,Water,Non_Wetland,Water
329,Water,Water,Shrubland,Water,Non_Wetland,Forest
330,Water,Water,Cropland,NULL,Non_Wetland,Forest
331,Water,Water,Wetland,NULL,Wetland,NULL
332,Water,Water,Wetland,NULL,Wetland,Grassland
333,Water,Water,Wetland,NULL,Wetland,Wetland
334,Water,Water,Wetland,NULL,Wetland,Bareland
335,Water,Water,Wetland,NULL,Wetland,Water
336,Water,Water,Wetland,NULL,Wetland,Forest
337,Water,Water,Wetland,Non_Water,Wetland,NULL
338,Water,Water,Wetland,Non_Water,Wetland,Grassland
339,Water,Water,Wetland,Non_Water,Wetland,Wetland
340,Water,Water,Wetland,Non_Water,Wetland,Bareland
341,Water,Water,Wetland,Non_Water,Wetland,Water
342,Water,Water,Wetland,Non_Water,Wetland,Forest
343,Water,Water,Wetland,Water,Wetland,NULL
344,Water,Water,Wetland,Water,Wetland,Grassland
345,Water,Water,Wetland,Water,Wetland,Wetland
346,Water,Water,Wetland,Water,Wetland,Bareland
347,Water,Water,Wetland,Water,Wetland,Water
348,Water,Water,Wetland,Water,Wetland,Forest
349,Water,Water,Bareland,NULL,Non_Wetland,Grassland
350,Water,Water,Bareland,NULL,Non_Wetland,Bareland
351,Water,Water,Bareland,NULL,Non_Wetland,Forest
352,Water,Water,Bareland,Non_Water,Non_Wetland,Water
353,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
354,Water,Water,Bareland,Water,Non_Wetland,Grassland
355,Water,Water,Bareland,Water,Non_Wetland,Wetland
356,Water,Water,Bareland,Water,Non_Wetland,Bareland
357,Water,Water,Bareland,Water,Non_Wetland,Water
358,Water,Water,Bareland,Water,Non_Wetland,Forest
359,Water,Water,Built-up,NULL,Non_Wetland,Forest
360,Water,Water,Water,NULL,Water,NULL
361,Water,Water,Water,NULL,Water,Grassland
362,Water,Water,Water,NULL,Water,Wetland
363,Water,Water,Water,NULL,Water,Bareland
364,Water,Water,Water,NULL,Water,Water
365,Water,Water,Water,NULL,Water,Forest
366,Water,Water,Water,Non_Water,Water,NULL
367,Water,Water,Water,Non_Water,Water,Grassland
368,Water,Water,Water,Non_Water,Water,Wetland
369,Water,Water,Water,Non_Water,Water,Bareland
370,Water,Water,Water,Non_Water,Water,Water
371,Water,Water,Water,Non_Water,Water,Forest
372,Water,Water,Water,Water,Water,Grassland
373,Water,Water,Water,Water,Water,Wetland
374,Water,Water,Water,Water,Water,Bareland
375,Water,Water,Water,Water,Water,Water
376,Water,Water,Water,Water,Water,Forest
377,Water,Water,Forest,NULL,Non_Wetland,NULL
378,Water,Water,Forest,NULL,Non_Wetland,Grassland
379,Water,Water,Forest,NULL,Non_Wetland,Wetland
380,Water,Water,Forest,NULL,Non_Wetland,Bareland
381,Water,Water,Forest,NULL,Non_Wetland,Water
382,Water,Water,Forest,NULL,Non_Wetland,Forest
383,Water,Water,Forest,Non_Water,Non_Wetland,NULL
384,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
385,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
386,Water,Water,Forest,Non_Water,Non_Wetland,Bareland
387,Water,Water,Forest,Non_Water,Non_Wetland,Water
388,Water,Water,Forest,Non_Water,Non_Wetland,Forest
389,Water,Water,Forest,Water,Non_Wetland,NULL
390,Water,Water,Forest,Water,Non_Wetland,Grassland
391,Water,Water,Forest,Water,Non_Wetland,Wetland
392,Water,Water,Forest,Water,Non_Wetland,Bareland
393,Water,Water,Forest,Water,Non_Wetland,Water
394,Water,Water,Forest,Water,Non_Wetland,Forest
395,Water,Forest,NULL,NULL,Non_Wetland,Forest
396,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
397,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
398,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
399,Water,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
400,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
401,Water,Forest,Wetland,NULL,Wetland,Grassland
402,Water,Forest,Wetland,NULL,Wetland,Forest
403,Water,Forest,Wetland,Non_Water,Wetland,Grassland
404,Water,Forest,Wetland,Non_Water,Wetland,Forest
405,Water,Forest,Wetland,Water,Wetland,Forest
406,Water,Forest,Bareland,NULL,Non_Wetland,Forest
407,Water,Forest,Forest,NULL,Non_Wetland,NULL
408,Water,Forest,Forest,NULL,Non_Wetland,Grassland
409,Water,Forest,Forest,NULL,Non_Wetland,Forest
410,Water,Forest,Forest,Non_Water,Non_Wetland,NULL
411,Water,Forest,Forest,Non_Water,Non_Wetland,Grassland
412,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
413,Forest,NULL,NULL,NULL,Non_Wetland,NULL
414,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
415,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
416,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
417,Forest,NULL,NULL,NULL,Non_Wetland,Bareland
418,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
419,Forest,NULL,NULL,NULL,Non_Wetland,Forest
420,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland
421,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
422,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
423,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
424,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
425,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
426,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
427,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
428,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
429,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
430,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
431,Forest,NULL,Shrubland,Water,Non_Wetland,Bareland
432,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
433,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
434,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
435,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
436,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
437,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
438,Forest,NULL,Wetland,NULL,Wetland,NULL
439,Forest,NULL,Wetland,NULL,Wetland,Grassland
