Value,AFRICA_2024_DynamicWorld_2024_35PQP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQP_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQP_M_R,AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQP_M_R,AFRICA_2024_WorldCover_2021_35PQP_M_R
122,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
123,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
127,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
128,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
129,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
130,NULL,Cropland,Wetland,NULL,Wetland,NULL
131,NULL,Cropland,Wetland,NULL,Wetland,Grassland
132,NULL,Cropland,Wetland,NULL,Wetland,Cropland
133,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
134,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
135,NULL,Cropland,Wetland,Water,Wetland,Grassland
136,NULL,Cropland,Wetland,Water,Wetland,Cropland
137,NULL,Cropland,Wetland,Water,Wetland,Wetland
138,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
139,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
141,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
142,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
143,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
144,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
147,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
148,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
149,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
150,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
151,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
152,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
153,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
154,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
155,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
156,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
157,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
163,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
166,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
167,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
169,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
170,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
172,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
175,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
181,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
182,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
187,NULL,Water,NULL,NULL,Non_Wetland,Grassland
188,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
189,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
190,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
191,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
192,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
193,NULL,Water,Forest,NULL,Non_Wetland,Grassland
194,NULL,Forest,NULL,NULL,Non_Wetland,NULL
195,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
196,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
197,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
198,NULL,Forest,NULL,NULL,Non_Wetland,Forest
199,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
200,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
201,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
202,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
203,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
204,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
205,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
206,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
207,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
208,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
209,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
210,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
211,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
212,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
213,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
214,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
215,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
216,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
217,NULL,Forest,Wetland,NULL,Wetland,NULL
218,NULL,Forest,Wetland,NULL,Wetland,Grassland
219,NULL,Forest,Wetland,Non_Water,Wetland,NULL
220,NULL,Forest,Wetland,Water,Wetland,NULL
221,NULL,Forest,Wetland,Water,Wetland,Grassland
222,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
223,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
224,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
225,NULL,Forest,Water,Water,Water,NULL
226,NULL,Forest,Forest,NULL,Non_Wetland,NULL
227,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
228,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
229,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
230,NULL,Forest,Forest,NULL,Non_Wetland,Forest
231,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
232,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
233,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
234,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
235,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
236,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
237,Grassland,NULL,NULL,Water,Non_Wetland,NULL
238,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
239,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
240,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
244,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
245,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
246,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
247,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
248,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
250,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
251,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
252,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
253,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
254,Grassland,NULL,Wetland,NULL,Wetland,NULL
255,Grassland,NULL,Wetland,NULL,Wetland,Grassland
256,Grassland,NULL,Wetland,NULL,Wetland,Cropland
257,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
258,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
259,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
260,Grassland,NULL,Wetland,Water,Wetland,NULL
261,Grassland,NULL,Wetland,Water,Wetland,Grassland
262,Grassland,NULL,Wetland,Water,Wetland,Cropland
263,Grassland,NULL,Wetland,Water,Wetland,Wetland
264,Grassland,NULL,Wetland,Water,Wetland,Forest
265,Grassland,NULL,Water,Non_Water,Water,Grassland
266,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
267,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
268,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
269,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
270,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
271,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
272,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
273,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
274,Grassland,NULL,Forest,Water,Non_Wetland,NULL
275,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
276,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
277,Grassland,NULL,Forest,Water,Non_Wetland,Forest
278,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
279,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
280,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
281,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
282,Grassland,Cropland,Wetland,Water,Wetland,Cropland
283,Grassland,Cropland,Wetland,Water,Wetland,Wetland
284,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
285,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
286,Grassland,Wetland,Wetland,Water,Wetland,Cropland
287,Grassland,Wetland,Wetland,Water,Wetland,Wetland
288,Grassland,Wetland,Wetland,Water,Wetland,Water
289,Grassland,Wetland,Forest,Water,Non_Wetland,Cropland
290,Grassland,Water,Wetland,Water,Wetland,Wetland
291,Grassland,Water,Wetland,Water,Wetland,Water
292,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
293,Grassland,Forest,Wetland,Non_Water,Wetland,NULL
294,Grassland,Forest,Wetland,Water,Wetland,Grassland
295,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
296,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
297,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
298,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
299,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
300,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
301,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
302,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
303,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
304,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
305,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
306,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
307,Cropland,NULL,NULL,Water,Non_Wetland,NULL
308,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
309,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
310,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
311,Cropland,NULL,NULL,Water,Non_Wetland,Forest
312,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
313,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
314,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
315,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
316,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
317,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
318,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
319,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
320,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
321,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
322,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
323,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
324,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
325,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
326,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
327,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
328,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
329,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
330,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
331,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
332,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
333,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
334,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
335,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
336,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
337,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
338,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
339,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
340,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
341,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
342,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
343,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
344,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
345,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
346,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
347,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
348,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
349,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
350,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
351,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
352,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
353,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
354,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
355,Cropland,NULL,Wetland,NULL,Wetland,NULL
356,Cropland,NULL,Wetland,NULL,Wetland,Grassland
357,Cropland,NULL,Wetland,NULL,Wetland,Cropland
358,Cropland,NULL,Wetland,NULL,Wetland,Bareland
359,Cropland,NULL,Wetland,NULL,Wetland,Forest
360,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
361,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
362,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
363,Cropland,NULL,Wetland,Non_Water,Wetland,Water
364,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
365,Cropland,NULL,Wetland,Water,Wetland,NULL
366,Cropland,NULL,Wetland,Water,Wetland,Grassland
367,Cropland,NULL,Wetland,Water,Wetland,Cropland
368,Cropland,NULL,Wetland,Water,Wetland,Wetland
369,Cropland,NULL,Wetland,Water,Wetland,Bareland
370,Cropland,NULL,Wetland,Water,Wetland,Water
371,Cropland,NULL,Wetland,Water,Wetland,Forest
372,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
373,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
374,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
375,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
376,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
377,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
378,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
379,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
380,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
381,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
382,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
383,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL
384,Cropland,NULL,Water,Non_Water,Water,Cropland
385,Cropland,NULL,Water,Water,Water,Cropland
386,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
387,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
388,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
389,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
390,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
391,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
392,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
393,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
394,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
395,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
396,Cropland,NULL,Forest,Water,Non_Wetland,NULL
397,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
398,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
399,Cropland,NULL,Forest,Water,Non_Wetland,Forest
400,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
401,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
402,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
403,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
404,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
405,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
406,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
407,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
408,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
409,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
410,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
411,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
412,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
413,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
414,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
415,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
416,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
417,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
418,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
419,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
420,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
421,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
422,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
423,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
424,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
425,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
426,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
