Value,AFRICA_2024_DynamicWorld_2024_38PKB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKB_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKB_M_R,AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKB_M_R,AFRICA_2024_WorldCover_2021_38PKB_M_R
234,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
235,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
236,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
237,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
238,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
239,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
240,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
241,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
242,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
243,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
244,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
245,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
246,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
247,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
248,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
249,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
250,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
251,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
252,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
253,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
254,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
255,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
256,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
257,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
258,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
259,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
260,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
261,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
262,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
263,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
264,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
265,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
266,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
267,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
268,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
269,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
270,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
271,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
272,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
273,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
274,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
275,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
276,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
277,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
278,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
279,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
280,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
281,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
282,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
283,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
284,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
285,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
286,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
287,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
288,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
289,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
290,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
291,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
292,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
293,Cropland,Cropland,Built-up,Water,Non_Wetland,Bareland
294,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
295,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL
296,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
297,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
298,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
299,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
300,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
301,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
302,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Built-up
303,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
304,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
305,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
306,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
307,Cropland,Bareland,Grassland,NULL,Non_Wetland,Built-up
308,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
309,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
310,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
311,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
312,Cropland,Bareland,Cropland,Water,Non_Wetland,Bareland
313,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
314,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
315,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
316,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
317,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
318,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
319,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
320,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
321,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
322,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
323,Cropland,Bareland,Built-up,NULL,Non_Wetland,Built-up
324,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
325,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
326,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
327,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
328,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
329,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
330,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
331,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
332,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
333,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
334,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
335,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
336,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
337,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
338,Cropland,Built-up,Bareland,NULL,Non_Wetland,Built-up
339,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
340,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
341,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
342,Cropland,Water,Bareland,NULL,Non_Wetland,Cropland
343,Cropland,Water,Bareland,NULL,Non_Wetland,Wetland
344,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
345,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
346,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
347,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
348,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
349,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
350,Wetland,NULL,Wetland,NULL,NULL,Wetland
351,Wetland,NULL,Wetland,NULL,Wetland,NULL
352,Wetland,NULL,Wetland,NULL,Wetland,Grassland
353,Wetland,NULL,Wetland,NULL,Wetland,Cropland
354,Wetland,NULL,Wetland,NULL,Wetland,Wetland
355,Wetland,NULL,Wetland,NULL,Wetland,Bareland
356,Wetland,NULL,Wetland,NULL,Wetland,Water
357,Wetland,NULL,Wetland,NULL,Wetland,Forest
358,Wetland,NULL,Wetland,Non_Water,NULL,Wetland
359,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
360,Wetland,NULL,Wetland,Non_Water,Wetland,Water
361,Wetland,NULL,Wetland,Water,Wetland,Cropland
362,Wetland,NULL,Wetland,Water,Wetland,Wetland
363,Wetland,NULL,Wetland,Water,Wetland,Bareland
364,Wetland,NULL,Wetland,Water,Wetland,Water
365,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
366,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
367,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
368,Wetland,NULL,Bareland,Water,Non_Wetland,Cropland
369,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
370,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
371,Wetland,NULL,Bareland,Water,Non_Wetland,Water
372,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
373,Wetland,NULL,Water,Non_Water,NULL,Wetland
374,Wetland,NULL,Water,Water,NULL,Water
375,Wetland,NULL,Water,Water,Water,Cropland
376,Wetland,NULL,Water,Water,Water,Wetland
377,Wetland,NULL,Water,Water,Water,Water
378,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
379,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
380,Wetland,Wetland,Wetland,NULL,Wetland,Water
381,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
382,Wetland,Wetland,Wetland,Non_Water,Wetland,Bareland
383,Wetland,Wetland,Wetland,Water,Wetland,NULL
384,Wetland,Wetland,Wetland,Water,Wetland,Cropland
385,Wetland,Wetland,Wetland,Water,Wetland,Wetland
386,Wetland,Wetland,Wetland,Water,Wetland,Bareland
387,Wetland,Wetland,Wetland,Water,Wetland,Water
388,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
389,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
390,Wetland,Wetland,Bareland,Water,Non_Wetland,Grassland
391,Wetland,Wetland,Bareland,Water,Non_Wetland,Cropland
392,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland
393,Wetland,Wetland,Bareland,Water,Non_Wetland,Bareland
394,Wetland,Wetland,Bareland,Water,Non_Wetland,Water
395,Wetland,Wetland,Water,Non_Water,Water,Wetland
396,Wetland,Wetland,Water,Water,Water,Wetland
397,Wetland,Bareland,Wetland,NULL,Wetland,Bareland
398,Wetland,Bareland,Wetland,Water,Wetland,Wetland
399,Wetland,Bareland,Wetland,Water,Wetland,Bareland
400,Wetland,Bareland,Wetland,Water,Wetland,Water
401,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
402,Wetland,Bareland,Bareland,Water,Non_Wetland,Cropland
403,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
404,Wetland,Bareland,Bareland,Water,Non_Wetland,Water
405,Wetland,Bareland,Built-up,NULL,Non_Wetland,Bareland
406,Wetland,Water,Cropland,NULL,Non_Wetland,Bareland
407,Wetland,Water,Wetland,NULL,Wetland,NULL
408,Wetland,Water,Wetland,NULL,Wetland,Cropland
409,Wetland,Water,Wetland,NULL,Wetland,Wetland
410,Wetland,Water,Wetland,NULL,Wetland,Bareland
411,Wetland,Water,Wetland,NULL,Wetland,Water
412,Wetland,Water,Wetland,Non_Water,NULL,Wetland
413,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
414,Wetland,Water,Wetland,Non_Water,Wetland,Water
415,Wetland,Water,Wetland,Water,NULL,Water
