Value,AFRICA_2024_DynamicWorld_2024_36PYV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYV_M_R,AFRICA_2024_GSW_Yearly_2021_36PYV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYV_M_R,AFRICA_2024_WorldCover_2021_36PYV_M_R
121,NULL,NULL,Water,Water,Water,Grassland
122,NULL,NULL,Water,Water,Water,Cropland
123,NULL,NULL,Water,Water,Water,Wetland
124,NULL,NULL,Water,Water,Water,Bareland
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL
126,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
127,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
128,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
129,NULL,NULL,Forest,NULL,Non_Wetland,Forest
130,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
131,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
132,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
133,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
134,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
135,NULL,NULL,Forest,Water,Non_Wetland,Grassland
136,NULL,NULL,Forest,Water,Non_Wetland,Cropland
137,NULL,NULL,Forest,Water,Non_Wetland,Wetland
138,NULL,NULL,Forest,Water,Non_Wetland,Forest
139,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
140,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
141,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
142,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
143,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
144,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
145,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
146,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
147,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
148,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
149,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
150,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
157,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
158,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
159,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
160,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
161,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
162,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
163,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
164,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
165,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
167,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
169,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
170,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
171,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
172,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
173,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
174,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
175,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
176,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
177,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
178,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
179,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
180,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
181,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
182,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
183,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
184,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
185,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
186,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
187,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
188,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
189,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
190,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
191,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
192,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
193,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
194,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
195,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
196,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
197,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
198,NULL,Cropland,Wetland,NULL,Wetland,NULL
199,NULL,Cropland,Wetland,NULL,Wetland,Grassland
200,NULL,Cropland,Wetland,NULL,Wetland,Cropland
201,NULL,Cropland,Wetland,NULL,Wetland,Wetland
202,NULL,Cropland,Wetland,NULL,Wetland,Forest
203,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
204,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
205,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
206,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
207,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
208,NULL,Cropland,Wetland,Water,Wetland,Grassland
209,NULL,Cropland,Wetland,Water,Wetland,Cropland
210,NULL,Cropland,Wetland,Water,Wetland,Wetland
211,NULL,Cropland,Wetland,Water,Wetland,Water
212,NULL,Cropland,Wetland,Water,Wetland,Forest
213,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
214,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
215,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
216,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
217,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
218,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
219,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
220,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
221,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
222,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
223,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
224,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
225,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
226,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
227,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
228,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
229,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
230,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
231,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
232,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
233,NULL,Cropland,Water,Non_Water,Water,Grassland
234,NULL,Cropland,Water,Non_Water,Water,Cropland
235,NULL,Cropland,Water,Non_Water,Water,Wetland
236,NULL,Cropland,Water,Non_Water,Water,Forest
237,NULL,Cropland,Water,Water,Water,Cropland
238,NULL,Cropland,Water,Water,Water,Wetland
239,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
240,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
241,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
242,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
243,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
244,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
245,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
246,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
247,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
248,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
249,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
250,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
251,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
252,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
253,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
254,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
255,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
256,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
257,NULL,Wetland,NULL,Non_Water,Non_Wetland,Cropland
258,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
259,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
260,NULL,Wetland,NULL,Water,Non_Wetland,Cropland
261,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
262,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
263,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
264,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
265,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
266,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
267,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
268,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
269,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
270,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
271,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
272,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
273,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
274,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
275,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
276,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
277,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
278,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
279,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
280,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
281,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
282,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
283,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
284,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
285,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
286,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
287,NULL,Wetland,Wetland,NULL,Wetland,Grassland
288,NULL,Wetland,Wetland,NULL,Wetland,Cropland
289,NULL,Wetland,Wetland,NULL,Wetland,Wetland
290,NULL,Wetland,Wetland,NULL,Wetland,Forest
291,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
292,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
293,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
294,NULL,Wetland,Wetland,Water,Wetland,Grassland
295,NULL,Wetland,Wetland,Water,Wetland,Cropland
296,NULL,Wetland,Wetland,Water,Wetland,Wetland
297,NULL,Wetland,Wetland,Water,Wetland,Water
298,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
299,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
300,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
301,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
302,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
303,NULL,Wetland,Bareland,Water,Non_Wetland,Cropland
304,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
305,NULL,Wetland,Water,NULL,Water,Cropland
306,NULL,Wetland,Water,NULL,Water,Wetland
307,NULL,Wetland,Water,Non_Water,Water,Cropland
308,NULL,Wetland,Water,Water,Water,Wetland
309,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
310,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
311,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
312,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
313,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
314,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
315,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
316,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
317,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
318,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
319,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
320,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
321,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
322,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
323,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
324,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
325,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
326,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
327,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
328,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
329,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
330,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
331,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
332,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
334,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
335,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
336,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
337,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
338,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
339,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
340,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
341,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
342,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
343,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
344,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
345,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
346,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
347,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
348,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
349,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
350,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
351,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
352,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
353,NULL,Built-up,Wetland,NULL,Wetland,Grassland
354,NULL,Built-up,Wetland,NULL,Wetland,Forest
355,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
356,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
357,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
358,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
359,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
360,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
361,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
362,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
363,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
364,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
365,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
366,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
367,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
368,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
369,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
370,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
371,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
372,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
373,NULL,Water,NULL,NULL,Non_Wetland,NULL
374,NULL,Water,NULL,NULL,Non_Wetland,Grassland
375,NULL,Water,NULL,NULL,Non_Wetland,Cropland
376,NULL,Water,NULL,NULL,Non_Wetland,Forest
377,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
378,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
379,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
380,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
381,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
382,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
383,NULL,Water,Grassland,NULL,Non_Wetland,Forest
384,NULL,Water,Cropland,NULL,Non_Wetland,NULL
385,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
386,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
387,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
388,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
389,NULL,Water,Cropland,NULL,Non_Wetland,Forest
390,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
391,NULL,Water,Cropland,Water,Non_Wetland,Grassland
392,NULL,Water,Cropland,Water,Non_Wetland,Cropland
393,NULL,Water,Cropland,Water,Non_Wetland,Forest
394,NULL,Water,Wetland,Water,Wetland,Wetland
395,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
396,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
397,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
398,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
399,NULL,Water,Bareland,NULL,Non_Wetland,Forest
400,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
401,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
402,NULL,Water,Bareland,Water,Non_Wetland,Forest
403,NULL,Water,Forest,NULL,Non_Wetland,NULL
404,NULL,Water,Forest,NULL,Non_Wetland,Grassland
405,NULL,Water,Forest,NULL,Non_Wetland,Cropland
406,NULL,Water,Forest,NULL,Non_Wetland,Forest
407,NULL,Forest,NULL,NULL,Non_Wetland,NULL
408,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
409,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
410,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
411,NULL,Forest,NULL,NULL,Non_Wetland,Forest
412,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
413,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
414,NULL,Forest,NULL,Non_Water,Non_Wetland,Cropland
415,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
416,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
417,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
418,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
419,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
420,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
421,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
422,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
423,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
424,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
425,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
