Value,AFRICA_2024_DynamicWorld_2024_36PVR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVR_M_R,AFRICA_2024_GSW_Yearly_2021_36PVR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVR_M_R,AFRICA_2024_WorldCover_2021_36PVR_M_R
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
127,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
128,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
129,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
130,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
131,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
132,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
133,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
134,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
135,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
136,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
137,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
138,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
140,NULL,Wetland,Wetland,NULL,Wetland,Grassland
141,NULL,Wetland,Wetland,NULL,Wetland,Wetland
142,NULL,Wetland,Wetland,NULL,Wetland,Forest
143,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
144,NULL,Wetland,Wetland,Water,Wetland,Forest
145,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
146,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
147,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
148,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
149,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
150,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
151,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
152,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
153,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
154,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
155,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
156,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
164,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
165,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
166,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
167,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
169,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
170,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
171,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
172,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
173,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
176,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
177,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
182,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
183,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
184,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
185,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
186,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
187,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
188,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
190,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
191,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
192,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
193,NULL,Water,Wetland,Non_Water,Wetland,Grassland
194,NULL,Water,Wetland,Water,Wetland,Grassland
195,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
196,NULL,Water,Bareland,Water,Non_Wetland,Grassland
197,NULL,Forest,NULL,NULL,Non_Wetland,NULL
198,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
199,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
200,NULL,Forest,NULL,NULL,Non_Wetland,Water
201,NULL,Forest,NULL,NULL,Non_Wetland,Forest
202,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
203,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
204,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
205,NULL,Forest,NULL,Water,Non_Wetland,Grassland
206,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
207,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
208,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
209,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
210,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
211,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
212,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
213,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
214,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
215,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
216,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
217,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
218,NULL,Forest,Shrubland,Water,Non_Wetland,Water
219,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
220,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
221,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
222,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
223,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
224,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
225,NULL,Forest,Grassland,Water,Non_Wetland,Water
226,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
227,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
228,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
229,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
230,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
231,NULL,Forest,Wetland,NULL,Wetland,NULL
232,NULL,Forest,Wetland,NULL,Wetland,Grassland
233,NULL,Forest,Wetland,NULL,Wetland,Wetland
234,NULL,Forest,Wetland,NULL,Wetland,Water
235,NULL,Forest,Wetland,NULL,Wetland,Forest
236,NULL,Forest,Wetland,Non_Water,Wetland,NULL
237,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
238,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
239,NULL,Forest,Wetland,Non_Water,Wetland,Forest
240,NULL,Forest,Wetland,Water,Wetland,NULL
241,NULL,Forest,Wetland,Water,Wetland,Grassland
242,NULL,Forest,Wetland,Water,Wetland,Wetland
243,NULL,Forest,Wetland,Water,Wetland,Water
244,NULL,Forest,Wetland,Water,Wetland,Forest
245,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
246,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
247,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
248,NULL,Forest,Bareland,NULL,Non_Wetland,Water
249,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
250,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
251,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
252,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
253,NULL,Forest,Water,NULL,Water,NULL
254,NULL,Forest,Water,NULL,Water,Grassland
255,NULL,Forest,Water,NULL,Water,Wetland
256,NULL,Forest,Water,NULL,Water,Water
257,NULL,Forest,Water,NULL,Water,Forest
258,NULL,Forest,Water,Non_Water,Water,Wetland
259,NULL,Forest,Water,Water,Water,NULL
260,NULL,Forest,Water,Water,Water,Grassland
261,NULL,Forest,Water,Water,Water,Wetland
262,NULL,Forest,Water,Water,Water,Water
263,NULL,Forest,Water,Water,Water,Forest
264,NULL,Forest,Forest,NULL,Non_Wetland,NULL
265,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
266,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
267,NULL,Forest,Forest,NULL,Non_Wetland,Water
268,NULL,Forest,Forest,NULL,Non_Wetland,Forest
269,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
270,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
271,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
272,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
273,NULL,Forest,Forest,Water,Non_Wetland,Grassland
274,NULL,Forest,Forest,Water,Non_Wetland,Forest
275,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
276,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
277,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
278,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
279,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
280,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
281,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
282,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
283,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
284,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
285,Grassland,NULL,NULL,Water,Non_Wetland,Water
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
288,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
289,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
290,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
291,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
292,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
293,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
294,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
295,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
296,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
297,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
298,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
299,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
300,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
301,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
302,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
303,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
304,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
305,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
306,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
307,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
308,Grassland,NULL,Grassland,Water,Non_Wetland,Water
309,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
310,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
311,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
312,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
313,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
314,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
315,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
316,Grassland,NULL,Wetland,NULL,Wetland,NULL
317,Grassland,NULL,Wetland,NULL,Wetland,Grassland
318,Grassland,NULL,Wetland,NULL,Wetland,Wetland
319,Grassland,NULL,Wetland,NULL,Wetland,Water
320,Grassland,NULL,Wetland,NULL,Wetland,Forest
321,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
322,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
323,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
324,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
325,Grassland,NULL,Wetland,Water,Wetland,Grassland
326,Grassland,NULL,Wetland,Water,Wetland,Wetland
327,Grassland,NULL,Wetland,Water,Wetland,Water
328,Grassland,NULL,Wetland,Water,Wetland,Forest
329,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
330,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
331,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
332,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
333,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
334,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL
335,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
336,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
337,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
338,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
339,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
340,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
341,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
342,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
343,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
344,Grassland,NULL,Water,NULL,Water,Grassland
345,Grassland,NULL,Water,NULL,Water,Wetland
346,Grassland,NULL,Water,NULL,Water,Water
347,Grassland,NULL,Water,Non_Water,Water,Grassland
348,Grassland,NULL,Water,Water,Water,Grassland
349,Grassland,NULL,Water,Water,Water,Wetland
350,Grassland,NULL,Water,Water,Water,Water
351,Grassland,NULL,Water,Water,Water,Forest
352,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
353,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
354,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
355,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
356,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
357,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
358,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
359,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
360,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
361,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
362,Grassland,NULL,Forest,Water,Non_Wetland,Water
363,Grassland,NULL,Forest,Water,Non_Wetland,Forest
364,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
365,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
366,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
367,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
368,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
369,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
370,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
371,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
372,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
373,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
374,Grassland,Cropland,Wetland,NULL,Wetland,NULL
375,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
376,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
377,Grassland,Cropland,Wetland,NULL,Wetland,Forest
378,Grassland,Cropland,Wetland,Non_Water,Wetland,Water
379,Grassland,Cropland,Wetland,Water,Wetland,Water
380,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
381,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
382,Grassland,Cropland,Water,Non_Water,Water,Grassland
383,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
384,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
385,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
386,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
387,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
388,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
389,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
390,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
391,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
392,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
393,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
394,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
395,Grassland,Wetland,NULL,Water,Non_Wetland,Forest
396,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
397,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
398,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
399,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
400,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
401,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
402,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
403,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water
404,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
405,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
406,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
407,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
408,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
409,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
410,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
411,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
412,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
413,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
414,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
415,Grassland,Wetland,Wetland,NULL,Wetland,NULL
416,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
417,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
418,Grassland,Wetland,Wetland,NULL,Wetland,Water
419,Grassland,Wetland,Wetland,NULL,Wetland,Forest
420,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
421,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
422,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
423,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
424,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
425,Grassland,Wetland,Wetland,Water,Wetland,Grassland
426,Grassland,Wetland,Wetland,Water,Wetland,Wetland
427,Grassland,Wetland,Wetland,Water,Wetland,Water
428,Grassland,Wetland,Wetland,Water,Wetland,Forest
429,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
430,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
431,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
432,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
