Value,AFRICA_2024_DynamicWorld_2024_38NLL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NLL_M_R,AFRICA_2024_GLC_FCS30D_2022_38NLL_M_R,AFRICA_2024_GSW_Yearly_2021_38NLL_M_R,AFRICA_2024_GWL_FCS30D_2022_38NLL_M_R,AFRICA_2024_WorldCover_2021_38NLL_M_R
120,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
121,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
122,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
123,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
124,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
125,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
126,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
127,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
128,NULL,Forest,Forest,NULL,Non_Wetland,NULL
129,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
130,NULL,Forest,Forest,NULL,Non_Wetland,Forest
131,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
132,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
133,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
134,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
135,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
136,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
137,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
138,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
139,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
140,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
141,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
142,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
143,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
144,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
145,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
146,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
147,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
148,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
149,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
150,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
151,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
152,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
153,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
154,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
155,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
156,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
157,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
158,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
159,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
160,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
161,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
162,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
163,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
164,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
165,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
166,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
167,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
168,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
169,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
170,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
171,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
172,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
173,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
174,Bareland,NULL,Water,Water,Water,Grassland
175,Bareland,NULL,Water,Water,Water,Bareland
176,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
177,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
178,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
179,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
180,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
181,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland
182,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
183,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
184,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
185,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
186,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
187,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
188,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
189,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
190,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
191,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
192,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
193,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
194,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
195,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
196,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
197,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
198,Water,NULL,Grassland,NULL,Non_Wetland,NULL
199,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
200,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
201,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
202,Water,NULL,Grassland,Non_Water,Non_Wetland,Bareland
203,Water,NULL,Grassland,Water,Non_Wetland,Grassland
204,Water,NULL,Grassland,Water,Non_Wetland,Bareland
205,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
206,Water,NULL,Bareland,Non_Water,Non_Wetland,Bareland
207,Water,NULL,Bareland,Water,Non_Wetland,Grassland
208,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
209,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
210,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
211,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
212,Water,Water,Grassland,NULL,Non_Wetland,Bareland
213,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland
214,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland
215,Water,Water,Grassland,Water,Non_Wetland,Bareland
216,Water,Water,Bareland,NULL,Non_Wetland,Bareland
217,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland
218,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
219,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland
220,Forest,NULL,NULL,NULL,Non_Wetland,NULL
221,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
222,Forest,NULL,NULL,NULL,Non_Wetland,Forest
223,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
224,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
225,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
226,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
227,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
228,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
229,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
230,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
231,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
232,Forest,NULL,Forest,NULL,Non_Wetland,NULL
233,Forest,Forest,NULL,NULL,Non_Wetland,NULL
234,Forest,Forest,NULL,NULL,Non_Wetland,Forest
235,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
236,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
237,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
238,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
239,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
240,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
241,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
242,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
243,Forest,Forest,Forest,NULL,Non_Wetland,NULL
