Value,AFRICA_2024_DynamicWorld_2024_37PHN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,AFRICA_2024_GSW_Yearly_2021_37PHN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,AFRICA_2024_WorldCover_2021_37PHN_M_R
117,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
118,NULL,Bareland,Wetland,Water,Wetland,Bareland
119,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
120,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
121,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
122,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
123,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
124,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
125,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
126,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
127,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
128,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
129,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
130,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
131,NULL,Bareland,Bareland,Water,Non_Wetland,Water
132,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
133,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
134,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
135,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
136,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
137,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
142,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
143,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
144,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
145,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
146,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
147,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
149,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
150,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
151,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
153,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
154,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
155,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
156,NULL,Built-up,Wetland,Water,Wetland,Bareland
157,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
158,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
160,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
163,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
167,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
168,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
169,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
170,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
171,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
176,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
177,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
178,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
179,NULL,Built-up,Water,Water,Water,Built-up
180,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
181,NULL,Water,Built-up,NULL,Non_Wetland,NULL
182,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
183,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
184,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
185,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
186,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
187,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
188,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
189,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
190,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
191,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
192,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
193,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
194,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
195,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
196,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
197,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
198,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
199,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
200,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
201,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
202,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
203,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
204,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
205,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
206,Cropland,NULL,NULL,Water,Non_Wetland,NULL
207,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
208,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
209,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
210,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
211,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
212,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
213,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
214,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
215,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
216,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
217,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
218,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
219,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
220,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
221,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
222,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
223,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
224,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
225,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
226,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
227,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
228,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
229,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
230,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
231,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
232,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
233,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
234,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
235,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
236,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
237,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
238,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
239,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
240,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
241,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
242,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
243,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
244,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
245,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
246,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
247,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
248,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
249,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
250,Cropland,NULL,Wetland,NULL,Wetland,NULL
251,Cropland,NULL,Wetland,NULL,Wetland,Grassland
252,Cropland,NULL,Wetland,NULL,Wetland,Cropland
253,Cropland,NULL,Wetland,NULL,Wetland,Wetland
254,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
255,Cropland,NULL,Wetland,Water,Wetland,Cropland
256,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
257,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
258,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
259,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
260,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
261,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
262,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
263,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
264,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
265,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
266,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
267,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
268,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
269,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
270,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
271,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
272,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
273,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
274,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
275,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
276,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
277,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
278,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
279,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
280,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
281,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL
282,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
283,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
284,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
285,Cropland,NULL,Built-up,Water,Non_Wetland,NULL
286,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
287,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
288,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
289,Cropland,NULL,Water,Non_Water,Water,Cropland
290,Cropland,NULL,Water,Non_Water,Water,Wetland
291,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
292,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
293,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
294,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
295,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
296,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
297,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
298,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
299,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
300,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
301,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
302,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
303,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
304,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
305,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
306,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
307,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
308,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
309,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
310,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
311,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
312,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
313,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
314,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
315,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
316,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
317,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
318,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
319,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
320,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
321,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
322,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
323,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
324,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
325,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
326,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
327,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
328,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
329,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
330,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
331,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
332,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
333,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
334,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
335,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
336,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
337,Cropland,Cropland,Water,Non_Water,Water,Wetland
338,Cropland,Cropland,Water,Non_Water,Water,Bareland
339,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
340,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
341,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
342,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
343,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
344,Cropland,Wetland,Grassland,NULL,Non_Wetland,Cropland
345,Cropland,Wetland,Grassland,NULL,Non_Wetland,Wetland
346,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL
347,Cropland,Wetland,Cropland,NULL,Non_Wetland,Cropland
348,Cropland,Wetland,Cropland,NULL,Non_Wetland,Wetland
349,Cropland,Wetland,Bareland,NULL,Non_Wetland,Cropland
350,Cropland,Wetland,Bareland,NULL,Non_Wetland,Bareland
351,Cropland,Wetland,Built-up,NULL,Non_Wetland,NULL
352,Cropland,Wetland,Built-up,NULL,Non_Wetland,Cropland
353,Cropland,Wetland,Built-up,NULL,Non_Wetland,Bareland
354,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
355,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
356,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
357,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
358,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
359,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
360,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
361,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
362,Cropland,Bareland,Grassland,NULL,Non_Wetland,Wetland
363,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
364,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,NULL
365,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
366,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
367,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
368,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
369,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
370,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
371,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
372,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
373,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
374,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
375,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
376,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL
377,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
378,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
379,Cropland,Bareland,Bareland,Water,Non_Wetland,Cropland
380,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
381,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
382,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
383,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
384,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
385,Cropland,Bareland,Built-up,Non_Water,Non_Wetland,NULL
386,Cropland,Bareland,Water,NULL,Water,Cropland
387,Cropland,Bareland,Water,NULL,Water,Bareland
388,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
389,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
390,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
391,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
392,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
393,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
394,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
395,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
396,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
397,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
398,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
399,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
400,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
401,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
402,Cropland,Water,Grassland,NULL,Non_Wetland,NULL
403,Cropland,Water,Grassland,NULL,Non_Wetland,Wetland
404,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
405,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
406,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
407,Cropland,Water,Water,Non_Water,Water,Cropland
408,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
409,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
