Value,AFRICA_2024_DynamicWorld_2024_36PZU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZU_M_R,AFRICA_2024_GSW_Yearly_2021_36PZU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZU_M_R,AFRICA_2024_WorldCover_2021_36PZU_M_R
119,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
120,NULL,Cropland,Bareland,Water,Non_Wetland,Water
121,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
122,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
127,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
131,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
132,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
133,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
134,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
135,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
136,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
137,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
138,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
139,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
140,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
141,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
142,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
151,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
154,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
155,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
156,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
157,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
160,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
162,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
163,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
164,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
166,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
169,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
170,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
172,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
174,NULL,Water,NULL,NULL,Non_Wetland,NULL
175,NULL,Water,NULL,NULL,Non_Wetland,Grassland
176,NULL,Water,NULL,NULL,Non_Wetland,Cropland
177,NULL,Water,NULL,NULL,Non_Wetland,Forest
178,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
179,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
180,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
181,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
182,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
183,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
184,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
185,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
186,NULL,Water,Cropland,NULL,Non_Wetland,NULL
187,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
188,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
189,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
190,NULL,Water,Cropland,NULL,Non_Wetland,Forest
191,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
192,NULL,Water,Cropland,Water,Non_Wetland,Grassland
193,NULL,Water,Cropland,Water,Non_Wetland,Forest
194,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
195,NULL,Water,Bareland,NULL,Non_Wetland,NULL
196,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
197,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
198,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
199,NULL,Water,Bareland,NULL,Non_Wetland,Water
200,NULL,Water,Bareland,NULL,Non_Wetland,Forest
201,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
202,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
203,NULL,Water,Bareland,Water,Non_Wetland,Grassland
204,NULL,Water,Bareland,Water,Non_Wetland,Cropland
205,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
206,NULL,Water,Built-up,NULL,Non_Wetland,Forest
207,NULL,Water,Forest,NULL,Non_Wetland,NULL
208,NULL,Water,Forest,NULL,Non_Wetland,Grassland
209,NULL,Water,Forest,NULL,Non_Wetland,Cropland
210,NULL,Water,Forest,NULL,Non_Wetland,Bareland
211,NULL,Water,Forest,NULL,Non_Wetland,Water
212,NULL,Water,Forest,NULL,Non_Wetland,Forest
213,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
214,NULL,Water,Forest,Non_Water,Non_Wetland,Cropland
215,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
216,NULL,Water,Forest,Water,Non_Wetland,Grassland
217,NULL,Water,Forest,Water,Non_Wetland,Forest
218,NULL,Forest,NULL,NULL,Non_Wetland,NULL
219,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
220,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
221,NULL,Forest,NULL,NULL,Non_Wetland,Forest
222,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
223,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
224,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
225,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
226,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
227,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
228,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
229,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
230,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
231,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
232,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
233,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
234,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
235,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
236,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
237,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
238,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
239,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
240,NULL,Forest,Forest,NULL,Non_Wetland,NULL
241,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
242,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
243,NULL,Forest,Forest,NULL,Non_Wetland,Forest
244,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
245,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
246,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
247,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
248,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
253,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
254,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
255,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
256,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
257,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
258,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
259,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
260,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
261,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
262,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
263,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
264,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
265,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
266,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
267,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
268,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
269,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
270,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
271,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
272,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
273,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
274,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
275,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
276,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
277,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
278,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
279,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
280,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
281,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
282,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
283,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
284,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
285,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland
286,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
287,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
288,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
289,Grassland,Wetland,Shrubland,Water,Non_Wetland,Cropland
290,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
291,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
292,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
293,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
294,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
295,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
296,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
297,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
298,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
299,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
300,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
301,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
302,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
303,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
304,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
305,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
306,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
307,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
308,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
309,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
310,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
311,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
312,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
313,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
314,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
315,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
316,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
317,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
318,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
319,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
320,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
321,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
322,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
323,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
324,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
325,Cropland,NULL,Wetland,NULL,Wetland,Forest
326,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
327,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
328,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
329,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
330,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
331,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
332,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
333,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
334,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
335,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
336,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
337,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
338,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
339,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
340,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
341,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
342,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
343,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
344,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
345,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
346,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
347,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
348,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
349,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
350,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
351,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
352,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
353,Cropland,NULL,Forest,Water,Non_Wetland,Forest
354,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
355,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
356,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
357,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
358,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
359,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
360,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
361,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
362,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
363,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
364,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
365,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
366,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
367,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
368,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
369,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
370,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
371,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
372,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
373,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
374,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
375,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
376,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
377,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
378,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
379,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
380,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
381,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
382,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
383,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
384,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
385,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
386,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
387,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
388,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
389,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
390,Cropland,Cropland,Water,NULL,Water,Cropland
391,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
392,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
393,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
394,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
395,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
396,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
397,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
398,Cropland,Cropland,Forest,Water,Non_Wetland,NULL
399,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
400,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
401,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
402,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
403,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
404,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
405,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
406,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
407,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
408,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
409,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
410,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
411,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
412,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
413,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
414,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
415,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
416,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
417,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
