Value,AFRICA_2024_DynamicWorld_2024_35NMF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NMF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NMF_M_R,AFRICA_2024_GSW_Yearly_2021_35NMF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NMF_M_R,AFRICA_2024_WorldCover_2021_35NMF_M_R
124,NULL,Wetland,Wetland,NULL,Wetland,Water
125,NULL,Wetland,Wetland,NULL,Wetland,Forest
126,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
127,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
128,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
129,NULL,Wetland,Wetland,Water,Wetland,Grassland
130,NULL,Wetland,Wetland,Water,Wetland,Wetland
131,NULL,Wetland,Wetland,Water,Wetland,Water
132,NULL,Wetland,Wetland,Water,Wetland,Forest
133,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
134,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
135,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
136,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
137,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
138,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
139,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
140,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
141,NULL,Wetland,Built-up,Water,Non_Wetland,Water
142,NULL,Wetland,Water,NULL,Water,Forest
143,NULL,Wetland,Water,Non_Water,Water,Wetland
144,NULL,Wetland,Water,Non_Water,Water,Water
145,NULL,Wetland,Water,Non_Water,Water,Forest
146,NULL,Wetland,Water,Water,Water,Wetland
147,NULL,Wetland,Water,Water,Water,Water
148,NULL,Wetland,Water,Water,Water,Forest
149,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
150,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
151,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
152,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
153,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
154,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
155,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
156,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
157,NULL,Wetland,Forest,Water,Non_Wetland,Water
158,NULL,Wetland,Forest,Water,Non_Wetland,Forest
159,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
160,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
161,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
162,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
167,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
169,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
170,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
172,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
173,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
178,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
179,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
181,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
182,NULL,Water,NULL,NULL,Non_Wetland,Grassland
183,NULL,Water,NULL,NULL,Non_Wetland,Bareland
184,NULL,Water,NULL,NULL,Non_Wetland,Water
185,NULL,Water,NULL,NULL,Non_Wetland,Forest
186,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
187,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland
188,NULL,Water,NULL,Non_Water,Non_Wetland,Water
189,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
190,NULL,Water,NULL,Water,Non_Wetland,Water
191,NULL,Water,NULL,Water,Non_Wetland,Forest
192,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
193,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
194,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
195,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
196,NULL,Water,Shrubland,NULL,Non_Wetland,Water
197,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
198,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
199,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
200,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
201,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
202,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
203,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
204,NULL,Water,Shrubland,Water,Non_Wetland,Forest
205,NULL,Water,Grassland,NULL,Non_Wetland,Forest
206,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
207,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
208,NULL,Water,Cropland,Water,Non_Wetland,Forest
209,NULL,Water,Wetland,NULL,Wetland,NULL
210,NULL,Water,Wetland,NULL,Wetland,Grassland
211,NULL,Water,Wetland,NULL,Wetland,Wetland
212,NULL,Water,Wetland,NULL,Wetland,Bareland
213,NULL,Water,Wetland,NULL,Wetland,Water
214,NULL,Water,Wetland,NULL,Wetland,Forest
215,NULL,Water,Wetland,Non_Water,Wetland,Grassland
216,NULL,Water,Wetland,Non_Water,Wetland,Wetland
217,NULL,Water,Wetland,Non_Water,Wetland,Bareland
218,NULL,Water,Wetland,Non_Water,Wetland,Water
219,NULL,Water,Wetland,Non_Water,Wetland,Forest
220,NULL,Water,Wetland,Water,Wetland,Grassland
221,NULL,Water,Wetland,Water,Wetland,Wetland
222,NULL,Water,Wetland,Water,Wetland,Bareland
223,NULL,Water,Wetland,Water,Wetland,Water
224,NULL,Water,Wetland,Water,Wetland,Forest
225,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
226,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
227,NULL,Water,Bareland,NULL,Non_Wetland,Forest
228,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
229,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
230,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
231,NULL,Water,Bareland,Water,Non_Wetland,Water
232,NULL,Water,Bareland,Water,Non_Wetland,Forest
233,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
234,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
235,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
236,NULL,Water,Built-up,NULL,Non_Wetland,Water
237,NULL,Water,Built-up,NULL,Non_Wetland,Forest
238,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
239,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
240,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
241,NULL,Water,Built-up,Water,Non_Wetland,Grassland
242,NULL,Water,Built-up,Water,Non_Wetland,Bareland
243,NULL,Water,Built-up,Water,Non_Wetland,Water
244,NULL,Water,Built-up,Water,Non_Wetland,Forest
245,NULL,Water,Water,NULL,Water,Grassland
246,NULL,Water,Water,NULL,Water,Wetland
247,NULL,Water,Water,NULL,Water,Bareland
248,NULL,Water,Water,NULL,Water,Water
249,NULL,Water,Water,NULL,Water,Forest
250,NULL,Water,Water,Non_Water,Water,Grassland
251,NULL,Water,Water,Non_Water,Water,Wetland
252,NULL,Water,Water,Non_Water,Water,Bareland
253,NULL,Water,Water,Non_Water,Water,Water
254,NULL,Water,Water,Non_Water,Water,Forest
255,NULL,Water,Water,Water,Water,Grassland
256,NULL,Water,Water,Water,Water,Wetland
257,NULL,Water,Water,Water,Water,Bareland
258,NULL,Water,Water,Water,Water,Water
259,NULL,Water,Water,Water,Water,Forest
260,NULL,Water,Forest,NULL,Non_Wetland,NULL
261,NULL,Water,Forest,NULL,Non_Wetland,Grassland
262,NULL,Water,Forest,NULL,Non_Wetland,Wetland
263,NULL,Water,Forest,NULL,Non_Wetland,Bareland
264,NULL,Water,Forest,NULL,Non_Wetland,Water
265,NULL,Water,Forest,NULL,Non_Wetland,Forest
266,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
267,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
268,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
269,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
270,NULL,Water,Forest,Non_Water,Non_Wetland,Water
271,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
272,NULL,Water,Forest,Water,Non_Wetland,Grassland
273,NULL,Water,Forest,Water,Non_Wetland,Wetland
274,NULL,Water,Forest,Water,Non_Wetland,Bareland
275,NULL,Water,Forest,Water,Non_Wetland,Water
276,NULL,Water,Forest,Water,Non_Wetland,Forest
277,NULL,Forest,NULL,NULL,Non_Wetland,NULL
278,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
279,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
280,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
281,NULL,Forest,NULL,NULL,Non_Wetland,Forest
282,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
283,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
284,NULL,Forest,NULL,Water,Non_Wetland,Forest
285,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
286,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
287,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
288,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
289,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
290,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
291,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
292,NULL,Forest,Shrubland,Water,Non_Wetland,Water
293,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
294,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
295,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
296,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
297,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
298,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
299,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
300,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
301,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
302,NULL,Forest,Wetland,NULL,Wetland,NULL
303,NULL,Forest,Wetland,NULL,Wetland,Grassland
304,NULL,Forest,Wetland,NULL,Wetland,Wetland
305,NULL,Forest,Wetland,NULL,Wetland,Water
306,NULL,Forest,Wetland,NULL,Wetland,Forest
307,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
308,NULL,Forest,Wetland,Non_Water,Wetland,Forest
309,NULL,Forest,Wetland,Water,Wetland,Water
310,NULL,Forest,Wetland,Water,Wetland,Forest
311,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
312,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
313,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
314,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
315,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
316,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
317,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
318,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
319,NULL,Forest,Built-up,Water,Non_Wetland,Forest
320,NULL,Forest,Water,NULL,Water,Grassland
321,NULL,Forest,Water,NULL,Water,Forest
322,NULL,Forest,Water,Non_Water,Water,Forest
323,NULL,Forest,Water,Water,Water,Water
324,NULL,Forest,Water,Water,Water,Forest
325,NULL,Forest,Forest,NULL,Non_Wetland,NULL
326,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
327,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
328,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
329,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
330,NULL,Forest,Forest,NULL,Non_Wetland,Forest
331,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
332,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
333,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
334,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
335,NULL,Forest,Forest,Water,Non_Wetland,Grassland
336,NULL,Forest,Forest,Water,Non_Wetland,Forest
337,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
338,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
339,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
340,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
341,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
342,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
343,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
344,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
345,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
346,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
347,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
348,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
349,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
350,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
351,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
352,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
353,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
354,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
355,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
356,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
357,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
358,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
359,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
360,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
361,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
362,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
363,Water,NULL,Forest,NULL,Non_Wetland,NULL
364,Water,NULL,Forest,NULL,Non_Wetland,Grassland
365,Water,NULL,Forest,NULL,Non_Wetland,Wetland
366,Water,NULL,Forest,NULL,Non_Wetland,Forest
367,Forest,NULL,NULL,NULL,Non_Wetland,NULL
368,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
369,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
370,Forest,NULL,NULL,NULL,Non_Wetland,Forest
371,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
372,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
373,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
374,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
375,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
376,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
377,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
378,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
379,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
380,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
381,Forest,NULL,Wetland,NULL,Wetland,Wetland
382,Forest,NULL,Wetland,NULL,Wetland,Forest
383,Forest,NULL,Forest,NULL,Non_Wetland,NULL
384,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
385,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
386,Forest,NULL,Forest,NULL,Non_Wetland,Forest
387,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
388,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
389,Forest,Forest,NULL,NULL,Non_Wetland,NULL
390,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
391,Forest,Forest,NULL,NULL,Non_Wetland,Forest
392,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
393,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
394,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
395,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
396,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
397,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
398,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
399,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
400,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
401,Forest,Forest,Wetland,NULL,Wetland,Forest
402,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
403,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
404,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
405,Forest,Forest,Forest,NULL,Non_Wetland,NULL
406,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
407,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
408,Forest,Forest,Forest,NULL,Non_Wetland,Forest
