Value,AFRICA_2024_DynamicWorld_2024_37NGG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGG_M_R,AFRICA_2024_GSW_Yearly_2021_37NGG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGG_M_R,AFRICA_2024_WorldCover_2021_37NGG_M_R
120,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
121,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
122,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
123,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
124,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
125,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
126,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
128,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
130,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
132,NULL,Water,NULL,NULL,Non_Wetland,NULL
133,NULL,Water,NULL,NULL,Non_Wetland,Grassland
134,NULL,Water,NULL,NULL,Non_Wetland,Cropland
135,NULL,Water,NULL,NULL,Non_Wetland,Bareland
136,NULL,Water,NULL,NULL,Non_Wetland,Water
137,NULL,Water,NULL,NULL,Non_Wetland,Forest
138,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
139,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
140,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
141,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
142,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
143,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
144,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
145,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
146,NULL,Water,Shrubland,Water,Non_Wetland,Forest
147,NULL,Water,Grassland,NULL,Non_Wetland,NULL
148,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
150,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
151,NULL,Water,Grassland,NULL,Non_Wetland,Forest
152,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
153,NULL,Water,Grassland,Water,Non_Wetland,Grassland
154,NULL,Water,Cropland,NULL,Non_Wetland,NULL
155,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
156,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
157,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
158,NULL,Water,Cropland,NULL,Non_Wetland,Forest
159,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
160,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
161,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
162,NULL,Water,Cropland,Water,Non_Wetland,NULL
163,NULL,Water,Cropland,Water,Non_Wetland,Grassland
164,NULL,Water,Cropland,Water,Non_Wetland,Forest
165,NULL,Water,Bareland,NULL,Non_Wetland,NULL
166,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
167,NULL,Water,Bareland,NULL,Non_Wetland,Forest
168,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
169,NULL,Water,Water,NULL,Water,Grassland
170,NULL,Water,Forest,NULL,Non_Wetland,NULL
171,NULL,Water,Forest,NULL,Non_Wetland,Grassland
172,NULL,Water,Forest,NULL,Non_Wetland,Forest
173,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
174,NULL,Water,Forest,Water,Non_Wetland,Forest
175,NULL,Forest,NULL,NULL,Non_Wetland,NULL
176,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
177,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
178,NULL,Forest,NULL,NULL,Non_Wetland,Forest
179,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
180,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
181,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
182,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
186,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
187,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
188,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
189,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
190,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
191,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
192,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
193,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
194,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
195,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
196,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
197,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
198,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
199,NULL,Forest,Cropland,Water,Non_Wetland,Forest
200,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
201,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
202,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
203,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
204,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
205,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
206,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
207,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
208,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
209,NULL,Forest,Forest,NULL,Non_Wetland,NULL
210,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
211,NULL,Forest,Forest,NULL,Non_Wetland,Forest
212,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
213,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
214,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
215,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
216,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
217,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
218,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
219,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
220,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
221,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
222,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
223,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
224,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
225,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
226,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
227,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
228,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
229,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
230,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
231,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
232,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
233,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
234,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
235,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
236,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
237,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
238,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
239,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
240,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
241,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
242,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
243,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
244,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
245,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
246,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
247,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
248,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
249,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
250,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
251,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
252,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
253,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
254,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
255,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
256,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
257,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
258,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
259,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
260,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
261,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
262,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
263,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
264,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
265,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
266,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
267,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
268,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
269,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
270,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
271,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
272,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
273,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
274,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
275,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
276,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
277,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
278,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
279,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
280,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
281,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
282,Cropland,NULL,Water,NULL,Water,Grassland
283,Cropland,NULL,Water,NULL,Water,Cropland
284,Cropland,NULL,Water,NULL,Water,Forest
285,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
286,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
287,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
288,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
289,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
290,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
291,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
292,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
293,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
294,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
295,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
296,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
297,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
298,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
299,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
300,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
301,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
302,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
303,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
304,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
305,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
306,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
307,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
308,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
309,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
310,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
311,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
312,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
313,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
314,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
315,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
316,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
317,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
318,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
319,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
320,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
321,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
322,Cropland,Water,NULL,NULL,Non_Wetland,Forest
323,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
324,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
325,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL
326,Cropland,Water,Grassland,NULL,Non_Wetland,NULL
327,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
328,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
329,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
330,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
331,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
332,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
333,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
334,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
335,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
336,Cropland,Water,Cropland,Non_Water,Non_Wetland,Forest
337,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
338,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
339,Cropland,Water,Bareland,NULL,Non_Wetland,Forest
340,Cropland,Water,Water,NULL,Water,Grassland
341,Cropland,Water,Forest,NULL,Non_Wetland,NULL
342,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
343,Cropland,Water,Forest,NULL,Non_Wetland,Forest
344,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
345,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
346,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
347,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
348,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
349,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
350,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
351,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
352,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
353,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
354,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
355,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
356,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
357,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
358,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
359,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
360,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
361,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
362,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
363,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
364,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
365,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
366,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
367,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
368,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
369,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
370,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
371,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
372,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
373,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
374,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
375,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
376,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
377,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
378,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
379,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
380,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
381,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
382,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
383,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
384,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
385,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
386,Wetland,NULL,Cropland,Water,Non_Wetland,NULL
387,Wetland,NULL,Cropland,Water,Non_Wetland,Forest
388,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
389,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
390,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
391,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Forest
392,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
393,Wetland,NULL,Water,NULL,Water,Forest
394,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
395,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
396,Wetland,NULL,Forest,Water,Non_Wetland,Forest
397,Wetland,Water,NULL,NULL,Non_Wetland,NULL
398,Wetland,Water,NULL,NULL,Non_Wetland,Grassland
399,Wetland,Water,NULL,NULL,Non_Wetland,Forest
400,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
401,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
402,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
403,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
404,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland
405,Wetland,Water,Grassland,NULL,Non_Wetland,Forest
406,Wetland,Water,Grassland,Non_Water,Non_Wetland,Grassland
407,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
408,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
409,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
410,Wetland,Water,Cropland,Non_Water,Non_Wetland,Grassland
411,Wetland,Water,Cropland,Non_Water,Non_Wetland,Forest
412,Wetland,Water,Cropland,Water,Non_Wetland,NULL
413,Wetland,Water,Cropland,Water,Non_Wetland,Forest
414,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
415,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
416,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
417,Wetland,Water,Bareland,Non_Water,Non_Wetland,Forest
418,Wetland,Water,Bareland,Water,Non_Wetland,Forest
419,Wetland,Water,Built-up,NULL,Non_Wetland,Forest
420,Wetland,Water,Built-up,Non_Water,Non_Wetland,Forest
421,Wetland,Water,Built-up,Water,Non_Wetland,Forest
422,Wetland,Water,Forest,NULL,Non_Wetland,NULL
423,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
