Value,AFRICA_2024_DynamicWorld_2024_35NPG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPG_M_R,AFRICA_2024_GSW_Yearly_2021_35NPG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPG_M_R,AFRICA_2024_WorldCover_2021_35NPG_M_R
121,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
122,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
123,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
124,Wetland,Forest,Wetland,NULL,Wetland,Forest
125,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
126,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
127,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
128,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
129,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
130,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
131,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
132,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
133,Water,NULL,NULL,NULL,Non_Wetland,Grassland
134,Water,NULL,NULL,NULL,Non_Wetland,Forest
135,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
136,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
137,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
138,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
139,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
140,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
141,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
142,Water,NULL,Shrubland,Water,Non_Wetland,Forest
143,Water,NULL,Wetland,NULL,Wetland,NULL
144,Water,NULL,Wetland,NULL,Wetland,Grassland
145,Water,NULL,Wetland,NULL,Wetland,Wetland
146,Water,NULL,Wetland,NULL,Wetland,Forest
147,Water,NULL,Wetland,Non_Water,Wetland,NULL
148,Water,NULL,Wetland,Non_Water,Wetland,Grassland
149,Water,NULL,Wetland,Non_Water,Wetland,Forest
150,Water,NULL,Wetland,Water,Wetland,Forest
151,Water,NULL,Water,NULL,Water,Forest
152,Water,NULL,Forest,NULL,Non_Wetland,NULL
153,Water,NULL,Forest,NULL,Non_Wetland,Grassland
154,Water,NULL,Forest,NULL,Non_Wetland,Forest
155,Water,NULL,Forest,Non_Water,Non_Wetland,NULL
156,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
157,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
158,Water,Water,NULL,NULL,Non_Wetland,Grassland
159,Water,Water,NULL,NULL,Non_Wetland,Wetland
160,Water,Water,NULL,NULL,Non_Wetland,Forest
161,Water,Water,NULL,Non_Water,Non_Wetland,Grassland
162,Water,Water,NULL,Non_Water,Non_Wetland,Bareland
163,Water,Water,NULL,Non_Water,Non_Wetland,Water
164,Water,Water,NULL,Non_Water,Non_Wetland,Forest
165,Water,Water,NULL,Water,Non_Wetland,Grassland
166,Water,Water,NULL,Water,Non_Wetland,Forest
167,Water,Water,Shrubland,NULL,Non_Wetland,NULL
168,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
169,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
170,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
171,Water,Water,Shrubland,NULL,Non_Wetland,Water
172,Water,Water,Shrubland,NULL,Non_Wetland,Forest
173,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL
174,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
175,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
176,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
177,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
178,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
179,Water,Water,Shrubland,Water,Non_Wetland,NULL
180,Water,Water,Shrubland,Water,Non_Wetland,Grassland
181,Water,Water,Shrubland,Water,Non_Wetland,Wetland
182,Water,Water,Shrubland,Water,Non_Wetland,Bareland
183,Water,Water,Shrubland,Water,Non_Wetland,Water
184,Water,Water,Shrubland,Water,Non_Wetland,Forest
185,Water,Water,Cropland,NULL,Non_Wetland,Forest
186,Water,Water,Wetland,NULL,Wetland,NULL
187,Water,Water,Wetland,NULL,Wetland,Grassland
188,Water,Water,Wetland,NULL,Wetland,Wetland
189,Water,Water,Wetland,NULL,Wetland,Bareland
190,Water,Water,Wetland,NULL,Wetland,Water
191,Water,Water,Wetland,NULL,Wetland,Forest
192,Water,Water,Wetland,Non_Water,Wetland,NULL
193,Water,Water,Wetland,Non_Water,Wetland,Grassland
194,Water,Water,Wetland,Non_Water,Wetland,Wetland
195,Water,Water,Wetland,Non_Water,Wetland,Water
196,Water,Water,Wetland,Non_Water,Wetland,Forest
197,Water,Water,Wetland,Water,Wetland,NULL
198,Water,Water,Wetland,Water,Wetland,Grassland
199,Water,Water,Wetland,Water,Wetland,Wetland
200,Water,Water,Wetland,Water,Wetland,Bareland
201,Water,Water,Wetland,Water,Wetland,Water
202,Water,Water,Wetland,Water,Wetland,Forest
203,Water,Water,Bareland,NULL,Non_Wetland,Grassland
204,Water,Water,Bareland,NULL,Non_Wetland,Forest
205,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
206,Water,Water,Bareland,Water,Non_Wetland,Forest
207,Water,Water,Built-up,NULL,Non_Wetland,Forest
208,Water,Water,Built-up,Non_Water,Non_Wetland,Forest
209,Water,Water,Water,NULL,Water,NULL
210,Water,Water,Water,NULL,Water,Grassland
211,Water,Water,Water,NULL,Water,Wetland
212,Water,Water,Water,NULL,Water,Bareland
213,Water,Water,Water,NULL,Water,Water
214,Water,Water,Water,NULL,Water,Forest
215,Water,Water,Water,Non_Water,Water,Grassland
216,Water,Water,Water,Non_Water,Water,Water
217,Water,Water,Water,Non_Water,Water,Forest
218,Water,Water,Water,Water,Water,Grassland
219,Water,Water,Water,Water,Water,Bareland
220,Water,Water,Water,Water,Water,Water
221,Water,Water,Water,Water,Water,Forest
222,Water,Water,Forest,NULL,Non_Wetland,NULL
223,Water,Water,Forest,NULL,Non_Wetland,Grassland
224,Water,Water,Forest,NULL,Non_Wetland,Wetland
225,Water,Water,Forest,NULL,Non_Wetland,Bareland
226,Water,Water,Forest,NULL,Non_Wetland,Water
227,Water,Water,Forest,NULL,Non_Wetland,Forest
228,Water,Water,Forest,Non_Water,Non_Wetland,NULL
229,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
230,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
231,Water,Water,Forest,Non_Water,Non_Wetland,Forest
232,Water,Water,Forest,Water,Non_Wetland,Grassland
233,Water,Water,Forest,Water,Non_Wetland,Wetland
234,Water,Water,Forest,Water,Non_Wetland,Water
235,Water,Water,Forest,Water,Non_Wetland,Forest
236,Water,Forest,NULL,NULL,Non_Wetland,Grassland
237,Water,Forest,NULL,NULL,Non_Wetland,Forest
238,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
239,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
240,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
241,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL
242,Water,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
243,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
244,Water,Forest,Shrubland,Water,Non_Wetland,NULL
245,Water,Forest,Shrubland,Water,Non_Wetland,Grassland
246,Water,Forest,Shrubland,Water,Non_Wetland,Forest
247,Water,Forest,Wetland,NULL,Wetland,Grassland
248,Water,Forest,Wetland,NULL,Wetland,Wetland
249,Water,Forest,Wetland,NULL,Wetland,Forest
250,Water,Forest,Wetland,Non_Water,Wetland,NULL
251,Water,Forest,Wetland,Non_Water,Wetland,Grassland
252,Water,Forest,Wetland,Non_Water,Wetland,Forest
253,Water,Forest,Bareland,NULL,Non_Wetland,Forest
254,Water,Forest,Water,NULL,Water,Forest
255,Water,Forest,Forest,NULL,Non_Wetland,NULL
256,Water,Forest,Forest,NULL,Non_Wetland,Grassland
257,Water,Forest,Forest,NULL,Non_Wetland,Wetland
258,Water,Forest,Forest,NULL,Non_Wetland,Forest
259,Water,Forest,Forest,Non_Water,Non_Wetland,NULL
260,Water,Forest,Forest,Non_Water,Non_Wetland,Grassland
261,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
262,Water,Forest,Forest,Water,Non_Wetland,Grassland
263,Water,Forest,Forest,Water,Non_Wetland,Forest
264,Forest,NULL,NULL,NULL,Non_Wetland,NULL
265,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
266,Forest,NULL,NULL,NULL,Non_Wetland,Forest
267,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
268,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
269,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
270,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
271,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
272,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
273,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
274,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
275,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
276,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
277,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
278,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
279,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
280,Forest,NULL,Wetland,NULL,Wetland,NULL
281,Forest,NULL,Wetland,NULL,Wetland,Grassland
282,Forest,NULL,Wetland,NULL,Wetland,Forest
283,Forest,NULL,Wetland,Non_Water,Wetland,Forest
284,Forest,NULL,Wetland,Water,Wetland,Grassland
285,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
286,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
287,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
288,Forest,NULL,Water,NULL,Water,NULL
289,Forest,NULL,Water,NULL,Water,Forest
290,Forest,NULL,Forest,NULL,Non_Wetland,NULL
291,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
292,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
293,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
294,Forest,NULL,Forest,NULL,Non_Wetland,Forest
295,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
296,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
297,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
298,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
299,Forest,Wetland,Wetland,NULL,Wetland,Forest
300,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
301,Forest,Water,NULL,NULL,Non_Wetland,Grassland
302,Forest,Water,NULL,NULL,Non_Wetland,Forest
303,Forest,Water,NULL,Non_Water,Non_Wetland,Forest
304,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
305,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
306,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
307,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
308,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
309,Forest,Water,Shrubland,Water,Non_Wetland,NULL
310,Forest,Water,Shrubland,Water,Non_Wetland,Grassland
311,Forest,Water,Shrubland,Water,Non_Wetland,Wetland
312,Forest,Water,Shrubland,Water,Non_Wetland,Forest
313,Forest,Water,Wetland,NULL,Wetland,NULL
314,Forest,Water,Wetland,NULL,Wetland,Grassland
315,Forest,Water,Wetland,NULL,Wetland,Wetland
316,Forest,Water,Wetland,NULL,Wetland,Forest
317,Forest,Water,Wetland,Non_Water,Wetland,Grassland
318,Forest,Water,Wetland,Non_Water,Wetland,Wetland
319,Forest,Water,Wetland,Non_Water,Wetland,Forest
320,Forest,Water,Wetland,Water,Wetland,Grassland
321,Forest,Water,Wetland,Water,Wetland,Wetland
322,Forest,Water,Wetland,Water,Wetland,Forest
323,Forest,Water,Bareland,NULL,Non_Wetland,Forest
324,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest
325,Forest,Water,Bareland,Water,Non_Wetland,Forest
326,Forest,Water,Built-up,NULL,Non_Wetland,Forest
327,Forest,Water,Water,NULL,Water,Grassland
328,Forest,Water,Water,NULL,Water,Wetland
329,Forest,Water,Water,NULL,Water,Forest
330,Forest,Water,Water,Non_Water,Water,Forest
331,Forest,Water,Water,Water,Water,Grassland
332,Forest,Water,Water,Water,Water,Forest
333,Forest,Water,Forest,NULL,Non_Wetland,NULL
334,Forest,Water,Forest,NULL,Non_Wetland,Grassland
335,Forest,Water,Forest,NULL,Non_Wetland,Forest
336,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
337,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
338,Forest,Water,Forest,Water,Non_Wetland,NULL
339,Forest,Water,Forest,Water,Non_Wetland,Grassland
340,Forest,Water,Forest,Water,Non_Wetland,Forest
341,Forest,Forest,NULL,NULL,Non_Wetland,NULL
342,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
343,Forest,Forest,NULL,NULL,Non_Wetland,Forest
344,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL
345,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
346,Forest,Forest,NULL,Water,Non_Wetland,Forest
347,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
348,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
349,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
350,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
351,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
352,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
353,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
354,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
355,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
356,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland
357,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
358,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
359,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
360,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
361,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
362,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
363,Forest,Forest,Wetland,NULL,Wetland,NULL
364,Forest,Forest,Wetland,NULL,Wetland,Grassland
365,Forest,Forest,Wetland,NULL,Wetland,Wetland
366,Forest,Forest,Wetland,NULL,Wetland,Forest
367,Forest,Forest,Wetland,Non_Water,Wetland,NULL
368,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
369,Forest,Forest,Wetland,Non_Water,Wetland,Forest
370,Forest,Forest,Wetland,Water,Wetland,Grassland
371,Forest,Forest,Wetland,Water,Wetland,Forest
372,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
373,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
374,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
375,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL
376,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
377,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
378,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
379,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
380,Forest,Forest,Water,NULL,Water,NULL
381,Forest,Forest,Water,NULL,Water,Grassland
382,Forest,Forest,Water,NULL,Water,Forest
383,Forest,Forest,Water,Non_Water,Water,Forest
384,Forest,Forest,Forest,NULL,Non_Wetland,NULL
385,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
386,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
387,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
388,Forest,Forest,Forest,NULL,Non_Wetland,Forest
389,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
390,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
391,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland
392,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
393,Forest,Forest,Forest,Water,Non_Wetland,NULL
394,Forest,Forest,Forest,Water,Non_Wetland,Grassland
395,Forest,Forest,Forest,Water,Non_Wetland,Forest
