Value,AFRICA_2024_DynamicWorld_2024_35NRF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,AFRICA_2024_GSW_Yearly_2021_35NRF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRF_M_R,AFRICA_2024_WorldCover_2021_35NRF_M_R
121,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
122,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
123,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
124,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
125,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
126,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
127,NULL,Forest,Wetland,NULL,Wetland,NULL
128,NULL,Forest,Wetland,NULL,Wetland,Grassland
129,NULL,Forest,Wetland,NULL,Wetland,Forest
130,NULL,Forest,Wetland,Water,Wetland,Forest
131,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
132,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
133,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
134,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
135,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
136,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
137,NULL,Forest,Built-up,Water,Non_Wetland,Forest
138,NULL,Forest,Water,NULL,Water,NULL
139,NULL,Forest,Water,NULL,Water,Grassland
140,NULL,Forest,Water,NULL,Water,Forest
141,NULL,Forest,Water,Water,Water,NULL
142,NULL,Forest,Forest,NULL,Non_Wetland,NULL
143,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
144,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
145,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
146,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
147,NULL,Forest,Forest,NULL,Non_Wetland,Forest
148,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
149,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
150,NULL,Forest,Forest,Water,Non_Wetland,Grassland
151,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
152,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
153,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
154,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
155,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
156,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
157,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
158,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
159,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
160,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
161,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
162,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
163,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
164,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
165,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
166,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
167,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
168,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
169,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
170,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
171,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
172,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
173,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
174,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
175,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
176,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
177,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
178,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
179,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
180,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
181,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
182,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
183,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
184,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
185,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
186,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
187,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
188,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
189,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
190,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
191,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
192,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
193,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
194,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
195,Grassland,Forest,Water,NULL,Water,Grassland
196,Grassland,Forest,Water,NULL,Water,Forest
197,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
198,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
199,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
200,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
201,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
202,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
203,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
204,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
205,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
206,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
207,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
208,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
209,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
210,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
211,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
212,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
213,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
214,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
215,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
216,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
217,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
218,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
219,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
220,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
221,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
222,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
223,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
224,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
225,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
226,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
227,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
228,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
229,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
230,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
231,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
232,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
233,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
234,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
235,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
236,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
237,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
238,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
239,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
240,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
241,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
242,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
243,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
244,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
245,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
246,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
247,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
248,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
249,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
250,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
251,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
252,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
253,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
254,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
255,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
256,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
257,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
258,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
259,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
260,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
261,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
262,Wetland,NULL,Wetland,NULL,Wetland,Grassland
263,Wetland,NULL,Wetland,NULL,Wetland,Forest
264,Wetland,NULL,Wetland,Water,Wetland,Forest
265,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
266,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
267,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Forest
268,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
269,Wetland,NULL,Water,Water,Water,Forest
270,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
271,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
272,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
273,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
274,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL
275,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
276,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
277,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
278,Wetland,Wetland,Wetland,NULL,Wetland,NULL
279,Wetland,Wetland,Wetland,NULL,Wetland,Forest
280,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
281,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
282,Wetland,Water,NULL,NULL,Non_Wetland,Forest
283,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
284,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
285,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
286,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
287,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
288,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
289,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
290,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
291,Wetland,Water,Wetland,NULL,Wetland,NULL
292,Wetland,Water,Wetland,NULL,Wetland,Grassland
293,Wetland,Water,Wetland,NULL,Wetland,Wetland
294,Wetland,Water,Wetland,NULL,Wetland,Forest
295,Wetland,Water,Wetland,Water,Wetland,Forest
296,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
297,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland
298,Wetland,Water,Bareland,Non_Water,Non_Wetland,Forest
299,Wetland,Water,Water,NULL,Water,Wetland
300,Wetland,Water,Forest,NULL,Non_Wetland,NULL
301,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
302,Wetland,Water,Forest,NULL,Non_Wetland,Forest
303,Wetland,Water,Forest,Water,Non_Wetland,Forest
304,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
305,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
306,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
307,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
308,Wetland,Forest,Wetland,NULL,Wetland,NULL
309,Wetland,Forest,Wetland,NULL,Wetland,Wetland
310,Wetland,Forest,Wetland,NULL,Wetland,Forest
311,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
312,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
313,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
314,Wetland,Forest,Water,NULL,Water,Grassland
315,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
316,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
317,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
318,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
319,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
320,Water,NULL,NULL,NULL,Non_Wetland,Grassland
321,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
322,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
323,Water,NULL,Wetland,NULL,Wetland,Forest
324,Water,NULL,Wetland,Water,Wetland,Forest
325,Water,NULL,Bareland,NULL,Non_Wetland,Forest
326,Water,NULL,Water,Water,Water,Grassland
327,Water,NULL,Water,Water,Water,Wetland
328,Water,NULL,Forest,NULL,Non_Wetland,NULL
329,Water,NULL,Forest,NULL,Non_Wetland,Grassland
330,Water,NULL,Forest,NULL,Non_Wetland,Forest
331,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
332,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest
333,Water,Wetland,Wetland,NULL,Wetland,Forest
334,Water,Wetland,Forest,NULL,Non_Wetland,Forest
335,Water,Built-up,Forest,NULL,Non_Wetland,Grassland
336,Water,Built-up,Forest,NULL,Non_Wetland,Forest
337,Water,Water,NULL,NULL,Non_Wetland,NULL
338,Water,Water,NULL,NULL,Non_Wetland,Grassland
339,Water,Water,NULL,NULL,Non_Wetland,Water
340,Water,Water,NULL,NULL,Non_Wetland,Forest
341,Water,Water,NULL,Non_Water,Non_Wetland,Grassland
342,Water,Water,NULL,Non_Water,Non_Wetland,Wetland
343,Water,Water,NULL,Non_Water,Non_Wetland,Forest
344,Water,Water,NULL,Water,Non_Wetland,Wetland
345,Water,Water,NULL,Water,Non_Wetland,Water
346,Water,Water,NULL,Water,Non_Wetland,Forest
347,Water,Water,Shrubland,NULL,Non_Wetland,NULL
348,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
349,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
350,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
351,Water,Water,Shrubland,NULL,Non_Wetland,Built-up
352,Water,Water,Shrubland,NULL,Non_Wetland,Water
353,Water,Water,Shrubland,NULL,Non_Wetland,Forest
354,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
355,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
356,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
357,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
358,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
359,Water,Water,Shrubland,Water,Non_Wetland,NULL
360,Water,Water,Shrubland,Water,Non_Wetland,Grassland
361,Water,Water,Shrubland,Water,Non_Wetland,Wetland
362,Water,Water,Shrubland,Water,Non_Wetland,Bareland
363,Water,Water,Shrubland,Water,Non_Wetland,Water
364,Water,Water,Shrubland,Water,Non_Wetland,Forest
365,Water,Water,Grassland,Non_Water,Non_Wetland,Forest
366,Water,Water,Grassland,Water,Non_Wetland,Water
367,Water,Water,Grassland,Water,Non_Wetland,Forest
368,Water,Water,Cropland,NULL,Non_Wetland,Grassland
369,Water,Water,Cropland,NULL,Non_Wetland,Forest
370,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
371,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
372,Water,Water,Cropland,Water,Non_Wetland,NULL
373,Water,Water,Cropland,Water,Non_Wetland,Grassland
374,Water,Water,Cropland,Water,Non_Wetland,Water
375,Water,Water,Cropland,Water,Non_Wetland,Forest
376,Water,Water,Wetland,NULL,Wetland,NULL
377,Water,Water,Wetland,NULL,Wetland,Grassland
378,Water,Water,Wetland,NULL,Wetland,Wetland
379,Water,Water,Wetland,NULL,Wetland,Bareland
380,Water,Water,Wetland,NULL,Wetland,Water
381,Water,Water,Wetland,NULL,Wetland,Forest
382,Water,Water,Wetland,Non_Water,Wetland,Grassland
383,Water,Water,Wetland,Non_Water,Wetland,Wetland
384,Water,Water,Wetland,Non_Water,Wetland,Bareland
385,Water,Water,Wetland,Non_Water,Wetland,Water
386,Water,Water,Wetland,Non_Water,Wetland,Forest
387,Water,Water,Wetland,Water,Wetland,Grassland
388,Water,Water,Wetland,Water,Wetland,Wetland
389,Water,Water,Wetland,Water,Wetland,Bareland
390,Water,Water,Wetland,Water,Wetland,Water
391,Water,Water,Wetland,Water,Wetland,Forest
392,Water,Water,Bareland,NULL,Non_Wetland,Grassland
393,Water,Water,Bareland,NULL,Non_Wetland,Wetland
394,Water,Water,Bareland,NULL,Non_Wetland,Bareland
395,Water,Water,Bareland,NULL,Non_Wetland,Water
396,Water,Water,Bareland,NULL,Non_Wetland,Forest
397,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland
398,Water,Water,Bareland,Non_Water,Non_Wetland,Water
399,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
400,Water,Water,Bareland,Water,Non_Wetland,NULL
401,Water,Water,Bareland,Water,Non_Wetland,Grassland
402,Water,Water,Bareland,Water,Non_Wetland,Wetland
403,Water,Water,Bareland,Water,Non_Wetland,Water
404,Water,Water,Bareland,Water,Non_Wetland,Forest
405,Water,Water,Built-up,NULL,Non_Wetland,Grassland
406,Water,Water,Built-up,NULL,Non_Wetland,Water
407,Water,Water,Built-up,NULL,Non_Wetland,Forest
408,Water,Water,Built-up,Non_Water,Non_Wetland,Grassland
409,Water,Water,Built-up,Non_Water,Non_Wetland,Water
410,Water,Water,Built-up,Non_Water,Non_Wetland,Forest
411,Water,Water,Built-up,Water,Non_Wetland,Grassland
412,Water,Water,Built-up,Water,Non_Wetland,Water
413,Water,Water,Built-up,Water,Non_Wetland,Forest
414,Water,Water,Water,NULL,Water,NULL
415,Water,Water,Water,NULL,Water,Grassland
416,Water,Water,Water,NULL,Water,Wetland
417,Water,Water,Water,NULL,Water,Bareland
418,Water,Water,Water,NULL,Water,Water
419,Water,Water,Water,NULL,Water,Forest
420,Water,Water,Water,Non_Water,Water,NULL
421,Water,Water,Water,Non_Water,Water,Grassland
422,Water,Water,Water,Non_Water,Water,Bareland
423,Water,Water,Water,Non_Water,Water,Water
424,Water,Water,Water,Non_Water,Water,Forest
425,Water,Water,Water,Water,Water,Grassland
426,Water,Water,Water,Water,Water,Wetland
427,Water,Water,Water,Water,Water,Bareland
428,Water,Water,Water,Water,Water,Water
429,Water,Water,Water,Water,Water,Forest
430,Water,Water,Forest,NULL,Non_Wetland,NULL
431,Water,Water,Forest,NULL,Non_Wetland,Grassland
432,Water,Water,Forest,NULL,Non_Wetland,Wetland
433,Water,Water,Forest,NULL,Non_Wetland,Bareland
434,Water,Water,Forest,NULL,Non_Wetland,Water
435,Water,Water,Forest,NULL,Non_Wetland,Forest
436,Water,Water,Forest,Non_Water,Non_Wetland,NULL
437,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
438,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
439,Water,Water,Forest,Non_Water,Non_Wetland,Water
440,Water,Water,Forest,Non_Water,Non_Wetland,Forest
441,Water,Water,Forest,Water,Non_Wetland,Grassland
442,Water,Water,Forest,Water,Non_Wetland,Wetland
443,Water,Water,Forest,Water,Non_Wetland,Bareland
