Value,AFRICA_2024_DynamicWorld_2024_35NRD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRD_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRD_M_R,AFRICA_2024_GSW_Yearly_2021_35NRD_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRD_M_R,AFRICA_2024_WorldCover_2021_35NRD_M_R
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
127,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
128,NULL,Cropland,Built-up,Water,Non_Wetland,Water
129,NULL,Cropland,Water,Non_Water,Water,NULL
130,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
131,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
135,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
136,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
137,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
138,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
139,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
140,NULL,Wetland,Wetland,NULL,Wetland,Forest
141,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
142,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
143,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
144,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
145,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
146,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
153,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
156,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
158,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
161,NULL,Built-up,Wetland,NULL,Wetland,NULL
162,NULL,Built-up,Wetland,NULL,Wetland,Forest
163,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
166,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
171,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
172,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
173,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
174,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
175,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
176,NULL,Water,NULL,NULL,Non_Wetland,NULL
177,NULL,Water,NULL,NULL,Non_Wetland,Grassland
178,NULL,Water,NULL,NULL,Non_Wetland,Bareland
179,NULL,Water,NULL,NULL,Non_Wetland,Water
180,NULL,Water,NULL,NULL,Non_Wetland,Forest
181,NULL,Water,NULL,Non_Water,Non_Wetland,NULL
182,NULL,Water,NULL,Water,Non_Wetland,NULL
183,NULL,Water,NULL,Water,Non_Wetland,Grassland
184,NULL,Water,NULL,Water,Non_Wetland,Water
185,NULL,Water,NULL,Water,Non_Wetland,Forest
186,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
187,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
188,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
189,NULL,Water,Shrubland,NULL,Non_Wetland,Water
190,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
191,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
192,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
193,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
194,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
195,NULL,Water,Shrubland,Water,Non_Wetland,NULL
196,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
197,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
198,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
199,NULL,Water,Shrubland,Water,Non_Wetland,Water
200,NULL,Water,Shrubland,Water,Non_Wetland,Forest
201,NULL,Water,Grassland,NULL,Non_Wetland,NULL
202,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
203,NULL,Water,Grassland,NULL,Non_Wetland,Forest
204,NULL,Water,Cropland,NULL,Non_Wetland,NULL
205,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
206,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
207,NULL,Water,Cropland,NULL,Non_Wetland,Water
208,NULL,Water,Cropland,NULL,Non_Wetland,Forest
209,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
210,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
211,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
212,NULL,Water,Cropland,Water,Non_Wetland,Water
213,NULL,Water,Cropland,Water,Non_Wetland,Forest
214,NULL,Water,Wetland,NULL,Wetland,NULL
215,NULL,Water,Wetland,NULL,Wetland,Grassland
216,NULL,Water,Wetland,NULL,Wetland,Cropland
217,NULL,Water,Wetland,NULL,Wetland,Wetland
218,NULL,Water,Wetland,NULL,Wetland,Bareland
219,NULL,Water,Wetland,NULL,Wetland,Water
220,NULL,Water,Wetland,NULL,Wetland,Forest
221,NULL,Water,Wetland,Non_Water,Wetland,NULL
222,NULL,Water,Wetland,Non_Water,Wetland,Grassland
223,NULL,Water,Wetland,Non_Water,Wetland,Wetland
224,NULL,Water,Wetland,Non_Water,Wetland,Bareland
225,NULL,Water,Wetland,Non_Water,Wetland,Water
226,NULL,Water,Wetland,Non_Water,Wetland,Forest
227,NULL,Water,Wetland,Water,Wetland,NULL
228,NULL,Water,Wetland,Water,Wetland,Grassland
229,NULL,Water,Wetland,Water,Wetland,Cropland
230,NULL,Water,Wetland,Water,Wetland,Bareland
231,NULL,Water,Wetland,Water,Wetland,Water
232,NULL,Water,Wetland,Water,Wetland,Forest
233,NULL,Water,Bareland,NULL,Non_Wetland,NULL
234,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
235,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
236,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
237,NULL,Water,Bareland,NULL,Non_Wetland,Water
238,NULL,Water,Bareland,NULL,Non_Wetland,Forest
239,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
240,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
241,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
242,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
243,NULL,Water,Bareland,Water,Non_Wetland,NULL
244,NULL,Water,Bareland,Water,Non_Wetland,Grassland
245,NULL,Water,Bareland,Water,Non_Wetland,Bareland
246,NULL,Water,Bareland,Water,Non_Wetland,Water
247,NULL,Water,Bareland,Water,Non_Wetland,Forest
248,NULL,Water,Built-up,NULL,Non_Wetland,NULL
249,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
250,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
251,NULL,Water,Built-up,NULL,Non_Wetland,Water
252,NULL,Water,Built-up,NULL,Non_Wetland,Forest
253,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
254,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
255,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
256,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
257,NULL,Water,Built-up,Water,Non_Wetland,NULL
258,NULL,Water,Built-up,Water,Non_Wetland,Grassland
259,NULL,Water,Built-up,Water,Non_Wetland,Cropland
260,NULL,Water,Built-up,Water,Non_Wetland,Bareland
261,NULL,Water,Built-up,Water,Non_Wetland,Water
262,NULL,Water,Built-up,Water,Non_Wetland,Forest
263,NULL,Water,Water,NULL,Water,NULL
264,NULL,Water,Water,NULL,Water,Grassland
265,NULL,Water,Water,NULL,Water,Wetland
266,NULL,Water,Water,NULL,Water,Bareland
267,NULL,Water,Water,NULL,Water,Water
268,NULL,Water,Water,NULL,Water,Forest
269,NULL,Water,Water,Non_Water,Water,NULL
270,NULL,Water,Water,Non_Water,Water,Grassland
271,NULL,Water,Water,Non_Water,Water,Wetland
272,NULL,Water,Water,Non_Water,Water,Bareland
273,NULL,Water,Water,Non_Water,Water,Water
274,NULL,Water,Water,Non_Water,Water,Forest
275,NULL,Water,Water,Water,Water,NULL
276,NULL,Water,Water,Water,Water,Grassland
277,NULL,Water,Water,Water,Water,Wetland
278,NULL,Water,Water,Water,Water,Bareland
279,NULL,Water,Water,Water,Water,Water
280,NULL,Water,Water,Water,Water,Forest
281,NULL,Water,Forest,NULL,Non_Wetland,NULL
282,NULL,Water,Forest,NULL,Non_Wetland,Grassland
283,NULL,Water,Forest,NULL,Non_Wetland,Cropland
284,NULL,Water,Forest,NULL,Non_Wetland,Wetland
285,NULL,Water,Forest,NULL,Non_Wetland,Bareland
286,NULL,Water,Forest,NULL,Non_Wetland,Water
287,NULL,Water,Forest,NULL,Non_Wetland,Forest
288,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
289,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
290,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
291,NULL,Water,Forest,Non_Water,Non_Wetland,Water
292,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
293,NULL,Water,Forest,Water,Non_Wetland,NULL
294,NULL,Water,Forest,Water,Non_Wetland,Grassland
295,NULL,Water,Forest,Water,Non_Wetland,Bareland
296,NULL,Water,Forest,Water,Non_Wetland,Water
297,NULL,Water,Forest,Water,Non_Wetland,Forest
298,NULL,Forest,NULL,NULL,Non_Wetland,NULL
299,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
300,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
301,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
302,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
303,NULL,Forest,NULL,NULL,Non_Wetland,Forest
304,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
305,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
306,NULL,Forest,NULL,Water,Non_Wetland,NULL
307,NULL,Forest,NULL,Water,Non_Wetland,Forest
308,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
309,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
310,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
311,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
312,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
313,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
314,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
315,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
316,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
317,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
318,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
319,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
320,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
321,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
322,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
323,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
324,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
325,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
326,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
327,NULL,Forest,Cropland,Water,Non_Wetland,NULL
328,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
329,NULL,Forest,Cropland,Water,Non_Wetland,Forest
330,NULL,Forest,Wetland,NULL,Wetland,NULL
331,NULL,Forest,Wetland,NULL,Wetland,Grassland
332,NULL,Forest,Wetland,NULL,Wetland,Wetland
333,NULL,Forest,Wetland,NULL,Wetland,Built-up
334,NULL,Forest,Wetland,NULL,Wetland,Water
335,NULL,Forest,Wetland,NULL,Wetland,Forest
336,NULL,Forest,Wetland,Non_Water,Wetland,NULL
337,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
338,NULL,Forest,Wetland,Non_Water,Wetland,Forest
339,NULL,Forest,Wetland,Water,Wetland,NULL
340,NULL,Forest,Wetland,Water,Wetland,Grassland
341,NULL,Forest,Wetland,Water,Wetland,Forest
342,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
343,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
344,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
345,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
346,NULL,Forest,Bareland,Water,Non_Wetland,NULL
347,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
348,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
349,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
350,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
351,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
352,NULL,Forest,Built-up,Non_Water,Non_Wetland,Forest
353,NULL,Forest,Built-up,Water,Non_Wetland,Forest
354,NULL,Forest,Water,NULL,Water,NULL
355,NULL,Forest,Water,NULL,Water,Grassland
356,NULL,Forest,Water,NULL,Water,Forest
357,NULL,Forest,Water,Non_Water,Water,NULL
358,NULL,Forest,Water,Non_Water,Water,Forest
359,NULL,Forest,Water,Water,Water,NULL
360,NULL,Forest,Water,Water,Water,Grassland
361,NULL,Forest,Water,Water,Water,Forest
362,NULL,Forest,Forest,NULL,Non_Wetland,NULL
363,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
364,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
365,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
366,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
367,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
368,NULL,Forest,Forest,NULL,Non_Wetland,Water
369,NULL,Forest,Forest,NULL,Non_Wetland,Forest
370,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
371,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
372,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
373,NULL,Forest,Forest,Water,Non_Wetland,NULL
374,NULL,Forest,Forest,Water,Non_Wetland,Grassland
375,NULL,Forest,Forest,Water,Non_Wetland,Forest
376,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
377,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
378,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
379,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
380,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
381,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
382,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
383,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
384,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
385,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
386,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
387,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
388,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
389,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
390,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
391,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
392,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
393,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
394,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
395,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
396,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
397,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
398,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
399,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
400,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
401,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
402,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
403,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
404,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
405,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
406,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
407,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
408,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
409,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
410,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
411,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
412,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
413,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
414,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
415,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
416,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
417,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
418,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
419,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
420,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
421,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
422,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
423,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
424,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
425,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
426,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
427,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
428,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
429,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
430,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
431,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
432,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
433,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
434,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland
435,Wetland,Forest,Built-up,NULL,Non_Wetland,NULL
436,Water,NULL,NULL,NULL,Non_Wetland,NULL
437,Water,NULL,NULL,NULL,Non_Wetland,Grassland
438,Water,NULL,NULL,NULL,Non_Wetland,Cropland
439,Water,NULL,NULL,NULL,Non_Wetland,Built-up
440,Water,NULL,NULL,NULL,Non_Wetland,Forest
441,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
442,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
443,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
444,Water,NULL,Shrubland,NULL,Non_Wetland,Built-up
