Value,AFRICA_2024_DynamicWorld_2024_36PTR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTR_M_R,AFRICA_2024_GSW_Yearly_2021_36PTR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTR_M_R,AFRICA_2024_WorldCover_2021_36PTR_M_R
124,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
128,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
129,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
130,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
131,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
132,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
133,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
134,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
135,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
136,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
137,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
138,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
139,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
140,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
141,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
142,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
143,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
144,NULL,Wetland,Cropland,NULL,Non_Wetland,Built-up
145,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
146,NULL,Wetland,Wetland,NULL,Wetland,NULL
147,NULL,Wetland,Wetland,NULL,Wetland,Grassland
148,NULL,Wetland,Wetland,NULL,Wetland,Wetland
149,NULL,Wetland,Wetland,NULL,Wetland,Forest
150,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
151,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
152,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
153,NULL,Wetland,Wetland,Water,Wetland,Grassland
154,NULL,Wetland,Wetland,Water,Wetland,Wetland
155,NULL,Wetland,Wetland,Water,Wetland,Water
156,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
157,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
158,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
159,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
160,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
161,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
162,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
163,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
164,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
165,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
166,NULL,Wetland,Water,NULL,Water,NULL
167,NULL,Wetland,Water,NULL,Water,Grassland
168,NULL,Wetland,Water,NULL,Water,Wetland
169,NULL,Wetland,Water,NULL,Water,Water
170,NULL,Wetland,Water,NULL,Water,Forest
171,NULL,Wetland,Water,Water,Water,NULL
172,NULL,Wetland,Water,Water,Water,Grassland
173,NULL,Wetland,Water,Water,Water,Wetland
174,NULL,Wetland,Water,Water,Water,Water
175,NULL,Wetland,Water,Water,Water,Forest
176,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
177,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
178,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
179,NULL,Wetland,Forest,NULL,Non_Wetland,Water
180,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
181,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
182,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
183,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
184,NULL,Wetland,Forest,Water,Non_Wetland,Forest
185,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
186,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
187,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
188,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
189,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
198,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
199,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
200,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
201,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
202,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
203,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
209,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
210,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
211,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
214,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
215,NULL,Built-up,Wetland,NULL,Wetland,Grassland
216,NULL,Built-up,Wetland,NULL,Wetland,Wetland
217,NULL,Built-up,Wetland,NULL,Wetland,Built-up
218,NULL,Built-up,Wetland,NULL,Wetland,Forest
219,NULL,Built-up,Wetland,Water,Wetland,Forest
220,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
221,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
222,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
223,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
224,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
225,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
231,NULL,Built-up,Water,NULL,Water,Forest
232,NULL,Built-up,Water,Water,Water,Grassland
233,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
234,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
235,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
236,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
237,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
238,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
239,NULL,Water,NULL,NULL,Non_Wetland,Wetland
240,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
241,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
242,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
243,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
244,NULL,Water,Wetland,NULL,Wetland,Grassland
245,NULL,Water,Wetland,NULL,Wetland,Wetland
246,NULL,Water,Wetland,NULL,Wetland,Forest
247,NULL,Water,Wetland,Non_Water,Wetland,Wetland
248,NULL,Water,Wetland,Water,Wetland,Grassland
249,NULL,Water,Forest,NULL,Non_Wetland,Wetland
250,NULL,Water,Forest,NULL,Non_Wetland,Forest
251,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
252,NULL,Forest,NULL,NULL,Non_Wetland,NULL
253,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
254,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
255,NULL,Forest,NULL,NULL,Non_Wetland,Forest
256,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
257,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
258,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
259,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
260,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
261,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
262,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
263,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
264,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
265,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
266,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
267,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
268,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
269,NULL,Forest,Shrubland,Water,Non_Wetland,Water
270,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
271,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
272,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
273,NULL,Forest,Wetland,NULL,Wetland,NULL
274,NULL,Forest,Wetland,NULL,Wetland,Grassland
275,NULL,Forest,Wetland,NULL,Wetland,Wetland
276,NULL,Forest,Wetland,NULL,Wetland,Forest
277,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
278,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
279,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
280,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
281,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
282,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
283,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
284,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
285,NULL,Forest,Water,NULL,Water,Wetland
286,NULL,Forest,Forest,NULL,Non_Wetland,NULL
287,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
288,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
289,NULL,Forest,Forest,NULL,Non_Wetland,Forest
290,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
291,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
292,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
293,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
294,Grassland,NULL,NULL,NULL,Non_Wetland,Water
295,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
296,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
297,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
298,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
299,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
300,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
301,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
302,Grassland,NULL,NULL,Water,Non_Wetland,Water
303,Grassland,NULL,NULL,Water,Non_Wetland,Forest
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
305,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
306,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
310,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
311,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
312,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
313,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
314,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
315,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
316,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
317,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
318,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
319,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
320,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
321,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
322,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
323,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
324,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
325,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
326,Grassland,NULL,Wetland,NULL,Wetland,NULL
327,Grassland,NULL,Wetland,NULL,Wetland,Grassland
328,Grassland,NULL,Wetland,NULL,Wetland,Wetland
329,Grassland,NULL,Wetland,NULL,Wetland,Water
330,Grassland,NULL,Wetland,NULL,Wetland,Forest
331,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
332,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
333,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
334,Grassland,NULL,Wetland,Non_Water,Wetland,Water
335,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
336,Grassland,NULL,Wetland,Water,Wetland,Grassland
337,Grassland,NULL,Wetland,Water,Wetland,Wetland
338,Grassland,NULL,Wetland,Water,Wetland,Water
339,Grassland,NULL,Wetland,Water,Wetland,Forest
340,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
341,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
342,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
343,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
344,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
345,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
346,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
347,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
348,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
349,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
350,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
351,Grassland,NULL,Water,NULL,Water,NULL
352,Grassland,NULL,Water,NULL,Water,Grassland
353,Grassland,NULL,Water,NULL,Water,Wetland
354,Grassland,NULL,Water,NULL,Water,Water
355,Grassland,NULL,Water,NULL,Water,Forest
356,Grassland,NULL,Water,Non_Water,Water,Grassland
357,Grassland,NULL,Water,Non_Water,Water,Wetland
358,Grassland,NULL,Water,Non_Water,Water,Forest
359,Grassland,NULL,Water,Water,Water,NULL
360,Grassland,NULL,Water,Water,Water,Grassland
361,Grassland,NULL,Water,Water,Water,Wetland
362,Grassland,NULL,Water,Water,Water,Water
363,Grassland,NULL,Water,Water,Water,Forest
364,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
365,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
366,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
367,Grassland,NULL,Forest,NULL,Non_Wetland,Water
368,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
369,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
370,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
371,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
372,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
373,Grassland,NULL,Forest,Water,Non_Wetland,NULL
374,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
375,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
376,Grassland,NULL,Forest,Water,Non_Wetland,Water
377,Grassland,NULL,Forest,Water,Non_Wetland,Forest
378,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
379,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
380,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
381,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
382,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
383,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
384,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
385,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
386,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
387,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
388,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
389,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
390,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
391,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
392,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
393,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
394,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
395,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
396,Grassland,Wetland,NULL,NULL,Non_Wetland,Water
397,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
398,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL
399,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
400,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
401,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water
402,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
403,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
404,Grassland,Wetland,NULL,Water,Non_Wetland,Water
405,Grassland,Wetland,NULL,Water,Non_Wetland,Forest
406,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
407,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
408,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
409,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water
410,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
411,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
412,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
413,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
414,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water
415,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
416,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
417,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
418,Grassland,Wetland,Shrubland,Water,Non_Wetland,Bareland
419,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
420,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
421,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
422,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
423,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland
424,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
425,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
426,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
427,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
428,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
429,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
430,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland
431,Grassland,Wetland,Wetland,NULL,Wetland,NULL
432,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
