Value,AFRICA_2024_DynamicWorld_2024_36NYM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYM_M_R,AFRICA_2024_GSW_Yearly_2021_36NYM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYM_M_R,AFRICA_2024_WorldCover_2021_36NYM_M_R
118,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
119,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
120,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
121,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
122,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
123,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
124,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
125,NULL,Water,NULL,NULL,Non_Wetland,Bareland
126,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
127,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
128,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
129,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
130,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
131,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
132,NULL,Water,Cropland,NULL,Non_Wetland,Forest
133,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
134,NULL,Water,Bareland,NULL,Non_Wetland,Forest
135,NULL,Water,Forest,NULL,Non_Wetland,NULL
136,NULL,Water,Forest,NULL,Non_Wetland,Grassland
137,NULL,Water,Forest,NULL,Non_Wetland,Forest
138,NULL,Forest,NULL,NULL,Non_Wetland,NULL
139,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
140,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
141,NULL,Forest,NULL,NULL,Non_Wetland,Forest
142,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
143,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
145,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
146,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
147,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
148,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
150,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
151,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
152,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
153,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
154,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
155,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
156,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
157,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
158,NULL,Forest,Wetland,NULL,Wetland,Forest
159,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
160,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
161,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
162,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
163,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
164,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
165,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
166,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
167,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
168,NULL,Forest,Forest,NULL,Non_Wetland,NULL
169,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
170,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
171,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
172,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
173,NULL,Forest,Forest,NULL,Non_Wetland,Forest
174,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
175,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
176,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
177,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
178,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
179,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
180,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
181,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
182,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
183,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
184,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
185,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
186,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
187,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
188,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
189,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
190,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
191,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
192,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
193,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
194,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
195,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
196,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
197,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
198,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
199,Grassland,NULL,Wetland,NULL,Wetland,Grassland
200,Grassland,NULL,Wetland,NULL,Wetland,Forest
201,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
202,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
203,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
204,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
205,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
206,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
207,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
208,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
209,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
210,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
211,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
212,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
213,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
214,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
215,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
216,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
217,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
218,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
219,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
220,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
221,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland
222,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
223,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
224,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
225,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
226,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
227,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
228,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
229,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
230,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
231,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
232,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
233,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
234,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
235,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
236,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
237,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
238,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
239,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
240,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
241,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
242,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
243,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
244,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
245,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
246,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
247,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
248,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland
249,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
250,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
251,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
252,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
253,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
254,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
255,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
256,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
257,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
258,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
259,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
260,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
261,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
262,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
263,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
264,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
265,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up
266,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
267,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
268,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
269,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
270,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
271,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
272,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
273,Grassland,Water,Forest,NULL,Non_Wetland,NULL
274,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
275,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
276,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
277,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
278,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up
279,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
280,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
281,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
282,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
283,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland
284,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
285,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
286,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
287,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
288,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
289,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
290,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
291,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland
292,Grassland,Forest,Cropland,NULL,Non_Wetland,Built-up
293,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
294,Grassland,Forest,Wetland,NULL,Wetland,Forest
295,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
296,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
297,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
298,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
299,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
300,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
301,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
302,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
303,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
304,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
305,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland
306,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up
307,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
308,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
309,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
310,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
311,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
312,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
313,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
314,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
315,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
316,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
317,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
318,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
319,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
320,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
321,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
322,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
323,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
324,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
325,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
326,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
327,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
328,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
329,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
330,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
331,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
332,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
333,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
334,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
335,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
336,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
337,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
338,Cropland,NULL,Wetland,NULL,Wetland,Grassland
339,Cropland,NULL,Wetland,NULL,Wetland,Forest
340,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
341,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
342,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
343,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
344,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
345,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
346,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
347,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
348,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
349,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
350,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
351,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
352,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
353,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
354,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
355,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
356,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
357,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
358,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
359,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
360,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
361,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
362,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
363,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
364,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
365,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
366,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
367,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
368,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
369,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
370,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
371,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
372,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
373,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
374,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
375,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
376,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
377,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
378,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
379,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
380,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
381,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
382,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
383,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
384,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
385,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
386,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
387,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
388,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
389,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
390,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
391,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
392,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
393,Cropland,Cropland,Wetland,NULL,Wetland,Forest
394,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
395,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
396,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
397,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
398,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
399,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
400,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
401,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
402,Cropland,Cropland,Bareland,NULL,Non_Wetland,Water
403,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
404,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
405,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
406,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
407,Cropland,Cropland,Built-up,NULL,Non_Wetland,Wetland
408,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
409,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
410,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
411,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
412,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
413,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
414,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
415,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
