Value,AFRICA_2024_DynamicWorld_2024_37PGP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGP_M_R,AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,AFRICA_2024_WorldCover_2021_37PGP_M_R
119,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
120,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
121,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
123,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
124,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
125,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
132,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
135,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
136,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
137,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL
138,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
139,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
145,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
146,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
147,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
148,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
149,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
150,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
151,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
152,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Built-up
153,NULL,Cropland,Grassland,Water,Non_Wetland,NULL
154,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
155,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
156,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
157,NULL,Cropland,Grassland,Water,Non_Wetland,Built-up
158,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
159,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
160,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
161,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
164,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
165,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
166,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
167,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
168,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
169,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
170,NULL,Cropland,Wetland,NULL,Wetland,NULL
171,NULL,Cropland,Wetland,NULL,Wetland,Cropland
172,NULL,Cropland,Wetland,NULL,Wetland,Wetland
173,NULL,Cropland,Wetland,NULL,Wetland,Bareland
174,NULL,Cropland,Wetland,NULL,Wetland,Forest
175,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
176,NULL,Cropland,Wetland,Water,Wetland,Wetland
177,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
178,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
179,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
180,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
181,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
182,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
183,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
184,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
185,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
186,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
187,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
188,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
189,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
190,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
191,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
192,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
193,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
194,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
195,NULL,Cropland,Bareland,Water,Non_Wetland,NULL
196,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
197,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
198,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
199,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
200,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
204,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
205,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL
206,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
207,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Wetland
208,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
209,NULL,Cropland,Built-up,Water,Non_Wetland,Bareland
210,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
211,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
212,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
213,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
214,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
215,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
216,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
217,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
218,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
219,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
220,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
221,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
222,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
223,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
224,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
225,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
226,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
227,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
228,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
229,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
230,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
231,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
232,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
233,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
234,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
235,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
236,NULL,Wetland,Wetland,NULL,Wetland,Wetland
237,NULL,Wetland,Wetland,Water,Wetland,Wetland
238,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
239,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
240,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
241,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
242,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
243,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
244,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
245,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
246,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
247,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Cropland
248,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
249,NULL,Wetland,Water,Water,Water,Wetland
250,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
251,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
252,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
253,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
254,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
255,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
256,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
257,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
258,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
259,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
260,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
261,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
262,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
263,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
264,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
265,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
266,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
267,NULL,Bareland,Wetland,Water,Wetland,Bareland
268,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
269,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
270,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
271,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
272,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
273,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
274,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
275,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
276,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
277,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
278,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
279,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
280,NULL,Bareland,Bareland,Water,Non_Wetland,Water
281,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
282,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
283,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
284,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
285,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
286,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
287,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
288,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
289,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
290,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
297,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
298,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
299,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
300,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
301,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
302,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
303,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
304,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
305,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
306,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
307,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
308,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
309,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
310,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
311,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
312,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
313,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
314,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
315,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
316,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
317,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
318,NULL,Built-up,Wetland,NULL,Wetland,Wetland
319,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
320,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
321,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
322,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
323,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
324,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
325,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
326,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
327,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
328,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
329,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
330,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
331,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
332,NULL,Built-up,Bareland,Water,Non_Wetland,Water
333,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
334,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
335,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
336,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
337,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
338,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
339,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
340,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
341,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
342,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
343,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
344,NULL,Water,Grassland,NULL,Non_Wetland,NULL
345,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
346,NULL,Water,Cropland,NULL,Non_Wetland,NULL
347,NULL,Water,Bareland,NULL,Non_Wetland,NULL
348,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
349,NULL,Forest,NULL,NULL,Non_Wetland,NULL
350,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
351,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
352,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
353,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
354,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
355,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
356,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
357,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
358,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
359,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
360,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
361,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
362,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
363,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland
364,NULL,Forest,Wetland,NULL,Wetland,Wetland
365,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
366,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
367,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
368,NULL,Forest,Forest,NULL,Non_Wetland,NULL
369,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
370,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
371,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
372,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
373,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
374,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
375,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
376,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
377,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
378,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
379,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
380,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
381,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
382,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
383,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland
384,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
385,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
386,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
387,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
388,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
389,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
390,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
391,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
392,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
393,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
394,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
395,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
396,Grassland,NULL,Wetland,NULL,Wetland,Cropland
397,Grassland,NULL,Wetland,NULL,Wetland,Wetland
398,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
399,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
400,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
401,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
402,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
403,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
404,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
405,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
406,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
407,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
408,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
409,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
410,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
411,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
412,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
413,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
