Value,AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,AFRICA_2024_WorldCover_2021_35NRJ_M_R
124,NULL,Cropland,Wetland,NULL,Wetland,Grassland
125,NULL,Cropland,Wetland,NULL,Wetland,Wetland
126,NULL,Cropland,Wetland,NULL,Wetland,Forest
127,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
128,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
131,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
132,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
133,NULL,Cropland,Bareland,Water,Non_Wetland,Water
134,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Water,Water,Water,Grassland
136,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
137,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
138,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
139,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
140,NULL,Cropland,Forest,Water,Non_Wetland,Water
141,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
142,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
143,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
144,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
145,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
146,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
147,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
148,NULL,Wetland,NULL,Water,Non_Wetland,Water
149,NULL,Wetland,NULL,Water,Non_Wetland,Forest
150,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
151,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
152,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
153,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
154,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
155,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
156,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
157,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
158,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
159,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
160,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
161,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
162,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
163,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
164,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
165,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
166,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
167,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
168,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
169,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
170,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
171,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
172,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
173,NULL,Wetland,Grassland,Water,Non_Wetland,Water
174,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
175,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
176,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
177,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
178,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
179,NULL,Wetland,Wetland,NULL,Wetland,NULL
180,NULL,Wetland,Wetland,NULL,Wetland,Grassland
181,NULL,Wetland,Wetland,NULL,Wetland,Wetland
182,NULL,Wetland,Wetland,NULL,Wetland,Bareland
183,NULL,Wetland,Wetland,NULL,Wetland,Water
184,NULL,Wetland,Wetland,NULL,Wetland,Forest
185,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
186,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
187,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
188,NULL,Wetland,Wetland,Water,Wetland,Grassland
189,NULL,Wetland,Wetland,Water,Wetland,Wetland
190,NULL,Wetland,Wetland,Water,Wetland,Water
191,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
192,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
193,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
194,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
195,NULL,Wetland,Bareland,Water,Non_Wetland,Water
196,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
197,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
198,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
199,NULL,Wetland,Water,NULL,Water,Grassland
200,NULL,Wetland,Water,NULL,Water,Wetland
201,NULL,Wetland,Water,NULL,Water,Bareland
202,NULL,Wetland,Water,NULL,Water,Water
203,NULL,Wetland,Water,NULL,Water,Forest
204,NULL,Wetland,Water,Non_Water,Water,Wetland
205,NULL,Wetland,Water,Non_Water,Water,Water
206,NULL,Wetland,Water,Water,Water,NULL
207,NULL,Wetland,Water,Water,Water,Grassland
208,NULL,Wetland,Water,Water,Water,Wetland
209,NULL,Wetland,Water,Water,Water,Bareland
210,NULL,Wetland,Water,Water,Water,Water
211,NULL,Wetland,Water,Water,Water,Forest
212,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
213,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
214,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
215,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
216,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
217,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
218,NULL,Wetland,Forest,Water,Non_Wetland,Forest
219,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
220,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
221,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
222,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
223,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
224,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
225,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
232,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
233,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
238,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
239,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
240,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
241,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
242,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
243,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
244,NULL,Built-up,Wetland,NULL,Wetland,NULL
245,NULL,Built-up,Wetland,NULL,Wetland,Grassland
246,NULL,Built-up,Wetland,NULL,Wetland,Wetland
247,NULL,Built-up,Wetland,NULL,Wetland,Built-up
248,NULL,Built-up,Wetland,NULL,Wetland,Forest
249,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
250,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
251,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
252,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
253,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
254,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
255,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
256,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
257,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
258,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
259,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
260,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
261,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
262,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
263,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
264,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
265,NULL,Water,NULL,NULL,Non_Wetland,Grassland
266,NULL,Water,NULL,NULL,Non_Wetland,Wetland
267,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
268,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
269,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
270,NULL,Water,Wetland,NULL,Wetland,Grassland
271,NULL,Water,Wetland,NULL,Wetland,Wetland
272,NULL,Water,Wetland,Non_Water,Wetland,Wetland
273,NULL,Water,Forest,NULL,Non_Wetland,Wetland
274,NULL,Forest,NULL,NULL,Non_Wetland,NULL
275,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
276,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
277,NULL,Forest,NULL,NULL,Non_Wetland,Forest
278,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
279,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
280,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
281,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
282,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
283,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
284,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
285,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
286,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
287,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
288,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
289,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
290,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
291,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
292,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
293,NULL,Forest,Shrubland,Water,Non_Wetland,Water
294,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
295,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
296,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
297,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
298,NULL,Forest,Wetland,NULL,Wetland,NULL
299,NULL,Forest,Wetland,NULL,Wetland,Grassland
300,NULL,Forest,Wetland,NULL,Wetland,Wetland
301,NULL,Forest,Wetland,NULL,Wetland,Forest
302,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
303,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
304,NULL,Forest,Wetland,Water,Wetland,Grassland
305,NULL,Forest,Wetland,Water,Wetland,Wetland
306,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
307,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
308,NULL,Forest,Bareland,Water,Non_Wetland,Water
309,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
310,NULL,Forest,Water,NULL,Water,Grassland
311,NULL,Forest,Water,NULL,Water,Wetland
312,NULL,Forest,Water,NULL,Water,Bareland
313,NULL,Forest,Water,Water,Water,Grassland
314,NULL,Forest,Water,Water,Water,Wetland
315,NULL,Forest,Water,Water,Water,Bareland
316,NULL,Forest,Water,Water,Water,Water
317,NULL,Forest,Water,Water,Water,Forest
318,NULL,Forest,Forest,NULL,Non_Wetland,NULL
319,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
320,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
321,NULL,Forest,Forest,NULL,Non_Wetland,Forest
322,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
323,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
324,NULL,Forest,Forest,Water,Non_Wetland,Wetland
325,NULL,Forest,Forest,Water,Non_Wetland,Forest
326,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
327,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
328,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
329,Grassland,NULL,NULL,NULL,Non_Wetland,Water
330,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
331,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
332,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
333,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
334,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
335,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
336,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
337,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
338,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
339,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
340,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
341,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
342,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
343,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
344,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
345,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
346,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
347,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
348,Grassland,NULL,Grassland,NULL,Non_Wetland,Water
349,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
350,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
351,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
352,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
353,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
354,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
355,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
356,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
357,Grassland,NULL,Cropland,Water,Non_Wetland,Water
358,Grassland,NULL,Wetland,NULL,Wetland,NULL
359,Grassland,NULL,Wetland,NULL,Wetland,Grassland
360,Grassland,NULL,Wetland,NULL,Wetland,Wetland
361,Grassland,NULL,Wetland,NULL,Wetland,Water
362,Grassland,NULL,Wetland,NULL,Wetland,Forest
363,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
364,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
365,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
366,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
367,Grassland,NULL,Wetland,Water,Wetland,Grassland
368,Grassland,NULL,Wetland,Water,Wetland,Wetland
369,Grassland,NULL,Wetland,Water,Wetland,Water
370,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
371,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
372,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
373,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
374,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
375,Grassland,NULL,Bareland,Water,Non_Wetland,Water
376,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
377,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
378,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland
379,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
380,Grassland,NULL,Water,NULL,Water,Grassland
381,Grassland,NULL,Water,NULL,Water,Wetland
382,Grassland,NULL,Water,NULL,Water,Forest
383,Grassland,NULL,Water,Non_Water,Water,Wetland
384,Grassland,NULL,Water,Non_Water,Water,Forest
385,Grassland,NULL,Water,Water,Water,Grassland
386,Grassland,NULL,Water,Water,Water,Wetland
387,Grassland,NULL,Water,Water,Water,Water
388,Grassland,NULL,Water,Water,Water,Forest
389,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
390,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
391,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
392,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
393,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
394,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
395,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
396,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
397,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
398,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
399,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
400,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
401,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
402,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water
403,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
404,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
405,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
406,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
407,Grassland,Cropland,Shrubland,Water,Non_Wetland,Water
408,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
409,Grassland,Cropland,Wetland,NULL,Wetland,NULL
410,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
411,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
412,Grassland,Cropland,Wetland,NULL,Wetland,Water
413,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
414,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
415,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
416,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
417,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
418,Grassland,Cropland,Built-up,NULL,Non_Wetland,Wetland
419,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
420,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
421,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
422,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
423,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
424,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
425,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
426,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
427,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
428,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
429,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
430,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
431,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water
432,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
433,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
434,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
435,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
