Value,AFRICA_2024_DynamicWorld_2024_35PQS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQS_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQS_M_R,AFRICA_2024_GSW_Yearly_2021_35PQS_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQS_M_R,AFRICA_2024_WorldCover_2021_35PQS_M_R
120,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
121,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
122,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
123,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL
124,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
125,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
126,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
127,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
128,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
129,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
130,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
131,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
132,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
133,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
134,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
135,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
136,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
137,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
138,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
139,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
140,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
141,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
142,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
143,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
144,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
145,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
146,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
147,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
148,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
149,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
150,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
151,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
152,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
153,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
154,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
155,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
156,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
157,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
158,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
159,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
160,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
161,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
162,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
163,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
164,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
165,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
166,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
167,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
168,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
169,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
170,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
171,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
172,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
173,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Forest
174,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
175,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
176,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
177,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
178,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
179,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
180,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
181,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
182,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
183,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
184,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
185,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
186,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
187,Cropland,Wetland,NULL,NULL,Non_Wetland,Forest
188,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
189,Cropland,Wetland,Grassland,NULL,Non_Wetland,Cropland
190,Cropland,Wetland,Grassland,NULL,Non_Wetland,Forest
191,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
192,Cropland,Wetland,Grassland,Water,Non_Wetland,Cropland
193,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
194,Cropland,Wetland,Cropland,Water,Non_Wetland,Grassland
195,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Forest
196,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
197,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
198,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
199,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
200,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
201,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
202,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
203,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
204,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
205,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
206,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
207,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
208,Cropland,Water,Grassland,Non_Water,Non_Wetland,Grassland
209,Cropland,Water,Bareland,Water,Non_Wetland,Water
210,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
211,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
212,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
213,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
214,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
215,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
216,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
217,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
218,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
219,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
220,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
221,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
222,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
223,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
224,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
225,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
226,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
227,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
228,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
229,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
230,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
231,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
232,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
233,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
234,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
235,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
236,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
237,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
238,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
239,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
240,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
241,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Forest
242,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
243,Wetland,NULL,Grassland,Water,Non_Wetland,Bareland
244,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
245,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
246,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
247,Wetland,NULL,Wetland,NULL,Wetland,NULL
248,Wetland,NULL,Wetland,NULL,Wetland,Grassland
249,Wetland,NULL,Wetland,NULL,Wetland,Forest
250,Wetland,NULL,Wetland,Water,Wetland,Bareland
251,Wetland,NULL,Wetland,Water,Wetland,Forest
252,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
253,Wetland,NULL,Bareland,NULL,Non_Wetland,Cropland
254,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
255,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
256,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
257,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
258,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
259,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
260,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
261,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
262,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
263,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
264,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
265,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
266,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
267,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
268,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
269,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
270,Wetland,Wetland,Grassland,NULL,Non_Wetland,Forest
271,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
272,Wetland,Wetland,Grassland,Water,Non_Wetland,Grassland
273,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
274,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
275,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest
276,Wetland,Wetland,Wetland,NULL,Wetland,NULL
277,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
278,Wetland,Wetland,Wetland,NULL,Wetland,Water
279,Wetland,Wetland,Wetland,NULL,Wetland,Forest
280,Wetland,Wetland,Wetland,Water,Wetland,Water
281,Wetland,Wetland,Wetland,Water,Wetland,Forest
282,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL
283,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
284,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
285,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
286,Wetland,Bareland,Grassland,NULL,Non_Wetland,Grassland
287,Wetland,Water,Grassland,Non_Water,Non_Wetland,Grassland
288,Wetland,Water,Grassland,Non_Water,Non_Wetland,Bareland
289,Wetland,Water,Grassland,Water,Non_Wetland,Grassland
290,Wetland,Water,Grassland,Water,Non_Wetland,Bareland
291,Wetland,Water,Wetland,Water,Wetland,Bareland
292,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
293,Wetland,Water,Forest,Water,Non_Wetland,Bareland
294,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
295,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
296,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
297,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
298,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
299,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
300,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
301,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland
302,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
303,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
304,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland
305,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
306,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL
307,Wetland,Forest,Wetland,NULL,Wetland,NULL
308,Wetland,Forest,Wetland,NULL,Wetland,Grassland
309,Wetland,Forest,Wetland,NULL,Wetland,Forest
310,Wetland,Forest,Built-up,NULL,Non_Wetland,NULL
311,Wetland,Forest,Built-up,NULL,Non_Wetland,Forest
312,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
313,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
314,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
315,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
316,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
317,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
318,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
319,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
320,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
321,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
322,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
323,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
324,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
325,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
326,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
327,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
328,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
329,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
330,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
331,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
332,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
333,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
334,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
335,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
336,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
337,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
338,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
339,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
340,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Forest
341,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
342,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
343,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
344,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
345,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
346,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
347,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
348,Bareland,NULL,Wetland,NULL,Wetland,Bareland
349,Bareland,NULL,Wetland,Water,Wetland,Grassland
350,Bareland,NULL,Wetland,Water,Wetland,Wetland
351,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
352,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
353,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
354,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
355,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
356,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
357,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
358,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
359,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
360,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
361,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
362,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
363,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
364,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
365,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
366,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
367,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
368,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
369,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
370,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
371,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
372,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
373,Bareland,NULL,Water,NULL,Water,Grassland
374,Bareland,NULL,Water,NULL,Water,Bareland
375,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
376,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
377,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
378,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
379,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
380,Bareland,NULL,Forest,Water,Non_Wetland,Grassland
381,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
382,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
383,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
384,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
385,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
386,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
387,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
388,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
389,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
390,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
391,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
392,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
393,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland
394,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL
395,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
396,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL
397,Bareland,Wetland,Grassland,NULL,Non_Wetland,Grassland
398,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland
399,Bareland,Wetland,Grassland,Water,Non_Wetland,Wetland
400,Bareland,Wetland,Bareland,NULL,Non_Wetland,Grassland
401,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
402,Bareland,Wetland,Forest,NULL,Non_Wetland,Grassland
403,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
404,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
405,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
406,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
407,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
408,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
409,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
410,Bareland,Bareland,Grassland,NULL,Non_Wetland,Wetland
411,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
412,Bareland,Bareland,Grassland,Water,Non_Wetland,Wetland
413,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
414,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
415,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
416,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
