Value,AFRICA_2024_DynamicWorld_2024_37NCH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NCH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NCH_M_R,AFRICA_2024_GSW_Yearly_2021_37NCH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NCH_M_R,AFRICA_2024_WorldCover_2021_37NCH_M_R
120,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
121,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
122,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL
124,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
125,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
126,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
127,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
128,NULL,NULL,Bareland,Water,Non_Wetland,Water
129,NULL,NULL,Bareland,Water,Non_Wetland,Forest
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
131,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
132,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
133,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
134,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
135,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
136,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
137,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
138,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
139,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
140,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
141,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
142,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
143,NULL,NULL,Built-up,Water,Non_Wetland,Water
144,NULL,NULL,Built-up,Water,Non_Wetland,Forest
145,NULL,NULL,Water,NULL,Water,Wetland
146,NULL,NULL,Water,NULL,Water,Water
147,NULL,NULL,Water,NULL,Water,Forest
148,NULL,NULL,Water,Non_Water,Water,Wetland
149,NULL,NULL,Water,Water,Water,Cropland
150,NULL,NULL,Water,Water,Water,Wetland
151,NULL,NULL,Water,Water,Water,Water
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL
153,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
155,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
156,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
157,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
158,NULL,NULL,Forest,NULL,Non_Wetland,Water
159,NULL,NULL,Forest,NULL,Non_Wetland,Forest
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
161,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
165,NULL,NULL,Forest,Water,Non_Wetland,NULL
166,NULL,NULL,Forest,Water,Non_Wetland,Grassland
167,NULL,NULL,Forest,Water,Non_Wetland,Cropland
168,NULL,NULL,Forest,Water,Non_Wetland,Wetland
169,NULL,NULL,Forest,Water,Non_Wetland,Bareland
170,NULL,NULL,Forest,Water,Non_Wetland,Water
171,NULL,NULL,Forest,Water,Non_Wetland,Forest
172,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
173,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
174,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
175,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
176,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
177,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
178,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
179,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
180,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
181,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
182,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
183,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
184,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
185,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
186,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
187,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
188,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
189,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
190,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
191,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
192,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
193,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
194,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
195,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
196,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
197,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
198,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
199,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
200,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
201,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
202,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
203,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
204,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
205,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
206,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
207,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
208,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
209,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
210,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
211,NULL,Cropland,Grassland,Water,Non_Wetland,Water
212,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
213,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
214,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
215,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
216,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
217,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
218,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
219,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
220,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
221,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
222,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
223,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
224,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
225,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
226,NULL,Cropland,Cropland,Water,Non_Wetland,Water
227,NULL,Cropland,Wetland,NULL,Wetland,NULL
228,NULL,Cropland,Wetland,NULL,Wetland,Grassland
229,NULL,Cropland,Wetland,NULL,Wetland,Cropland
230,NULL,Cropland,Wetland,NULL,Wetland,Wetland
231,NULL,Cropland,Wetland,NULL,Wetland,Forest
232,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
233,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
234,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
235,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
236,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
237,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
238,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
239,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
240,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
241,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
242,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
243,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
244,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
245,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
246,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
247,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
248,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
249,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
250,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
251,NULL,Cropland,Bareland,Water,Non_Wetland,Water
252,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
253,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
254,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
255,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
256,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
257,NULL,Cropland,Built-up,NULL,Non_Wetland,Water
258,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
259,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
260,NULL,Cropland,Water,NULL,Water,Water
261,NULL,Cropland,Water,Water,Water,Water
262,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
263,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
264,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
265,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
266,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
267,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
268,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
269,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
270,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
271,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
272,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
273,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
274,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
275,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
276,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
277,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
278,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
279,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
280,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
281,NULL,Wetland,NULL,Water,Non_Wetland,NULL
282,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
283,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
284,NULL,Wetland,NULL,Water,Non_Wetland,Forest
285,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
286,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
287,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
288,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
289,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
290,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
291,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
292,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
293,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
294,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
295,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
296,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
297,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
298,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
299,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
300,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
301,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
302,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
303,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
304,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
305,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
306,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
307,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
308,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
309,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
310,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
311,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
312,NULL,Wetland,Grassland,Water,Non_Wetland,NULL
313,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
314,NULL,Wetland,Grassland,Water,Non_Wetland,Cropland
315,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
316,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
317,NULL,Wetland,Grassland,Water,Non_Wetland,Water
318,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
319,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
320,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
321,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
322,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
323,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
324,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
325,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
326,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
327,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
328,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
329,NULL,Wetland,Cropland,Water,Non_Wetland,NULL
330,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
331,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
332,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
333,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland
334,NULL,Wetland,Cropland,Water,Non_Wetland,Water
335,NULL,Wetland,Cropland,Water,Non_Wetland,Forest
336,NULL,Wetland,Wetland,NULL,Wetland,NULL
337,NULL,Wetland,Wetland,NULL,Wetland,Cropland
338,NULL,Wetland,Wetland,NULL,Wetland,Wetland
339,NULL,Wetland,Wetland,NULL,Wetland,Bareland
340,NULL,Wetland,Wetland,NULL,Wetland,Forest
341,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
342,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
343,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
344,NULL,Wetland,Wetland,Water,Wetland,NULL
345,NULL,Wetland,Wetland,Water,Wetland,Cropland
346,NULL,Wetland,Wetland,Water,Wetland,Wetland
347,NULL,Wetland,Wetland,Water,Wetland,Water
348,NULL,Wetland,Wetland,Water,Wetland,Forest
349,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
350,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
351,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
352,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
353,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
354,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
355,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
356,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
357,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
358,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
359,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
360,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
361,NULL,Wetland,Bareland,Water,Non_Wetland,NULL
362,NULL,Wetland,Bareland,Water,Non_Wetland,Cropland
363,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
364,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
365,NULL,Wetland,Bareland,Water,Non_Wetland,Water
366,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
367,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
368,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
369,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
370,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
371,NULL,Wetland,Water,NULL,Water,Cropland
372,NULL,Wetland,Water,NULL,Water,Wetland
373,NULL,Wetland,Water,NULL,Water,Bareland
374,NULL,Wetland,Water,Water,Water,NULL
375,NULL,Wetland,Water,Water,Water,Cropland
376,NULL,Wetland,Water,Water,Water,Wetland
377,NULL,Wetland,Water,Water,Water,Bareland
378,NULL,Wetland,Water,Water,Water,Water
379,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
380,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
381,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
382,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
383,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
384,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
385,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
386,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
387,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
388,NULL,Wetland,Forest,Water,Non_Wetland,Cropland
389,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
390,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
391,NULL,Wetland,Forest,Water,Non_Wetland,Water
392,NULL,Wetland,Forest,Water,Non_Wetland,Forest
393,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
394,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
395,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
396,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
397,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
398,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
399,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
400,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
401,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
402,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
403,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
404,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
405,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL
406,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
407,NULL,Built-up,NULL,Non_Water,Non_Wetland,Cropland
408,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up
409,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
410,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
411,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
412,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
413,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
414,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
415,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
416,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
417,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
418,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
419,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
420,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
421,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
422,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL
423,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
424,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
425,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
