Value,AFRICA_2024_DynamicWorld_2024_37NFE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NFE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NFE_M_R,AFRICA_2024_WorldCover_2021_37NFE_M_R
123,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
124,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
125,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
126,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
128,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
129,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
130,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
133,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
134,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
135,NULL,Water,NULL,NULL,Non_Wetland,NULL
136,NULL,Water,NULL,NULL,Non_Wetland,Grassland
137,NULL,Water,NULL,NULL,Non_Wetland,Cropland
138,NULL,Water,NULL,NULL,Non_Wetland,Water
139,NULL,Water,NULL,NULL,Non_Wetland,Forest
140,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
141,NULL,Water,NULL,Water,Non_Wetland,Grassland
142,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
143,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
145,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
146,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
147,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
148,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
149,NULL,Water,Grassland,NULL,Non_Wetland,NULL
150,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
151,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
152,NULL,Water,Grassland,NULL,Non_Wetland,Forest
153,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
154,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
155,NULL,Water,Grassland,Water,Non_Wetland,Grassland
156,NULL,Water,Grassland,Water,Non_Wetland,Bareland
157,NULL,Water,Cropland,NULL,Non_Wetland,NULL
158,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
159,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
160,NULL,Water,Cropland,NULL,Non_Wetland,Forest
161,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
162,NULL,Water,Cropland,Water,Non_Wetland,Grassland
163,NULL,Water,Cropland,Water,Non_Wetland,Cropland
164,NULL,Water,Cropland,Water,Non_Wetland,Bareland
165,NULL,Water,Cropland,Water,Non_Wetland,Forest
166,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
167,NULL,Water,Bareland,NULL,Non_Wetland,Forest
168,NULL,Water,Water,NULL,Water,Grassland
169,NULL,Water,Water,Non_Water,Water,Grassland
170,NULL,Water,Water,Water,Water,Bareland
171,NULL,Water,Forest,NULL,Non_Wetland,Forest
172,NULL,Forest,NULL,NULL,Non_Wetland,NULL
173,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
174,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
175,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
176,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
177,NULL,Forest,NULL,NULL,Non_Wetland,Forest
178,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
179,NULL,Forest,NULL,Water,Non_Wetland,Grassland
180,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
181,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
182,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
186,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
187,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
188,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
189,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
190,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
191,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
192,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
193,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
194,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
195,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
196,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
197,NULL,Forest,Grassland,Water,Non_Wetland,NULL
198,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
199,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
200,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
201,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
202,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
203,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
204,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
205,NULL,Forest,Wetland,Water,Wetland,Cropland
206,NULL,Forest,Wetland,Water,Wetland,Bareland
207,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
208,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
209,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
210,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
211,NULL,Forest,Bareland,Water,Non_Wetland,Bareland
212,NULL,Forest,Water,NULL,Water,Grassland
213,NULL,Forest,Water,NULL,Water,Bareland
214,NULL,Forest,Forest,NULL,Non_Wetland,NULL
215,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
216,NULL,Forest,Forest,NULL,Non_Wetland,Forest
217,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
218,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
219,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
221,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
223,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
224,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
225,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
226,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
227,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
228,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
229,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
230,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
231,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
232,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
233,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
234,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
235,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
236,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
237,Grassland,NULL,Water,NULL,Water,NULL
238,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
239,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
240,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
241,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
242,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
243,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
244,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
245,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
246,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
247,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
248,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
249,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
250,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
251,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
252,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
253,Grassland,Water,Shrubland,Water,Non_Wetland,NULL
254,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
255,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
256,Grassland,Water,Cropland,Non_Water,Non_Wetland,Grassland
257,Grassland,Water,Cropland,Non_Water,Non_Wetland,Forest
258,Grassland,Water,Cropland,Water,Non_Wetland,Grassland
259,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
260,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
261,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
262,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
263,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
264,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
265,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
266,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
267,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
268,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
269,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
270,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
271,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
272,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
273,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
274,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
275,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
276,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
277,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
278,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
279,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
280,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
281,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
282,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
283,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
284,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
285,Cropland,NULL,NULL,Water,Non_Wetland,Forest
286,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
287,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
288,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
289,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
290,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
291,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
292,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
293,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
294,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
295,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
296,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
297,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
298,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
299,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
300,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
301,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
302,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
303,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
304,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
305,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
306,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
307,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
308,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
309,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
310,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
311,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
312,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
313,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
314,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
315,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
316,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
317,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
318,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
319,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
320,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
321,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
322,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
323,Cropland,NULL,Wetland,NULL,Wetland,Grassland
324,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
325,Cropland,NULL,Wetland,Water,Wetland,Grassland
326,Cropland,NULL,Wetland,Water,Wetland,Bareland
327,Cropland,NULL,Wetland,Water,Wetland,Water
328,Cropland,NULL,Wetland,Water,Wetland,Forest
329,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
330,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
331,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
332,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
333,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
334,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
335,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
336,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
337,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
338,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
339,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
340,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
341,Cropland,NULL,Water,NULL,Water,NULL
342,Cropland,NULL,Water,NULL,Water,Grassland
343,Cropland,NULL,Water,NULL,Water,Cropland
344,Cropland,NULL,Water,NULL,Water,Wetland
345,Cropland,NULL,Water,NULL,Water,Forest
346,Cropland,NULL,Water,Non_Water,Water,NULL
347,Cropland,NULL,Water,Non_Water,Water,Grassland
348,Cropland,NULL,Water,Non_Water,Water,Forest
349,Cropland,NULL,Water,Water,Water,Grassland
350,Cropland,NULL,Water,Water,Water,Bareland
351,Cropland,NULL,Water,Water,Water,Water
352,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
353,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
354,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
355,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
356,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
357,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
358,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
359,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
360,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
361,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
362,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
363,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
364,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
365,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
366,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
367,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
368,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
369,Cropland,Bareland,Cropland,Water,Non_Wetland,Grassland
370,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
371,Cropland,Bareland,Water,Non_Water,Water,Grassland
372,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
373,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
374,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
375,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
376,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
377,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
378,Cropland,Water,NULL,NULL,Non_Wetland,NULL
379,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
380,Cropland,Water,NULL,NULL,Non_Wetland,Forest
381,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL
382,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
383,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
384,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
385,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
386,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Forest
387,Cropland,Water,Shrubland,Water,Non_Wetland,Cropland
388,Cropland,Water,Shrubland,Water,Non_Wetland,Forest
389,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
390,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
391,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
392,Cropland,Water,Grassland,NULL,Non_Wetland,Water
393,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
394,Cropland,Water,Grassland,Non_Water,Non_Wetland,Forest
395,Cropland,Water,Grassland,Water,Non_Wetland,Grassland
396,Cropland,Water,Grassland,Water,Non_Wetland,Bareland
397,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
398,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
399,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
400,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
401,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
402,Cropland,Water,Cropland,Non_Water,Non_Wetland,Cropland
403,Cropland,Water,Cropland,Water,Non_Wetland,Grassland
404,Cropland,Water,Cropland,Water,Non_Wetland,Forest
405,Cropland,Water,Water,NULL,Water,Bareland
406,Cropland,Water,Water,NULL,Water,Forest
407,Cropland,Water,Water,Non_Water,Water,Grassland
408,Cropland,Water,Water,Water,Water,Grassland
409,Cropland,Water,Forest,NULL,Non_Wetland,Forest
410,Cropland,Water,Forest,Non_Water,Non_Wetland,Forest
411,Cropland,Water,Forest,Water,Non_Wetland,Forest
412,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
413,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
414,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
415,Cropland,Forest,NULL,Non_Water,Non_Wetland,Forest
416,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
417,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
418,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
419,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
420,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
421,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
422,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
423,Cropland,Forest,Shrubland,Water,Non_Wetland,Forest
424,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
425,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
426,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
427,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Forest
428,Cropland,Forest,Grassland,Water,Non_Wetland,Grassland
