Value,AFRICA_2024_DynamicWorld_2024_36NUN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUN_M_R,AFRICA_2024_GSW_Yearly_2021_36NUN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUN_M_R,AFRICA_2024_WorldCover_2021_36NUN_M_R
121,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
122,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
123,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
124,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
125,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
126,NULL,Wetland,Built-up,Water,Non_Wetland,Built-up
127,NULL,Wetland,Built-up,Water,Non_Wetland,Water
128,NULL,Wetland,Water,NULL,Water,Wetland
129,NULL,Wetland,Water,NULL,Water,Bareland
130,NULL,Wetland,Water,NULL,Water,Water
131,NULL,Wetland,Water,Non_Water,Water,Wetland
132,NULL,Wetland,Water,Water,Water,Grassland
133,NULL,Wetland,Water,Water,Water,Wetland
134,NULL,Wetland,Water,Water,Water,Bareland
135,NULL,Wetland,Water,Water,Water,Water
136,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
137,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
138,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
139,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
140,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
141,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
142,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
143,NULL,Wetland,Forest,Water,Non_Wetland,Forest
144,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
145,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
146,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
152,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
153,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
159,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
162,NULL,Built-up,Wetland,NULL,Wetland,Wetland
163,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
165,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
168,NULL,Built-up,Bareland,Water,Non_Wetland,Wetland
169,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
175,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland
176,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
177,NULL,Built-up,Water,NULL,Water,Wetland
178,NULL,Built-up,Water,Water,Water,Wetland
179,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
181,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
182,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
183,NULL,Water,NULL,NULL,Non_Wetland,Wetland
184,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
185,NULL,Water,Forest,NULL,Non_Wetland,Wetland
186,NULL,Forest,NULL,NULL,Non_Wetland,NULL
187,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
188,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
189,NULL,Forest,NULL,NULL,Non_Wetland,Forest
190,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
191,NULL,Forest,NULL,Water,Non_Wetland,Wetland
192,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
193,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
194,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
195,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
196,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
197,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
198,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
199,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
200,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
201,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
202,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
203,NULL,Forest,Shrubland,Water,Non_Wetland,Water
204,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
205,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
206,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
207,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
208,NULL,Forest,Wetland,NULL,Wetland,Wetland
209,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
210,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
211,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
212,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
213,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
214,NULL,Forest,Water,Water,Water,Wetland
215,NULL,Forest,Water,Water,Water,Water
216,NULL,Forest,Forest,NULL,Non_Wetland,NULL
217,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
218,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
219,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
220,NULL,Forest,Forest,NULL,Non_Wetland,Forest
221,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
222,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
223,NULL,Forest,Forest,Water,Non_Wetland,Wetland
224,NULL,Forest,Forest,Water,Non_Wetland,Water
225,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
226,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
227,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
228,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
229,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
230,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
231,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
232,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
233,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
234,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
236,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
237,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
239,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
240,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
241,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
242,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
243,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
244,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
245,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
246,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
247,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
248,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
250,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
251,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
252,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
253,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
254,Grassland,NULL,Wetland,NULL,Wetland,Grassland
255,Grassland,NULL,Wetland,NULL,Wetland,Wetland
256,Grassland,NULL,Wetland,NULL,Wetland,Forest
257,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
258,Grassland,NULL,Wetland,Water,Wetland,Wetland
259,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
260,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
261,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
262,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
263,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
264,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
265,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
266,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
267,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
268,Grassland,NULL,Water,NULL,Water,Wetland
269,Grassland,NULL,Water,NULL,Water,Water
270,Grassland,NULL,Water,NULL,Water,Forest
271,Grassland,NULL,Water,Non_Water,Water,Wetland
272,Grassland,NULL,Water,Water,Water,Grassland
273,Grassland,NULL,Water,Water,Water,Wetland
274,Grassland,NULL,Water,Water,Water,Water
275,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
276,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
277,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
278,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
279,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
280,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
281,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
282,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
283,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
284,Grassland,NULL,Forest,Water,Non_Wetland,Water
285,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
286,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
287,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
288,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
289,Grassland,Wetland,NULL,NULL,Non_Wetland,Built-up
290,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
291,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
292,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
293,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
294,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
295,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
296,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water
297,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
298,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
299,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
300,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
301,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
302,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
303,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
304,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
305,Grassland,Wetland,Wetland,NULL,Wetland,Water
306,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
307,Grassland,Wetland,Wetland,Water,Wetland,Wetland
308,Grassland,Wetland,Wetland,Water,Wetland,Water
309,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
310,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
311,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
312,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland
313,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland
314,Grassland,Wetland,Built-up,Water,Non_Wetland,Wetland
315,Grassland,Wetland,Water,NULL,Water,Wetland
316,Grassland,Wetland,Water,NULL,Water,Water
317,Grassland,Wetland,Water,Non_Water,Water,Wetland
318,Grassland,Wetland,Water,Water,Water,Wetland
319,Grassland,Wetland,Water,Water,Water,Water
320,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
321,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
322,Grassland,Wetland,Forest,NULL,Non_Wetland,Built-up
323,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
324,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
325,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
326,Grassland,Wetland,Forest,Water,Non_Wetland,Water
327,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
328,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
329,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
330,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
331,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland
332,Grassland,Water,Wetland,NULL,Wetland,Wetland
333,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
334,Grassland,Water,Wetland,Water,Wetland,Wetland
335,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
336,Grassland,Water,Water,NULL,Water,Wetland
337,Grassland,Water,Water,Non_Water,Water,Wetland
338,Grassland,Water,Water,Water,Water,Wetland
339,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
340,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
341,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
342,Grassland,Water,Forest,Water,Non_Wetland,Wetland
343,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
344,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
345,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
346,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
347,Grassland,Forest,NULL,Water,Non_Wetland,Wetland
348,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
349,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
350,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
351,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
352,Grassland,Forest,Shrubland,NULL,Non_Wetland,Water
353,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
354,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
355,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
356,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
357,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
358,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
359,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
360,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
361,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
362,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
363,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
364,Grassland,Forest,Wetland,NULL,Wetland,Wetland
365,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
366,Grassland,Forest,Wetland,Water,Wetland,Wetland
367,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
368,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
369,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
370,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
371,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
372,Grassland,Forest,Built-up,NULL,Non_Wetland,Wetland
373,Grassland,Forest,Water,NULL,Water,Wetland
374,Grassland,Forest,Water,Non_Water,Water,Wetland
375,Grassland,Forest,Water,Water,Water,Wetland
376,Grassland,Forest,Water,Water,Water,Water
377,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
378,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
379,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
380,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
381,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
382,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
383,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
384,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
385,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
386,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
387,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
388,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
389,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
390,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
391,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
392,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
393,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
394,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
395,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
396,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
397,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
398,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
399,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
400,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
401,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
402,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
403,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
404,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
405,Cropland,NULL,Wetland,NULL,Wetland,Wetland
406,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
407,Cropland,NULL,Wetland,Water,Wetland,Wetland
408,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
409,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
410,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
411,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
412,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
413,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
414,Cropland,NULL,Water,NULL,Water,Wetland
415,Cropland,NULL,Water,Non_Water,Water,Wetland
416,Cropland,NULL,Water,Water,Water,Grassland
417,Cropland,NULL,Water,Water,Water,Wetland
418,Cropland,NULL,Water,Water,Water,Water
419,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
420,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
421,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
422,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
423,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
424,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
425,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
426,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
427,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
428,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
429,Cropland,Wetland,NULL,NULL,Non_Wetland,Wetland
