Value,AFRICA_2024_DynamicWorld_2024_36NUK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUK_M_R,AFRICA_2024_GSW_Yearly_2021_36NUK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUK_M_R,AFRICA_2024_WorldCover_2021_36NUK_M_R
120,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
121,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
122,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
123,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
124,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
125,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL
126,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
127,NULL,Built-up,NULL,Non_Water,Non_Wetland,Cropland
128,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
135,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
136,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
137,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
138,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
139,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
140,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
141,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
142,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
143,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
144,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
145,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
146,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
147,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
149,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
150,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
151,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
152,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
153,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
154,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
155,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
156,NULL,Built-up,Wetland,NULL,Wetland,Grassland
157,NULL,Built-up,Wetland,NULL,Wetland,Forest
158,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
161,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
163,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
166,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
167,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
168,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
169,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
170,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
171,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
172,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
173,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
175,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL
176,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
177,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
178,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
179,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
180,NULL,Water,NULL,NULL,Non_Wetland,NULL
181,NULL,Water,NULL,NULL,Non_Wetland,Bareland
182,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
183,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
184,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
185,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
186,NULL,Water,Shrubland,Water,Non_Wetland,NULL
187,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
188,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
189,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
190,NULL,Water,Wetland,NULL,Wetland,NULL
191,NULL,Water,Wetland,NULL,Wetland,Grassland
192,NULL,Water,Wetland,NULL,Wetland,Forest
193,NULL,Water,Wetland,Water,Wetland,Forest
194,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
195,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
196,NULL,Water,Bareland,NULL,Non_Wetland,Forest
197,NULL,Water,Bareland,Water,Non_Wetland,Grassland
198,NULL,Water,Water,NULL,Water,Forest
199,NULL,Water,Forest,NULL,Non_Wetland,NULL
200,NULL,Water,Forest,NULL,Non_Wetland,Grassland
201,NULL,Water,Forest,NULL,Non_Wetland,Forest
202,NULL,Water,Forest,Water,Non_Wetland,NULL
203,NULL,Forest,NULL,NULL,Non_Wetland,NULL
204,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
205,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
206,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
207,NULL,Forest,NULL,NULL,Non_Wetland,Forest
208,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
209,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
210,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
211,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
212,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
213,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
214,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
215,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
217,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
218,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
219,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
220,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
221,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
222,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
223,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
224,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
225,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
226,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
227,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
228,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
229,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
230,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
231,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
232,NULL,Forest,Wetland,NULL,Wetland,NULL
233,NULL,Forest,Wetland,NULL,Wetland,Grassland
234,NULL,Forest,Wetland,NULL,Wetland,Forest
235,NULL,Forest,Wetland,Non_Water,Wetland,Forest
236,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
237,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
238,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
239,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
240,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
241,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
242,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
243,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
244,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
245,NULL,Forest,Water,NULL,Water,Forest
246,NULL,Forest,Forest,NULL,Non_Wetland,NULL
247,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
248,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
249,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
250,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
251,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
252,NULL,Forest,Forest,NULL,Non_Wetland,Forest
253,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
254,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
255,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
256,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
257,NULL,Forest,Forest,Water,Non_Wetland,Grassland
258,NULL,Forest,Forest,Water,Non_Wetland,Forest
259,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
260,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
261,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
262,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
263,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
264,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
265,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
266,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
267,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
268,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
269,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
270,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
272,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
273,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
274,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
275,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
276,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
277,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
278,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
279,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
280,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
281,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
282,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
283,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
284,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
285,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
286,Grassland,NULL,Wetland,NULL,Wetland,NULL
287,Grassland,NULL,Wetland,NULL,Wetland,Grassland
288,Grassland,NULL,Wetland,NULL,Wetland,Wetland
289,Grassland,NULL,Wetland,NULL,Wetland,Forest
290,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
291,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
292,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
293,Grassland,NULL,Wetland,Water,Wetland,Wetland
294,Grassland,NULL,Wetland,Water,Wetland,Water
295,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
296,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
297,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
298,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
299,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
300,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
301,Grassland,NULL,Water,NULL,Water,Forest
302,Grassland,NULL,Water,Non_Water,Water,Wetland
303,Grassland,NULL,Water,Non_Water,Water,Forest
304,Grassland,NULL,Water,Water,Water,Wetland
305,Grassland,NULL,Water,Water,Water,Water
306,Grassland,NULL,Water,Water,Water,Forest
307,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
308,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
309,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
310,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
311,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
312,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
313,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
314,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
315,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
316,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
317,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
318,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
319,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
320,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
321,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
322,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
323,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
324,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
325,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
326,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
327,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
328,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
329,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
330,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
331,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
332,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
333,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
334,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
335,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
336,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
337,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
338,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
339,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
340,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
341,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
342,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
343,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
344,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
345,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
346,Grassland,Wetland,Wetland,NULL,Wetland,NULL
347,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
348,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
349,Grassland,Wetland,Wetland,NULL,Wetland,Water
350,Grassland,Wetland,Wetland,NULL,Wetland,Forest
351,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
352,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
353,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
354,Grassland,Wetland,Wetland,Water,Wetland,Grassland
355,Grassland,Wetland,Wetland,Water,Wetland,Wetland
356,Grassland,Wetland,Wetland,Water,Wetland,Water
357,Grassland,Wetland,Wetland,Water,Wetland,Forest
358,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
359,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
360,Grassland,Wetland,Water,NULL,Water,Wetland
361,Grassland,Wetland,Water,NULL,Water,Forest
362,Grassland,Wetland,Water,Water,Water,Grassland
363,Grassland,Wetland,Water,Water,Water,Wetland
364,Grassland,Wetland,Water,Water,Water,Water
365,Grassland,Wetland,Water,Water,Water,Forest
366,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
367,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
368,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
369,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
370,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
371,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
372,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
373,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
374,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
375,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
376,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
377,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
378,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
379,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
380,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
381,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
382,Grassland,Water,Wetland,NULL,Wetland,Grassland
383,Grassland,Water,Wetland,NULL,Wetland,Wetland
384,Grassland,Water,Wetland,NULL,Wetland,Forest
385,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
386,Grassland,Water,Wetland,Non_Water,Wetland,Water
387,Grassland,Water,Wetland,Non_Water,Wetland,Forest
388,Grassland,Water,Wetland,Water,Wetland,NULL
389,Grassland,Water,Wetland,Water,Wetland,Forest
390,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
391,Grassland,Water,Built-up,NULL,Non_Wetland,Forest
392,Grassland,Water,Forest,NULL,Non_Wetland,NULL
393,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
394,Grassland,Water,Forest,NULL,Non_Wetland,Forest
395,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
396,Grassland,Water,Forest,Water,Non_Wetland,NULL
397,Grassland,Water,Forest,Water,Non_Wetland,Grassland
398,Grassland,Water,Forest,Water,Non_Wetland,Forest
399,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
400,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
401,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
402,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
403,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
404,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
405,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
406,Grassland,Forest,NULL,Non_Water,Non_Wetland,Forest
407,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
408,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
409,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
410,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
411,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
412,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
413,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
414,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
415,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
416,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
417,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest
418,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
419,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
420,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
421,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
422,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
423,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
424,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
425,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Forest
426,Grassland,Forest,Wetland,NULL,Wetland,NULL
