Value,AFRICA_2024_DynamicWorld_2024_35PRT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRT_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRT_M_R,AFRICA_2024_GSW_Yearly_2021_35PRT_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRT_M_R,AFRICA_2024_WorldCover_2021_35PRT_M_R
117,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
118,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
119,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
120,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
121,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
122,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
123,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
124,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
125,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
126,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
127,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
128,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
129,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
130,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
131,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
132,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
133,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
134,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
135,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL
136,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
137,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
138,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
139,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
140,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
141,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
142,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
143,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
144,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL
145,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
146,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
147,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
148,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
149,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
150,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
151,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
152,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
153,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL
154,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
155,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
156,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
157,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
158,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
159,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
160,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
161,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
162,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
163,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
164,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
165,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
166,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
167,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
168,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
169,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
170,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
171,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
172,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
173,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
174,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
175,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
176,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
177,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
178,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
179,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
180,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
181,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
182,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
183,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
184,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
185,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
186,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
187,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
188,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL
189,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
190,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
191,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
192,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
193,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL
194,Bareland,NULL,Forest,Non_Water,Non_Wetland,Grassland
195,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland
196,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
197,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
198,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
199,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
200,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
201,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
202,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
203,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
204,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
205,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
206,Bareland,Wetland,Built-up,NULL,Non_Wetland,Bareland
207,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
208,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
209,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
210,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
211,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
212,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
213,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
214,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
215,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
216,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
217,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
218,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
219,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
220,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
221,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
222,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
223,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
224,Water,NULL,NULL,NULL,Non_Wetland,Grassland
225,Water,NULL,NULL,Non_Water,Non_Wetland,Grassland
226,Water,NULL,NULL,Non_Water,Non_Wetland,Bareland
227,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
228,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL
229,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
230,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
231,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
232,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL
233,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
234,Water,NULL,Grassland,Non_Water,Non_Wetland,Bareland
235,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
236,Water,NULL,Bareland,Non_Water,Non_Wetland,Bareland
237,Water,NULL,Built-up,Non_Water,Non_Wetland,Grassland
238,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
239,Water,NULL,Forest,Non_Water,Non_Wetland,Bareland
240,Forest,NULL,NULL,NULL,Non_Wetland,NULL
241,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
242,Forest,NULL,NULL,NULL,Non_Wetland,Forest
243,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
244,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
245,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
246,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
247,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
248,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
249,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
250,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
251,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
252,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
253,Forest,NULL,Grassland,Non_Water,Non_Wetland,Bareland
254,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
255,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
256,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
257,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
258,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
259,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
260,Forest,NULL,Forest,NULL,Non_Wetland,NULL
261,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
262,Forest,NULL,Forest,NULL,Non_Wetland,Forest
263,Forest,Forest,NULL,NULL,Non_Wetland,NULL
264,Forest,Forest,NULL,NULL,Non_Wetland,Forest
265,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
266,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
267,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
268,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
269,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
270,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
271,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
272,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
273,Forest,Forest,Forest,NULL,Non_Wetland,NULL
274,Forest,Forest,Forest,NULL,Non_Wetland,Forest
