Value,AFRICA_2024_DynamicWorld_2024_37NDH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDH_M_R,AFRICA_2024_GSW_Yearly_2021_37NDH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDH_M_R,AFRICA_2024_WorldCover_2021_37NDH_M_R
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
120,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
121,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
122,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
123,NULL,Cropland,Wetland,NULL,Wetland,Bareland
124,NULL,Cropland,Wetland,NULL,Wetland,Forest
125,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
126,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
128,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
129,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
130,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
134,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
135,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
139,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
141,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
142,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
143,NULL,Cropland,Built-up,Water,Non_Wetland,Bareland
144,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
145,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
146,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
147,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
148,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
149,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
150,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
151,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
152,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
153,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
154,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
155,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
156,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
157,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
158,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
159,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
160,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
161,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
162,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
163,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
164,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
165,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
166,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
167,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
168,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
169,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
170,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
171,NULL,Wetland,Cropland,Water,Non_Wetland,NULL
172,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
173,NULL,Wetland,Wetland,Water,Wetland,Cropland
174,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
175,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
176,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
177,NULL,Wetland,Water,NULL,Water,Wetland
178,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
179,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
180,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
181,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
182,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
183,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
184,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
185,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
186,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
187,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
188,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
189,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
190,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
191,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
192,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
193,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
194,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
195,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
196,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
197,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
198,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
199,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
200,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
201,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
202,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
203,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
204,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
205,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
206,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
207,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
208,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
209,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
210,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
211,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
212,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL
213,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
214,NULL,Built-up,NULL,Non_Water,Non_Wetland,Wetland
215,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up
216,NULL,Built-up,NULL,Water,Non_Wetland,Forest
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
224,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
225,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
226,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
227,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
228,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
229,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
230,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
231,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
238,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
239,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
240,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
241,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
242,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
243,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
244,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
245,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
246,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
247,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
248,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
249,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
250,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
251,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
252,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
253,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
254,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
255,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
256,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
257,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
258,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
259,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
260,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
261,NULL,Built-up,Cropland,Water,Non_Wetland,Wetland
262,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
263,NULL,Built-up,Wetland,NULL,Wetland,NULL
264,NULL,Built-up,Wetland,NULL,Wetland,Grassland
265,NULL,Built-up,Wetland,NULL,Wetland,Cropland
266,NULL,Built-up,Wetland,NULL,Wetland,Wetland
267,NULL,Built-up,Wetland,NULL,Wetland,Bareland
268,NULL,Built-up,Wetland,NULL,Wetland,Built-up
269,NULL,Built-up,Wetland,NULL,Wetland,Forest
270,NULL,Built-up,Wetland,Non_Water,Wetland,Cropland
271,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
272,NULL,Built-up,Wetland,Water,Wetland,Cropland
273,NULL,Built-up,Wetland,Water,Wetland,Bareland
274,NULL,Built-up,Wetland,Water,Wetland,Water
275,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
276,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
277,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
278,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
279,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
280,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
281,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
282,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
283,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
284,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
285,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
286,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
287,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
288,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
289,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
290,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
291,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
292,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
293,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
294,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
295,NULL,Built-up,Bareland,Water,Non_Wetland,Water
296,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
297,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
298,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
299,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
300,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
302,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
303,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
304,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
305,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
306,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
307,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
308,NULL,Built-up,Built-up,Water,Non_Wetland,Cropland
309,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
310,NULL,Built-up,Water,NULL,Water,Forest
311,NULL,Built-up,Water,Non_Water,Water,Bareland
312,NULL,Built-up,Water,Water,Water,Grassland
313,NULL,Built-up,Water,Water,Water,Bareland
314,NULL,Built-up,Water,Water,Water,Water
315,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
316,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
317,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
318,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
319,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
320,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
321,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
322,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
323,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
324,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
325,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
326,NULL,Built-up,Forest,Water,Non_Wetland,Cropland
327,NULL,Built-up,Forest,Water,Non_Wetland,Wetland
328,NULL,Built-up,Forest,Water,Non_Wetland,Water
329,NULL,Water,NULL,NULL,Non_Wetland,NULL
330,NULL,Water,NULL,NULL,Non_Wetland,Wetland
331,NULL,Water,NULL,NULL,Non_Wetland,Bareland
332,NULL,Water,NULL,NULL,Non_Wetland,Forest
333,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
334,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
335,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
336,NULL,Water,Shrubland,NULL,Non_Wetland,Water
337,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
338,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
339,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
340,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
341,NULL,Water,Grassland,Water,Non_Wetland,Grassland
342,NULL,Water,Cropland,NULL,Non_Wetland,NULL
343,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
344,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
345,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
346,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
347,NULL,Water,Cropland,NULL,Non_Wetland,Forest
348,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
349,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
350,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
351,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
352,NULL,Water,Cropland,Water,Non_Wetland,Grassland
353,NULL,Water,Cropland,Water,Non_Wetland,Cropland
354,NULL,Water,Cropland,Water,Non_Wetland,Bareland
355,NULL,Water,Cropland,Water,Non_Wetland,Water
356,NULL,Water,Wetland,Non_Water,Wetland,Cropland
357,NULL,Water,Wetland,Non_Water,Wetland,Wetland
358,NULL,Water,Wetland,Water,Wetland,NULL
359,NULL,Water,Wetland,Water,Wetland,Cropland
360,NULL,Water,Wetland,Water,Wetland,Bareland
361,NULL,Water,Wetland,Water,Wetland,Water
362,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
363,NULL,Water,Bareland,NULL,Non_Wetland,NULL
364,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
365,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
366,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
367,NULL,Water,Bareland,NULL,Non_Wetland,Forest
368,NULL,Water,Bareland,Water,Non_Wetland,NULL
369,NULL,Water,Bareland,Water,Non_Wetland,Cropland
370,NULL,Water,Bareland,Water,Non_Wetland,Water
371,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
372,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
373,NULL,Water,Water,NULL,Water,Forest
374,NULL,Water,Forest,NULL,Non_Wetland,NULL
375,NULL,Water,Forest,NULL,Non_Wetland,Grassland
376,NULL,Water,Forest,NULL,Non_Wetland,Cropland
377,NULL,Water,Forest,NULL,Non_Wetland,Wetland
378,NULL,Water,Forest,NULL,Non_Wetland,Bareland
379,NULL,Water,Forest,NULL,Non_Wetland,Forest
380,NULL,Water,Forest,Non_Water,Non_Wetland,Cropland
381,NULL,Water,Forest,Water,Non_Wetland,NULL
382,NULL,Forest,NULL,NULL,Non_Wetland,NULL
383,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
384,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
385,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
386,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
387,NULL,Forest,NULL,NULL,Non_Wetland,Forest
388,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
389,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
390,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
391,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
392,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
393,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
394,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
395,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
396,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
397,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
398,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
399,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
400,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
401,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
402,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
403,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
404,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
405,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
406,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
407,NULL,Forest,Wetland,NULL,Wetland,NULL
408,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
409,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
410,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
411,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
412,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
413,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
414,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
415,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
416,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
417,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
418,NULL,Forest,Forest,NULL,Non_Wetland,NULL
419,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
420,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
421,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
422,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
423,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
