Value,AFRICA_2024_DynamicWorld_2024_36NXJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NXJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXJ_M_R,AFRICA_2024_WorldCover_2021_36NXJ_M_R
120,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
121,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
126,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
127,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
128,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
129,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
131,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
132,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
133,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
134,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
135,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
136,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
137,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
138,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
139,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
140,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
141,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
142,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
143,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
144,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
145,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
147,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
148,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
149,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
150,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
151,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
152,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
153,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
160,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
166,NULL,Built-up,Grassland,Water,Non_Wetland,NULL
167,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
169,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
170,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
171,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
172,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
173,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
176,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
182,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
183,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
184,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
186,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
187,NULL,Water,NULL,NULL,Non_Wetland,NULL
188,NULL,Water,NULL,NULL,Non_Wetland,Grassland
189,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
190,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
191,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
192,NULL,Water,Shrubland,NULL,Non_Wetland,Water
193,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
194,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
195,NULL,Water,Shrubland,Water,Non_Wetland,NULL
196,NULL,Water,Shrubland,Water,Non_Wetland,Water
197,NULL,Water,Grassland,NULL,Non_Wetland,NULL
198,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
199,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
200,NULL,Water,Grassland,NULL,Non_Wetland,Water
201,NULL,Water,Grassland,NULL,Non_Wetland,Forest
202,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
203,NULL,Water,Grassland,Water,Non_Wetland,NULL
204,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
205,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
206,NULL,Water,Wetland,NULL,Wetland,NULL
207,NULL,Water,Wetland,Water,Wetland,NULL
208,NULL,Water,Bareland,NULL,Non_Wetland,NULL
209,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
210,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
211,NULL,Water,Bareland,NULL,Non_Wetland,Water
212,NULL,Water,Bareland,NULL,Non_Wetland,Forest
213,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
214,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
215,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
216,NULL,Water,Bareland,Water,Non_Wetland,NULL
217,NULL,Water,Bareland,Water,Non_Wetland,Water
218,NULL,Water,Built-up,NULL,Non_Wetland,NULL
219,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
220,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
221,NULL,Water,Built-up,Water,Non_Wetland,NULL
222,NULL,Water,Water,Water,Water,NULL
223,NULL,Water,Forest,NULL,Non_Wetland,NULL
224,NULL,Water,Forest,NULL,Non_Wetland,Grassland
225,NULL,Water,Forest,Water,Non_Wetland,Water
226,NULL,Forest,NULL,NULL,Non_Wetland,NULL
227,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
228,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
229,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
230,NULL,Forest,NULL,NULL,Non_Wetland,Forest
231,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
232,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
233,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
234,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
235,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
236,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
237,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
238,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
239,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
240,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
241,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
242,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
243,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
244,NULL,Forest,Grassland,Water,Non_Wetland,NULL
245,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
246,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
247,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
248,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
249,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
250,NULL,Forest,Wetland,NULL,Wetland,NULL
251,NULL,Forest,Wetland,NULL,Wetland,Forest
252,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
253,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
254,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
255,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
256,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
257,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
258,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
259,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
260,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
261,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
262,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
263,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
264,NULL,Forest,Water,NULL,Water,NULL
265,NULL,Forest,Forest,NULL,Non_Wetland,NULL
266,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
267,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
268,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
269,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
270,NULL,Forest,Forest,NULL,Non_Wetland,Forest
271,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
272,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
273,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
274,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
275,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
276,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
277,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
278,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
279,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
280,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
281,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
282,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
283,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
284,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
285,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
286,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
287,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
288,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
289,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
290,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
291,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
292,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
293,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
294,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
295,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
296,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
297,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
298,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
299,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
300,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
301,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
302,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
303,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
304,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
305,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
306,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
307,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
308,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
309,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
310,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
311,Grassland,Cropland,Bareland,NULL,Non_Wetland,Water
312,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
313,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
314,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
315,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
316,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
317,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
318,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
319,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
320,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
321,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
322,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
323,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
324,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
325,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
326,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
327,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland
328,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
329,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
330,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
331,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
332,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
333,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
334,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
335,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
336,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
337,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
338,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
339,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
340,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
341,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
342,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
343,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
344,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
345,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
346,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
347,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
348,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
349,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
350,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
351,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
352,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
353,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
354,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
355,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
356,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
357,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
358,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
359,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
360,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
361,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
362,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
363,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
364,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
365,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
366,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
367,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
368,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
369,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
370,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
371,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
372,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
373,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
374,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
375,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
376,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
377,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
378,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
379,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
380,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
381,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
382,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
383,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
384,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
385,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
386,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
387,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
388,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
389,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
390,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
391,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
392,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
393,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
394,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
395,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
396,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
397,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
398,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
399,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
400,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
401,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
402,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
403,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
404,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
405,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
406,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
407,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
408,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
409,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
410,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
411,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
412,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
413,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
414,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
415,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
416,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
417,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
418,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
419,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
420,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
421,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
