Value,AFRICA_2024_DynamicWorld_2024_37PCK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCK_M_R,AFRICA_2024_GSW_Yearly_2021_37PCK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCK_M_R,AFRICA_2024_WorldCover_2021_37PCK_M_R
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
120,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
121,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
122,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
125,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
128,NULL,Cropland,Forest,Water,Non_Wetland,NULL
129,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
130,NULL,Cropland,Forest,Water,Non_Wetland,Forest
131,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
132,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
134,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
136,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
138,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
139,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
140,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
141,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
142,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
143,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
144,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
145,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
146,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
147,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
148,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
149,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
157,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
166,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
169,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
170,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
171,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
172,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
173,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
174,NULL,Built-up,Wetland,NULL,Wetland,Forest
175,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
176,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
178,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
181,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
182,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
187,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
188,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
190,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
191,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
192,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
195,NULL,Built-up,Built-up,Water,Non_Wetland,Water
196,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
197,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
198,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
199,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
200,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
201,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
202,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
203,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
204,NULL,Water,NULL,NULL,Non_Wetland,NULL
205,NULL,Water,NULL,NULL,Non_Wetland,Bareland
206,NULL,Water,NULL,NULL,Non_Wetland,Forest
207,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
208,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
209,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
210,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
211,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
212,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
213,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
214,NULL,Water,Shrubland,Water,Non_Wetland,NULL
215,NULL,Water,Grassland,NULL,Non_Wetland,NULL
216,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
217,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
218,NULL,Water,Cropland,NULL,Non_Wetland,NULL
219,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
220,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
221,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
222,NULL,Water,Cropland,NULL,Non_Wetland,Forest
223,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
224,NULL,Water,Bareland,NULL,Non_Wetland,NULL
225,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
226,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
227,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
228,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
229,NULL,Water,Bareland,NULL,Non_Wetland,Forest
230,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
231,NULL,Water,Bareland,Water,Non_Wetland,Cropland
232,NULL,Water,Bareland,Water,Non_Wetland,Bareland
233,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
234,NULL,Water,Built-up,NULL,Non_Wetland,Forest
235,NULL,Water,Built-up,Water,Non_Wetland,Water
236,NULL,Water,Forest,NULL,Non_Wetland,NULL
237,NULL,Water,Forest,NULL,Non_Wetland,Grassland
238,NULL,Water,Forest,NULL,Non_Wetland,Cropland
239,NULL,Water,Forest,NULL,Non_Wetland,Bareland
240,NULL,Water,Forest,NULL,Non_Wetland,Forest
241,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
242,NULL,Water,Forest,Water,Non_Wetland,NULL
243,NULL,Water,Forest,Water,Non_Wetland,Grassland
244,NULL,Water,Forest,Water,Non_Wetland,Cropland
245,NULL,Water,Forest,Water,Non_Wetland,Forest
246,NULL,Forest,NULL,NULL,Non_Wetland,NULL
247,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
248,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
249,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
250,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
251,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
252,NULL,Forest,NULL,NULL,Non_Wetland,Forest
253,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
254,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
255,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
256,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
257,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
258,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
259,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
260,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
261,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
262,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
263,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
264,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
265,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
266,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
267,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
268,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
269,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
270,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
271,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
272,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
273,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
274,NULL,Forest,Wetland,NULL,Wetland,Forest
275,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
276,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
277,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
278,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
279,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
280,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
281,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
282,NULL,Forest,Bareland,Water,Non_Wetland,NULL
283,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
284,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
285,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
286,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
287,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
288,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
289,NULL,Forest,Forest,NULL,Non_Wetland,NULL
290,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
291,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
292,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
293,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
294,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
295,NULL,Forest,Forest,NULL,Non_Wetland,Forest
296,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
297,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
298,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
299,NULL,Forest,Forest,Water,Non_Wetland,NULL
300,NULL,Forest,Forest,Water,Non_Wetland,Forest
301,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
302,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
303,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
304,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
305,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
306,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
310,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
311,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
312,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
313,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
314,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
315,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
316,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
317,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
318,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
319,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
320,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
321,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
322,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
323,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
324,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
325,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
326,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
327,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
328,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
329,Grassland,NULL,Wetland,NULL,Wetland,NULL
330,Grassland,NULL,Wetland,NULL,Wetland,Cropland
331,Grassland,NULL,Wetland,NULL,Wetland,Forest
332,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
333,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
334,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
335,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
336,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
337,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
338,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
339,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
340,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
341,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
342,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
343,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
344,Grassland,NULL,Water,NULL,Water,Grassland
345,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
346,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
347,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
348,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
349,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
350,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
351,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
352,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
353,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
354,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
355,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
356,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
357,Grassland,NULL,Forest,Water,Non_Wetland,Forest
358,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
359,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
360,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
361,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
362,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
363,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
364,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
365,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
366,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
367,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
368,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
369,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
370,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
371,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
372,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
373,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
374,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
375,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
376,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
377,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
378,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
379,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
380,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
381,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
382,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
383,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
384,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
385,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
386,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water
387,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
388,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
389,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
390,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
391,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
392,Grassland,Cropland,Wetland,NULL,Wetland,Forest
393,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
394,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
395,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
396,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
397,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
398,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
399,Grassland,Cropland,Bareland,NULL,Non_Wetland,Built-up
400,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
401,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
402,Grassland,Cropland,Bareland,Water,Non_Wetland,Cropland
403,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
404,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
405,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
406,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
407,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
408,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,Wetland
409,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
410,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
411,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
412,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
413,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
414,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
415,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
416,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL
417,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
418,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
