Value,AFRICA_2024_DynamicWorld_2024_37PHS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHS_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHS_M_R,AFRICA_2024_GSW_Yearly_2021_37PHS_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHS_M_R,AFRICA_2024_WorldCover_2021_37PHS_M_R
27,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
28,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
29,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
30,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
31,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
32,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
33,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
34,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
35,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
36,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
37,Wetland,NULL,Wetland,NULL,NULL,Wetland
38,Wetland,NULL,Wetland,NULL,Wetland,Wetland
39,Wetland,NULL,Wetland,Non_Water,NULL,Wetland
40,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
41,Wetland,NULL,Wetland,Water,NULL,Water
42,Wetland,NULL,Wetland,Water,Wetland,Wetland
43,Wetland,NULL,Wetland,Water,Wetland,Bareland
44,Wetland,NULL,Wetland,Water,Wetland,Water
45,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
46,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
47,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
48,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
49,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
50,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
51,Wetland,NULL,Water,Water,NULL,Wetland
52,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
53,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
54,Wetland,Wetland,Wetland,NULL,Wetland,Water
55,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
56,Wetland,Wetland,Wetland,Water,Wetland,Wetland
57,Wetland,Wetland,Wetland,Water,Wetland,Bareland
58,Wetland,Wetland,Wetland,Water,Wetland,Water
59,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
60,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
61,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
62,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland
63,Wetland,Wetland,Water,Water,Water,Wetland
64,Wetland,Bareland,Wetland,NULL,Wetland,Bareland
65,Wetland,Water,Wetland,NULL,Wetland,NULL
66,Wetland,Water,Wetland,NULL,Wetland,Cropland
67,Wetland,Water,Wetland,NULL,Wetland,Wetland
68,Wetland,Water,Wetland,NULL,Wetland,Bareland
69,Wetland,Water,Wetland,NULL,Wetland,Water
70,Wetland,Water,Wetland,Non_Water,NULL,Wetland
71,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
72,Wetland,Water,Wetland,Water,NULL,Wetland
73,Wetland,Water,Wetland,Water,NULL,Water
74,Wetland,Water,Wetland,Water,Wetland,Cropland
75,Wetland,Water,Wetland,Water,Wetland,Wetland
76,Wetland,Water,Wetland,Water,Wetland,Bareland
77,Wetland,Water,Wetland,Water,Wetland,Water
78,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
79,Wetland,Water,Bareland,Water,Non_Wetland,Wetland
80,Wetland,Water,Water,Non_Water,NULL,Wetland
81,Wetland,Water,Water,Water,NULL,Wetland
82,Wetland,Water,Water,Water,NULL,Water
83,Wetland,Water,Water,Water,Water,Wetland
84,Wetland,Forest,Wetland,NULL,Wetland,Wetland
85,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
86,Wetland,Forest,Water,Water,NULL,Bareland
87,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
88,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
89,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
90,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
91,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
92,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
93,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
94,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
95,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
96,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
97,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
98,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
99,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
100,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
101,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
102,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
103,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
104,Bareland,NULL,Wetland,NULL,NULL,Wetland
105,Bareland,NULL,Wetland,NULL,Wetland,NULL
106,Bareland,NULL,Wetland,NULL,Wetland,Wetland
107,Bareland,NULL,Wetland,NULL,Wetland,Bareland
108,Bareland,NULL,Wetland,NULL,Wetland,Water
109,Bareland,NULL,Wetland,Non_Water,NULL,Wetland
110,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
111,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
112,Bareland,NULL,Wetland,Water,NULL,Wetland
113,Bareland,NULL,Wetland,Water,NULL,Bareland
114,Bareland,NULL,Wetland,Water,NULL,Water
115,Bareland,NULL,Wetland,Water,Wetland,NULL
116,Bareland,NULL,Wetland,Water,Wetland,Wetland
117,Bareland,NULL,Wetland,Water,Wetland,Bareland
118,Bareland,NULL,Wetland,Water,Wetland,Water
119,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
120,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
121,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
122,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
123,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
124,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
125,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
126,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL
127,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
128,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
129,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
130,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
131,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
132,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
133,Bareland,NULL,Bareland,Water,Non_Wetland,Built-up
134,Bareland,NULL,Bareland,Water,Non_Wetland,Water
135,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
136,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
137,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
138,Bareland,NULL,Built-up,Water,Non_Wetland,NULL
139,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
140,Bareland,NULL,Water,NULL,Water,Bareland
141,Bareland,NULL,Water,NULL,Water,Water
142,Bareland,NULL,Water,Water,NULL,Bareland
143,Bareland,NULL,Water,Water,Water,Bareland
144,Bareland,NULL,Water,Water,Water,Water
145,Bareland,Wetland,Wetland,NULL,Wetland,Wetland
146,Bareland,Wetland,Wetland,Water,Wetland,Wetland
147,Bareland,Wetland,Bareland,NULL,Non_Wetland,Wetland
148,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
149,Bareland,Bareland,NULL,NULL,Non_Wetland,Water
150,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Bareland
151,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland
152,Bareland,Bareland,NULL,Water,Non_Wetland,Water
153,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
154,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Built-up
155,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
156,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
157,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
158,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
159,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
160,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
161,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
162,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
163,Bareland,Bareland,Cropland,NULL,Non_Wetland,Wetland
164,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
165,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up
166,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
167,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
168,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
169,Bareland,Bareland,Cropland,Water,Non_Wetland,Wetland
170,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
171,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
172,Bareland,Bareland,Wetland,NULL,NULL,Wetland
173,Bareland,Bareland,Wetland,NULL,NULL,Bareland
174,Bareland,Bareland,Wetland,NULL,NULL,Water
175,Bareland,Bareland,Wetland,NULL,Wetland,Wetland
176,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
177,Bareland,Bareland,Wetland,NULL,Wetland,Water
178,Bareland,Bareland,Wetland,Non_Water,Wetland,Wetland
179,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
180,Bareland,Bareland,Wetland,Water,NULL,Wetland
181,Bareland,Bareland,Wetland,Water,NULL,Bareland
182,Bareland,Bareland,Wetland,Water,NULL,Built-up
183,Bareland,Bareland,Wetland,Water,NULL,Water
184,Bareland,Bareland,Wetland,Water,Wetland,Wetland
185,Bareland,Bareland,Wetland,Water,Wetland,Bareland
186,Bareland,Bareland,Wetland,Water,Wetland,Water
187,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
188,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
189,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
190,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland
191,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
192,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
193,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
194,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
195,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL
196,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
197,Bareland,Bareland,Bareland,Water,Non_Wetland,Wetland
198,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
199,Bareland,Bareland,Bareland,Water,Non_Wetland,Built-up
200,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
201,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
202,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
203,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
204,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
205,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
206,Bareland,Bareland,Built-up,Water,Non_Wetland,Built-up
207,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
208,Bareland,Bareland,Water,NULL,NULL,Bareland
209,Bareland,Bareland,Water,NULL,Water,Bareland
210,Bareland,Bareland,Water,NULL,Water,Water
211,Bareland,Bareland,Water,Non_Water,NULL,Bareland
212,Bareland,Bareland,Water,Water,NULL,Bareland
213,Bareland,Bareland,Water,Water,NULL,Water
214,Bareland,Bareland,Water,Water,Water,Bareland
215,Bareland,Bareland,Water,Water,Water,Water
216,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
217,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
218,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
219,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
220,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
221,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
222,Bareland,Built-up,Cropland,NULL,Non_Wetland,Forest
223,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
224,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland
225,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
226,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
227,Bareland,Built-up,Bareland,Water,Non_Wetland,Bareland
228,Bareland,Built-up,Bareland,Water,Non_Wetland,Built-up
229,Bareland,Built-up,Bareland,Water,Non_Wetland,Water
230,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
231,Bareland,Built-up,Built-up,NULL,Non_Wetland,Cropland
232,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
233,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
234,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
235,Bareland,Built-up,Built-up,Water,Non_Wetland,Bareland
236,Bareland,Built-up,Built-up,Water,Non_Wetland,Built-up
237,Bareland,Water,NULL,Water,Non_Wetland,Water
238,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
239,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
240,Bareland,Water,Shrubland,Water,Non_Wetland,Water
241,Bareland,Water,Wetland,NULL,NULL,Bareland
242,Bareland,Water,Wetland,NULL,Wetland,Grassland
243,Bareland,Water,Wetland,NULL,Wetland,Cropland
244,Bareland,Water,Wetland,NULL,Wetland,Wetland
245,Bareland,Water,Wetland,NULL,Wetland,Bareland
246,Bareland,Water,Wetland,NULL,Wetland,Water
247,Bareland,Water,Wetland,Water,NULL,Wetland
248,Bareland,Water,Wetland,Water,NULL,Bareland
249,Bareland,Water,Wetland,Water,NULL,Water
250,Bareland,Water,Wetland,Water,Wetland,Grassland
251,Bareland,Water,Wetland,Water,Wetland,Wetland
252,Bareland,Water,Wetland,Water,Wetland,Bareland
253,Bareland,Water,Wetland,Water,Wetland,Water
254,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
255,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
256,Bareland,Water,Bareland,NULL,Non_Wetland,Cropland
257,Bareland,Water,Bareland,NULL,Non_Wetland,Wetland
258,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
259,Bareland,Water,Bareland,NULL,Non_Wetland,Water
260,Bareland,Water,Bareland,Water,Non_Wetland,Wetland
261,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
262,Bareland,Water,Bareland,Water,Non_Wetland,Water
263,Bareland,Water,Water,NULL,Water,Bareland
264,Bareland,Water,Water,Water,NULL,Bareland
265,Bareland,Water,Water,Water,NULL,Water
266,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
267,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
268,Water,NULL,Cropland,Water,Non_Wetland,Wetland
269,Water,NULL,Wetland,NULL,Wetland,Wetland
270,Water,NULL,Wetland,NULL,Wetland,Bareland
271,Water,NULL,Wetland,NULL,Wetland,Water
272,Water,NULL,Wetland,Non_Water,Wetland,Wetland
273,Water,NULL,Wetland,Non_Water,Wetland,Bareland
274,Water,NULL,Wetland,Water,NULL,Wetland
275,Water,NULL,Wetland,Water,NULL,Bareland
276,Water,NULL,Wetland,Water,NULL,Water
277,Water,NULL,Wetland,Water,Wetland,Wetland
278,Water,NULL,Wetland,Water,Wetland,Bareland
279,Water,NULL,Wetland,Water,Wetland,Water
280,Water,NULL,Bareland,NULL,Non_Wetland,NULL
281,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
282,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
283,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
284,Water,NULL,Bareland,NULL,Non_Wetland,Water
285,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
286,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland
287,Water,NULL,Bareland,Non_Water,Non_Wetland,Bareland
288,Water,NULL,Bareland,Water,Non_Wetland,Wetland
289,Water,NULL,Bareland,Water,Non_Wetland,Bareland
290,Water,NULL,Bareland,Water,Non_Wetland,Water
291,Water,NULL,Built-up,NULL,Non_Wetland,Wetland
292,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
293,Water,NULL,Built-up,Water,Non_Wetland,Wetland
294,Water,NULL,Water,NULL,NULL,NULL
295,Water,NULL,Water,NULL,NULL,Water
296,Water,NULL,Water,NULL,Water,Bareland
297,Water,NULL,Water,NULL,Water,Water
298,Water,NULL,Water,Water,NULL,Bareland
299,Water,NULL,Water,Water,NULL,Water
300,Water,NULL,Water,Water,Water,Bareland
301,Water,NULL,Water,Water,Water,Water
302,Water,Wetland,Cropland,NULL,Non_Wetland,Wetland
303,Water,Wetland,Wetland,NULL,Wetland,Wetland
304,Water,Wetland,Wetland,NULL,Wetland,Bareland
305,Water,Wetland,Wetland,NULL,Wetland,Water
306,Water,Wetland,Wetland,Non_Water,Wetland,Wetland
307,Water,Wetland,Wetland,Non_Water,Wetland,Bareland
308,Water,Wetland,Wetland,Water,NULL,Water
309,Water,Wetland,Wetland,Water,Wetland,Wetland
310,Water,Wetland,Wetland,Water,Wetland,Bareland
311,Water,Wetland,Wetland,Water,Wetland,Water
312,Water,Wetland,Bareland,NULL,Non_Wetland,Wetland
313,Water,Wetland,Bareland,NULL,Non_Wetland,Bareland
314,Water,Wetland,Bareland,NULL,Non_Wetland,Water
315,Water,Wetland,Bareland,Water,Non_Wetland,Wetland
316,Water,Wetland,Bareland,Water,Non_Wetland,Bareland
317,Water,Wetland,Bareland,Water,Non_Wetland,Water
318,Water,Wetland,Built-up,NULL,Non_Wetland,Wetland
319,Water,Wetland,Built-up,Water,Non_Wetland,Wetland
320,Water,Bareland,NULL,NULL,Non_Wetland,Bareland
321,Water,Bareland,NULL,NULL,Non_Wetland,Water
322,Water,Bareland,NULL,Water,Non_Wetland,Bareland
323,Water,Bareland,NULL,Water,Non_Wetland,Water
324,Water,Bareland,Cropland,NULL,Non_Wetland,Wetland
325,Water,Bareland,Cropland,NULL,Non_Wetland,Water
326,Water,Bareland,Cropland,Water,Non_Wetland,Bareland
327,Water,Bareland,Cropland,Water,Non_Wetland,Water
328,Water,Bareland,Wetland,NULL,NULL,Bareland
329,Water,Bareland,Wetland,NULL,NULL,Water
330,Water,Bareland,Wetland,NULL,Wetland,Wetland
331,Water,Bareland,Wetland,NULL,Wetland,Bareland
332,Water,Bareland,Wetland,NULL,Wetland,Water
333,Water,Bareland,Wetland,Non_Water,Wetland,Wetland
334,Water,Bareland,Wetland,Non_Water,Wetland,Bareland
335,Water,Bareland,Wetland,Non_Water,Wetland,Water
336,Water,Bareland,Wetland,Water,NULL,Bareland
337,Water,Bareland,Wetland,Water,NULL,Water
338,Water,Bareland,Wetland,Water,Wetland,Wetland
339,Water,Bareland,Wetland,Water,Wetland,Bareland
340,Water,Bareland,Wetland,Water,Wetland,Water
341,Water,Bareland,Bareland,NULL,Non_Wetland,NULL
342,Water,Bareland,Bareland,NULL,Non_Wetland,Grassland
343,Water,Bareland,Bareland,NULL,Non_Wetland,Cropland
344,Water,Bareland,Bareland,NULL,Non_Wetland,Wetland
345,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
346,Water,Bareland,Bareland,NULL,Non_Wetland,Water
347,Water,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
348,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
349,Water,Bareland,Bareland,Water,Non_Wetland,Grassland
350,Water,Bareland,Bareland,Water,Non_Wetland,Cropland
351,Water,Bareland,Bareland,Water,Non_Wetland,Wetland
352,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
353,Water,Bareland,Bareland,Water,Non_Wetland,Water
354,Water,Bareland,Built-up,NULL,Non_Wetland,Wetland
355,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland
356,Water,Bareland,Built-up,NULL,Non_Wetland,Water
357,Water,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
358,Water,Bareland,Built-up,Water,Non_Wetland,Bareland
359,Water,Bareland,Water,NULL,NULL,Bareland
360,Water,Bareland,Water,NULL,NULL,Water
361,Water,Bareland,Water,NULL,Water,Wetland
362,Water,Bareland,Water,NULL,Water,Bareland
363,Water,Bareland,Water,NULL,Water,Water
364,Water,Bareland,Water,Water,NULL,Bareland
365,Water,Bareland,Water,Water,NULL,Water
366,Water,Bareland,Water,Water,Water,Bareland
367,Water,Bareland,Water,Water,Water,Water
368,Water,Built-up,Bareland,NULL,Non_Wetland,Bareland
369,Water,Built-up,Bareland,Water,Non_Wetland,Bareland
370,Water,Built-up,Bareland,Water,Non_Wetland,Water
371,Water,Water,NULL,NULL,Non_Wetland,Bareland
372,Water,Water,NULL,NULL,Non_Wetland,Water
373,Water,Water,NULL,Water,Non_Wetland,Water
374,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
375,Water,Water,Shrubland,NULL,Non_Wetland,Water
376,Water,Water,Shrubland,Water,Non_Wetland,Bareland
377,Water,Water,Shrubland,Water,Non_Wetland,Water
378,Water,Water,Cropland,NULL,Non_Wetland,Bareland
379,Water,Water,Cropland,NULL,Non_Wetland,Water
380,Water,Water,Cropland,Water,Non_Wetland,Bareland
381,Water,Water,Cropland,Water,Non_Wetland,Water
382,Water,Water,Wetland,NULL,NULL,Bareland
383,Water,Water,Wetland,NULL,NULL,Water
384,Water,Water,Wetland,NULL,Wetland,NULL
385,Water,Water,Wetland,NULL,Wetland,Cropland
386,Water,Water,Wetland,NULL,Wetland,Wetland
387,Water,Water,Wetland,NULL,Wetland,Bareland
388,Water,Water,Wetland,NULL,Wetland,Water
389,Water,Water,Wetland,Non_Water,NULL,Wetland
390,Water,Water,Wetland,Non_Water,Wetland,Wetland
391,Water,Water,Wetland,Non_Water,Wetland,Water
392,Water,Water,Wetland,Water,NULL,Wetland
393,Water,Water,Wetland,Water,NULL,Bareland
394,Water,Water,Wetland,Water,NULL,Water
395,Water,Water,Wetland,Water,Wetland,NULL
396,Water,Water,Wetland,Water,Wetland,Cropland
397,Water,Water,Wetland,Water,Wetland,Wetland
398,Water,Water,Wetland,Water,Wetland,Bareland
399,Water,Water,Wetland,Water,Wetland,Water
400,Water,Water,Bareland,NULL,Non_Wetland,Grassland
401,Water,Water,Bareland,NULL,Non_Wetland,Cropland
402,Water,Water,Bareland,NULL,Non_Wetland,Wetland
403,Water,Water,Bareland,NULL,Non_Wetland,Bareland
404,Water,Water,Bareland,NULL,Non_Wetland,Water
405,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland
406,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
407,Water,Water,Bareland,Water,Non_Wetland,Grassland
408,Water,Water,Bareland,Water,Non_Wetland,Cropland
409,Water,Water,Bareland,Water,Non_Wetland,Wetland
410,Water,Water,Bareland,Water,Non_Wetland,Bareland
411,Water,Water,Bareland,Water,Non_Wetland,Water
412,Water,Water,Built-up,NULL,Non_Wetland,Water
413,Water,Water,Built-up,Water,Non_Wetland,Bareland
414,Water,Water,Built-up,Water,Non_Wetland,Water
415,Water,Water,Water,NULL,NULL,Bareland
416,Water,Water,Water,NULL,NULL,Water
417,Water,Water,Water,NULL,Water,Bareland
418,Water,Water,Water,NULL,Water,Water
419,Water,Water,Water,Water,NULL,Wetland
420,Water,Water,Water,Water,NULL,Bareland
421,Water,Water,Water,Water,NULL,Water
422,Water,Water,Water,Water,Water,Bareland
423,Water,Water,Water,Water,Water,Water
424,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
425,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
426,Forest,NULL,Wetland,Water,Wetland,NULL
427,Forest,Water,Wetland,NULL,Wetland,Wetland
428,Forest,Water,Wetland,Non_Water,Wetland,Wetland
429,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
430,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
