Value,AFRICA_2024_DynamicWorld_2024_37NEJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NEJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEJ_M_R,AFRICA_2024_WorldCover_2021_37NEJ_M_R
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
122,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
123,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
124,NULL,Cropland,Wetland,NULL,Wetland,Cropland
125,NULL,Cropland,Wetland,NULL,Wetland,Forest
126,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
127,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
130,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
133,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
135,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
136,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
139,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
140,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
141,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
142,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
143,NULL,Cropland,Water,Water,Water,Wetland
144,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
145,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
146,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
147,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
148,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
149,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
150,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
151,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
152,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
153,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
154,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
155,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
156,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
157,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
158,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
159,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
160,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
168,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
169,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
171,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
172,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
175,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
176,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
178,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
179,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
180,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
181,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
182,NULL,Built-up,Cropland,Water,Non_Wetland,Water
183,NULL,Built-up,Wetland,NULL,Wetland,NULL
184,NULL,Built-up,Wetland,NULL,Wetland,Grassland
185,NULL,Built-up,Wetland,NULL,Wetland,Cropland
186,NULL,Built-up,Wetland,NULL,Wetland,Wetland
187,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
188,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
190,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
191,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
192,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
193,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
194,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
195,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
196,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
197,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
198,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
199,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
200,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
201,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
202,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
203,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
204,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
205,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
206,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
207,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
208,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
209,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
210,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
211,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
212,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
213,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
214,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
215,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
216,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
217,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
218,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
219,NULL,Water,Cropland,NULL,Non_Wetland,NULL
220,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
221,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
222,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
223,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
224,NULL,Water,Cropland,NULL,Non_Wetland,Forest
225,NULL,Water,Cropland,Water,Non_Wetland,Cropland
226,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
227,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
228,NULL,Water,Bareland,NULL,Non_Wetland,NULL
229,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
230,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
231,NULL,Water,Bareland,NULL,Non_Wetland,Forest
232,NULL,Water,Built-up,NULL,Non_Wetland,NULL
233,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
234,NULL,Water,Water,Water,Water,NULL
235,NULL,Water,Forest,NULL,Non_Wetland,Grassland
236,NULL,Water,Forest,NULL,Non_Wetland,Bareland
237,NULL,Water,Forest,NULL,Non_Wetland,Forest
238,NULL,Forest,NULL,NULL,Non_Wetland,NULL
239,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
240,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
241,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
242,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
243,NULL,Forest,NULL,NULL,Non_Wetland,Forest
244,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
248,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
249,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
250,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
251,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
252,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
253,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
254,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
255,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
256,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
257,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
258,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
259,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
260,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
261,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
262,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
263,NULL,Forest,Wetland,NULL,Wetland,Cropland
264,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
265,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
266,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
267,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
268,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
269,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
270,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
271,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
272,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
273,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
274,NULL,Forest,Forest,NULL,Non_Wetland,NULL
275,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
276,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
277,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
278,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
279,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
280,NULL,Forest,Forest,NULL,Non_Wetland,Forest
281,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
282,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
283,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
284,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
285,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
286,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
288,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
289,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
290,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
291,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
292,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
293,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
294,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
295,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
296,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
297,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
298,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
299,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
300,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
301,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
302,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
303,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
304,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
305,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
306,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
307,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
308,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
309,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
310,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
311,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
312,Grassland,NULL,Wetland,NULL,Wetland,NULL
313,Grassland,NULL,Wetland,NULL,Wetland,Grassland
314,Grassland,NULL,Wetland,NULL,Wetland,Cropland
315,Grassland,NULL,Wetland,NULL,Wetland,Wetland
316,Grassland,NULL,Wetland,NULL,Wetland,Forest
317,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
318,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
319,Grassland,NULL,Wetland,Water,Wetland,Grassland
320,Grassland,NULL,Wetland,Water,Wetland,Cropland
321,Grassland,NULL,Wetland,Water,Wetland,Wetland
322,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
323,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
324,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
325,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
326,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
327,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
328,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
329,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
330,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
331,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
332,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland
333,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
334,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
335,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
336,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
337,Grassland,NULL,Water,NULL,Water,Wetland
338,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
339,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
340,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
341,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
342,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
343,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
344,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
345,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
346,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
347,Grassland,NULL,Forest,Water,Non_Wetland,NULL
348,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
349,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
350,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
351,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
352,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
353,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
354,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
355,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
356,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
357,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
358,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
359,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
360,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
361,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
362,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
363,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
364,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
365,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
366,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL
367,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
368,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
369,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
370,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
371,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
372,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
373,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
374,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
375,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
376,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
377,Grassland,Cropland,Grassland,Water,Non_Wetland,Cropland
378,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
379,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
380,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
381,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
382,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
383,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
384,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
385,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
386,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
387,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
388,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL
389,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
390,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
391,Grassland,Cropland,Cropland,Water,Non_Wetland,Wetland
392,Grassland,Cropland,Wetland,NULL,Wetland,NULL
393,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
394,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
395,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
396,Grassland,Cropland,Wetland,NULL,Wetland,Forest
397,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL
398,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
399,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland
400,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
401,Grassland,Cropland,Wetland,Water,Wetland,Grassland
402,Grassland,Cropland,Wetland,Water,Wetland,Cropland
403,Grassland,Cropland,Wetland,Water,Wetland,Wetland
404,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
405,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
406,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
407,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
408,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
409,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
410,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
411,Grassland,Cropland,Bareland,Water,Non_Wetland,NULL
412,Grassland,Cropland,Bareland,Water,Non_Wetland,Cropland
413,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
414,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
415,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
416,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
417,Grassland,Cropland,Water,NULL,Water,Cropland
418,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
419,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
