Value,AFRICA_2024_DynamicWorld_2024_36PXT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXT_M_R,AFRICA_2024_GSW_Yearly_2021_36PXT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXT_M_R,AFRICA_2024_WorldCover_2021_36PXT_M_R
124,NULL,NULL,Forest,Water,Non_Wetland,Forest
125,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
126,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
127,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
128,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
129,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
130,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
131,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
132,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
133,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
134,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
135,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
143,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
146,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
147,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
148,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
149,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
150,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
151,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
152,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
154,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
157,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
158,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
159,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
160,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
161,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
162,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
163,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
164,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
169,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
170,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
171,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
172,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
174,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
175,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
176,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
177,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
178,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
179,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
180,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
181,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
182,NULL,Cropland,Cropland,Water,Non_Wetland,Water
183,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
184,NULL,Cropland,Wetland,NULL,Wetland,NULL
185,NULL,Cropland,Wetland,NULL,Wetland,Grassland
186,NULL,Cropland,Wetland,NULL,Wetland,Wetland
187,NULL,Cropland,Wetland,NULL,Wetland,Forest
188,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
189,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
190,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
191,NULL,Cropland,Wetland,Water,Wetland,Grassland
192,NULL,Cropland,Wetland,Water,Wetland,Cropland
193,NULL,Cropland,Wetland,Water,Wetland,Wetland
194,NULL,Cropland,Wetland,Water,Wetland,Water
195,NULL,Cropland,Wetland,Water,Wetland,Forest
196,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
197,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
198,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
199,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
200,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
204,NULL,Cropland,Water,Non_Water,Water,Grassland
205,NULL,Cropland,Water,Water,Water,Grassland
206,NULL,Cropland,Water,Water,Water,Cropland
207,NULL,Cropland,Water,Water,Water,Wetland
208,NULL,Cropland,Water,Water,Water,Water
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
210,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
211,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
212,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
213,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
214,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
215,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
216,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
217,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
218,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
219,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
220,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
221,NULL,Cropland,Forest,Water,Non_Wetland,Water
222,NULL,Cropland,Forest,Water,Non_Wetland,Forest
223,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
224,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
225,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
226,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
227,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
228,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
229,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
230,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
231,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
232,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
233,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
234,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
235,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
236,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
237,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
238,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
239,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
240,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
241,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
242,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
243,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
244,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
245,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
246,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
247,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
248,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
249,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
250,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
251,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
252,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
253,NULL,Wetland,Cropland,Water,Non_Wetland,Water
254,NULL,Wetland,Cropland,Water,Non_Wetland,Forest
255,NULL,Wetland,Wetland,NULL,Wetland,Grassland
256,NULL,Wetland,Wetland,NULL,Wetland,Wetland
257,NULL,Wetland,Wetland,NULL,Wetland,Forest
258,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
259,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
260,NULL,Wetland,Wetland,Non_Water,Wetland,Water
261,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
262,NULL,Wetland,Wetland,Water,Wetland,Grassland
263,NULL,Wetland,Wetland,Water,Wetland,Cropland
264,NULL,Wetland,Wetland,Water,Wetland,Wetland
265,NULL,Wetland,Wetland,Water,Wetland,Water
266,NULL,Wetland,Wetland,Water,Wetland,Forest
267,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
268,NULL,Wetland,Water,Non_Water,Water,Wetland
269,NULL,Wetland,Water,Water,Water,Grassland
270,NULL,Wetland,Water,Water,Water,Wetland
271,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
272,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
273,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
274,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
275,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
276,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
277,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
278,NULL,Wetland,Forest,Water,Non_Wetland,Cropland
279,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
280,NULL,Wetland,Forest,Water,Non_Wetland,Water
281,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
282,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
283,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
284,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
285,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
286,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
287,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
290,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
294,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
295,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
296,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
297,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
298,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
299,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
300,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
301,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
302,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
303,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
304,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
305,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
306,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
307,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
308,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
309,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
310,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
311,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
312,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
313,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
314,NULL,Built-up,Cropland,Water,Non_Wetland,Wetland
315,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
316,NULL,Built-up,Wetland,NULL,Wetland,NULL
317,NULL,Built-up,Wetland,Water,Wetland,Grassland
318,NULL,Built-up,Wetland,Water,Wetland,Forest
319,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
320,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
321,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
322,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
327,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
328,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
329,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
330,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
331,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
332,NULL,Built-up,Forest,Water,Non_Wetland,Wetland
333,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
334,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
335,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
336,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
337,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
338,NULL,Water,Shrubland,Water,Non_Wetland,Water
339,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
340,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
341,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
342,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
343,NULL,Water,Cropland,NULL,Non_Wetland,Forest
344,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
345,NULL,Water,Cropland,Water,Non_Wetland,Grassland
346,NULL,Water,Cropland,Water,Non_Wetland,Cropland
347,NULL,Water,Cropland,Water,Non_Wetland,Wetland
348,NULL,Water,Cropland,Water,Non_Wetland,Water
349,NULL,Water,Cropland,Water,Non_Wetland,Forest
350,NULL,Water,Wetland,NULL,Wetland,Grassland
351,NULL,Water,Wetland,Non_Water,Wetland,Grassland
352,NULL,Water,Wetland,Non_Water,Wetland,Forest
353,NULL,Water,Wetland,Water,Wetland,Grassland
354,NULL,Water,Wetland,Water,Wetland,Cropland
355,NULL,Water,Wetland,Water,Wetland,Wetland
356,NULL,Water,Wetland,Water,Wetland,Water
357,NULL,Water,Wetland,Water,Wetland,Forest
358,NULL,Water,Bareland,NULL,Non_Wetland,Water
359,NULL,Water,Forest,Water,Non_Wetland,Grassland
360,NULL,Water,Forest,Water,Non_Wetland,Wetland
361,NULL,Forest,NULL,NULL,Non_Wetland,NULL
362,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
363,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
364,NULL,Forest,NULL,NULL,Non_Wetland,Forest
365,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
366,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
367,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
368,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
369,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
370,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
371,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
372,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
373,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
374,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
375,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
376,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
377,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
378,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
379,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
380,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
381,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
382,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
383,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
384,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
385,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
386,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland
387,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
388,NULL,Forest,Cropland,Water,Non_Wetland,Wetland
389,NULL,Forest,Cropland,Water,Non_Wetland,Forest
390,NULL,Forest,Wetland,NULL,Wetland,NULL
391,NULL,Forest,Wetland,NULL,Wetland,Forest
392,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
393,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
394,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
395,NULL,Forest,Water,Water,Water,Wetland
396,NULL,Forest,Forest,NULL,Non_Wetland,NULL
397,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
398,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
399,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
400,NULL,Forest,Forest,NULL,Non_Wetland,Forest
401,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
402,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
403,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
404,NULL,Forest,Forest,Water,Non_Wetland,NULL
405,NULL,Forest,Forest,Water,Non_Wetland,Grassland
406,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
407,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
408,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
409,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
410,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
411,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
412,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
413,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
414,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
415,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
416,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
417,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
418,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
419,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
420,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
421,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
422,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
423,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
424,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
425,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
426,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
427,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
428,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
429,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
430,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
431,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
