Value,AFRICA_2024_DynamicWorld_2024_37PER_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PER_M_R,AFRICA_2024_GLC_FCS30D_2022_37PER_M_R,AFRICA_2024_GSW_Yearly_2021_37PER_M_R,AFRICA_2024_GWL_FCS30D_2022_37PER_M_R,AFRICA_2024_WorldCover_2021_37PER_M_R
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
128,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
129,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
130,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
131,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
132,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
134,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
137,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
138,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
139,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
140,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
141,NULL,Cropland,Wetland,Water,Wetland,Cropland
142,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
143,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
144,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
145,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
148,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
149,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
150,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
151,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
152,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
153,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
154,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
155,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
156,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
157,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
158,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
160,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
161,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
162,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
163,NULL,Cropland,Water,NULL,Water,Grassland
164,NULL,Cropland,Water,NULL,Water,Cropland
165,NULL,Cropland,Water,NULL,Water,Forest
166,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
167,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
168,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
169,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
170,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
171,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
172,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
173,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
174,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
175,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
176,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
177,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
178,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
179,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
180,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
181,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
182,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
183,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
184,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
185,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
186,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
187,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
188,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
189,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
190,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
191,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
192,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
193,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
194,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
195,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
196,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
197,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
198,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
199,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
206,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
207,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
208,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
211,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
212,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
213,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
214,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
215,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
216,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
217,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
218,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
219,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
220,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
221,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
222,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
223,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
224,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
225,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
226,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
227,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
228,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
229,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
230,NULL,Built-up,Cropland,Water,Non_Wetland,Water
231,NULL,Built-up,Wetland,NULL,Wetland,Forest
232,NULL,Built-up,Wetland,Water,Wetland,Cropland
233,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
234,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
235,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
236,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
237,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
238,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
239,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
240,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
241,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
242,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
243,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
244,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
245,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
246,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
247,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
248,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
249,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
250,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
251,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
252,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
253,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
254,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
255,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
256,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
257,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
258,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
259,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
260,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
261,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
262,NULL,Water,NULL,NULL,Non_Wetland,NULL
263,NULL,Water,NULL,NULL,Non_Wetland,Cropland
264,NULL,Water,NULL,NULL,Non_Wetland,Bareland
265,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
266,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
267,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
268,NULL,Water,Grassland,NULL,Non_Wetland,NULL
269,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
270,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
271,NULL,Water,Grassland,Water,Non_Wetland,Bareland
272,NULL,Water,Cropland,NULL,Non_Wetland,NULL
273,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
274,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
275,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
276,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
277,NULL,Water,Forest,NULL,Non_Wetland,NULL
278,NULL,Forest,NULL,NULL,Non_Wetland,NULL
279,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
280,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
281,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
282,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
283,NULL,Forest,NULL,NULL,Non_Wetland,Forest
284,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
285,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
286,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
287,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
288,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
289,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
290,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
291,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
292,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
293,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
294,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
295,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
296,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
297,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
298,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
299,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
300,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
301,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
302,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
303,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
304,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
305,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
306,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
307,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
308,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
309,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
310,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
311,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
312,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
313,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
314,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
315,NULL,Forest,Water,NULL,Water,NULL
316,NULL,Forest,Forest,NULL,Non_Wetland,NULL
317,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
318,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
319,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
320,NULL,Forest,Forest,NULL,Non_Wetland,Forest
321,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
322,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
323,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
324,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
325,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
326,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
327,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
328,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
329,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
330,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
331,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
332,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
333,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
334,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
335,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
336,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
337,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
338,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
339,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
340,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
341,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
342,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
343,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
344,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
345,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
346,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
347,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
348,Grassland,NULL,Wetland,Water,Wetland,Cropland
349,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
350,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
351,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
352,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
353,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
354,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
355,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
356,Grassland,NULL,Water,Non_Water,Water,Cropland
357,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
358,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
359,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
360,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
361,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
362,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
363,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
364,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
365,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
366,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
367,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
368,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
369,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
370,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
371,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
372,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
373,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
374,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
375,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
376,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
377,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
378,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
379,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
380,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
381,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
382,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
383,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
384,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
385,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
386,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
387,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
388,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
389,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
390,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
391,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
392,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
393,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
394,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
395,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
396,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
397,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
398,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
399,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
400,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
401,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
402,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
403,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
404,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
405,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
406,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
407,Grassland,Wetland,NULL,NULL,Non_Wetland,Cropland
408,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
409,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
410,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
411,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
412,Grassland,Wetland,Forest,NULL,Non_Wetland,Cropland
413,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
414,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
415,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
416,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
417,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
418,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL
419,Grassland,Built-up,Grassland,NULL,Non_Wetland,Cropland
420,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
