Value,AFRICA_2024_DynamicWorld_2024_37PBT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBT_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBT_M_R,AFRICA_2024_GSW_Yearly_2021_37PBT_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBT_M_R,AFRICA_2024_WorldCover_2021_37PBT_M_R
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
122,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
128,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
129,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
130,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
133,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
134,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
135,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
136,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
137,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
138,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
139,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
140,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
141,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
143,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
146,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
147,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
148,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
150,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
153,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
154,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
156,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
158,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
159,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
160,NULL,Forest,NULL,NULL,Non_Wetland,NULL
161,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
162,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
163,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
164,NULL,Forest,NULL,NULL,Non_Wetland,Forest
165,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
166,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
167,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
168,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
169,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
170,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
171,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
172,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
173,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
174,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
175,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
176,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
177,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
178,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
179,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
180,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
181,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
182,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
183,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
184,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
185,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
186,NULL,Forest,Forest,NULL,Non_Wetland,NULL
187,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
188,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
189,NULL,Forest,Forest,NULL,Non_Wetland,Forest
190,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
191,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
192,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
193,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
194,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
195,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
196,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
197,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
198,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
199,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
200,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
201,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
202,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
203,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
204,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
205,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
206,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
207,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
208,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
209,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
210,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
211,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
212,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
213,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
214,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
215,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
216,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
217,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
218,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
219,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
220,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
221,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
222,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
223,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
224,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
225,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
226,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
227,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
228,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
229,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
230,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
231,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
232,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
233,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
234,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
235,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
236,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
237,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
238,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
239,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
240,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
241,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
242,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
243,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
244,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
245,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
246,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
247,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
248,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
249,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
250,Cropland,NULL,Wetland,NULL,Wetland,Cropland
251,Cropland,NULL,Wetland,Water,Wetland,Cropland
252,Cropland,NULL,Wetland,Water,Wetland,Bareland
253,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
254,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
255,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
256,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
257,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
258,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
259,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
260,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
261,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
262,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
263,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
264,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
265,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
266,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
267,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
268,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
269,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
270,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
271,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
272,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
273,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
274,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
275,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
276,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
277,Cropland,NULL,Water,NULL,Water,Grassland
278,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
279,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
280,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
281,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
282,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
283,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
284,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
285,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
286,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
287,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
288,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
289,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
290,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
291,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
292,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
293,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
294,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
295,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
296,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
297,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
298,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
299,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
300,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
301,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
302,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
303,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
304,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
305,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
306,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
307,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
308,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
309,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
310,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
311,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
312,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
313,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
314,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
315,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
316,Cropland,Cropland,Wetland,Non_Water,Wetland,Bareland
317,Cropland,Cropland,Wetland,Water,Wetland,Bareland
318,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
319,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
320,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
321,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
322,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
323,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
324,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
325,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
326,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
327,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
328,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
329,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
330,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
331,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
332,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
333,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
334,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
335,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
336,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
337,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
338,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
339,Cropland,Cropland,Built-up,Water,Non_Wetland,Cropland
340,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
341,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
342,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
343,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
344,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
345,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
346,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
347,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
348,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
349,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
350,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
351,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
352,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
353,Cropland,Bareland,Grassland,NULL,Non_Wetland,Built-up
354,Cropland,Bareland,Grassland,NULL,Non_Wetland,Forest
355,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
356,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
357,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
358,Cropland,Bareland,Cropland,NULL,Non_Wetland,Forest
359,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
360,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
361,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
362,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
363,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
364,Cropland,Bareland,Bareland,NULL,Non_Wetland,Forest
365,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
366,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
367,Cropland,Bareland,Built-up,NULL,Non_Wetland,Built-up
368,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
369,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
370,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
371,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland
372,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
373,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
374,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
375,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
376,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
377,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
378,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
379,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
380,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
381,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
382,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
383,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
384,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
385,Cropland,Built-up,Grassland,Water,Non_Wetland,Grassland
386,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
387,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
388,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
389,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
390,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
391,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
392,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
393,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
394,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
395,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
396,Cropland,Built-up,Bareland,NULL,Non_Wetland,Built-up
397,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
398,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
399,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
400,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
401,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
402,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
403,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
404,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
405,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
406,Cropland,Water,NULL,NULL,Non_Wetland,Forest
407,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
408,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
409,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
410,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
