Value,AFRICA_2024_DynamicWorld_2024_37PFP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFP_M_R,AFRICA_2024_GSW_Yearly_2021_37PFP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFP_M_R,AFRICA_2024_WorldCover_2021_37PFP_M_R
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
123,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
124,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
127,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
128,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
129,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
130,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
134,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
135,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
136,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
137,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
138,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
139,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
140,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
141,NULL,Wetland,Grassland,Water,Non_Wetland,Cropland
142,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
143,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
144,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
145,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
146,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
147,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
148,NULL,Wetland,Wetland,NULL,Wetland,NULL
149,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
150,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
151,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
152,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
153,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
154,NULL,Wetland,Bareland,Water,Non_Wetland,Cropland
155,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
156,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
157,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
158,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
159,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
160,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
164,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
165,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
166,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
167,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
169,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
170,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
171,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
172,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
173,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
174,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
175,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
176,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
177,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
178,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
179,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
180,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
181,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
182,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
183,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
184,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
185,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
186,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
187,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
188,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
191,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
192,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
193,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
194,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
195,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
196,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
198,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
199,NULL,Water,Bareland,NULL,Non_Wetland,NULL
200,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
201,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
202,NULL,Forest,NULL,NULL,Non_Wetland,NULL
203,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
204,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
205,NULL,Forest,NULL,NULL,Non_Wetland,Forest
206,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
207,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
208,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
209,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
210,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
211,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
212,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
213,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
214,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
215,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
216,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
217,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
218,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
219,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
220,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
221,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
222,NULL,Forest,Wetland,NULL,Wetland,NULL
223,NULL,Forest,Wetland,NULL,Wetland,Wetland
224,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
225,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
226,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
227,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
228,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
229,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
230,NULL,Forest,Forest,NULL,Non_Wetland,NULL
231,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
232,NULL,Forest,Forest,NULL,Non_Wetland,Forest
233,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
234,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
236,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
237,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
238,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
239,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
240,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
241,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
242,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
243,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
244,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
245,Grassland,NULL,Wetland,NULL,Wetland,Wetland
246,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
247,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
248,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
249,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
250,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
251,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
252,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
253,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
254,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
255,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
256,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
257,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
258,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
259,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
260,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
261,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
262,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
263,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
264,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
265,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
266,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
267,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
268,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
269,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
270,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
271,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
272,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
273,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
274,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
275,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
276,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
277,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
278,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
279,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
280,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
281,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
282,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
283,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
284,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
285,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
286,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
287,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
288,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
289,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
290,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
291,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
292,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
293,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
294,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
295,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
296,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
297,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
298,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
299,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
300,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
301,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
302,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
303,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
304,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
305,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
306,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
307,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
308,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
309,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
310,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
311,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
312,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
313,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
314,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
315,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
316,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
317,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
318,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Water
319,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
320,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
321,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
322,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
323,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
324,Cropland,NULL,Grassland,Water,Non_Wetland,Water
325,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
326,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
327,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
328,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
329,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
330,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
331,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
332,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
333,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
334,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
335,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
336,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
337,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
338,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
339,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
340,Cropland,NULL,Wetland,NULL,Wetland,NULL
341,Cropland,NULL,Wetland,NULL,Wetland,Grassland
342,Cropland,NULL,Wetland,NULL,Wetland,Cropland
343,Cropland,NULL,Wetland,NULL,Wetland,Wetland
344,Cropland,NULL,Wetland,NULL,Wetland,Bareland
345,Cropland,NULL,Wetland,NULL,Wetland,Forest
346,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
347,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
348,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
349,Cropland,NULL,Wetland,Water,Wetland,NULL
350,Cropland,NULL,Wetland,Water,Wetland,Grassland
351,Cropland,NULL,Wetland,Water,Wetland,Cropland
352,Cropland,NULL,Wetland,Water,Wetland,Wetland
353,Cropland,NULL,Wetland,Water,Wetland,Water
354,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
355,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
356,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
357,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
358,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
359,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
360,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
361,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
362,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
363,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
364,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
365,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
366,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
367,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
368,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
369,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
370,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
371,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
372,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
373,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
374,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
375,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
376,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
377,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
378,Cropland,NULL,Bareland,Water,Non_Wetland,Water
379,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
380,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
381,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
382,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
383,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
384,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
385,Cropland,NULL,Built-up,NULL,Non_Wetland,Water
386,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
387,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
388,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
389,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
390,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
391,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
392,Cropland,NULL,Water,NULL,Water,Grassland
393,Cropland,NULL,Water,NULL,Water,Cropland
394,Cropland,NULL,Water,NULL,Water,Wetland
395,Cropland,NULL,Water,Water,Water,Cropland
396,Cropland,NULL,Water,Water,Water,Wetland
397,Cropland,NULL,Water,Water,Water,Water
398,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
399,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
401,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
402,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
403,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
404,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
405,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
406,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
407,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
408,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
409,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
410,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
411,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
412,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
413,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
414,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
415,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
416,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
417,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
418,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
419,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
