Value,AFRICA_2024_DynamicWorld_2024_36PVV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVV_M_R,AFRICA_2024_GSW_Yearly_2021_36PVV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVV_M_R,AFRICA_2024_WorldCover_2021_36PVV_M_R
120,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
121,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
130,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
131,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
132,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
135,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
136,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
137,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
138,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
145,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
146,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
147,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
148,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
149,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Built-up
150,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
151,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
152,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
153,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
154,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
157,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
158,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
159,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
160,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
161,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
162,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
163,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
164,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
165,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Built-up
166,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
167,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
168,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
169,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
170,NULL,Cropland,Cropland,Water,Non_Wetland,Water
171,NULL,Cropland,Wetland,NULL,Wetland,NULL
172,NULL,Cropland,Wetland,NULL,Wetland,Grassland
173,NULL,Cropland,Wetland,NULL,Wetland,Cropland
174,NULL,Cropland,Wetland,NULL,Wetland,Wetland
175,NULL,Cropland,Wetland,NULL,Wetland,Forest
176,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
177,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
178,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
179,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
180,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
181,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
182,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
183,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
184,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
185,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
186,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
187,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
188,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
189,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
190,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
191,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
192,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
193,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
194,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
195,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
196,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
197,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
198,NULL,Cropland,Forest,NULL,Non_Wetland,Water
199,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
200,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
201,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
202,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
203,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
204,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
205,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
206,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
207,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
208,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
209,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
210,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
211,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
212,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
213,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
214,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
215,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
216,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
217,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
218,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
219,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
220,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
221,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
222,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
223,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
224,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
225,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
226,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
227,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
228,NULL,Wetland,Grassland,Water,Non_Wetland,Cropland
229,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
230,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
231,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
232,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
233,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
234,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
235,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
236,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
237,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
238,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Built-up
239,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
240,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
241,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
242,NULL,Wetland,Wetland,NULL,Wetland,Cropland
243,NULL,Wetland,Wetland,NULL,Wetland,Wetland
244,NULL,Wetland,Wetland,NULL,Wetland,Forest
245,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
246,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
247,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
248,NULL,Wetland,Wetland,Water,Wetland,Cropland
249,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
250,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
251,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
252,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
253,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
254,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
255,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
256,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
257,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
258,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
259,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
260,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
261,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
262,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
263,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
264,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
265,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
266,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
267,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
268,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
269,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
270,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
271,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
272,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
273,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
274,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
275,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
276,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
281,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
282,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
283,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
284,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
285,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
286,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
287,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
288,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
289,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
290,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
291,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
292,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
293,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
294,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
295,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
296,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
297,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
298,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
299,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
300,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
301,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
302,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
303,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
304,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
305,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
306,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
307,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
308,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
309,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
310,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland
311,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
312,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
313,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
314,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
315,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
316,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
317,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
318,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
319,NULL,Built-up,Wetland,NULL,Wetland,NULL
320,NULL,Built-up,Wetland,NULL,Wetland,Cropland
321,NULL,Built-up,Wetland,NULL,Wetland,Wetland
322,NULL,Built-up,Wetland,NULL,Wetland,Forest
323,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
324,NULL,Built-up,Wetland,Non_Water,Wetland,Cropland
325,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
326,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
327,NULL,Built-up,Wetland,Water,Wetland,Bareland
328,NULL,Built-up,Wetland,Water,Wetland,Forest
329,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
330,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
331,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
332,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
333,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
334,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
335,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
336,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
337,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
338,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
339,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
340,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
341,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
342,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
343,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
344,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
345,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
346,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
347,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
348,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
349,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
350,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
351,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
352,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
353,NULL,Built-up,Water,Non_Water,Water,Bareland
354,NULL,Built-up,Water,Water,Water,Grassland
355,NULL,Built-up,Water,Water,Water,Forest
356,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
357,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
358,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
359,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
360,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
361,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
362,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
363,NULL,Water,Shrubland,Water,Non_Wetland,Forest
364,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
365,NULL,Water,Grassland,NULL,Non_Wetland,Forest
366,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
367,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
368,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
369,NULL,Water,Cropland,NULL,Non_Wetland,Forest
370,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
371,NULL,Water,Cropland,Water,Non_Wetland,Grassland
372,NULL,Water,Cropland,Water,Non_Wetland,Water
373,NULL,Water,Cropland,Water,Non_Wetland,Forest
374,NULL,Water,Forest,NULL,Non_Wetland,Cropland
375,NULL,Forest,NULL,NULL,Non_Wetland,NULL
376,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
377,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
378,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
379,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
380,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
381,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
382,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
383,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
384,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
385,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
386,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
387,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
388,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
389,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
390,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
391,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
392,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
393,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
394,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
395,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
396,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
397,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
398,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
399,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
400,NULL,Forest,Wetland,NULL,Wetland,NULL
401,NULL,Forest,Wetland,NULL,Wetland,Grassland
402,NULL,Forest,Wetland,NULL,Wetland,Cropland
403,NULL,Forest,Wetland,NULL,Wetland,Wetland
404,NULL,Forest,Wetland,NULL,Wetland,Forest
405,NULL,Forest,Wetland,Non_Water,Wetland,NULL
406,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
407,NULL,Forest,Wetland,Non_Water,Wetland,Forest
408,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
409,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
410,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
411,NULL,Forest,Forest,NULL,Non_Wetland,Forest
412,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
413,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
414,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
415,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
416,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
417,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
418,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
419,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
