Value,AFRICA_2024_DynamicWorld_2024_35PQT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQT_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQT_M_R,AFRICA_2024_GSW_Yearly_2021_35PQT_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQT_M_R,AFRICA_2024_WorldCover_2021_35PQT_M_R
120,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
121,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
122,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
123,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
124,NULL,Forest,Cropland,Water,Non_Wetland,Forest
125,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
126,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
127,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland
128,NULL,Forest,Forest,NULL,Non_Wetland,NULL
129,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
130,NULL,Forest,Forest,NULL,Non_Wetland,Forest
131,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
132,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
133,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
134,NULL,Forest,Forest,Water,Non_Wetland,Forest
135,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
136,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
137,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
138,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
139,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
140,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
141,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
142,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland
143,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
144,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
145,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
146,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
147,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
148,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
149,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
150,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
151,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
152,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
153,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
154,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
155,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
156,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
157,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
158,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
159,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
160,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
161,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
162,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
163,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
164,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
165,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
166,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
167,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
168,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
169,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
170,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
171,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
172,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
173,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
174,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
175,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
176,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
177,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
178,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
179,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
180,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
181,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
182,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
183,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL
184,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
185,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Forest
186,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
187,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
188,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
189,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
190,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
191,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
192,Cropland,NULL,Forest,Non_Water,Non_Wetland,Bareland
193,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
194,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
195,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
196,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
197,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
198,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
199,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
200,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
201,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
202,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
203,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
204,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
205,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
206,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
207,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
208,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
209,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
210,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
211,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
212,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
213,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
214,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
215,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
216,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
217,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
218,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
219,Cropland,Forest,Cropland,Non_Water,Non_Wetland,NULL
220,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
221,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
222,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
223,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL
224,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
225,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
226,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
227,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland
228,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
229,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL
230,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
231,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
232,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
233,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
234,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
235,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
236,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
237,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
238,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
239,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
240,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
241,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
242,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
243,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
244,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
245,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
246,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
247,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
248,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
249,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
250,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
251,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
252,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
253,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
254,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
255,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
256,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL
257,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
258,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Forest
259,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
260,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
261,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
262,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
263,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
264,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
265,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
266,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
267,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
268,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
269,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Forest
270,Wetland,Wetland,NULL,Water,Non_Wetland,NULL
271,Wetland,Wetland,NULL,Water,Non_Wetland,Grassland
272,Wetland,Wetland,NULL,Water,Non_Wetland,Cropland
273,Wetland,Wetland,NULL,Water,Non_Wetland,Forest
274,Wetland,Wetland,Grassland,NULL,Non_Wetland,Forest
275,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
276,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
277,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest
278,Wetland,Wetland,Cropland,Water,Non_Wetland,NULL
279,Wetland,Wetland,Cropland,Water,Non_Wetland,Grassland
280,Wetland,Wetland,Cropland,Water,Non_Wetland,Cropland
281,Wetland,Wetland,Cropland,Water,Non_Wetland,Forest
282,Wetland,Wetland,Built-up,NULL,Non_Wetland,Forest
283,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
284,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
285,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
286,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
287,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL
288,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
289,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
290,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
291,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
292,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
293,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL
294,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland
295,Wetland,Forest,NULL,Non_Water,Non_Wetland,Forest
296,Wetland,Forest,NULL,Water,Non_Wetland,NULL
297,Wetland,Forest,NULL,Water,Non_Wetland,Grassland
298,Wetland,Forest,NULL,Water,Non_Wetland,Forest
299,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
300,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
301,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
302,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
303,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland
304,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
305,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
306,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL
307,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
308,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Forest
309,Wetland,Forest,Cropland,Water,Non_Wetland,Forest
310,Wetland,Forest,Built-up,NULL,Non_Wetland,NULL
311,Wetland,Forest,Built-up,NULL,Non_Wetland,Grassland
312,Wetland,Forest,Built-up,NULL,Non_Wetland,Forest
313,Wetland,Forest,Built-up,Non_Water,Non_Wetland,NULL
314,Wetland,Forest,Built-up,Non_Water,Non_Wetland,Grassland
315,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
316,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
317,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
318,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL
319,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
320,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
321,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
322,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
323,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
324,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
325,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
326,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL
327,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
328,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
329,Bareland,NULL,NULL,Non_Water,Non_Wetland,Forest
330,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
331,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
332,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
333,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
334,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
335,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
336,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
337,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
338,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
339,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
340,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
341,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
342,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
343,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
344,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
345,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
346,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
347,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
348,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
349,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
350,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
351,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
352,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
353,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
354,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
355,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
356,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
357,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
358,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
359,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
360,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
361,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
362,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
363,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL
364,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
365,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
366,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
367,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
368,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
369,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
370,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL
371,Bareland,NULL,Forest,Non_Water,Non_Wetland,Grassland
372,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland
373,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
374,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
375,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
376,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
377,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
378,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
379,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
380,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
381,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
382,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
383,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
384,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
385,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland
386,Bareland,Wetland,NULL,NULL,Non_Wetland,Bareland
387,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
388,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland
389,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
390,Bareland,Wetland,Built-up,NULL,Non_Wetland,Bareland
391,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
392,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
393,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
394,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
395,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
396,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
397,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
398,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
399,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
400,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
401,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
402,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
403,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
404,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
405,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
406,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
407,Water,NULL,NULL,NULL,Non_Wetland,Grassland
408,Water,NULL,NULL,Non_Water,Non_Wetland,NULL
409,Water,NULL,NULL,Non_Water,Non_Wetland,Grassland
410,Water,NULL,NULL,Non_Water,Non_Wetland,Cropland
411,Water,NULL,NULL,Non_Water,Non_Wetland,Bareland
412,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
413,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL
414,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
