Value,AFRICA_2024_DynamicWorld_2024_35PQM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQM_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQM_M_R,AFRICA_2024_GSW_Yearly_2021_35PQM_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQM_M_R,AFRICA_2024_WorldCover_2021_35PQM_M_R
121,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
122,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
123,NULL,NULL,Water,NULL,Water,Grassland
124,NULL,NULL,Water,NULL,Water,Wetland
125,NULL,NULL,Water,Water,Water,Grassland
126,NULL,NULL,Water,Water,Water,Cropland
127,NULL,NULL,Water,Water,Water,Bareland
128,NULL,NULL,Water,Water,Water,Water
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL
130,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
133,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
134,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
135,NULL,NULL,Forest,NULL,Non_Wetland,Water
136,NULL,NULL,Forest,NULL,Non_Wetland,Forest
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
141,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
142,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
143,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
144,NULL,NULL,Forest,Water,Non_Wetland,NULL
145,NULL,NULL,Forest,Water,Non_Wetland,Grassland
146,NULL,NULL,Forest,Water,Non_Wetland,Cropland
147,NULL,NULL,Forest,Water,Non_Wetland,Wetland
148,NULL,NULL,Forest,Water,Non_Wetland,Bareland
149,NULL,NULL,Forest,Water,Non_Wetland,Built-up
150,NULL,NULL,Forest,Water,Non_Wetland,Water
151,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
152,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
153,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
154,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
155,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
156,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
157,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
158,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
159,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
160,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
161,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
162,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
164,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
165,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
166,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
167,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
168,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
169,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
170,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
171,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
172,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
173,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
174,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
175,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
176,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
177,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
178,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
179,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
180,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
181,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
182,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
183,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
184,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
185,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
186,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
187,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
188,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
189,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
190,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
191,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
192,NULL,Cropland,Wetland,NULL,Wetland,NULL
193,NULL,Cropland,Wetland,NULL,Wetland,Grassland
194,NULL,Cropland,Wetland,NULL,Wetland,Cropland
195,NULL,Cropland,Wetland,NULL,Wetland,Wetland
196,NULL,Cropland,Wetland,NULL,Wetland,Forest
197,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
198,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
199,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
200,NULL,Cropland,Wetland,Water,Wetland,Grassland
201,NULL,Cropland,Wetland,Water,Wetland,Wetland
202,NULL,Cropland,Wetland,Water,Wetland,Forest
203,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
204,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
205,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
206,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
207,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
208,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
209,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
210,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
211,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
212,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
213,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
214,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
215,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
216,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
217,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
218,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
219,NULL,Cropland,Built-up,Water,Non_Wetland,Bareland
220,NULL,Cropland,Water,NULL,Water,Grassland
221,NULL,Cropland,Water,Water,Water,Grassland
222,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
223,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
224,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
225,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
226,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
227,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
228,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
229,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
230,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
231,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
232,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
233,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
234,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
235,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
236,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
237,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
238,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
239,NULL,Wetland,NULL,Non_Water,Non_Wetland,Cropland
240,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
241,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
242,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
243,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
244,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
245,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
246,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
247,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
248,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
249,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
250,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
251,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
252,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
253,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
254,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
255,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
256,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
257,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
258,NULL,Wetland,Wetland,NULL,Wetland,Grassland
259,NULL,Wetland,Wetland,NULL,Wetland,Wetland
260,NULL,Wetland,Wetland,NULL,Wetland,Forest
261,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
262,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
263,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
264,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
265,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
266,NULL,Wetland,Wetland,Water,Wetland,Grassland
267,NULL,Wetland,Wetland,Water,Wetland,Wetland
268,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
269,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
270,NULL,Wetland,Built-up,NULL,Non_Wetland,Cropland
271,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
272,NULL,Wetland,Water,Non_Water,Water,Grassland
273,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
274,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
275,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
276,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
277,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
278,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
279,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
280,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
281,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
282,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
283,NULL,Bareland,Water,NULL,Water,Grassland
284,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
285,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
286,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
287,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
288,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
289,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
290,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
291,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland
292,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
299,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
300,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
301,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
302,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
303,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
304,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
305,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL
306,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
307,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
308,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
309,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
310,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
311,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
312,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
313,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
314,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
315,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
316,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
317,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
318,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
319,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
320,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
321,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
322,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
323,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
324,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
325,NULL,Built-up,Wetland,NULL,Wetland,Forest
326,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
327,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
328,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
329,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
330,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
331,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
332,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
333,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
334,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
335,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
336,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
337,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
338,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
339,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
340,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
341,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
342,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
343,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
344,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
345,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
346,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
347,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
348,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
349,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
350,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL
351,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
352,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
353,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
354,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
355,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
356,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
357,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
358,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
359,NULL,Water,Wetland,Non_Water,Wetland,Grassland
360,NULL,Water,Wetland,Non_Water,Wetland,Forest
361,NULL,Water,Forest,Water,Non_Wetland,Grassland
362,NULL,Forest,NULL,NULL,Non_Wetland,NULL
363,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
364,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
365,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
366,NULL,Forest,NULL,NULL,Non_Wetland,Forest
367,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
368,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
369,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
370,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
371,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
372,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
373,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
374,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
375,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
376,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
377,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
378,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
379,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
380,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
381,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
382,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
383,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
384,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
385,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
386,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
387,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
388,NULL,Forest,Wetland,NULL,Wetland,NULL
389,NULL,Forest,Wetland,NULL,Wetland,Grassland
390,NULL,Forest,Wetland,NULL,Wetland,Cropland
391,NULL,Forest,Wetland,NULL,Wetland,Wetland
392,NULL,Forest,Wetland,NULL,Wetland,Forest
393,NULL,Forest,Wetland,Non_Water,Wetland,NULL
394,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
395,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
396,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
397,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
398,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
399,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
400,NULL,Forest,Forest,NULL,Non_Wetland,NULL
401,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
402,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
403,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
404,NULL,Forest,Forest,NULL,Non_Wetland,Forest
405,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
406,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
407,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
408,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
409,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
410,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
411,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
412,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
413,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
414,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
415,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
416,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
417,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
418,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
419,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
420,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
421,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
422,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
423,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
